NEFT_Ref,igst_amount,cgst_amount,sgst_amount,MRP,customer_paid_amt,Commission,IGST_TCS,CGST_TCS,SGST_TCS,Payment_Type,TDS,Shipping_Fee,pick_and_pack_fee,fixed_fee,Payment_Gateway_Fee,Logistics_Commission,Settled_Amount,NOD_Comment,Store_Order_id,Payment_Date,order_line_id,seller_order_id,return_id,Order_Type,order_release_id,Packet_Id,Seller_Id,taxable_amount,Tax_Rate,seller_discount,platform_discount,total_discount,comments,fwdAdditionalCharges,rvsAdditionalCharges,techEnablement,airLogistics,royaltyCharges,royaltyPercent,marketingCharges,marketingPercent,marketingContribution,commission_discount,sale_Total_Customer_Paid
NFT-/XUTR/DEUTH02614780414X,104.43,0.0,0.0,2399.0,2193.0,517.548,10.443,0.0,0.0,postpaid,2.089,0.0,0.0,61.0,0.0,71.98,1590.94,"",'133011270145755009503,2026-05-27,11135572402,7da14f97-01e4-4b1a-9e4e-b9bf037d7b8c,"",Forward,100080843189,100080843189,11504,2088.57,5.0,0.0,0.0,0.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,2399.0
NFT-/XUTR/DEUTH02614780414X,63.24,0.0,0.0,2999.0,50.0,12.39,0.238,0.0,0.0,postpaid,0.048,0.0,0.0,1.694,0.0,1.99892,35.325,"",'132993325566670776803,2026-05-27,11131866518,6f8c6511-2fdb-40e0-be49-d8b1e8fd4371,"",Forward,100077137307,100077137307,11504,1264.76,5.0,1500.0,50.0,1550.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1499.0
NFT-/XUTR/DEUTH02614780414X,81.81,0.0,0.0,2699.0,1716.24,425.284,8.173,0.0,0.0,postpaid,1.635,181.814,0.0,0.0,0.0,214.54052,-1495.689,"",'133019181888452277403,2026-05-27,11137240805,0d26a238-fabb-48eb-8cdb-8f72a98d7f31,100160611710,Reverse,100082511581,100082511581,11504,1636.19,5.0,810.0,250.0,1060.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1889.0
NFT-/XUTR/DEUTH02614780414X,83.38,0.0,0.0,1999.0,120.54,28.448,0.574,0.0,0.0,postpaid,0.115,0.0,0.0,3.098,0.0,3.65564,87.747,"",'132995565862483325201,2026-05-27,11132368961,6403c563-758a-4665-8626-d8fd30f9d603,"",Forward,100077639750,100077639750,11504,1667.62,5.0,77.0,0.0,77.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1922.0
NFT-/XUTR/DEUTH02614780414X,0.0,29.83,29.83,2999.0,1253.0,310.493,0.0,2.9835,2.9835,postpaid,1.193,0.0,0.0,45.0,0.0,53.1,882.247,"",'133044870681894038201,2026-05-27,11142807283,a1825d96-9262-4f37-8a63-51cd0d9e3e70,"",Forward,100088078034,100088078034,11504,1193.34,5.0,1575.0,0.0,1575.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1423.9999999999998
NFT-/XUTR/DEUTH02614780414X,103.48,0.0,0.0,3399.0,1378.91,325.423,6.566,0.0,0.0,postpaid,1.313,115.491,0.0,0.0,0.0,136.27938,-1181.887,"",'133025698013293144603,2026-05-27,11138693313,0c531d4e-19f1-48ed-8821-51bc3a58ae62,100161131938,Reverse,100083964078,100083964078,11504,2069.52,5.0,1020.0,0.0,1020.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,2379.0
NFT-/XUTR/DEUTH02614780414X,58.95,0.0,0.0,2999.0,1238.0,306.776,5.895,0.0,0.0,postpaid,1.179,127.0,0.0,0.0,0.0,149.86,-1074.01,"",'133023189362740619401,2026-05-27,11138472035,20b97ad5-c1ab-46aa-af00-734c9bfbf6de,11138472035,Reverse,100083742801,100083742801,11504,1179.05,5.0,1590.0,0.0,1590.0,exchange,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1409.0
NFT-/XUTR/DEUTH02614780414X,31.19,0.0,0.0,1499.0,655.0,170.038,3.119,0.0,0.0,postpaid,0.624,0.0,0.0,27.0,0.0,31.86,449.359,"",'133011079421230345903,2026-05-27,11135521932,c80cd232-b666-4394-9cf5-fef424079c28,"",Forward,100080792719,100080792719,11504,623.81,5.0,750.0,0.0,750.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,749.0
NFT-/XUTR/DEUTH02614780414X,21.91,0.0,0.0,1499.0,50.0,2.36,0.238,0.0,0.0,postpaid,0.048,19.783,0.0,0.0,0.0,23.34394,-70.698,"",'133014081844324506001,2026-05-27,11136326642,c51df4ed-2c43-47b2-95e4-c707e606ae33,100161682155,Reverse,100081597425,100081597425,11504,438.1,5.0,945.0,50.0,995.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,554.01
NFT-/XUTR/DEUTH02614780414X,36.19,0.0,0.0,1799.0,760.0,197.296,3.619,0.0,0.0,postpaid,0.724,0.0,0.0,27.0,0.0,31.86,526.501,"",'133040099657258924301,2026-05-27,11142127591,4f2b0096-7d0a-4de7-9acd-05f2982b9eac,"",Forward,100087398343,1000025887360,11504,723.81,5.0,945.0,0.0,945.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,854.0
NFT-/XUTR/DEUTH02614780414X,58.95,0.0,0.0,2999.0,137.0,33.948,0.652,0.0,0.0,postpaid,0.13,20.14,0.0,0.0,0.0,23.7652,-126.035,"",'133017334151875954703,2026-05-27,11136727624,ef366781-cdb1-4074-8b24-288c168dcd83,11136727624,Reverse,100081998404,100081998404,11504,1179.05,5.0,1590.0,137.0,1727.0,exchange,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1409.0
NFT-/XUTR/DEUTH02614780414X,63.24,0.0,0.0,2999.0,1162.159,287.983,5.534,0.0,0.0,postpaid,1.107,0.0,0.0,39.38,0.0,46.4684,821.067,"",'133012956597292973201,2026-05-27,11135998832,04898bc8-81cd-497d-bf95-2151140d2d3f,"",Forward,100081269616,100081269616,11504,1264.76,5.0,1500.0,0.0,1500.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1499.0
NFT-/XUTR/DEUTH02614780414X,63.24,0.0,0.0,2999.0,1328.0,329.078,6.324,0.0,0.0,postpaid,1.265,0.0,0.0,45.0,0.0,53.1,938.233,"",'133026823929150294601,2026-05-27,11138907951,2c3beb93-c96b-43da-b49e-a6144bc48bd8,"",Forward,100084178715,1000024743832,11504,1264.76,5.0,1500.0,0.0,1500.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1499.0
NFT-/XUTR/DEUTH02614780414X,34.19,0.0,0.0,2899.0,718.0,33.89,3.419,0.0,0.0,postpaid,0.684,0.0,0.0,27.0,0.0,31.86,648.147,"",'132996513116671772301,2026-05-27,11132608617,f7058b61-67ea-4c21-98c1-9b8a68b257de,"",Forward,100077879406,100077879406,11504,683.81,5.0,2087.0,0.0,2087.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,812.0
