NEFT_Ref,igst_amount,cgst_amount,sgst_amount,MRP,customer_paid_amt,Commission,IGST_TCS,CGST_TCS,SGST_TCS,Payment_Type,TDS,Shipping_Fee,pick_and_pack_fee,fixed_fee,Payment_Gateway_Fee,Logistics_Commission,Settled_Amount,NOD_Comment,Store_Order_id,Payment_Date,order_line_id,seller_order_id,return_id,Order_Type,order_release_id,Packet_Id,Seller_Id,taxable_amount,Tax_Rate,seller_discount,platform_discount,total_discount,comments,fwdAdditionalCharges,rvsAdditionalCharges,techEnablement,airLogistics,royaltyCharges,royaltyPercent,marketingCharges,marketingPercent,marketingContribution,commission_discount,sale_Total_Customer_Paid
NFT-/XUTR/DEUTH02611789836X,62.52,0.0,0.0,3299.0,1313.0,325.361,6.252,0.0,0.0,postpaid,1.25,0.0,0.0,45.0,0.0,53.1,927.037,"",'132720657010397854801,2026-04-27,11076511202,bc832d7a-2581-46b7-af3f-2d3292322a1b,"",Forward,100021782333,100021782333,11504,1250.48,5.0,1815.0,0.0,1815.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1484.0
NFT-/XUTR/DEUTH02611789836X,48.95,0.0,0.0,2399.0,1028.0,242.608,4.895,0.0,0.0,postpaid,0.979,0.0,0.0,45.0,0.0,53.1,726.418,"",'132766223198272469601,2026-04-27,11086695388,1fa3dd99-8c1f-4199-9c80-ee538ef5e6bf,"",Forward,100031966442,100031966442,11504,979.05,5.0,1200.0,0.0,1200.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1199.0
NFT-/XUTR/DEUTH02611789836X,41.05,0.0,0.0,2899.0,862.0,223.775,4.105,0.0,0.0,postpaid,0.821,112.0,0.0,0.0,0.0,132.16,-765.459,"",'132720479808424716903,2026-04-27,11076450215,634529db-a13f-4902-b3b7-62ba5c44dd33,100153876556,Reverse,100021721346,100021721346,11504,820.95,5.0,1943.0,300.0,2243.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,956.0
NFT-/XUTR/DEUTH02611789836X,63.24,0.0,0.0,2999.0,1328.0,329.078,6.324,0.0,0.0,postpaid,1.265,0.0,0.0,45.0,0.0,53.1,938.233,"",'132736525502673194503,2026-04-27,11080111873,8df6f521-42bd-4b9e-b1b9-539681f97240,"",Forward,100025382965,100025382965,11504,1264.76,5.0,1500.0,0.0,1500.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1499.0
NFT-/XUTR/DEUTH02611789836X,70.38,0.0,0.0,3299.0,1478.0,366.248,7.038,0.0,0.0,postpaid,1.408,167.0,0.0,0.0,0.0,197.06,-1300.366,"",'132751270625919731103,2026-04-27,11083302558,4a117f14-759a-47d4-b373-78e55e43f2ba,100151073624,Reverse,100028573619,100028573619,11504,1407.62,5.0,1650.0,0.0,1650.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1649.0
NFT-/XUTR/DEUTH02611789836X,38.33,0.0,0.0,1799.0,805.0,208.978,3.833,0.0,0.0,postpaid,0.767,0.0,0.0,27.0,0.0,31.86,559.562,"",'132728007556269819201,2026-04-27,11078207469,ad0e1633-9988-4508-9dcd-56b96d49e597,"",Forward,100023478584,1000006376578,11504,766.67,5.0,900.0,0.0,900.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,899.0
NFT-/XUTR/DEUTH02611789836X,79.91,0.0,0.0,3699.0,613.4,137.524,2.921,0.0,0.0,postpaid,0.584,0.0,0.0,16.45,0.0,19.411,452.96,"",'132751768124195889701,2026-04-27,11083450147,5684f435-a087-44ed-996f-d4e1c45af495,"",Forward,100028721208,100028721208,11504,1598.1,5.0,1850.0,0.0,1850.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1849.01
NFT-/XUTR/DEUTH02611789836X,63.24,0.0,0.0,2999.0,1328.0,329.078,6.324,0.0,0.0,postpaid,1.265,167.0,0.0,0.0,0.0,197.06,-1188.393,"",'132744215451102064401,2026-04-27,11081789115,7931e050-51a5-4d2d-863e-6a6fe139ab5d,100154532641,Reverse,100027060188,1000007959553,11504,1264.76,5.0,1500.0,0.0,1500.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1499.0
NFT-/XUTR/DEUTH02611789836X,18.95,0.0,0.0,1699.0,398.0,18.786,1.895,0.0,0.0,postpaid,0.379,0.0,0.0,0.0,0.0,0.0,376.94,"",'132737746411059901301,2026-04-27,11080529686,d3ef7b2c-c9df-4819-ac98-03f549ee398b,"",Forward,100025800778,1000007080887,11504,379.05,5.0,1207.0,0.0,1207.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,492.0
NFT-/XUTR/DEUTH02611789836X,43.05,0.0,0.0,2699.0,904.0,234.678,4.305,0.0,0.0,postpaid,0.861,0.0,0.0,27.0,0.0,31.86,632.296,"",'132729939786236078001,2026-04-27,11078837000,2f0fcafc-f69f-4e2d-b8c7-6bf4167d2107,"",Forward,100024108114,100024108114,11504,860.95,5.0,1701.0,0.0,1701.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,998.0
