NEFT_Ref,igst_amount,cgst_amount,sgst_amount,MRP,customer_paid_amt,Commission,IGST_TCS,CGST_TCS,SGST_TCS,Payment_Type,TDS,Shipping_Fee,pick_and_pack_fee,fixed_fee,Payment_Gateway_Fee,Logistics_Commission,Settled_Amount,NOD_Comment,Store_Order_id,Payment_Date,order_line_id,seller_order_id,return_id,Order_Type,order_release_id,Packet_Id,Seller_Id,taxable_amount,Tax_Rate,seller_discount,platform_discount,total_discount,comments,fwdAdditionalCharges,rvsAdditionalCharges,techEnablement,airLogistics,royaltyCharges,royaltyPercent,marketingCharges,marketingPercent,marketingContribution,commission_discount,sale_Total_Customer_Paid
NFT-/XUTR/DEUTH02611825240X,81.33,0.0,0.0,3999.0,994.246,246.374,4.735,0.0,0.0,postpaid,0.947,0.0,0.0,26.195,0.0,30.9101,711.28,"",'132763891417094022701,2026-04-28,11086494648,7b9f863b-e36e-467a-9942-a5e35371273c,"",Forward,100031765702,100031765702,11504,1626.67,5.0,2120.0,0.0,2120.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1879.01
NFT-/XUTR/DEUTH02611825240X,8.45,0.0,0.0,499.0,290.0,44.486,1.408,0.0,0.0,postpaid,0.282,0.0,0.0,27.0,0.0,31.86,211.964,"",'132779099239833244503,2026-04-28,11089696594,e71a01cd-dd1f-4b44-949e-3b87ca512e3e,"",Forward,100034967645,1000010387877,11504,281.55,3.0,150.0,0.0,150.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,349.0
NFT-/XUTR/DEUTH02611825240X,75.19,0.0,0.0,1750.0,1579.0,372.644,7.519,0.0,0.0,postpaid,1.504,0.0,0.0,45.0,0.0,53.1,1144.233,"",'132780899040177918503,2026-04-28,11090258698,89fe8339-8c5b-4a31-8ae1-188964a28749,"",Forward,100035529749,100035529749,11504,1503.81,5.0,0.0,0.0,0.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1750.0
NFT-/XUTR/DEUTH02611825240X,58.95,0.0,0.0,2999.0,1238.0,306.776,5.895,0.0,0.0,postpaid,1.179,0.0,0.0,45.0,0.0,53.1,871.05,"",'132737651097386032401,2026-04-28,11080497623,19248fc6-a421-4e93-b81e-77223adf8754,"",Forward,100025768715,1000007369248,11504,1179.05,5.0,1590.0,0.0,1590.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1409.0
NFT-/XUTR/DEUTH02611825240X,63.24,0.0,0.0,2999.0,1328.0,329.078,6.324,0.0,0.0,postpaid,1.265,0.0,0.0,45.0,0.0,53.1,938.233,"",'132787396723757789701,2026-04-28,11091617544,ced96a24-7d9a-4fbe-95fa-ad83bea330af,"",Forward,100036888589,1000010998223,11504,1264.76,5.0,1500.0,0.0,1500.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1499.0
NFT-/XUTR/DEUTH02611825240X,40.48,0.0,0.0,3499.0,850.0,220.66,4.048,0.0,0.0,postpaid,0.81,167.0,0.0,0.0,0.0,197.06,-821.542,"",'132761197635984038401,2026-04-28,11085646755,b50bbf55-db92-41bd-ac4b-8e1f4a39d83c,100151291720,Reverse,100030917811,100030917811,11504,809.52,5.0,2555.0,0.0,2555.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,944.0
NFT-/XUTR/DEUTH02611825240X,58.48,0.0,0.0,2799.0,1228.0,304.298,5.848,0.0,0.0,postpaid,1.17,0.0,0.0,45.0,0.0,53.1,863.584,"",'132694774305167293801,2026-04-28,11070509791,760a1547-8510-4242-8a00-ef1ae11dad0d,"",Forward,100015780962,100015780962,11504,1169.52,5.0,1400.0,0.0,1400.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1399.0
NFT-/XUTR/DEUTH02611825240X,8.45,0.0,0.0,499.0,290.0,44.486,1.408,0.0,0.0,postpaid,0.282,112.0,0.0,0.0,0.0,132.16,-375.984,"",'132779099239833244503,2026-04-28,11089696594,e71a01cd-dd1f-4b44-949e-3b87ca512e3e,100152553893,Reverse,100034967645,1000010387877,11504,281.55,3.0,150.0,0.0,150.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,349.0
NFT-/XUTR/DEUTH02611825240X,66.86,0.0,0.0,2250.0,1404.0,331.344,6.686,0.0,0.0,postpaid,1.337,0.0,0.0,45.0,0.0,53.1,1011.533,"",'132757697945160056101,2026-04-28,11084744317,24065986-d838-46ac-93ea-4d0381df7a32,"",Forward,100030015374,100030015374,11504,1337.14,5.0,675.0,0.0,675.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1575.0
NFT-/XUTR/DEUTH02611825240X,19.1,0.0,0.0,1599.0,401.0,18.927,1.91,0.0,0.0,postpaid,0.382,0.0,0.0,15.0,0.0,17.7,362.081,"",'132763864469133306303,2026-04-28,11086485763,5f3e1c8f-bf68-4d9f-a01a-8b43b148d006,"",Forward,100031756817,100031756817,11504,381.9,5.0,1104.0,0.0,1104.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,495.0
