NEFT_Ref,igst_amount,cgst_amount,sgst_amount,MRP,customer_paid_amt,Commission,IGST_TCS,CGST_TCS,SGST_TCS,Payment_Type,TDS,Shipping_Fee,pick_and_pack_fee,fixed_fee,Payment_Gateway_Fee,Logistics_Commission,Settled_Amount,NOD_Comment,Store_Order_id,Payment_Date,order_line_id,seller_order_id,return_id,Order_Type,order_release_id,Packet_Id,Seller_Id,taxable_amount,Tax_Rate,seller_discount,platform_discount,total_discount,comments,fwdAdditionalCharges,rvsAdditionalCharges,techEnablement,airLogistics,royaltyCharges,royaltyPercent,marketingCharges,marketingPercent,marketingContribution,commission_discount,sale_Total_Customer_Paid
NFT-/XUTR/DEUTH02611332105X,58.95,0.0,0.0,2999.0,947.1,234.691,4.51,0.0,0.0,postpaid,0.902,127.759,0.0,0.0,0.0,150.75562,-857.753,"",'132724417681350442301,2026-04-23,11076992425,eb8aa559-3611-4121-9ce6-1085e455eb4f,11076992425,Reverse,100022263554,1000006176561,11504,1179.05,5.0,1590.0,0.0,1590.0,exchange,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1409.0
NFT-/XUTR/DEUTH02611332105X,0.0,19.17,19.17,1799.0,805.0,208.978,0.0,1.9165,1.9165,postpaid,0.767,0.0,0.0,27.0,0.0,31.86,559.562,"",'132750225417519370101,2026-04-23,11082991728,3bc278c4-6f20-439d-9035-70dc0c654a5d,"",Forward,100028262790,100028262790,11504,766.66,5.0,900.0,0.0,900.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,898.9999999999999
NFT-/XUTR/DEUTH02611332105X,18.57,0.0,0.0,1499.0,390.0,18.408,1.857,0.0,0.0,postpaid,0.371,0.0,0.0,0.0,0.0,0.0,369.364,"",'132719571235451804603,2026-04-23,11076141007,23d1e974-ee9d-4672-ad27-d64ea2e59b3b,"",Forward,100021412139,100021412139,11504,371.43,5.0,1050.0,0.0,1050.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,449.0
NFT-/XUTR/DEUTH02611332105X,48.48,0.0,0.0,1699.0,1018.0,240.248,4.848,0.0,0.0,postpaid,0.97,0.0,0.0,45.0,0.0,53.1,718.834,"",'132733067467813508101,2026-04-23,11079156397,6e356864-8059-4882-bd30-074ae2d69d9d,"",Forward,100024427496,100024427496,11504,969.52,5.0,510.0,0.0,510.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1189.0
NFT-/XUTR/DEUTH02611332105X,25.43,0.0,0.0,1699.0,534.0,138.626,2.543,0.0,0.0,postpaid,0.509,167.0,0.0,0.0,0.0,197.06,-589.382,"",'132724970729832957801,2026-04-23,11077179439,e5719000-ea07-4d4d-b000-504fba1cf0dd,100149688554,Reverse,100022450568,100022450568,11504,508.57,5.0,1071.0,0.0,1071.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,628.0
NFT-/XUTR/DEUTH02611332105X,19.1,0.0,0.0,1599.0,401.0,18.927,1.91,0.0,0.0,postpaid,0.382,0.0,0.0,15.0,0.0,17.7,362.081,"",'132724316443891891503,2026-04-23,11076964263,322bfeb9-2e07-464c-909c-33c989d4409d,"",Forward,100022235392,100022235392,11504,381.9,5.0,1104.0,0.0,1104.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,495.0
NFT-/XUTR/DEUTH02611332105X,58.95,0.0,0.0,2999.0,1238.0,306.776,5.895,0.0,0.0,postpaid,1.179,91.0,0.0,0.0,0.0,107.38,-1031.53,"",'132745379847519226303,2026-04-23,11082133752,af7733b1-ef29-445c-99de-c9c166713ab8,100151376340,Reverse,100027404818,100027404818,11504,1179.05,5.0,1590.0,0.0,1590.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1409.0
NFT-/XUTR/DEUTH02611332105X,19.1,0.0,0.0,1599.0,401.0,18.927,1.91,0.0,0.0,postpaid,0.382,0.0,0.0,15.0,0.0,17.7,362.081,"",'132717227437285692703,2026-04-23,11075463708,0f0f2ed7-c4c9-4a9b-83d6-c17cd0e3fd5f,"",Forward,100020734843,100020734843,11504,381.9,5.0,1104.0,0.0,1104.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,495.0
NFT-/XUTR/DEUTH02611332105X,40.29,0.0,0.0,2750.0,846.0,219.622,4.029,0.0,0.0,postpaid,0.806,0.0,0.0,27.0,0.0,31.86,589.683,"",'132711779509068054903,2026-04-23,11074443718,64462492-ce78-4cef-b784-6ebb5baf88ca,"",Forward,100019714856,100019714856,11504,805.71,5.0,1733.0,0.0,1733.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1017.0
NFT-/XUTR/DEUTH02611332105X,63.24,0.0,0.0,2999.0,1328.0,329.078,6.324,0.0,0.0,postpaid,1.265,91.0,0.0,0.0,0.0,107.38,-1098.713,"",'132745279619732524701,2026-04-23,11082102357,bcfe900d-cdad-4b41-be6d-7bfe7c730924,11082102357,Reverse,100027373423,100027373423,11504,1264.76,5.0,1500.0,0.0,1500.0,exchange,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1499.0
