NEFT_Ref,igst_amount,cgst_amount,sgst_amount,MRP,customer_paid_amt,Commission,IGST_TCS,CGST_TCS,SGST_TCS,Payment_Type,TDS,Shipping_Fee,pick_and_pack_fee,fixed_fee,Payment_Gateway_Fee,Logistics_Commission,Settled_Amount,NOD_Comment,Store_Order_id,Payment_Date,order_line_id,seller_order_id,return_id,Order_Type,order_release_id,Packet_Id,Seller_Id,taxable_amount,Tax_Rate,seller_discount,platform_discount,total_discount,comments,fwdAdditionalCharges,rvsAdditionalCharges,techEnablement,airLogistics,royaltyCharges,royaltyPercent,marketingCharges,marketingPercent,marketingContribution,commission_discount,sale_Total_Customer_Paid
NFT-/XUTR/DEUTH026138A1WHLX,23.14,0.0,0.0,1799.0,486.0,22.939,2.314,0.0,0.0,postpaid,0.463,0.0,0.0,27.0,0.0,31.86,428.424,"",'132953186332545191101,2026-05-18,11124264391,3a612c31-fa29-4498-a8bc-fe81b5af7f91,"",Forward,100069535195,1000020118451,11504,462.86,5.0,1219.0,0.0,1219.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,580.0
NFT-/XUTR/DEUTH026138A1WHLX,33.52,0.0,0.0,1699.0,704.0,182.758,3.352,0.0,0.0,postpaid,0.67,0.0,0.0,27.0,0.0,31.86,485.36,"",'132914027235482334501,2026-05-18,11116819062,bdd9dd56-1532-4460-bae0-e4477699e0a3,"",Forward,100062089935,100062089935,11504,670.48,5.0,901.0,0.0,901.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,798.0
NFT-/XUTR/DEUTH026138A1WHLX,21.91,0.0,0.0,1499.0,460.0,21.712,2.19,0.0,0.0,postpaid,0.438,127.0,0.0,0.0,0.0,149.86,-585.52,"",'132940946043132571501,2026-05-18,11121640572,4bebbdb7-e1e5-48df-99d9-69ea2062c14a,11121640572,Reverse,100066911385,100066911385,11504,438.1,5.0,945.0,0.0,945.0,exchange,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,554.01
NFT-/XUTR/DEUTH026138A1WHLX,79.91,0.0,0.0,3699.0,1678.0,376.208,7.99,0.0,0.0,postpaid,1.598,0.0,0.0,45.0,0.0,53.1,1239.104,"",'132934037792663356303,2026-05-18,11120511601,c07f0f5d-3dc7-4de5-8816-24538a468c3f,"",Forward,100065782424,100065782424,11504,1598.1,5.0,1850.0,0.0,1850.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1849.01
NFT-/XUTR/DEUTH026138A1WHLX,33.52,0.0,0.0,1699.0,29.0,7.529,0.138,0.0,0.0,postpaid,0.028,0.0,0.0,1.112,0.0,1.31216,19.993,"",'132925053301456168903,2026-05-18,11118935209,f46c5cf5-bba3-4723-80ba-c2f9a1200e2b,"",Forward,100064206044,100064206044,11504,670.48,5.0,901.0,29.0,930.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,798.0
NFT-/XUTR/DEUTH026138A1WHLX,0.0,16.29,16.29,2999.0,684.0,32.285,0.0,1.6285,1.6285,postpaid,0.651,0.0,0.0,27.0,0.0,31.86,615.947,"",'132945899420791050901,2026-05-18,11122788560,b1074293-d7a4-42d0-a585-bc84ad30237a,"",Forward,100068059369,100068059369,11504,651.42,5.0,2221.0,0.0,2221.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,777.9999999999999
NFT-/XUTR/DEUTH026138A1WHLX,17.67,0.0,0.0,1499.0,371.0,17.511,1.767,0.0,0.0,postpaid,0.353,0.0,0.0,0.0,0.0,0.0,351.369,"",'132953186332545191101,2026-05-18,11124264392,3a612c31-fa29-4498-a8bc-fe81b5af7f91,"",Forward,100069535196,1000020118451,11504,353.33,5.0,1069.0,0.0,1069.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,430.0
NFT-/XUTR/DEUTH026138A1WHLX,42.62,0.0,0.0,2999.0,895.0,232.342,4.262,0.0,0.0,postpaid,0.852,182.0,0.0,0.0,0.0,214.76,-872.304,"",'132934318462762175201,2026-05-18,11120570101,d43bd039-fc5f-41fd-a218-b97eb165d6e0,100157677410,Reverse,100065840924,100065840924,11504,852.38,5.0,2010.0,0.0,2010.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,989.0
NFT-/XUTR/DEUTH026138A1WHLX,63.24,0.0,0.0,2999.0,1328.0,329.078,6.324,0.0,0.0,postpaid,1.265,106.0,0.0,0.0,0.0,125.08,-1116.413,"",'132943901366990129601,2026-05-18,11122310543,341ba684-1711-492a-953a-2d89e4fb7df3,100157682911,Reverse,100067581352,1000020388293,11504,1264.76,5.0,1500.0,0.0,1500.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1499.0
NFT-/XUTR/DEUTH026138A1WHLX,27.19,0.0,0.0,1799.0,571.0,148.232,2.719,0.0,0.0,postpaid,0.544,0.0,0.0,27.0,0.0,31.86,387.645,"",'132901361346724294203,2026-05-18,11114532821,4d57b322-6eb6-4455-bd84-afa7ad19d895,"",Forward,100059803718,100059803718,11504,543.81,5.0,1134.0,0.0,1134.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,665.0
NFT-/XUTR/DEUTH026138A1WHLX,45.62,0.0,0.0,1699.0,957.9999999999999,248.697,4.562,0.0,0.0,postpaid,0.912,106.0,0.0,0.0,0.0,125.08,-828.909,"",'132936348105981654103,2026-05-18,11121055857,aa1aa585-104c-4d10-9ee3-9bb7c56de941,11121055857,Reverse,100066326679,100066326679,11504,912.38,5.0,570.0,0.0,570.0,exchange,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1129.0
NFT-/XUTR/DEUTH026138A1WHLX,42.62,0.0,0.0,2999.0,895.0,232.342,4.262,0.0,0.0,postpaid,0.852,0.0,0.0,27.0,0.0,31.86,625.684,"",'132934318462762175201,2026-05-18,11120570101,d43bd039-fc5f-41fd-a218-b97eb165d6e0,"",Forward,100065840924,100065840924,11504,852.38,5.0,2010.0,0.0,2010.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,989.0
NFT-/XUTR/DEUTH026138A1WHLX,85.14,0.0,0.0,2999.0,1788.0,443.066,8.514,0.0,0.0,postpaid,1.703,0.0,0.0,45.0,0.0,53.1,1281.617,"",'132931246178332260603,2026-05-18,11119892033,c0f495aa-03dd-41ea-abc6-813bab76a40b,"",Forward,100065162861,100065162861,11504,1702.86,5.0,1005.0,0.0,1005.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1994.0
NFT-/XUTR/DEUTH026138A1WHLX,42.91,0.0,0.0,2899.0,901.0,233.9,4.29,0.0,0.0,postpaid,0.858,0.0,0.0,27.0,0.0,31.86,630.092,"",'132900887996686870701,2026-05-18,11114409882,f278975c-c45e-4d86-bcae-faa04b405c65,"",Forward,100059680779,1000017518172,11504,858.1,5.0,1827.0,0.0,1827.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1072.01
NFT-/XUTR/DEUTH026138A1WHLX,19.1,0.0,0.0,1650.0,401.0,18.927,1.91,0.0,0.0,postpaid,0.382,0.0,0.0,15.0,0.0,17.7,362.081,"",'132940622885708232603,2026-05-18,11121559654,eb46e5e5-0a5c-45e7-9ebe-505a7beb0903,"",Forward,100066830467,100066830467,11504,381.9,5.0,1155.0,0.0,1155.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,495.0
NFT-/XUTR/DEUTH026138A1WHLX,33.52,0.0,0.0,1699.0,280.15999999999997,72.73,1.334,0.0,0.0,postpaid,0.267,50.54,0.0,0.0,0.0,59.6372,-265.466,"",'132928842557102516001,2026-05-18,11119739502,cabc27a4-3904-46f4-a190-3b057670949d,100158265504,Reverse,100065010332,100065010332,11504,670.48,5.0,901.0,0.0,901.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,798.0
NFT-/XUTR/DEUTH026138A1WHLX,42.43,0.0,0.0,3399.0,891.0,231.304,4.243,0.0,0.0,postpaid,0.849,0.0,0.0,27.0,0.0,31.86,622.744,"",'132935998246727954103,2026-05-18,11120956961,8658b7c8-57b4-4453-a781-e704f6e9a43b,"",Forward,100066227783,100066227783,11504,848.57,5.0,2414.0,0.0,2414.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,985.0
NFT-/XUTR/DEUTH026138A1WHLX,23.91,0.0,0.0,1699.0,502.0,35.542,2.39,0.0,0.0,postpaid,0.478,0.0,0.0,27.0,0.0,31.86,431.73,"",'132925393170472638503,2026-05-18,11119008495,67259f6c-6d17-4f53-9600-7ac49e5ce3d7,"",Forward,100064279329,1000019027164,11504,478.1,5.0,1103.0,0.0,1103.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,596.01
NFT-/XUTR/DEUTH026138A1WHLX,18.95,0.0,0.0,1699.0,398.0,18.786,1.895,0.0,0.0,postpaid,0.379,182.0,0.0,0.0,0.0,214.76,-591.7,"",'132922113598580745603,2026-05-18,11118296981,9fc545aa-bc30-45d3-a4a7-3be69d0866f3,100158305166,Reverse,100063567844,100063567844,11504,379.05,5.0,1207.0,0.0,1207.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,492.0
NFT-/XUTR/DEUTH026138A1WHLX,42.71,0.0,0.0,2250.0,897.0,232.861,4.271,0.0,0.0,postpaid,0.854,0.0,0.0,27.0,0.0,31.86,627.154,"",'132935163735490582601,2026-05-18,11120754314,e1216436-c595-4c39-8f88-df3b9a336ea4,"",Forward,100066025136,100066025136,11504,854.29,5.0,1182.0,0.0,1182.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1068.0
NFT-/XUTR/DEUTH026138A1WHLX,33.52,0.0,0.0,1699.0,152.02,39.464,0.724,0.0,0.0,postpaid,0.145,0.0,0.0,5.83,0.0,6.8794,104.808,"",'132940295421618054801,2026-05-18,11121484105,5808a210-6f96-473a-816c-a96168c3089a,"",Forward,100066754922,100066754922,11504,670.48,5.0,901.0,0.0,901.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,798.0
NFT-/XUTR/DEUTH026138A1WHLX,38.19,0.0,0.0,2299.0,378.125,98.161,1.801,0.0,0.0,postpaid,0.36,0.0,0.0,12.73,0.0,15.0214,262.782,"",'132935064922374603403,2026-05-18,11120731984,9ba62c72-a587-499e-aa6a-0807d01a0f76,"",Forward,100066002806,100066002806,11504,763.81,5.0,1403.0,0.0,1403.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,896.0
