NEFT_Ref,igst_amount,cgst_amount,sgst_amount,MRP,customer_paid_amt,Commission,IGST_TCS,CGST_TCS,SGST_TCS,Payment_Type,TDS,Shipping_Fee,pick_and_pack_fee,fixed_fee,Payment_Gateway_Fee,Logistics_Commission,Settled_Amount,NOD_Comment,Store_Order_id,Payment_Date,order_line_id,seller_order_id,return_id,Order_Type,order_release_id,Packet_Id,Seller_Id,taxable_amount,Tax_Rate,seller_discount,platform_discount,total_discount,comments,fwdAdditionalCharges,rvsAdditionalCharges,techEnablement,airLogistics,royaltyCharges,royaltyPercent,marketingCharges,marketingPercent,marketingContribution,commission_discount,sale_Total_Customer_Paid
NFT-/XUTR/DEUTH02617418585X,43.1,0.0,0.0,1999.0,905.0,234.938,4.31,0.0,0.0,postpaid,0.862,0.0,0.0,31.0,3.167,40.31706,624.573,"",'133237147772734501001,2026-06-23,11203102802,b03853f1-2562-42e0-998c-9e154dc12a44,"",Forward,100148373486,100148373486,11504,861.9,5.0,1000.0,0.0,1000.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,999.0
NFT-/XUTR/DEUTH02617418585X,19.1,0.0,0.0,1599.0,48.0,2.266,0.229,0.0,0.0,postpaid,0.046,21.786,0.0,0.0,0.0,25.70748,-71.166,"",'133236936700131722301,2026-06-23,11203022629,aad691cd-9e30-49ff-9f98-55892541b9a5,100171933653,Reverse,100148293313,100148293313,11504,381.9,5.0,1104.0,48.0,1152.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,495.0
NFT-/XUTR/DEUTH02617418585X,38.33,0.0,0.0,1999.0,805.0,208.978,3.833,0.0,0.0,postpaid,0.767,0.0,0.0,31.0,0.0,36.58,554.842,"",'133248978808719768601,2026-06-23,11206861370,ca813f8e-e6ef-4fd0-a013-de1fcd3ab76a,"",Forward,100152132053,1000042335959,11504,766.67,5.0,1100.0,0.0,1100.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,899.0
NFT-/XUTR/DEUTH02617418585X,16.57,0.0,0.0,1699.0,36.429,1.719,0.173,0.0,0.0,postpaid,0.035,0.0,0.0,0.314,0.0,0.37052,34.131,"",'133252483090667801701,2026-06-23,11207616702,8c5f60d4-3ad1-4365-bb7a-3f700b54c619,"",Forward,100152887385,100152887385,11504,331.43,5.0,1257.0,0.0,1257.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,442.0
NFT-/XUTR/DEUTH02617418585X,90.14,0.0,0.0,2999.0,1893.0,469.085,9.014,0.0,0.0,postpaid,1.803,0.0,0.0,49.0,3.597,62.06446,1351.034,"",'133213321740553990903,2026-06-23,11195617156,51d50845-2d7a-4e93-9201-ed1a25d6f893,"",Forward,100140887842,100140887842,11504,1802.86,5.0,900.0,121.0,1021.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,2099.0
NFT-/XUTR/DEUTH02617418585X,85.0,0.0,0.0,5999.0,1785.0,463.386,8.5,0.0,0.0,postpaid,1.7,0.0,0.0,49.0,0.0,57.82,1253.594,"",'133247011192097318601,2026-06-23,11206267484,1a1aa1ff-0c79-4f9f-a0d3-8e56668cdbf6,"",Forward,100151538167,100151538167,11504,1700,5.0,4020.0,0.0,4020.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1979.0
NFT-/XUTR/DEUTH02617418585X,49.71,0.0,0.0,2999.0,1044.0,258.703,4.971,0.0,0.0,postpaid,0.994,0.0,0.0,49.0,0.0,57.82,721.512,"",'133236246340592093301,2026-06-23,11202760965,9369e9a7-4d04-45e5-bf33-6e7ade52ad8c,"",Forward,100148031649,100148031649,11504,994.29,5.0,1784.0,0.0,1784.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1215.0
NFT-/XUTR/DEUTH02617418585X,42.43,0.0,0.0,3399.0,891.0,231.304,4.243,0.0,0.0,postpaid,0.849,0.0,0.0,31.0,3.297,40.47046,614.134,"",'133251572324378847201,2026-06-23,11207263856,8ed33356-89c5-4c4c-82ca-69b226fb248a,"",Forward,100152534539,100152534539,11504,848.57,5.0,2414.0,0.0,2414.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,985.0
NFT-/XUTR/DEUTH02617418585X,38.33,0.0,0.0,1999.0,805.0,208.978,3.833,0.0,0.0,postpaid,0.767,182.0,0.0,0.0,0.0,214.76,-806.182,"",'133248978808719768601,2026-06-23,11206861370,ca813f8e-e6ef-4fd0-a013-de1fcd3ab76a,11206861370,Reverse,100152132053,1000042335959,11504,766.67,5.0,1100.0,0.0,1100.0,exchange,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,899.0
NFT-/XUTR/DEUTH02617418585X,37.19,0.0,0.0,1750.0,636.24,165.168,3.03,0.0,0.0,postpaid,0.606,0.0,0.0,25.254,0.0,29.79972,437.636,"",'133259324957809647901,2026-06-23,11209563551,4d0a313b-d5d4-4f6e-8242-fc354fb5e0a3,"",Forward,100154834231,100154834231,11504,743.81,5.0,875.0,0.0,875.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,875.0
NFT-/XUTR/DEUTH02617418585X,46.0,0.0,0.0,2999.0,200.0,51.92,0.952,0.0,0.0,postpaid,0.19,0.0,0.0,6.418,1.68,9.55564,137.382,"",'133246879892779998603,2026-06-23,11206203946,3319693b-ad9a-477a-aefa-893e14daad05,"",Forward,100151474629,100151474629,11504,920,5.0,1862.0,200.0,2062.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1137.0
NFT-/XUTR/DEUTH02617418585X,28.91,0.0,0.0,1799.0,607.0,157.577,2.89,0.0,0.0,postpaid,0.578,106.0,0.0,0.0,0.0,125.08,-571.035,"",'133269539991172287501,2026-06-23,11213152465,6d2a7753-9c52-4ae8-8c25-708e29ce3bc0,100171771941,Reverse,100158423144,100158423144,11504,578.1,5.0,1098.0,0.0,1098.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,701.01
NFT-/XUTR/DEUTH02617418585X,38.33,0.0,0.0,1799.0,805.0,208.978,3.833,0.0,0.0,postpaid,0.767,0.0,0.0,31.0,0.0,36.58,554.842,"",'133244127597554796201,2026-06-23,11205121236,cb39abd5-819b-4d62-b366-16510aa69c11,"",Forward,100150391919,100150391919,11504,766.67,5.0,900.0,0.0,900.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,899.0
NFT-/XUTR/DEUTH02617418585X,27.86,0.0,0.0,1699.0,585.0,151.866,2.786,0.0,0.0,postpaid,0.557,0.0,0.0,31.0,5.148,42.65464,387.136,"",'133271845685485180703,2026-06-23,11214301415,4d61badf-002d-45bf-b451-62f4d77969ef,"",Forward,100159572095,1000044854115,11504,557.14,5.0,1020.0,0.0,1020.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,679.0
NFT-/XUTR/DEUTH02617418585X,43.05,0.0,0.0,2699.0,92.0,23.883,0.438,0.0,0.0,postpaid,0.088,18.522,0.0,0.0,0.0,21.85596,-89.447,"",'133247186038977796501,2026-06-23,11206358060,64ed41d6-93f3-4607-8d66-f292fe41069e,11206358060,Reverse,100151628743,1000042365292,11504,860.95,5.0,1701.0,92.0,1793.0,exchange,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,998.0
NFT-/XUTR/DEUTH02617418585X,63.33,0.0,0.0,3399.0,622.5799999999999,124.516,2.965,0.0,0.0,postpaid,0.593,85.195,0.0,0.0,0.0,100.5301,-595.036,"",'133251667007982028103,2026-06-23,11207298763,501f7619-731a-4aa6-88b0-a96e9c865677,100171271512,Reverse,100152569446,1000042359090,11504,1266.67,5.0,1898.0,0.0,1898.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1501.0
NFT-/XUTR/DEUTH02617418585X,42.62,0.0,0.0,2999.0,81.0,21.028,0.386,0.0,0.0,postpaid,0.077,0.0,0.0,2.806,0.0,3.31108,56.198,"",'133264325371378923403,2026-06-23,11211628530,db35bb98-968a-4dc7-912d-acf4a7c6c5cb,"",Forward,100156899210,100156899210,11504,852.38,5.0,2010.0,81.0,2091.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,989.0
