NEFT_Ref,igst_amount,cgst_amount,sgst_amount,MRP,customer_paid_amt,Commission,IGST_TCS,CGST_TCS,SGST_TCS,Payment_Type,TDS,Shipping_Fee,pick_and_pack_fee,fixed_fee,Payment_Gateway_Fee,Logistics_Commission,Settled_Amount,NOD_Comment,Store_Order_id,Payment_Date,order_line_id,seller_order_id,return_id,Order_Type,order_release_id,Packet_Id,Seller_Id,taxable_amount,Tax_Rate,seller_discount,platform_discount,total_discount,comments,fwdAdditionalCharges,rvsAdditionalCharges,techEnablement,airLogistics,royaltyCharges,royaltyPercent,marketingCharges,marketingPercent,marketingContribution,commission_discount,sale_Total_Customer_Paid
NFT-/XUTR/DEUTH026124A0H7YX,35.95,0.0,0.0,1699.0,755.0,195.998,3.595,0.0,0.0,postpaid,0.719,0.0,0.0,27.0,0.0,31.86,522.828,"",'132757551176388334303,2026-05-04,11084732359,9a4c0974-fc3e-4822-affe-78a28cf90309,"",Forward,100030003416,1000008419315,11504,719.05,5.0,850.0,0.0,850.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,849.0
NFT-/XUTR/DEUTH026124A0H7YX,75.19,0.0,0.0,1750.0,1579.0,372.644,7.519,0.0,0.0,postpaid,1.504,0.0,0.0,45.0,0.0,53.1,1144.233,"",'132826966887529233703,2026-05-04,11100254394,74e2ce60-c605-402d-b4e6-f02b9db34d35,"",Forward,100045525427,100045525427,11504,1503.81,5.0,0.0,0.0,0.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1750.0
NFT-/XUTR/DEUTH026124A0H7YX,34.29,0.0,0.0,2200.0,361.005,17.039,1.719,0.0,0.0,postpaid,0.344,0.0,0.0,13.538,0.0,15.97484,325.928,"",'132827540067173315103,2026-05-04,11100336863,7f50d90b-a36c-4119-b1c5-2cfea340ef63,"",Forward,100045607896,100045607896,11504,685.71,5.0,1386.0,0.0,1386.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,814.01
NFT-/XUTR/DEUTH026124A0H7YX,71.86,0.0,0.0,4499.0,1509.0,373.93,7.186,0.0,0.0,postpaid,1.437,0.0,0.0,45.0,0.0,53.1,1073.347,"",'132801192110888141303,2026-05-04,11094711677,4d5955d9-3b7f-46ed-b629-7d35c8899dd6,"",Forward,100039982719,100039982719,11504,1437.14,5.0,2760.0,0.0,2760.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1739.0
NFT-/XUTR/DEUTH026124A0H7YX,33.52,0.0,0.0,1699.0,704.0,182.758,3.352,0.0,0.0,postpaid,0.67,127.0,0.0,0.0,0.0,149.86,-667.08,"",'132810207917359397403,2026-05-04,11096733464,5805ca66-1c22-4ae7-b7ce-eab18d001077,11096733464,Reverse,100042004505,100042004505,11504,670.48,5.0,901.0,0.0,901.0,exchange,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,798.0
NFT-/XUTR/DEUTH026124A0H7YX,43.24,0.0,0.0,2699.0,908.0,235.717,4.324,0.0,0.0,postpaid,0.865,182.0,0.0,0.0,0.0,214.76,-881.854,"",'132810065018048669003,2026-05-04,11096710133,5b7fdcca-4052-4a34-84f6-6ec4e670ac2a,100156243578,Reverse,100041981174,100041981174,11504,864.76,5.0,1620.0,0.0,1620.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1079.0
NFT-/XUTR/DEUTH026124A0H7YX,63.24,0.0,0.0,2999.0,168.449,41.742,0.802,0.0,0.0,postpaid,0.16,0.0,0.0,5.708,0.0,6.73544,119.01,"",'132806926422568577501,2026-05-04,11096401273,7e2a3efc-8771-4001-8b61-af1d6708979a,"",Forward,100041672314,100041672314,11504,1264.76,5.0,1500.0,0.0,1500.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1498.99
NFT-/XUTR/DEUTH026124A0H7YX,60.86,0.0,0.0,2899.0,1278.0,316.688,6.086,0.0,0.0,postpaid,1.217,0.0,0.0,45.0,0.0,53.1,900.909,"",'132788597629741241403,2026-05-04,11092011113,fbcdc197-f759-4244-9cb4-5f564294c4d3,"",Forward,100037282158,100037282158,11504,1217.14,5.0,1450.0,0.0,1450.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1449.0
NFT-/XUTR/DEUTH026124A0H7YX,37.19,0.0,0.0,1750.0,781.0,202.748,3.719,0.0,0.0,postpaid,0.744,167.0,0.0,0.0,0.0,197.06,-770.849,"",'132774339067872542003,2026-05-04,11088556603,8469de55-3124-4450-8c67-21454d028b19,100154828337,Reverse,100033827656,100033827656,11504,743.81,5.0,875.0,0.0,875.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,875.0
NFT-/XUTR/DEUTH026124A0H7YX,38.33,0.0,0.0,1799.0,657.52,170.692,3.131,0.0,0.0,postpaid,0.626,0.0,0.0,22.053,0.0,26.02254,457.048,"",'132810299564990453003,2026-05-04,11096750018,2043b4a3-5300-46e0-854e-9380834e51b0,"",Forward,100042021059,1000012045410,11504,766.67,5.0,900.0,0.0,900.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,899.0
