NEFT_Ref,igst_amount,cgst_amount,sgst_amount,MRP,customer_paid_amt,Commission,IGST_TCS,CGST_TCS,SGST_TCS,Payment_Type,TDS,Shipping_Fee,pick_and_pack_fee,fixed_fee,Payment_Gateway_Fee,Logistics_Commission,Settled_Amount,NOD_Comment,Store_Order_id,Payment_Date,order_line_id,seller_order_id,return_id,Order_Type,order_release_id,Packet_Id,Seller_Id,taxable_amount,Tax_Rate,seller_discount,platform_discount,total_discount,comments,fwdAdditionalCharges,rvsAdditionalCharges,techEnablement,airLogistics,royaltyCharges,royaltyPercent,marketingCharges,marketingPercent,marketingContribution,commission_discount,sale_Total_Customer_Paid
NFT-/XUTR/DEUTH02612724573X,32.57,0.0,0.0,2999.0,684.0,32.285,3.257,0.0,0.0,postpaid,0.651,0.0,0.0,27.0,0.0,31.86,615.947,"",'132837087464961788903,2026-05-07,11102334903,e11986b4-e238-4acf-96a1-ae5d9bb06105,"",Forward,100047605930,100047605930,11504,651.43,5.0,2221.0,0.0,2221.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,778.0
NFT-/XUTR/DEUTH02612724573X,48.71,0.0,0.0,3399.0,1023.0,253.499,4.871,0.0,0.0,postpaid,0.974,0.0,0.0,45.0,0.0,53.1,710.556,"",'132831144318653285001,2026-05-07,11101255656,cf3bbff3-f0e2-415e-99d7-41bf5042f7ff,"",Forward,100046526683,100046526683,11504,974.29,5.0,2205.0,0.0,2205.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1194.0
NFT-/XUTR/DEUTH02612724573X,26.86,0.0,0.0,2199.0,564.0,26.621,2.686,0.0,0.0,postpaid,0.537,182.0,0.0,0.0,0.0,214.76,-748.916,"",'132837593213178304203,2026-05-07,11102496405,4c97c029-3760-4002-9aea-8b9497055730,100155026992,Reverse,100047767432,1000014213207,11504,537.14,5.0,1541.0,0.0,1541.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,658.0
NFT-/XUTR/DEUTH02612724573X,37.19,0.0,0.0,1750.0,781.0,202.748,3.719,0.0,0.0,postpaid,0.744,0.0,0.0,27.0,0.0,31.86,541.929,"",'132853388167801841601,2026-05-07,11105815780,079e829e-f1db-4d3a-822b-73d039286a58,"",Forward,100051086764,100051086764,11504,743.81,5.0,875.0,0.0,875.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,875.0
NFT-/XUTR/DEUTH02612724573X,18.95,0.0,0.0,1699.0,398.0,18.786,1.895,0.0,0.0,postpaid,0.379,0.0,0.0,0.0,0.0,0.0,376.94,"",'132862336697467411503,2026-05-07,11107313776,258273c1-09a4-46fa-b679-dc1c525758bb,"",Forward,100052584755,100052584755,11504,379.05,5.0,1207.0,0.0,1207.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,492.0
NFT-/XUTR/DEUTH02612724573X,34.05,0.0,0.0,2999.0,680.1800000000001,32.104,3.239,0.0,0.0,postpaid,0.648,120.815,0.0,0.0,0.0,142.5617,-786.751,"",'132862526451904487203,2026-05-07,11107351193,c68cce08-b39b-4811-a05c-1a20113e73f8,100154460304,Reverse,100052622170,100052622170,11504,680.95,5.0,2190.0,0.0,2190.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,809.01
NFT-/XUTR/DEUTH02612724573X,37.19,0.0,0.0,1750.0,781.0,202.748,3.719,0.0,0.0,postpaid,0.744,0.0,0.0,27.0,0.0,31.86,541.929,"",'132858076828038740703,2026-05-07,11106803748,90222178-745f-4802-8fd3-932ef35ba5b3,"",Forward,100052074728,100052074728,11504,743.81,5.0,875.0,0.0,875.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,875.0
NFT-/XUTR/DEUTH02612724573X,41.38,0.0,0.0,1899.0,344.394,89.405,1.64,0.0,0.0,postpaid,0.328,72.129,0.0,0.0,0.0,85.11222,-338.133,"",'132841566727091031603,2026-05-07,11103616712,f7bd71c4-c3e3-485c-9d33-2b4ad1a32d10,100154375566,Reverse,100048887721,100048887721,11504,827.62,5.0,936.0,0.0,936.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,963.01
NFT-/XUTR/DEUTH02612724573X,34.05,0.0,0.0,2999.0,680.18,32.104,3.239,0.0,0.0,postpaid,0.648,0.0,0.0,25.685,0.0,30.3083,613.881,"",'132862526451904487203,2026-05-07,11107351193,c68cce08-b39b-4811-a05c-1a20113e73f8,"",Forward,100052622170,100052622170,11504,680.95,5.0,2190.0,0.0,2190.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,809.01
NFT-/XUTR/DEUTH02612724573X,63.29,0.0,0.0,2999.0,1329.0,329.326,6.329,0.0,0.0,postpaid,1.266,0.0,0.0,45.0,0.0,53.1,938.979,"",'132846682519288851701,2026-05-07,11104444204,bbb74ea5-ea56-4e44-938b-a1d39376e9f3,"",Forward,100049715204,100049715204,11504,1265.71,5.0,1499.0,0.0,1499.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1500.0
NFT-/XUTR/DEUTH02612724573X,59.71,0.0,0.0,2999.0,1254.0,310.741,5.971,0.0,0.0,postpaid,1.194,182.0,0.0,0.0,0.0,214.76,-1150.854,"",'132841478960803912403,2026-05-07,11103589279,16fe8f9f-2876-4267-a404-5a47cbcf757e,100154487888,Reverse,100048860288,100048860288,11504,1194.29,5.0,1574.0,0.0,1574.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1425.0
NFT-/XUTR/DEUTH02612724573X,41.38,0.0,0.0,1899.0,869.0,225.592,4.138,0.0,0.0,postpaid,0.828,0.0,0.0,27.0,0.0,31.86,606.582,"",'132840634263295459503,2026-05-07,11103329364,6077f6ac-ff11-4472-bdde-c693d5543674,"",Forward,100048600373,100048600373,11504,827.62,5.0,936.0,0.0,936.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,963.0
NFT-/XUTR/DEUTH02612724573X,64.38,0.0,0.0,2999.0,1352.0,335.026,6.438,0.0,0.0,postpaid,1.288,182.0,0.0,0.0,0.0,214.76,-1224.008,"",'132840036986920841603,2026-05-07,11103171692,5e6e8a3c-006f-49f9-a413-d37481d4d707,100156001212,Reverse,100048442701,100048442701,11504,1287.62,5.0,1476.0,0.0,1476.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1523.0
NFT-/XUTR/DEUTH02612724573X,31.62,0.0,0.0,1699.0,664.0,172.374,3.162,0.0,0.0,postpaid,0.632,127.0,0.0,0.0,0.0,149.86,-637.692,"",'132855351925419750301,2026-05-07,11106220309,d0c70650-8fb6-4905-bd61-658b9aa4758f,100154315898,Reverse,100051491290,1000015284585,11504,632.38,5.0,941.0,0.0,941.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,758.0
NFT-/XUTR/DEUTH02612724573X,25.57,0.0,0.0,1699.0,537.0,38.02,2.557,0.0,0.0,postpaid,0.511,0.0,0.0,27.0,0.0,31.86,464.052,"",'132839474674945959203,2026-05-07,11103031031,acb577b4-73d8-40ff-a94d-c7af8c883478,"",Forward,100048302041,1000014251173,11504,511.43,5.0,1068.0,0.0,1068.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,631.0
