NEFT_Ref,igst_amount,cgst_amount,sgst_amount,MRP,customer_paid_amt,Commission,IGST_TCS,CGST_TCS,SGST_TCS,Payment_Type,TDS,Shipping_Fee,pick_and_pack_fee,fixed_fee,Payment_Gateway_Fee,Logistics_Commission,Settled_Amount,NOD_Comment,Store_Order_id,Payment_Date,order_line_id,seller_order_id,return_id,Order_Type,order_release_id,Packet_Id,Seller_Id,taxable_amount,Tax_Rate,seller_discount,platform_discount,total_discount,comments,fwdAdditionalCharges,rvsAdditionalCharges,techEnablement,airLogistics,royaltyCharges,royaltyPercent,marketingCharges,marketingPercent,marketingContribution,commission_discount,sale_Total_Customer_Paid
NFT-/XUTR/DEUTH02609889170X,87.05,0.0,0.0,1999.0,133.14000000000001,31.421000000000003,0.634,0.0,0.0,postpaid,0.127,12.163,0.0,0.0,0.0,14.35234,-115.31,"",'132590896599269155901,2026-04-08,11051807246,3b8a0449-01c1-4b65-8f05-a5a0a70d72d8,11051807246,Reverse,9051528060,9051528060,11504,1740.95,5.0,0.0,0.0,0.0,exchange,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1999.0
NFT-/XUTR/DEUTH02609889170X,50.57,0.0,0.0,2999.0,1062.0,263.164,5.057,0.0,0.0,postpaid,1.011,0.0,0.0,45.0,0.0,53.1,739.668,"",'132590420964041505003,2026-04-08,11051702755,2340b326-d5af-4bd0-bf3e-fd2ff97559b0,"",Forward,9051423570,9874070637,11504,1011.43,5.0,1766.0,0.0,1766.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1233.0
NFT-/XUTR/DEUTH02609889170X,75.48,0.0,0.0,1999.0,1585.0,374.06,7.548,0.0,0.0,postpaid,1.51,112.0,0.0,0.0,0.0,132.16,-1334.042,"",'132605898923570013501,2026-04-08,11054276549,662d32e0-a3e7-4285-afbb-ea65cae70a4f,11054276549,Reverse,9053997257,9053997257,11504,1509.52,5.0,243.0,0.0,243.0,exchange,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1756.0
NFT-/XUTR/DEUTH02609889170X,35.14,0.0,0.0,1799.0,738.0,191.585,3.514,0.0,0.0,postpaid,0.703,0.0,0.0,27.0,0.0,31.86,510.338,"",'132607308942074871401,2026-04-08,11054646713,6a5f5296-0820-40d9-93a3-9f5188693c5d,"",Forward,9054367412,9874654752,11504,702.86,5.0,967.0,0.0,967.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,832.0
NFT-/XUTR/DEUTH02609889170X,18.81,0.0,0.0,1799.0,395.0,18.644,1.881,0.0,0.0,postpaid,0.376,0.0,0.0,0.0,0.0,0.0,374.099,"",'132612577920127010003,2026-04-08,11055364674,35b4130f-bc6c-4606-9aa1-c10ae493bdb3,"",Forward,9055085357,9055085357,11504,376.19,5.0,1310.0,0.0,1310.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,489.0
NFT-/XUTR/DEUTH02609889170X,32.48,0.0,0.0,1699.0,682.0,177.047,3.248,0.0,0.0,postpaid,0.65,167.0,0.0,0.0,0.0,197.06,-698.115,"",'132593641618662021501,2026-04-08,11051980834,63d868ab-f4f1-4d30-b175-760514669bc2,100144484693,Reverse,9051701647,9051701647,11504,649.52,5.0,923.0,0.0,923.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,776.0
NFT-/XUTR/DEUTH02609889170X,74.1,0.0,0.0,3399.0,1458.691,361.464,6.946,0.0,0.0,postpaid,1.389,85.309,0.0,0.0,0.0,100.66462,-1189.557,"",'132616219923324951301,2026-04-08,11056147288,6ceb676e-29d5-4a34-820e-ca4f56e90d25,11056147288,Reverse,100000106264,100000106264,11504,1481.9,5.0,1672.0,0.0,1672.0,exchange,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1726.99
NFT-/XUTR/DEUTH02609889170X,51.81,0.0,0.0,1799.0,1088.0,256.768,5.181,0.0,0.0,postpaid,1.036,0.0,0.0,45.0,0.0,53.1,771.915,"",'132607308942074871401,2026-04-08,11054646710,6a5f5296-0820-40d9-93a3-9f5188693c5d,"",Forward,9054367409,9874654752,11504,1036.19,5.0,540.0,0.0,540.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1259.0
NFT-/XUTR/DEUTH02609889170X,70.38,0.0,0.0,3299.0,1419.05,351.641,6.757,0.0,0.0,postpaid,1.351,0.0,0.0,43.205,0.0,50.9819,1008.319,"",'132582125165314853701,2026-04-08,11050444659,0aacef3d-9f2c-4cae-b4a4-2dcfab5b348a,"",Forward,9050165485,9050165485,11504,1407.62,5.0,1650.0,0.0,1650.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1649.0
NFT-/XUTR/DEUTH02609889170X,36.81,0.0,0.0,2899.0,773.0,36.486,3.681,0.0,0.0,postpaid,0.736,0.0,0.0,27.0,0.0,31.86,700.237,"",'132619792530079558101,2026-04-08,11056526677,5c20e3c7-41ea-4e71-aaf1-74ae295df79b,"",Forward,100000485651,1000000072827,11504,736.19,5.0,2032.0,0.0,2032.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,867.0
