NEFT_Ref,igst_amount,cgst_amount,sgst_amount,MRP,customer_paid_amt,Commission,IGST_TCS,CGST_TCS,SGST_TCS,Payment_Type,TDS,Shipping_Fee,pick_and_pack_fee,fixed_fee,Payment_Gateway_Fee,Logistics_Commission,Settled_Amount,NOD_Comment,Store_Order_id,Payment_Date,order_line_id,seller_order_id,return_id,Order_Type,order_release_id,Packet_Id,Seller_Id,taxable_amount,Tax_Rate,seller_discount,platform_discount,total_discount,comments,fwdAdditionalCharges,rvsAdditionalCharges,techEnablement,airLogistics,royaltyCharges,royaltyPercent,marketingCharges,marketingPercent,marketingContribution,commission_discount,sale_Total_Customer_Paid
NFT-/XUTR/DEUTH026145A0LEHX,63.19,0.0,0.0,2999.0,24.0,5.947,0.114,0.0,0.0,postpaid,0.023,0.0,0.0,0.814,0.0,0.96052,16.955,"",'132951972379290209803,2026-05-25,11123948584,9d62ffa6-f3d2-4274-9c95-8b52178ab9c4,"",Forward,100069219389,1000020941138,11504,1263.81,5.0,1501.0,24.0,1525.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1498.0
NFT-/XUTR/DEUTH026145A0LEHX,48.48,0.0,0.0,1699.0,1018.0,240.248,4.848,0.0,0.0,postpaid,0.97,182.0,0.0,0.0,0.0,214.76,-986.694,"",'132952467140021802603,2026-05-25,11124072208,61641377-48cb-477b-827d-3c2829d12473,100159086752,Reverse,100069343013,1000020928992,11504,969.52,5.0,510.0,0.0,510.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1189.0
NFT-/XUTR/DEUTH026145A0LEHX,34.33,0.0,0.0,2999.0,721.0,34.031,3.433,0.0,0.0,postpaid,0.687,0.0,0.0,27.0,0.0,31.86,650.989,"",'132967515794274222401,2026-05-25,11127062804,4ecfd056-ec79-499d-b793-5e99a2286c2c,"",Forward,100072333598,100072333598,11504,686.67,5.0,2184.0,0.0,2184.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,815.0
NFT-/XUTR/DEUTH026145A0LEHX,9.9,0.0,0.0,399.0,15.0,2.301,0.073,0.0,0.0,postpaid,0.015,0.0,0.0,1.191,0.0,1.40538,11.206,"",'132996692225957159103,2026-05-25,11132660581,c661b26d-215f-4f63-b6db-eb0c039547fd,"",Forward,100077931370,1000023006927,11504,330.1,3.0,0.0,15.0,15.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,399.0
NFT-/XUTR/DEUTH026145A0LEHX,0.0,17.98,17.98,1699.0,755.0,195.998,0.0,1.7975,1.7975,postpaid,0.719,0.0,0.0,27.0,0.0,31.86,522.828,"",'133005730611450162401,2026-05-25,11134575084,e3560249-7cfb-474a-a570-36b195c5550e,"",Forward,100079845873,100079845873,11504,719.04,5.0,850.0,213.0,1063.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,849.0
NFT-/XUTR/DEUTH026145A0LEHX,18.38,0.0,0.0,1699.0,386.0,18.219,1.838,0.0,0.0,postpaid,0.368,0.0,0.0,0.0,0.0,0.0,365.575,"",'132962498657781129903,2026-05-25,11126269899,c93098bf-cc21-46a9-885d-04a8c0c68b5d,"",Forward,100071540699,1000020737110,11504,367.62,5.0,1254.0,0.0,1254.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,445.0
NFT-/XUTR/DEUTH026145A0LEHX,63.24,0.0,0.0,2999.0,721.205,178.715,3.434,0.0,0.0,postpaid,0.687,0.0,0.0,24.438,0.0,28.83684,509.532,"",'132952744082343226801,2026-05-25,11124143281,e487e89a-d1b7-4eea-b3c4-cec26e0d0c4e,"",Forward,100069414085,100069414085,11504,1264.76,5.0,1500.0,0.0,1500.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1499.0
NFT-/XUTR/DEUTH026145A0LEHX,51.81,0.0,0.0,1799.0,1088.0,256.768,5.181,0.0,0.0,postpaid,1.036,0.0,0.0,45.0,0.0,53.1,771.915,"",'133003954070930527603,2026-05-25,11134061086,259e205e-116a-458b-86ee-797af901fd16,"",Forward,100079331875,100079331875,11504,1036.19,5.0,540.0,0.0,540.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1259.0
NFT-/XUTR/DEUTH026145A0LEHX,34.86,0.0,0.0,1650.0,732.0,190.027,3.486,0.0,0.0,postpaid,0.697,0.0,0.0,27.0,0.0,31.86,505.93,"",'133004408042747154603,2026-05-25,11134177129,a027dd09-7911-4eaa-9772-6d50fc82e93e,"",Forward,100079447918,100079447918,11504,697.14,5.0,824.0,0.0,824.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,826.0
NFT-/XUTR/DEUTH026145A0LEHX,34.33,0.0,0.0,2999.0,721.0,34.031,3.433,0.0,0.0,postpaid,0.687,0.0,0.0,27.0,0.0,31.86,650.989,"",'132952033320049526803,2026-05-25,11123964140,3c1627a2-5556-40eb-ad98-bbeba474e683,"",Forward,100069234945,100069234945,11504,686.67,5.0,2184.0,0.0,2184.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,815.0
