NEFT_Ref,igst_amount,cgst_amount,sgst_amount,MRP,customer_paid_amt,Commission,IGST_TCS,CGST_TCS,SGST_TCS,Payment_Type,TDS,Shipping_Fee,pick_and_pack_fee,fixed_fee,Payment_Gateway_Fee,Logistics_Commission,Settled_Amount,NOD_Comment,Store_Order_id,Payment_Date,order_line_id,seller_order_id,return_id,Order_Type,order_release_id,Packet_Id,Seller_Id,taxable_amount,Tax_Rate,seller_discount,platform_discount,total_discount,comments,fwdAdditionalCharges,rvsAdditionalCharges,techEnablement,airLogistics,royaltyCharges,royaltyPercent,marketingCharges,marketingPercent,marketingContribution,commission_discount,sale_Total_Customer_Paid
NFT-/XUTR/DEUTH02613224943X,100.95,0.0,0.0,3499.0,2120.0,500.31999999999994,10.095,0.0,0.0,postpaid,2.019,0.0,0.0,61.0,0.0,71.98,1535.586,"",'132908491636106982703,2026-05-12,11115889369,c6dde1b5-fedf-4bc2-91d1-859678fc66b2,"",Forward,100061160244,100061160244,11504,2019.05,5.0,1173.0,0.0,1173.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,2326.0
NFT-/XUTR/DEUTH02613224943X,25.43,0.0,0.0,1699.0,534.0,138.626,2.543,0.0,0.0,postpaid,0.509,106.0,0.0,0.0,0.0,125.08,-517.402,"",'132898752561677911803,2026-05-12,11113881640,10617e4d-c601-4c68-a6c2-3fe4e32534b5,100155853556,Reverse,100059152547,100059152547,11504,508.57,5.0,1071.0,0.0,1071.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,628.0
NFT-/XUTR/DEUTH02613224943X,40.81,0.0,0.0,2799.0,39.0,10.124,0.186,0.0,0.0,postpaid,0.037,4.824,0.0,0.0,0.0,5.69232,-34.345,"",'132909593173795995803,2026-05-12,11116182652,90d7fd65-39d8-4299-a866-712014d53870,100158779994,Reverse,100061453527,100061453527,11504,816.19,5.0,1848.0,39.0,1887.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,951.01
NFT-/XUTR/DEUTH02613224943X,48.81,0.0,0.0,1799.0,378.986,89.441,1.805,0.0,0.0,postpaid,0.361,46.957,0.0,0.0,0.0,55.40926,-342.788,"",'132900042591352020703,2026-05-12,11114210001,8e584d57-88e8-4847-bdc5-f5e402ab4d73,100156362257,Reverse,100059480898,100059480898,11504,976.19,5.0,603.0,0.0,603.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1195.97
NFT-/XUTR/DEUTH02613224943X,0.0,12.29,12.29,1650.0,516.0,133.954,0.0,1.2285,1.2285,postpaid,0.491,0.0,0.0,27.0,0.0,31.86,347.238,"",'132892970484551899601,2026-05-12,11112924358,475b9caa-9c44-41bf-8c67-69401d6af7fb,"",Forward,100058195283,100058195283,11504,491.42,5.0,1040.0,0.0,1040.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,610.0
NFT-/XUTR/DEUTH02613224943X,48.81,0.0,0.0,1799.0,378.986,89.441,1.805,0.0,0.0,postpaid,0.361,0.0,0.0,16.638,0.0,19.63284,267.746,"",'132900042591352020703,2026-05-12,11114210001,8e584d57-88e8-4847-bdc5-f5e402ab4d73,"",Forward,100059480898,100059480898,11504,976.19,5.0,603.0,0.0,603.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1195.97
NFT-/XUTR/DEUTH02613224943X,42.52,0.0,0.0,2599.0,659.977,171.33,3.143,0.0,0.0,postpaid,0.629,93.86,0.0,0.0,0.0,110.7548,-595.63,"",'132902472622218379601,2026-05-12,11114820529,4d2250d3-6e3e-4aa0-b813-b5822b706c5c,11114820529,Reverse,100060091425,100060091425,11504,850.48,5.0,1612.0,0.0,1612.0,exchange,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,987.01
NFT-/XUTR/DEUTH02613224943X,63.24,0.0,0.0,2999.0,575.02,142.49,2.738,0.0,0.0,postpaid,0.548,0.0,0.0,19.485,0.0,22.9923,406.252,"",'132890677638560987803,2026-05-12,11112388391,8bbb61af-1cc2-46b8-9df4-ff363fbc005d,"",Forward,100057659326,100057659326,11504,1264.76,5.0,1500.0,0.0,1500.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1499.0
NFT-/XUTR/DEUTH02613224943X,60.86,0.0,0.0,2899.0,1278.0,316.688,6.086,0.0,0.0,postpaid,1.217,0.0,0.0,45.0,0.0,53.1,900.909,"",'132891703805863506503,2026-05-12,11112614695,1bda2d9e-583a-483a-9516-9e64214d301f,"",Forward,100057885620,100057885620,11504,1217.14,5.0,1450.0,0.0,1450.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1449.0
NFT-/XUTR/DEUTH02613224943X,70.38,0.0,0.0,3299.0,1478.0,366.248,7.038,0.0,0.0,postpaid,1.408,0.0,0.0,45.0,0.0,53.1,1050.206,"",'132906109467389204101,2026-05-12,11115202639,43f6e6ff-2491-4ca2-8ca7-a58d590713a4,"",Forward,100060473528,100060473528,11504,1407.62,5.0,1650.0,0.0,1650.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1649.0
