NEFT_Ref,igst_amount,cgst_amount,sgst_amount,MRP,customer_paid_amt,Commission,IGST_TCS,CGST_TCS,SGST_TCS,Payment_Type,TDS,Shipping_Fee,pick_and_pack_fee,fixed_fee,Payment_Gateway_Fee,Logistics_Commission,Settled_Amount,NOD_Comment,Store_Order_id,Payment_Date,order_line_id,seller_order_id,return_id,Order_Type,order_release_id,Packet_Id,Seller_Id,taxable_amount,Tax_Rate,seller_discount,platform_discount,total_discount,comments,fwdAdditionalCharges,rvsAdditionalCharges,techEnablement,airLogistics,royaltyCharges,royaltyPercent,marketingCharges,marketingPercent,marketingContribution,commission_discount,sale_Total_Customer_Paid
NFT-/XUTR/DEUTH026166A1IKFX,40.71,0.0,0.0,2499.0,25.0,6.49,0.119,0.0,0.0,postpaid,0.024,0.0,0.0,0.906,0.205,1.31098,17.056,"",'133178793984409262803,2026-06-15,11177137251,ce1feeb9-d73f-438f-9fcd-49f88abad67e,"",Forward,100122407939,100122407939,11504,814.29,5.0,1550.0,25.0,1575.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,949.0
NFT-/XUTR/DEUTH026166A1IKFX,29.05,0.0,0.0,1699.0,20.0,5.192,0.095,0.0,0.0,postpaid,0.019,3.475,0.0,0.0,0.0,4.1005,-18.795,"",'133185670231508481401,2026-06-15,11180777598,def1941f-e518-4f5e-a976-b0c5b1ec8e25,100166241911,Reverse,100126048286,1000034874558,11504,580.95,5.0,995.0,20.0,1015.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,704.0
NFT-/XUTR/DEUTH026166A1IKFX,87.05,0.0,0.0,3999.0,52.0,12.885,0.248,0.0,0.0,postpaid,0.05,0.0,0.0,1.394,0.0,1.64492,37.172,"",'133184149761031766203,2026-06-15,11180035829,d099c5aa-32ff-4075-ae2c-f03cebe3b1d5,"",Forward,100125306517,100125306517,11504,1740.95,5.0,2000.0,52.0,2052.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1999.0
NFT-/XUTR/DEUTH026166A1IKFX,49.81,0.0,0.0,2999.0,403.34,99.948,1.921,0.0,0.0,postpaid,0.384,0.0,0.0,17.352,0.0,20.47536,280.612,"",'133169009249067376501,2026-06-15,11174991540,0959ddd1-5f7c-47d1-bac8-4734a0204b41,"",Forward,100120262229,100120262229,11504,996.19,5.0,1782.0,0.0,1782.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1217.0
NFT-/XUTR/DEUTH026166A1IKFX,0.0,16.79,16.79,1599.0,9.0,2.336,0.0,0.0215,0.0215,postpaid,0.009,0.0,0.0,0.396,0.0,0.46728,6.145,"",'133179085821547697303,2026-06-15,11177519080,020003de-7060-4ea7-ba69-6459660d2e17,"",Forward,100122789768,100122789768,11504,671.42,5.0,800.0,9.0,809.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,798.9999999999999
NFT-/XUTR/DEUTH026166A1IKFX,25.81,0.0,0.0,1699.0,542.0,38.374,2.581,0.0,0.0,postpaid,0.516,0.0,0.0,27.0,3.957,36.52926,464.0,"",'133164380079024970401,2026-06-15,11172366912,ae05c18b-a5ce-40f1-8d37-c6c572557aad,"",Forward,100117637601,100117637601,11504,516.19,5.0,1063.0,0.0,1063.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,636.0
NFT-/XUTR/DEUTH026166A1IKFX,53.71,0.0,0.0,2599.0,1128.0,279.518,5.371,0.0,0.0,postpaid,1.074,0.0,0.0,49.0,5.753,64.60854,777.428,"",'133192668923118387903,2026-06-15,11185077083,9eda086f-1664-4914-8c1d-7cd8e68be951,"",Forward,100130347771,100130347771,11504,1074.29,5.0,1300.0,0.0,1300.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1299.0
NFT-/XUTR/DEUTH026166A1IKFX,0.0,31.64,31.64,2999.0,194.77,48.264,0.0,0.4635,0.4635,postpaid,0.185,15.535,0.0,0.0,0.0,18.3313,-163.725,"",'133187266702219621703,2026-06-15,11181953799,4a8efcd7-1205-4a6e-8c75-a7cb62d2579e,100166700664,Reverse,100127224487,1000036405919,11504,1265.72,5.0,1499.0,0.0,1499.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1500.0000000000002
NFT-/XUTR/DEUTH026166A1IKFX,100.14,0.0,0.0,3299.0,1315.016,310.344,6.262,0.0,0.0,postpaid,1.252,0.0,0.0,40.645,0.0,47.9611,949.197,"",'133179063720345930403,2026-06-15,11177496431,07aba089-1acd-450e-8673-460e7f5640d0,"",Forward,100122767119,100122767119,11504,2002.86,5.0,990.0,0.0,990.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,2309.0
NFT-/XUTR/DEUTH026166A1IKFX,50.43,0.0,0.0,1850.0,995.83,235.016,4.742,0.0,0.0,postpaid,0.948,0.0,0.0,42.316,0.0,49.93288,705.191,"",'133156973325435158903,2026-06-15,11170249962,c3fdb117-db93-4647-9e12-6c180b9d6659,"",Forward,100115520652,100115520652,11504,1008.57,5.0,620.0,0.0,620.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1230.0
NFT-/XUTR/DEUTH026166A1IKFX,68.71,0.0,0.0,3399.0,1443.0,357.575,6.871,0.0,0.0,postpaid,1.374,0.0,0.0,49.0,0.0,57.82,1019.36,"",'133196098381558156603,2026-06-15,11187533169,5398db8a-e35d-4251-8e01-3dd020f4f0ba,"",Forward,100132803856,100132803856,11504,1374.29,5.0,1785.0,0.0,1785.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1614.0
NFT-/XUTR/DEUTH026166A1IKFX,53.52,0.0,0.0,1850.0,35.0,8.26,0.167,0.0,0.0,postpaid,0.033,0.0,0.0,1.526,0.0,1.80068,24.739,"",'133186159387944792803,2026-06-15,11181032500,439efb5c-2fd9-4ece-9ef1-0c83000d7f20,"",Forward,100126303188,100126303188,11504,1070.48,5.0,555.0,35.0,590.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1295.0
NFT-/XUTR/DEUTH026166A1IKFX,0.0,45.07,45.07,2999.0,1893.0,469.085,0.0,4.507,4.507,postpaid,1.803,106.0,0.0,0.0,0.0,125.08,-1538.178,"",'133187271078246949401,2026-06-15,11181960751,902fe7d5-56eb-48df-a271-b6c63e221a27,100171692124,Reverse,100127231440,100127231440,11504,1802.86,5.0,900.0,0.0,900.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,2099.0
NFT-/XUTR/DEUTH026166A1IKFX,59.95,0.0,0.0,3299.0,1259.0,326.836,5.995,0.0,0.0,postpaid,1.199,274.0,0.0,0.0,0.0,323.32,-1248.29,"",'133166906639973412803,2026-06-15,11174280667,610b9197-94a1-4a61-8fa5-b63babb2827a,11174280667,Reverse,100119551356,100119551356,11504,1199.05,5.0,1846.0,0.0,1846.0,exchange,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1453.0
