NEFT_Ref,igst_amount,cgst_amount,sgst_amount,MRP,customer_paid_amt,Commission,IGST_TCS,CGST_TCS,SGST_TCS,Payment_Type,TDS,Shipping_Fee,pick_and_pack_fee,fixed_fee,Payment_Gateway_Fee,Logistics_Commission,Settled_Amount,NOD_Comment,Store_Order_id,Payment_Date,order_line_id,seller_order_id,return_id,Order_Type,order_release_id,Packet_Id,Seller_Id,taxable_amount,Tax_Rate,seller_discount,platform_discount,total_discount,comments,fwdAdditionalCharges,rvsAdditionalCharges,techEnablement,airLogistics,royaltyCharges,royaltyPercent,marketingCharges,marketingPercent,marketingContribution,commission_discount,sale_Total_Customer_Paid
NFT-/XUTR/DEUTH02611421836X,40.71,0.0,0.0,1899.0,855.0,221.958,4.071,0.0,0.0,postpaid,0.814,0.0,0.0,27.0,0.0,31.86,596.297,"",'132731271971783414201,2026-04-24,11078897407,955e9fae-3e5d-484b-b2f0-ae514fd726af,"",Forward,100024168521,100024168521,11504,814.29,5.0,950.0,0.0,950.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,949.0
NFT-/XUTR/DEUTH02611421836X,27.19,0.0,0.0,1799.0,571.0,148.232,2.719,0.0,0.0,postpaid,0.544,167.0,0.0,0.0,0.0,197.06,-616.565,"",'132729497168125336501,2026-04-24,11078759271,b101870c-9332-4ab2-bc70-d06fc4fdadcf,11078759271,Reverse,100024030385,1000006798259,11504,543.81,5.0,1134.0,0.0,1134.0,exchange,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,665.0
NFT-/XUTR/DEUTH02611421836X,106.81,0.0,0.0,3499.0,2243.0,529.348,10.681,0.0,0.0,postpaid,2.136,167.0,0.0,0.0,0.0,197.06,-1897.895,"",'132727679694248277503,2026-04-24,11078098313,19bd1a77-0dde-44f3-a437-110f9fdbb41c,100149877615,Reverse,100023369428,1000006812041,11504,2136.19,5.0,1050.0,0.0,1050.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,2449.0
NFT-/XUTR/DEUTH02611421836X,30.71,0.0,0.0,1999.0,645.0,30.443999999999996,3.071,0.0,0.0,postpaid,0.614,0.0,0.0,27.0,0.0,31.86,579.011,"",'132744881656991225701,2026-04-24,11081978020,81494545-f0e6-4b0d-be5d-5f765f2c5753,"",Forward,100027249087,100027249087,11504,614.29,5.0,1260.0,0.0,1260.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,739.0
NFT-/XUTR/DEUTH02611421836X,55.14,0.0,0.0,1899.0,1158.0,273.288,5.514,0.0,0.0,postpaid,1.103,167.0,0.0,0.0,0.0,197.06,-1075.155,"",'132732483619828108403,2026-04-24,11079022992,abc2c1e8-f7c1-4ed6-aa82-62ae62531a2d,11079022992,Reverse,100024294105,1000006634604,11504,1102.86,5.0,570.0,0.0,570.0,exchange,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1329.0
NFT-/XUTR/DEUTH02611421836X,60.86,0.0,0.0,2899.0,1243.51,308.142,5.921,0.0,0.0,postpaid,1.184,0.0,0.0,43.786,0.0,51.66748,876.596,"",'132752789207106460903,2026-04-24,11083738113,7e2490fe-d0b2-4f8d-9233-54f9d506667d,"",Forward,100029009173,100029009173,11504,1217.14,5.0,1450.0,0.0,1450.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1449.01
NFT-/XUTR/DEUTH02611421836X,42.43,0.0,0.0,2899.0,891.0,231.304,4.243,0.0,0.0,postpaid,0.849,0.0,0.0,27.0,0.0,31.86,622.744,"",'132720009947104059103,2026-04-24,11076284467,06d486b1-bba9-43e8-ba4f-546af0293d7f,"",Forward,100021555599,1000006165417,11504,848.57,5.0,1914.0,0.0,1914.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,985.0
NFT-/XUTR/DEUTH02611421836X,106.81,0.0,0.0,3499.0,2243.0,529.348,10.681,0.0,0.0,postpaid,2.136,0.0,0.0,61.0,0.0,71.98,1628.855,"",'132727679694248277503,2026-04-24,11078098311,19bd1a77-0dde-44f3-a437-110f9fdbb41c,"",Forward,100023369426,1000006812041,11504,2136.19,5.0,1050.0,0.0,1050.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,2449.0
NFT-/XUTR/DEUTH02611421836X,35.76,0.0,0.0,1799.0,751.0,194.96,3.576,0.0,0.0,postpaid,0.715,0.0,0.0,27.0,0.0,31.86,519.889,"",'132730097943109916203,2026-04-24,11078852065,3687c2c6-4400-4b27-8aa5-d5b52f9bebf0,"",Forward,100024123179,1000006556115,11504,715.24,5.0,954.0,0.0,954.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,845.0
NFT-/XUTR/DEUTH02611421836X,35.95,0.0,0.0,1699.0,755.0,195.998,3.595,0.0,0.0,postpaid,0.719,0.0,0.0,27.0,0.0,31.86,522.828,"",'132732483619828108403,2026-04-24,11079022993,abc2c1e8-f7c1-4ed6-aa82-62ae62531a2d,"",Forward,100024294106,1000006634604,11504,719.05,5.0,850.0,0.0,850.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,849.0
