NEFT_Ref,igst_amount,cgst_amount,sgst_amount,MRP,customer_paid_amt,Commission,IGST_TCS,CGST_TCS,SGST_TCS,Payment_Type,TDS,Shipping_Fee,pick_and_pack_fee,fixed_fee,Payment_Gateway_Fee,Logistics_Commission,Settled_Amount,NOD_Comment,Store_Order_id,Payment_Date,order_line_id,seller_order_id,return_id,Order_Type,order_release_id,Packet_Id,Seller_Id,taxable_amount,Tax_Rate,seller_discount,platform_discount,total_discount,comments,fwdAdditionalCharges,rvsAdditionalCharges,techEnablement,airLogistics,royaltyCharges,royaltyPercent,marketingCharges,marketingPercent,marketingContribution,commission_discount,sale_Total_Customer_Paid
NFT-/XUTR/DEUTH026159A1XG7X,34.52,0.0,0.0,2999.0,725.0,34.22,3.452,0.0,0.0,postpaid,0.69,0.0,0.0,27.0,3.045,35.4531,651.185,"",'133118204008250169901,2026-06-08,11158242339,e3da1a00-367e-4ee2-aa42-9a0001902932,"",Forward,100103513041,1000030855054,11504,690.48,5.0,2180.0,0.0,2180.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,819.0
NFT-/XUTR/DEUTH026159A1XG7X,46.1,0.0,0.0,2399.0,968.0,251.29300000000003,4.61,0.0,0.0,postpaid,0.922,0.0,0.0,27.0,0.0,31.86,679.315,"",'133080293904582967601,2026-06-08,11150110203,b30e28ad-11c0-4311-b7f2-9fd20cb3ad66,"",Forward,100095380921,100095380921,11504,921.9,5.0,1260.0,0.0,1260.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1139.0
NFT-/XUTR/DEUTH026159A1XG7X,59.71,0.0,0.0,2999.0,1254.0,310.741,5.971,0.0,0.0,postpaid,1.194,0.0,0.0,45.0,0.0,53.1,882.994,"",'133096199208888850001,2026-06-08,11153656556,d3adfb1e-31ea-44aa-a86d-2f4e61ea8d74,"",Forward,100098927265,1000029324931,11504,1194.29,5.0,1574.0,0.0,1574.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1425.0
NFT-/XUTR/DEUTH026159A1XG7X,50.43,0.0,0.0,1850.0,995.8299999999999,235.016,4.742,0.0,0.0,postpaid,0.948,171.144,0.0,0.0,0.0,201.94992,-957.074,"",'133109107128274468703,2026-06-08,11156202128,9358f8fa-0057-4a83-ad8f-da0013021a77,11156202128,Reverse,100101472833,100101472833,11504,1008.57,5.0,620.0,0.0,620.0,exchange,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1230.0
NFT-/XUTR/DEUTH026159A1XG7X,23.43,0.0,0.0,1799.0,492.0,23.222,2.343,0.0,0.0,postpaid,0.469,0.0,0.0,19.0,0.0,22.42,443.546,"",'133092277186325051401,2026-06-08,11153285961,f6a40459-90b9-4811-a9a3-d7135098459f,"",Forward,100098556670,100098556670,11504,468.57,5.0,1213.0,0.0,1213.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,586.0
NFT-/XUTR/DEUTH026159A1XG7X,94.62,0.0,0.0,3299.0,1987.0,492.379,9.462,0.0,0.0,postpaid,1.892,0.0,0.0,45.0,0.0,53.1,1430.167,"",'133109592795142776703,2026-06-08,11156337952,16a1ed71-e8f8-4d29-89c0-d54af04f1326,"",Forward,100101608657,100101608657,11504,1892.38,5.0,1106.0,0.0,1106.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,2193.0
NFT-/XUTR/DEUTH026159A1XG7X,33.67,0.0,0.0,2599.0,707.0,33.37,3.367,0.0,0.0,postpaid,0.673,182.0,0.0,0.0,0.0,214.76,-884.35,"",'133118204008250169901,2026-06-08,11158242338,e3da1a00-367e-4ee2-aa42-9a0001902932,100164475114,Reverse,100103513040,1000030855054,11504,673.33,5.0,1798.0,0.0,1798.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,801.0
NFT-/XUTR/DEUTH026159A1XG7X,31.29,0.0,0.0,2499.0,657.0,31.009999999999998,3.129,0.0,0.0,postpaid,0.626,0.0,0.0,27.0,0.0,31.86,590.375,"",'133118161878992002703,2026-06-08,11158232867,a860979c-322d-4f3f-88dd-6e09a8e7b212,"",Forward,100103503569,1000030852820,11504,625.71,5.0,1748.0,0.0,1748.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,751.0
NFT-/XUTR/DEUTH026159A1XG7X,41.38,0.0,0.0,1899.0,869.0,225.592,4.138,0.0,0.0,postpaid,0.828,0.0,0.0,27.0,0.0,31.86,606.582,"",'133099268933202262401,2026-06-08,11154316183,82f13506-74ba-4eac-9f93-3481e3e8b7d9,"",Forward,100099586891,100099586891,11504,827.62,5.0,936.0,0.0,936.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,963.0
NFT-/XUTR/DEUTH026159A1XG7X,51.81,0.0,0.0,2799.0,1088.0,269.606,5.181,0.0,0.0,postpaid,1.036,0.0,0.0,45.0,0.0,53.1,759.077,"",'133088509859067902501,2026-06-08,11151962163,52d8699a-4560-4bd8-a55c-db54bdcfc18c,"",Forward,100097232875,100097232875,11504,1036.19,5.0,1540.0,0.0,1540.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1259.0
NFT-/XUTR/DEUTH026159A1XG7X,45.62,0.0,0.0,1699.0,958.0,248.697,4.562,0.0,0.0,postpaid,0.912,0.0,0.0,27.0,0.0,31.86,671.969,"",'133101397929873399403,2026-06-08,11154796665,24ac1824-c732-4158-a258-6dbea3cf87ad,"",Forward,100100067372,100100067372,11504,912.38,5.0,570.0,0.0,570.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1129.0
NFT-/XUTR/DEUTH026159A1XG7X,20.29,0.0,0.0,1650.0,423.68000000000006,19.998,2.018,0.0,0.0,postpaid,0.404,105.423,0.0,0.0,0.0,124.39914,-525.659,"",'133140018763404678801,2026-06-08,11166170853,aa72274c-dc91-4619-a8c8-7fd65bb05472,100164590583,Reverse,100111441548,100111441548,11504,405.71,5.0,1130.0,0.0,1130.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,520.0
