NEFT_Ref,igst_amount,cgst_amount,sgst_amount,MRP,customer_paid_amt,Commission,IGST_TCS,CGST_TCS,SGST_TCS,Payment_Type,TDS,Shipping_Fee,pick_and_pack_fee,fixed_fee,Payment_Gateway_Fee,Logistics_Commission,Settled_Amount,NOD_Comment,Store_Order_id,Payment_Date,order_line_id,seller_order_id,return_id,Order_Type,order_release_id,Packet_Id,Seller_Id,taxable_amount,Tax_Rate,seller_discount,platform_discount,total_discount,comments,fwdAdditionalCharges,rvsAdditionalCharges,techEnablement,airLogistics,royaltyCharges,royaltyPercent,marketingCharges,marketingPercent,marketingContribution,commission_discount,sale_Total_Customer_Paid
NFT-/XUTR/DEUTH026133A0MUDX,23.67,0.0,0.0,1599.0,497.0,23.458,2.367,0.0,0.0,postpaid,0.473,0.0,0.0,27.0,0.0,31.86,438.842,"",'132919195411571267503,2026-05-13,11118047649,5a8fdd67-42e5-4172-8f4b-436dafa4057f,"",Forward,100063318512,100063318512,11504,473.33,5.0,1008.0,0.0,1008.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,591.0
NFT-/XUTR/DEUTH026133A0MUDX,40.05,0.0,0.0,3399.0,809.24,210.079,3.854,0.0,0.0,postpaid,0.771,101.997,0.0,0.0,0.0,120.35646,-714.892,"",'132907261488094853703,2026-05-13,11115546360,e77f4cbc-52fc-4d8d-a417-2c1bd70c83f1,11115546360,Reverse,100060817246,100060817246,11504,800.95,5.0,2464.0,0.0,2464.0,exchange,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,935.0
NFT-/XUTR/DEUTH026133A0MUDX,32.81,0.0,0.0,1650.0,654.4,169.882,3.116,0.0,0.0,postpaid,0.623,0.0,0.0,25.644,0.0,30.25992,450.519,"",'132889520808139307103,2026-05-13,11112122148,97689b35-bfec-49bd-9466-9255bafcb9a3,"",Forward,100057393088,1000016657539,11504,656.19,5.0,867.0,0.0,867.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,783.0
NFT-/XUTR/DEUTH026133A0MUDX,59.67,0.0,0.0,2999.0,1203.12,298.133,5.729,0.0,0.0,postpaid,1.146,0.0,0.0,43.209,0.0,50.98662,847.125,"",'132889626865289485101,2026-05-13,11112146533,11194909-216a-4524-b731-c3e89fbf4d17,"",Forward,100057417473,100057417473,11504,1193.33,5.0,1575.0,0.0,1575.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1424.01
NFT-/XUTR/DEUTH026133A0MUDX,487.07,0.0,0.0,3399.0,3193.0,753.548,13.53,0.0,0.0,postpaid,2.706,0.0,0.0,61.0,0.0,71.98,2351.236,"",'132910126514386892601,2026-05-13,11116339967,639d2aeb-5c3f-4126-9288-aa7247bb9e09,"",Forward,100061610842,100061610842,11504,2705.93,18.0,0.0,0.0,0.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,3399.0
NFT-/XUTR/DEUTH026133A0MUDX,51.95,0.0,0.0,1899.0,1091.0,257.476,5.195,0.0,0.0,postpaid,1.039,0.0,0.0,45.0,0.0,53.1,774.19,"",'132923177538194641803,2026-05-13,11118488965,fc5e04e9-2163-40b2-87da-ecaa82f5e2e8,"",Forward,100063759807,100063759807,11504,1039.05,5.0,637.0,0.0,637.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1262.0
NFT-/XUTR/DEUTH026133A0MUDX,68.0,0.0,0.0,3199.0,1428.0,353.858,6.8,0.0,0.0,postpaid,1.36,127.0,0.0,0.0,0.0,149.86,-1215.842,"",'132910480451082831401,2026-05-13,11116456006,36517963-9134-4210-85d6-230b0d116b1e,100156393376,Reverse,100061726881,100061726881,11504,1360,5.0,1600.0,0.0,1600.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1599.0
NFT-/XUTR/DEUTH026133A0MUDX,30.05,0.0,0.0,1699.0,631.0,163.808,3.005,0.0,0.0,postpaid,0.601,182.0,0.0,0.0,0.0,214.76,-678.346,"",'132889356987708242303,2026-05-13,11112083453,295bf47a-c0b1-4528-acb9-c4e40303ebc9,100156271248,Reverse,100057354393,1000016647362,11504,600.95,5.0,974.0,0.0,974.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,725.0
NFT-/XUTR/DEUTH026133A0MUDX,35.1,0.0,0.0,1750.0,737.0,191.325,3.51,0.0,0.0,postpaid,0.702,0.0,0.0,27.0,0.0,31.86,509.603,"",'132909850577968197101,2026-05-13,11116254953,e09ca7d8-86fc-48b3-af3f-6313459cfd97,"",Forward,100061525828,1000017825231,11504,701.9,5.0,919.0,0.0,919.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,831.0
NFT-/XUTR/DEUTH026133A0MUDX,112.29,0.0,0.0,5799.0,2358.0,584.312,11.229,0.0,0.0,postpaid,2.246,274.0,0.0,0.0,0.0,323.32,-2083.533,"",'132893479789342613501,2026-05-13,11113066711,4940ca27-7602-493d-b20c-c93619285561,100156636333,Reverse,100058337636,100058337636,11504,2245.71,5.0,3211.0,0.0,3211.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,2588.0
