NEFT_Ref,igst_amount,cgst_amount,sgst_amount,MRP,customer_paid_amt,Commission,IGST_TCS,CGST_TCS,SGST_TCS,Payment_Type,TDS,Shipping_Fee,pick_and_pack_fee,fixed_fee,Payment_Gateway_Fee,Logistics_Commission,Settled_Amount,NOD_Comment,Store_Order_id,Payment_Date,order_line_id,seller_order_id,return_id,Order_Type,order_release_id,Packet_Id,Seller_Id,taxable_amount,Tax_Rate,seller_discount,platform_discount,total_discount,comments,fwdAdditionalCharges,rvsAdditionalCharges,techEnablement,airLogistics,royaltyCharges,royaltyPercent,marketingCharges,marketingPercent,marketingContribution,commission_discount,sale_Total_Customer_Paid
NFT-/XUTR/DEUTH02617317298X,24.62,0.0,0.0,1699.0,27.191000000000003,7.059000000000001,0.129,0.0,0.0,postpaid,0.026,5.575,0.0,0.0,0.0,6.5785,-26.555,"",'133255840003623011301,2026-06-22,11208891056,e1d44902-ffd7-4c20-9fb7-9f10297315de,11208891056,Reverse,100154161738,100154161738,11504,492.38,5.0,1088.0,0.0,1088.0,exchange,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,611.0
NFT-/XUTR/DEUTH02617317298X,35.95,0.0,0.0,1699.0,755.0,142.544,3.595,0.0,0.0,postpaid,0.719,0.0,0.0,31.0,0.0,36.58,571.562,"",'133224299927059096801,2026-06-22,11198768620,6c135087-9a8c-46bf-9b14-6781ef307086,"",Forward,100144039305,100144039305,11504,719.05,5.0,850.0,77.0,927.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,849.0
NFT-/XUTR/DEUTH02617317298X,42.62,0.0,0.0,2999.0,895.0,232.342,4.262,0.0,0.0,postpaid,0.852,0.0,0.0,31.0,0.0,36.58,620.964,"",'133230712105431651201,2026-06-22,11201383960,230db4d0-0ddc-447f-aca7-0f112caed9df,"",Forward,100146654644,100146654644,11504,852.38,5.0,2010.0,0.0,2010.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,989.0
NFT-/XUTR/DEUTH02617317298X,0.0,28.1,28.1,2999.0,1180.0,292.404,0.0,2.8095,2.8095,postpaid,1.124,106.0,0.0,0.0,0.0,125.08,-1005.933,"",'133237616184013450503,2026-06-22,11203282286,a6716105-ff7c-4d42-9782-dbb62877f28b,11203282286,Reverse,100148552970,100148552970,11504,1123.8,5.0,1648.0,0.0,1648.0,exchange,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1350.9999999999998
NFT-/XUTR/DEUTH02617317298X,34.81,0.0,0.0,1650.0,78.0,20.249,0.371,0.0,0.0,postpaid,0.074,0.0,0.0,3.308,0.0,3.90344,53.403,"",'133204861964869086503,2026-06-22,11191650583,499c4d0e-2894-433a-a7a5-f887e9ea44dc,"",Forward,100136921269,100136921269,11504,696.19,5.0,825.0,78.0,903.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,825.0
NFT-/XUTR/DEUTH02617317298X,87.05,0.0,0.0,1999.0,169.41,39.981,0.807,0.0,0.0,postpaid,0.161,0.0,0.0,4.541,0.0,5.35838,123.103,"",'133234298662526102601,2026-06-22,11201967480,c4607285-c696-41a0-b41f-6351e77c6002,"",Forward,100147238164,1000040731816,11504,1740.95,5.0,0.0,0.0,0.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1999.0
NFT-/XUTR/DEUTH02617317298X,52.95,0.0,0.0,2999.0,1112.0,275.554,5.295,0.0,0.0,postpaid,1.059,182.0,0.0,0.0,0.0,214.76,-1044.852,"",'133229209320063114701,2026-06-22,11200619655,3f989d54-6b4e-4352-9471-b00eb33eccdf,100170588757,Reverse,100145890340,100145890340,11504,1059.05,5.0,1716.0,0.0,1716.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1283.0
NFT-/XUTR/DEUTH02617317298X,32.19,0.0,0.0,1799.0,676.0,175.49,3.219,0.0,0.0,postpaid,0.644,0.0,0.0,31.0,0.0,36.58,460.067,"",'133203463375485749403,2026-06-22,11190682357,84af4bb8-de90-432b-bb10-1a9094cd3520,"",Forward,100135953043,1000036843507,11504,643.81,5.0,1029.0,0.0,1029.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,770.0
NFT-/XUTR/DEUTH02617317298X,58.48,0.0,0.0,2799.0,1228.0,304.298,5.848,0.0,0.0,postpaid,1.17,182.0,0.0,0.0,0.0,214.76,-1131.444,"",'133242317738766367601,2026-06-22,11204449429,4897e34d-65ab-4f47-9a73-b048e82dfff9,100171685306,Reverse,100149720113,100149720113,11504,1169.52,5.0,1400.0,0.0,1400.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1399.0
NFT-/XUTR/DEUTH02617317298X,40.71,0.0,0.0,1999.0,50.0,12.98,0.238,0.0,0.0,postpaid,0.048,7.427,0.0,0.0,0.0,8.76386,-45.498,"",'133179331535411877603,2026-06-22,11177703120,f0214171-9810-434c-85d7-bd8b4445026e,100172997508,Reverse,100122973808,1000034318700,11504,814.29,5.0,1050.0,50.0,1100.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,949.0
NFT-/XUTR/DEUTH02617317298X,34.05,0.0,0.0,1799.0,9.33,2.422,0.044,0.0,0.0,postpaid,0.009,0.0,0.0,0.405,0.0,0.4779,6.377,"",'133256594917219173503,2026-06-22,11209242846,cf32037b-7e5e-4e9c-bf3d-bda70364fd3b,"",Forward,100154513527,100154513527,11504,680.95,5.0,990.0,0.0,990.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,809.0
NFT-/XUTR/DEUTH02617317298X,58.48,0.0,0.0,2799.0,1228.0,304.298,5.848,0.0,0.0,postpaid,1.17,0.0,0.0,49.0,0.0,57.82,858.864,"",'133246943715450913801,2026-06-22,11206235047,d620e989-0c23-455c-914d-c342c28b82da,"",Forward,100151505730,100151505730,11504,1169.52,5.0,1400.0,0.0,1400.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1399.0
NFT-/XUTR/DEUTH02617317298X,37.91,0.0,0.0,2999.0,796.0,206.642,3.79,0.0,0.0,postpaid,0.758,0.0,0.0,31.0,1.194,37.98892,546.821,"",'133236366846576381603,2026-06-22,11202807119,dac6f06a-ee4e-46e5-ad8f-6ada10dbe33a,"",Forward,100148077803,1000041343612,11504,758.1,5.0,2109.0,0.0,2109.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,890.01
NFT-/XUTR/DEUTH02617317298X,56.19,0.0,0.0,2999.0,1180.0,292.404,5.619,0.0,0.0,postpaid,1.124,0.0,0.0,49.0,0.0,57.82,823.033,"",'133211058236390045003,2026-06-22,11194156627,41b1b969-40ab-4a59-9054-9d0631706d7a,"",Forward,100139427313,100139427313,11504,1123.81,5.0,1648.0,0.0,1648.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1351.0
NFT-/XUTR/DEUTH02617317298X,0.0,43.64,43.64,2399.0,1833.0,454.217,0.0,4.3645,4.3645,postpaid,1.746,0.0,0.0,49.0,0.0,57.82,1310.488,"",'133255228438306427903,2026-06-22,11208611877,20109aec-293f-4410-bf3f-7a5f3105ebb5,"",Forward,100153882560,100153882560,11504,1745.72,5.0,360.0,200.0,560.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,2039.0000000000002
NFT-/XUTR/DEUTH02617317298X,34.81,0.0,0.0,1650.0,78.0,20.249,0.371,0.0,0.0,postpaid,0.074,19.42,0.0,0.0,0.0,22.9156,-80.222,"",'133204861964869086503,2026-06-22,11191650583,499c4d0e-2894-433a-a7a5-f887e9ea44dc,100174019971,Reverse,100136921269,100136921269,11504,696.19,5.0,825.0,78.0,903.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,825.0
NFT-/XUTR/DEUTH02617317298X,45.86,0.0,0.0,1799.0,963.0,249.995,4.586,0.0,0.0,postpaid,0.917,0.0,0.0,31.0,0.0,36.58,670.922,"",'133256091956349113201,2026-06-22,11209014339,43c4f189-b22e-4d58-9603-37c25ce13ec8,"",Forward,100154285020,100154285020,11504,917.14,5.0,665.0,0.0,665.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1134.0
NFT-/XUTR/DEUTH02617317298X,35.95,0.0,0.0,1699.0,755.0,195.998,3.595,0.0,0.0,postpaid,0.719,0.0,0.0,31.0,2.718,39.78724,514.901,"",'133190629219324285903,2026-06-22,11183500992,7caeaf14-de2f-4ce6-9a0d-cf00fb3ee81e,"",Forward,100128771680,1000036401558,11504,719.05,5.0,850.0,0.0,850.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,849.0
NFT-/XUTR/DEUTH02617317298X,43.1,0.0,0.0,2499.0,94.0,24.402,0.448,0.0,0.0,postpaid,0.09,0.0,0.0,3.22,0.0,3.7996,65.26,"",'133193637856425437701,2026-06-22,11185719274,2eec9d62-c8fd-43bc-ae5b-7f200e68120a,"",Forward,100130989961,100130989961,11504,861.9,5.0,1500.0,94.0,1594.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,999.0
NFT-/XUTR/DEUTH02617317298X,31.19,0.0,0.0,1499.0,655.0,170.038,3.119,0.0,0.0,postpaid,0.624,0.0,0.0,31.0,0.0,36.58,444.639,"",'133230203707092709101,2026-06-22,11201158868,92f474ca-22ab-4e1c-8e96-4088d3418d62,"",Forward,100146429552,100146429552,11504,623.81,5.0,750.0,0.0,750.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,749.0
NFT-/XUTR/DEUTH02617317298X,42.62,0.0,0.0,2999.0,36.0,9.345,0.171,0.0,0.0,postpaid,0.034,7.321,0.0,0.0,0.0,8.63878,-35.089,"",'133222213306816742301,2026-06-22,11198598077,3b26b803-9049-4812-bddb-04040df32dd3,100170795414,Reverse,100143868762,1000039485262,11504,852.38,5.0,2010.0,36.0,2046.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,989.0
