NEFT_Ref,igst_amount,cgst_amount,sgst_amount,MRP,customer_paid_amt,Commission,IGST_TCS,CGST_TCS,SGST_TCS,Payment_Type,TDS,Shipping_Fee,pick_and_pack_fee,fixed_fee,Payment_Gateway_Fee,Logistics_Commission,Settled_Amount,NOD_Comment,Store_Order_id,Payment_Date,order_line_id,seller_order_id,return_id,Order_Type,order_release_id,Packet_Id,Seller_Id,taxable_amount,Tax_Rate,seller_discount,platform_discount,total_discount,comments,fwdAdditionalCharges,rvsAdditionalCharges,techEnablement,airLogistics,royaltyCharges,royaltyPercent,marketingCharges,marketingPercent,marketingContribution,commission_discount,sale_Total_Customer_Paid
NFT-/XUTR/DEUTH02616820678X,50.67,0.0,0.0,1899.0,1064.0,251.10399999999996,5.067,0.0,0.0,postpaid,1.013,0.0,0.0,49.0,0.0,57.82,748.996,"",'133185882910279268903,2026-06-17,11180886720,eee07e6c-199b-4521-a7bb-ab909af9d076,"",Forward,100126157408,100126157408,11504,1013.33,5.0,664.0,0.0,664.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1235.0
NFT-/XUTR/DEUTH02616820678X,99.67,0.0,0.0,2299.0,2093.0,469.251,9.967,0.0,0.0,postpaid,1.993,0.0,0.0,65.0,0.0,76.7,1535.089,"",'133179339258675712003,2026-06-17,11177706755,6798f874-7bb0-4ca9-bf3b-38f2146c1da7,"",Forward,100122977443,100122977443,11504,1993.33,5.0,0.0,0.0,0.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,2299.0
NFT-/XUTR/DEUTH02616820678X,59.67,0.0,0.0,2999.0,765.0999999999999,189.592,3.643,0.0,0.0,postpaid,0.729,77.548,0.0,0.0,0.0,91.50664,-662.643,"",'133203545478542286201,2026-06-17,11190733554,2936380f-4eef-4545-9194-261ef30c9995,11190733554,Reverse,100136004240,100136004240,11504,1193.33,5.0,1575.0,0.0,1575.0,exchange,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1424.0
NFT-/XUTR/DEUTH02616820678X,49.14,0.0,0.0,3399.0,40.0,7.6,0.19,0.0,0.0,postpaid,0.038,0.0,0.0,1.744,0.0,2.05792,30.114,"",'133187406040994080403,2026-06-17,11182182878,086e95da-1dda-42a9-989f-94ea040a406e,"",Forward,100127453565,100127453565,11504,982.86,5.0,2196.0,40.0,2236.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1203.0
NFT-/XUTR/DEUTH02616820678X,20.29,0.0,0.0,1650.0,426.0,20.107,2.029,0.0,0.0,postpaid,0.406,182.0,0.0,0.0,0.0,214.76,-618.218,"",'133177629987667516603,2026-06-17,11176376131,8c70341d-a009-4a7d-b03e-e50ade3e9fdf,100168755314,Reverse,100121646819,100121646819,11504,405.71,5.0,1130.0,0.0,1130.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,520.0
NFT-/XUTR/DEUTH02616820678X,24.05,0.0,0.0,1499.0,30.0,7.788,0.143,0.0,0.0,postpaid,0.029,0.0,0.0,1.842,0.0,2.17356,19.866,"",'133187122829652896201,2026-06-17,11181714968,8bd50fad-762e-419c-825f-b208b024ca78,"",Forward,100126985656,100126985656,11504,480.95,5.0,900.0,30.0,930.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,599.0
NFT-/XUTR/DEUTH02616820678X,66.19,0.0,0.0,3499.0,1390.0,344.44200000000006,6.619,0.0,0.0,postpaid,1.324,0.0,0.0,45.0,0.0,53.1,984.515,"",'133169254324723645803,2026-06-17,11175050280,842f1ee3-4001-41b7-97e0-62a37340af43,"",Forward,100120320969,100120320969,11504,1323.81,5.0,1938.0,0.0,1938.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1561.0
NFT-/XUTR/DEUTH02616820678X,40.71,0.0,0.0,1999.0,855.0,221.958,4.071,0.0,0.0,postpaid,0.814,182.0,0.0,0.0,0.0,214.76,-842.917,"",'133189973082200631701,2026-06-17,11183122704,5276475d-23c9-4428-a8aa-fd21382d2a2f,100168013345,Reverse,100128393392,1000035234973,11504,814.29,5.0,1050.0,0.0,1050.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,949.0
NFT-/XUTR/DEUTH02616820678X,38.33,0.0,0.0,1799.0,805.0,208.978,3.833,0.0,0.0,postpaid,0.767,0.0,0.0,31.0,0.0,36.58,554.842,"",'133191888600105298103,2026-06-17,11184490134,04a6b79c-e936-4548-bfd8-26c176048fab,"",Forward,100129760821,1000036428252,11504,766.67,5.0,900.0,0.0,900.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,899.0
NFT-/XUTR/DEUTH02616820678X,44.67,0.0,0.0,2699.0,938.0,243.505,4.467,0.0,0.0,postpaid,0.893,0.0,0.0,27.0,0.0,31.86,657.275,"",'133164945545200414903,2026-06-17,11172618890,645a6e5c-0a4a-4419-88e2-f1513b4ef5fc,"",Forward,100117889580,100117889580,11504,893.33,5.0,1590.0,0.0,1590.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1109.0
