NEFT_Ref,igst_amount,cgst_amount,sgst_amount,MRP,customer_paid_amt,Commission,IGST_TCS,CGST_TCS,SGST_TCS,Payment_Type,TDS,Shipping_Fee,pick_and_pack_fee,fixed_fee,Payment_Gateway_Fee,Logistics_Commission,Settled_Amount,NOD_Comment,Store_Order_id,Payment_Date,order_line_id,seller_order_id,return_id,Order_Type,order_release_id,Packet_Id,Seller_Id,taxable_amount,Tax_Rate,seller_discount,platform_discount,total_discount,comments,fwdAdditionalCharges,rvsAdditionalCharges,techEnablement,airLogistics,royaltyCharges,royaltyPercent,marketingCharges,marketingPercent,marketingContribution,commission_discount,sale_Total_Customer_Paid
NFT-/XUTR/DEUTH026152A01HCX,33.57,0.0,0.0,1599.0,649.0,168.48,3.09,0.0,0.0,prepaid,0.618,0.0,0.0,24.855,0.0,29.3289,447.483,"",'133062784367323156203,2026-06-01,11146404605,c2d8288c-ad92-4fc6-ac2e-d2f0814fdd2d,"",Forward,100091675334,100091675334,11504,671.43,5.0,800.0,56.0,856.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,799.0
NFT-/XUTR/DEUTH026152A01HCX,0.0,24.36,24.36,3399.0,1023.0,253.499,0.0,2.4355,2.4355,prepaid,0.974,0.0,0.0,45.0,0.0,53.1,710.556,"",'133084336274216901003,2026-06-01,11151254430,f7f2612f-5594-4898-824c-453eaa84a899,"",Forward,100096525145,100096525145,11504,974.28,5.0,2205.0,0.0,2205.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1194.0
NFT-/XUTR/DEUTH026152A01HCX,59.67,0.0,0.0,2999.0,1253.0,310.493,5.967,0.0,0.0,prepaid,1.193,127.0,0.0,0.0,0.0,149.86,-1085.207,"",'133054976390798047103,2026-06-01,11144913670,7f68a78c-c388-420e-b34b-e31269ce896b,100161665393,Reverse,100090184405,100090184405,11504,1193.33,5.0,1575.0,0.0,1575.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1424.0
NFT-/XUTR/DEUTH026152A01HCX,35.95,0.0,0.0,1699.0,755.0,195.998,3.595,0.0,0.0,prepaid,0.719,0.0,0.0,27.0,0.0,31.86,522.828,"",'133045565993705074401,2026-06-01,11142980921,850fbb67-a4d6-4a14-af11-d05dc5cda91f,"",Forward,100088251671,1000025949034,11504,719.05,5.0,850.0,0.0,850.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,849.0
NFT-/XUTR/DEUTH026152A01HCX,42.57,0.0,0.0,2299.0,894.0,232.082,4.257,0.0,0.0,prepaid,0.851,182.0,0.0,0.0,0.0,214.76,-871.57,"",'133023107171525841701,2026-06-01,11138446654,ba7fe98a-c5c9-44b9-b170-0fcdbaf47b9d,100162472586,Reverse,100083717418,1000027563061,11504,851.43,5.0,1311.0,0.0,1311.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,988.0
NFT-/XUTR/DEUTH026152A01HCX,0.0,24.24,24.24,1699.0,1018.0,240.248,0.0,2.424,2.424,prepaid,0.97,0.0,0.0,45.0,0.0,53.1,718.834,"",'133081890312529824301,2026-06-01,11150564831,3a8824cf-49ba-4b42-a50e-b6edb8dfa673,"",Forward,100095835548,100095835548,11504,969.52,5.0,510.0,0.0,510.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1189.0
NFT-/XUTR/DEUTH026152A01HCX,40.71,0.0,0.0,1899.0,855.0,221.958,4.071,0.0,0.0,prepaid,0.814,0.0,0.0,27.0,0.0,31.86,596.297,"",'133043165562636988701,2026-06-01,11142428551,de1b9a5f-4628-4f22-a495-2e1d6c235961,"",Forward,100087699303,100087699303,11504,814.29,5.0,950.0,0.0,950.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,949.0
NFT-/XUTR/DEUTH026152A01HCX,39.57,0.0,0.0,1850.0,831.0,215.728,3.957,0.0,0.0,prepaid,0.791,182.0,0.0,0.0,0.0,214.76,-825.284,"",'133061524625653621401,2026-06-01,11146066325,fdc0b0b2-ba50-4656-9950-7fad6fcfa58c,100162491262,Reverse,100091337055,1000026920802,11504,791.43,5.0,925.0,0.0,925.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,925.0
NFT-/XUTR/DEUTH026152A01HCX,59.67,0.0,0.0,2999.0,1253.0,310.493,5.967,0.0,0.0,prepaid,1.193,0.0,0.0,45.0,0.0,53.1,882.247,"",'133078681965385878201,2026-06-01,11149625474,8f2bcda0-5d9d-4e54-8c32-6dbf06921b82,"",Forward,100094896192,100094896192,11504,1193.33,5.0,1575.0,0.0,1575.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1424.0
NFT-/XUTR/DEUTH026152A01HCX,39.52,0.0,0.0,2499.0,830.0,215.468,3.952,0.0,0.0,prepaid,0.79,0.0,0.0,27.0,6.806,39.89108,569.899,"",'133069962320141658803,2026-06-01,11147797643,2ef0129a-4c4a-41c7-81ec-ef73fdfecad7,"",Forward,100093068371,100093068371,11504,790.48,5.0,1575.0,0.0,1575.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,924.0
