NEFT_Ref,igst_amount,cgst_amount,sgst_amount,MRP,customer_paid_amt,Commission,IGST_TCS,CGST_TCS,SGST_TCS,Payment_Type,TDS,Shipping_Fee,pick_and_pack_fee,fixed_fee,Payment_Gateway_Fee,Logistics_Commission,Settled_Amount,NOD_Comment,Store_Order_id,Payment_Date,order_line_id,seller_order_id,return_id,Order_Type,order_release_id,Packet_Id,Seller_Id,taxable_amount,Tax_Rate,seller_discount,platform_discount,total_discount,comments,fwdAdditionalCharges,rvsAdditionalCharges,techEnablement,airLogistics,royaltyCharges,royaltyPercent,marketingCharges,marketingPercent,marketingContribution,commission_discount,sale_Total_Customer_Paid
NFT-/XUTR/DEUTH026149A5L6YX,51.33,0.0,0.0,2499.0,1078.0,267.128,5.133,0.0,0.0,prepaid,1.027,0.0,0.0,45.0,0.0,53.1,751.612,"",'133020244714597266701,2026-05-29,11137571650,49f3a877-1e08-4a96-b512-ffb2794a73d8,"",Forward,100082842424,100082842424,11504,1026.67,5.0,1250.0,0.0,1250.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1249.0
NFT-/XUTR/DEUTH026149A5L6YX,42.62,0.0,0.0,2999.0,895.0,232.342,4.262,0.0,0.0,prepaid,0.852,0.0,0.0,27.0,0.0,31.86,625.684,"",'133028622784476504703,2026-05-29,11139473604,8b82aa18-91c2-4189-8c62-9901d9c45938,"",Forward,100084744365,100084744365,11504,852.38,5.0,2010.0,0.0,2010.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,989.0
NFT-/XUTR/DEUTH026149A5L6YX,72.76,0.0,0.0,3399.0,1528.0,378.638,7.276,0.0,0.0,prepaid,1.455,182.0,0.0,0.0,0.0,214.76,-1355.391,"",'133026927067809063001,2026-05-29,11138935239,18791215-3667-4260-97cf-2e82705ec2f2,100161143504,Reverse,100084206002,1000024736270,11504,1455.24,5.0,1700.0,0.0,1700.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1699.0
NFT-/XUTR/DEUTH026149A5L6YX,47.52,0.0,0.0,1799.0,998.0,259.081,4.752,0.0,0.0,prepaid,0.95,0.0,0.0,27.0,0.0,31.86,701.357,"",'133023214659854846203,2026-05-29,11138479503,a0cb236c-d4d4-45b4-8bea-03beadb5dab0,"",Forward,100083750268,1000024490760,11504,950.48,5.0,630.0,0.0,630.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1169.0
NFT-/XUTR/DEUTH026149A5L6YX,37.76,0.0,0.0,2399.0,793.0,37.43,3.776,0.0,0.0,prepaid,0.755,0.0,0.0,27.0,6.74,39.8132,711.226,"",'133028696768441163201,2026-05-29,11139496577,616d2535-26b2-4251-826f-8ff5eb138052,"",Forward,100084767338,100084767338,11504,755.24,5.0,1512.0,0.0,1512.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,887.0
NFT-/XUTR/DEUTH026149A5L6YX,48.81,0.0,0.0,1799.0,1025.0,241.9,4.881,0.0,0.0,prepaid,0.976,0.0,0.0,45.0,0.0,53.1,724.143,"",'133052628691925333301,2026-05-29,11144295463,1ab79217-3a6f-4909-8ba4-6b77a999b0ba,"",Forward,100089566200,100089566200,11504,976.19,5.0,603.0,0.0,603.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1196.0
NFT-/XUTR/DEUTH026149A5L6YX,39.57,0.0,0.0,1850.0,831.0,215.728,3.957,0.0,0.0,prepaid,0.791,182.0,0.0,0.0,0.0,214.76,-825.284,"",'133022717356378648401,2026-05-29,11138314116,eb23d071-120b-4770-8978-68ef2bae4d84,100162699335,Reverse,100083584882,1000024720237,11504,791.43,5.0,925.0,0.0,925.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,925.0
NFT-/XUTR/DEUTH026149A5L6YX,108.0,0.0,0.0,3299.0,2268.0,535.248,10.8,0.0,0.0,prepaid,2.16,0.0,0.0,61.0,0.0,71.98,1647.812,"",'133022614220352200901,2026-05-29,11138278148,8eb2a06d-b0eb-4e81-8a4f-a815681e118f,"",Forward,100083548914,1000024741272,11504,2160,5.0,825.0,0.0,825.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,2474.0
NFT-/XUTR/DEUTH026149A5L6YX,55.14,0.0,0.0,1899.0,1158.0,273.288,5.514,0.0,0.0,prepaid,1.103,0.0,0.0,45.0,0.0,53.1,824.995,"",'133030789140153829003,2026-05-29,11140137789,d2923cdd-d8f0-4816-9b24-f3175185936b,"",Forward,100085408546,1000025021488,11504,1102.86,5.0,570.0,0.0,570.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1329.0
NFT-/XUTR/DEUTH026149A5L6YX,75.48,0.0,0.0,3699.0,1585.0,355.357,7.548,0.0,0.0,prepaid,1.51,0.0,0.0,45.0,0.0,53.1,1167.485,"",'133060701237688588803,2026-05-29,11145888354,c5a59daa-33af-4b17-8cfb-1375c87f09fe,"",Forward,100091159085,100091159085,11504,1509.52,5.0,1943.0,0.0,1943.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1756.0
NFT-/XUTR/DEUTH026149A5L6YX,50.19,0.0,0.0,1750.0,2.96,0.698,0.014,0.0,0.0,prepaid,0.003,0.0,0.0,0.126,0.0,0.14868,2.096,"",'133022806964150201801,2026-05-29,11138345662,e29c80c0-6da7-4024-b38f-5bc1fdfaccd8,"",Forward,100083616427,100083616427,11504,1003.81,5.0,525.0,0.0,525.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1225.0
NFT-/XUTR/DEUTH026149A5L6YX,100.95,0.0,0.0,3499.0,2120.0,500.31999999999994,10.095,0.0,0.0,prepaid,2.019,106.0,0.0,0.0,0.0,125.08,-1732.646,"",'133048022358139476003,2026-05-29,11143598649,2700b8a9-ea4b-4dad-9157-dd296603d7c0,100161196112,Reverse,100088869398,1000026458467,11504,2019.05,5.0,1173.0,0.0,1173.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,2326.0
NFT-/XUTR/DEUTH026149A5L6YX,46.1,0.0,0.0,2399.0,968.0,251.29300000000003,4.61,0.0,0.0,prepaid,0.922,0.0,0.0,27.0,0.0,31.86,679.315,"",'133036777415264438301,2026-05-29,11141242010,5071693b-72d3-4dcf-81fb-a0042cd9f204,"",Forward,100086512763,1000025888024,11504,921.9,5.0,1260.0,0.0,1260.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1139.0
