NEFT_Ref,igst_amount,cgst_amount,sgst_amount,MRP,customer_paid_amt,Commission,IGST_TCS,CGST_TCS,SGST_TCS,Payment_Type,TDS,Shipping_Fee,pick_and_pack_fee,fixed_fee,Payment_Gateway_Fee,Logistics_Commission,Settled_Amount,NOD_Comment,Store_Order_id,Payment_Date,order_line_id,seller_order_id,return_id,Order_Type,order_release_id,Packet_Id,Seller_Id,taxable_amount,Tax_Rate,seller_discount,platform_discount,total_discount,comments,fwdAdditionalCharges,rvsAdditionalCharges,techEnablement,airLogistics,royaltyCharges,royaltyPercent,marketingCharges,marketingPercent,marketingContribution,commission_discount,sale_Total_Customer_Paid
NFT-/XUTR/DEUTH02611488925X,37.19,0.0,0.0,1750.0,781.0,202.748,3.719,0.0,0.0,prepaid,0.744,167.0,0.0,0.0,0.0,197.06,-770.849,"",'132727697196060522401,2026-04-24,11078104185,35f0c230-b092-43d8-8490-e939ebe7bf15,100150287545,Reverse,100023375300,100023375300,11504,743.81,5.0,875.0,0.0,875.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,875.0
NFT-/XUTR/DEUTH02611488925X,56.1,0.0,0.0,2699.0,1178.0,291.908,5.61,0.0,0.0,prepaid,1.122,0.0,0.0,45.0,0.0,53.1,826.26,"",'132726412050835081803,2026-04-24,11077693995,c6afa4b9-570f-48a0-8db6-664166e27c1c,"",Forward,100022965113,100022965113,11504,1121.9,5.0,1350.0,0.0,1350.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1349.0
NFT-/XUTR/DEUTH02611488925X,23.67,0.0,0.0,1599.0,497.0,23.458,2.367,0.0,0.0,prepaid,0.473,91.0,0.0,0.0,0.0,107.38,-578.082,"",'132752895779740554103,2026-04-24,11083766540,d2370901-f3da-44fa-a1bf-e7bae53570e8,11083766540,Reverse,100029037600,1000008146799,11504,473.33,5.0,1008.0,0.0,1008.0,exchange,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,591.0
NFT-/XUTR/DEUTH02611488925X,86.81,0.0,0.0,2899.0,1823.0,451.739,8.681,0.0,0.0,prepaid,1.736,0.0,0.0,45.0,0.0,53.1,1307.744,"",'132741543458630969203,2026-04-24,11081017045,fbeb1877-758d-4b9e-8ea5-09eac1fa792a,"",Forward,100026288137,100026288137,11504,1736.19,5.0,870.0,0.0,870.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,2029.0
NFT-/XUTR/DEUTH02611488925X,42.43,0.0,0.0,3399.0,891.0,231.304,4.243,0.0,0.0,prepaid,0.849,0.0,0.0,27.0,0.0,31.86,622.744,"",'132732759469796392403,2026-04-24,11079080376,79413e38-0984-4987-9d47-e3fde995f89e,"",Forward,100024351479,100024351479,11504,848.57,5.0,2414.0,0.0,2414.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,985.0
NFT-/XUTR/DEUTH02611488925X,23.67,0.0,0.0,1599.0,496.99999999999994,23.458,2.367,0.0,0.0,prepaid,0.473,167.0,0.0,0.0,0.0,197.06,-667.762,"",'132732588740018128701,2026-04-24,11079043483,6c1f6b26-d88d-4233-a33e-173992088aeb,100150340829,Reverse,100024314596,100024314596,11504,473.33,5.0,1008.0,0.0,1008.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,591.0
NFT-/XUTR/DEUTH02611488925X,63.24,0.0,0.0,2999.0,311.37,77.157,1.483,0.0,0.0,prepaid,0.297,0.0,0.0,10.551,0.0,12.45018,219.983,"",'132724999141738501101,2026-04-24,11077189569,89f0ec9e-d3c5-4a3f-ac00-58de7518bbee,"",Forward,100022460698,100022460698,11504,1264.76,5.0,1500.0,0.0,1500.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1499.0
NFT-/XUTR/DEUTH02611488925X,33.52,0.0,0.0,1699.0,704.0,182.758,3.352,0.0,0.0,prepaid,0.67,0.0,0.0,27.0,0.0,31.86,485.36,"",'132727344697961639201,2026-04-24,11077989961,1c8a4de9-4236-4951-ad87-2d513b7d834e,"",Forward,100023261076,1000006790295,11504,670.48,5.0,901.0,0.0,901.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,798.0
NFT-/XUTR/DEUTH02611488925X,42.43,0.0,0.0,2899.0,891.0,231.304,4.243,0.0,0.0,prepaid,0.849,91.0,0.0,0.0,0.0,107.38,-761.984,"",'132759721936013494603,2026-04-24,11085230518,a48e2a95-fd6b-40a1-aa58-54da1a009b65,100149908276,Reverse,100030501574,100030501574,11504,848.57,5.0,1914.0,0.0,1914.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,985.0
NFT-/XUTR/DEUTH02611488925X,0.0,15.64,15.64,1599.0,657.0,170.557,0.0,1.5645,1.5645,prepaid,0.626,0.0,0.0,27.0,0.0,31.86,450.828,"",'132755413625800458901,2026-04-24,11084576240,0af17657-645a-402b-ab24-ac87f7f01d31,"",Forward,100029847297,100029847297,11504,625.72,5.0,848.0,0.0,848.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,751.0
