NEFT_Ref,igst_amount,cgst_amount,sgst_amount,MRP,customer_paid_amt,Commission,IGST_TCS,CGST_TCS,SGST_TCS,Payment_Type,TDS,Shipping_Fee,pick_and_pack_fee,fixed_fee,Payment_Gateway_Fee,Logistics_Commission,Settled_Amount,NOD_Comment,Store_Order_id,Payment_Date,order_line_id,seller_order_id,return_id,Order_Type,order_release_id,Packet_Id,Seller_Id,taxable_amount,Tax_Rate,seller_discount,platform_discount,total_discount,comments,fwdAdditionalCharges,rvsAdditionalCharges,techEnablement,airLogistics,royaltyCharges,royaltyPercent,marketingCharges,marketingPercent,marketingContribution,commission_discount,sale_Total_Customer_Paid
NFT-/XUTR/DEUTH02613436453X,59.67,0.0,0.0,2999.0,1253.0,310.493,5.967,0.0,0.0,prepaid,1.193,0.0,0.0,45.0,0.0,53.1,882.247,"",'132898452717978398803,2026-05-14,11113800157,62d3e889-2af5-41c1-b26c-73b9ba2ec120,"",Forward,100059071064,1000017503888,11504,1193.33,5.0,1575.0,0.0,1575.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1424.0
NFT-/XUTR/DEUTH02613436453X,29.0,0.0,0.0,1850.0,609.0,158.096,2.9,0.0,0.0,prepaid,0.58,0.0,0.0,27.0,0.0,31.86,415.564,"",'132905564665958893703,2026-05-14,11115068904,9fffb76c-b0a7-40da-9512-dd88c51ddf0e,"",Forward,100060339795,100060339795,11504,580,5.0,1147.0,0.0,1147.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,703.0
NFT-/XUTR/DEUTH02613436453X,23.1,0.0,0.0,1650.0,485.0,22.892,2.31,0.0,0.0,prepaid,0.462,0.0,0.0,27.0,0.0,31.86,427.476,"",'132902203274683499903,2026-05-14,11114768116,ac176a0f-7454-4277-8618-2f8caa3e7fa6,"",Forward,100060039013,1000017373649,11504,461.9,5.0,1071.0,0.0,1071.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,579.0
NFT-/XUTR/DEUTH02613436453X,42.0,0.0,0.0,2999.0,882.0,228.967,4.2,0.0,0.0,prepaid,0.84,0.0,0.0,27.0,0.0,31.86,616.133,"",'132902046737622798603,2026-05-14,11114726739,a78bb082-26dd-4d76-a24a-0f960f5fdaeb,"",Forward,100059997636,100059997636,11504,840,5.0,1946.0,0.0,1946.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1053.0
NFT-/XUTR/DEUTH02613436453X,51.81,0.0,0.0,1799.0,1088.0,256.768,5.181,0.0,0.0,prepaid,1.036,0.0,0.0,45.0,0.0,53.1,771.915,"",'132925097487144650703,2026-05-14,11118944985,43da12da-79e9-40e1-8b5c-c98bf06f9b3d,"",Forward,100064215820,100064215820,11504,1036.19,5.0,540.0,0.0,540.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1259.0
NFT-/XUTR/DEUTH02613436453X,63.24,0.0,0.0,2999.0,1328.0,329.078,6.324,0.0,0.0,prepaid,1.265,0.0,0.0,45.0,0.0,53.1,938.233,"",'132897495242173394103,2026-05-14,11113527503,ede1bfb9-8a7e-4084-a504-df7f2ae28f13,"",Forward,100058798411,100058798411,11504,1264.76,5.0,1500.0,0.0,1500.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1499.0
NFT-/XUTR/DEUTH02613436453X,40.24,0.0,0.0,1999.0,845.0,219.362,4.024,0.0,0.0,prepaid,0.805,0.0,0.0,27.0,0.0,31.86,588.949,"",'132898034850234673801,2026-05-14,11113682106,30c9aa59-3ee0-4ba3-a81b-093337dbfaae,"",Forward,100058953013,100058953013,11504,804.76,5.0,1060.0,0.0,1060.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,939.0
NFT-/XUTR/DEUTH02613436453X,28.67,0.0,0.0,1699.0,602.0,156.279,2.867,0.0,0.0,prepaid,0.573,0.0,0.0,27.0,0.0,31.86,410.421,"",'132902837493645882003,2026-05-14,11114863354,df0ad70b-98d8-4a94-87c2-ceb071862044,"",Forward,100060134250,100060134250,11504,573.33,5.0,1003.0,0.0,1003.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,695.98
NFT-/XUTR/DEUTH02613436453X,37.81,0.0,0.0,1990.0,794.0,206.122,3.781,0.0,0.0,prepaid,0.756,0.0,0.0,27.0,0.0,31.86,551.481,"",'132898798648209857203,2026-05-14,11113894236,7b8c9069-0c22-4eb3-8522-6c941aaf1453,"",Forward,100059165143,1000017525359,11504,756.19,5.0,1102.0,0.0,1102.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,888.0
NFT-/XUTR/DEUTH02613436453X,27.19,0.0,0.0,1799.0,571.0,148.232,2.719,0.0,0.0,prepaid,0.544,182.0,0.0,0.0,0.0,214.76,-634.265,"",'132915231272768326001,2026-05-14,11117089903,e69a135f-ed92-4b77-9bf4-1e4ba54fcf7e,100156729695,Reverse,100062360769,1000018108107,11504,543.81,5.0,1134.0,0.0,1134.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,665.0
