NEFT_Ref,igst_amount,cgst_amount,sgst_amount,MRP,customer_paid_amt,Commission,IGST_TCS,CGST_TCS,SGST_TCS,Payment_Type,TDS,Shipping_Fee,pick_and_pack_fee,fixed_fee,Payment_Gateway_Fee,Logistics_Commission,Settled_Amount,NOD_Comment,Store_Order_id,Payment_Date,order_line_id,seller_order_id,return_id,Order_Type,order_release_id,Packet_Id,Seller_Id,taxable_amount,Tax_Rate,seller_discount,platform_discount,total_discount,comments,fwdAdditionalCharges,rvsAdditionalCharges,techEnablement,airLogistics,royaltyCharges,royaltyPercent,marketingCharges,marketingPercent,marketingContribution,commission_discount,sale_Total_Customer_Paid
NFT-/XUTR/DEUTH02617636752X,48.81,0.0,0.0,1899.0,1025.0,241.9,4.881,0.0,0.0,prepaid,0.976,0.0,0.0,49.0,0.0,57.82,719.423,"",'133269651956376494603,2026-06-25,11213211842,a29937f6-ff2d-4f6d-a07e-9c02240f44d6,"",Forward,100158482521,100158482521,11504,976.19,5.0,703.0,0.0,703.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1196.0
NFT-/XUTR/DEUTH02617636752X,39.57,0.0,0.0,1850.0,831.0,215.728,3.957,0.0,0.0,prepaid,0.791,182.0,0.0,0.0,0.0,214.76,-825.284,"",'133252329912321203501,2026-06-25,11207557431,de9192ad-3461-4794-97ce-d59e4162e176,11207557431,Reverse,100152828114,1000042417570,11504,791.43,5.0,925.0,0.0,925.0,exchange,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,925.0
NFT-/XUTR/DEUTH02617636752X,16.57,0.0,0.0,1699.0,348.0,16.426,1.657,0.0,0.0,prepaid,0.331,0.0,0.0,3.0,0.0,3.54,326.046,"",'133273526774743298701,2026-06-25,11215312406,441f7b53-82de-4192-bb83-6dcaad04b323,"",Forward,100160583085,100160583085,11504,331.43,5.0,1257.0,0.0,1257.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,442.0
NFT-/XUTR/DEUTH02617636752X,18.57,0.0,0.0,1999.0,390.0,41.418,1.857,0.0,0.0,prepaid,0.371,0.0,0.0,30.0,0.156,35.58408,310.77,"",'133261433999632442003,2026-06-25,11210394621,000b1af8-a47a-4078-8b8f-a00f9490052f,"",Forward,100155665302,100155665302,11504,371.43,5.0,1550.0,0.0,1550.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,449.0
NFT-/XUTR/DEUTH02617636752X,43.1,0.0,0.0,1999.0,745.0,193.402,3.548,0.0,0.0,prepaid,0.71,149.823,0.0,0.0,0.0,176.79114,-724.131,"",'133263799192632415503,2026-06-25,11211384473,ca01f4d4-6110-4a09-b188-ec18f0f758a3,100174729790,Reverse,100156655153,100156655153,11504,861.9,5.0,1000.0,160.0,1160.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,999.0
NFT-/XUTR/DEUTH02617636752X,41.95,0.0,0.0,1799.0,881.0,228.708,4.195,0.0,0.0,prepaid,0.839,0.0,0.0,31.0,0.0,36.58,610.678,"",'133281246859947889901,2026-06-25,11217220173,1c3399ca-e38f-4dc7-8dfc-dd42733139c2,"",Forward,100162490853,100162490853,11504,839.05,5.0,747.0,0.0,747.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1052.0
NFT-/XUTR/DEUTH02617636752X,49.67,0.0,0.0,2699.0,1012.0,250.77400000000003,4.819,0.0,0.0,prepaid,0.964,0.0,0.0,47.544,0.0,56.10192,699.341,"",'133261102407159038701,2026-06-25,11210250367,dd3b9bf5-3d34-4ec4-a8d1-6383d1013400,"",Forward,100155521047,1000044004158,11504,993.33,5.0,1485.0,31.0,1516.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1214.0
NFT-/XUTR/DEUTH02617636752X,0.0,21.31,21.31,2999.0,895.0,232.342,0.0,2.131,2.131,prepaid,0.852,106.0,0.0,0.0,0.0,125.08,-782.624,"",'133291044185030729501,2026-06-25,11220042764,fab35c39-0c4a-470a-8206-5ef443385664,100173495210,Reverse,100165313442,1000046301125,11504,852.38,5.0,2010.0,0.0,2010.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,988.9999999999999
NFT-/XUTR/DEUTH02617636752X,33.0,0.0,0.0,1750.0,693.0,179.903,3.3,0.0,0.0,prepaid,0.66,0.0,0.0,31.0,0.0,36.58,472.557,"",'133290941636131669301,2026-06-25,11220006251,df1d0d47-0ae7-45fe-a37a-37934a9d14dd,"",Forward,100165276929,100165276929,11504,660,5.0,963.0,0.0,963.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,787.0
NFT-/XUTR/DEUTH02617636752X,38.33,0.0,0.0,2499.0,805.0,208.978,3.833,0.0,0.0,prepaid,0.767,182.0,0.0,0.0,0.0,214.76,-806.182,"",'133252779511989050101,2026-06-25,11207725747,792a2185-fbd3-41c0-909a-f12d2cbde7a5,100172795723,Reverse,100152996430,100152996430,11504,766.67,5.0,1600.0,0.0,1600.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,899.0
NFT-/XUTR/DEUTH02617636752X,38.33,0.0,0.0,1999.0,805.0,208.978,3.833,0.0,0.0,prepaid,0.767,0.0,0.0,31.0,6.762,44.55916,546.863,"",'133262250378488719801,2026-06-25,11210745873,774e6ead-4fdb-4676-8d0c-da5c66a4a82a,"",Forward,100156016553,100156016553,11504,766.67,5.0,1100.0,0.0,1100.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,899.0
NFT-/XUTR/DEUTH02617636752X,56.1,0.0,0.0,2999.0,1178.0,291.908,5.61,0.0,0.0,prepaid,1.122,0.0,0.0,49.0,0.0,57.82,821.54,"",'133265220989865215303,2026-06-25,11212112461,5af7f797-60e8-4f3f-a074-36683865df8c,"",Forward,100157383141,1000043966365,11504,1121.9,5.0,1650.0,0.0,1650.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1349.0
NFT-/XUTR/DEUTH02617636752X,40.71,0.0,0.0,1899.0,855.0,221.958,4.071,0.0,0.0,prepaid,0.814,0.0,0.0,31.0,0.0,36.58,591.577,"",'133256085343590577103,2026-06-25,11209011066,2ad5df66-0732-44b5-ae0e-bd02e960459b,"",Forward,100154281747,100154281747,11504,814.29,5.0,950.0,0.0,950.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,949.0
NFT-/XUTR/DEUTH02617636752X,24.62,0.0,0.0,1699.0,517.0,134.213,2.462,0.0,0.0,prepaid,0.492,0.0,0.0,31.0,0.0,36.58,343.253,"",'133257009739752025303,2026-06-25,11209350576,b67c9a62-db19-4dd9-bd29-533118a5cb34,"",Forward,100154621256,1000043003746,11504,492.38,5.0,1088.0,0.0,1088.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,611.0
NFT-/XUTR/DEUTH02617636752X,29.81,0.0,0.0,1799.0,626.0,131.46,2.981,0.0,0.0,prepaid,0.596,0.0,0.0,27.0,0.0,31.86,459.103,"",'133253678905163821601,2026-06-25,11208054682,3f7fe616-74ac-4c6d-81f1-2b0ac159634d,"",Forward,100153325365,100153325365,11504,596.19,5.0,1079.0,0.0,1079.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,720.0
NFT-/XUTR/DEUTH02617636752X,0.0,25.93,25.93,1799.0,1089.0,257.004,0.0,2.593,2.593,prepaid,1.037,0.0,0.0,49.0,0.0,57.82,767.953,"",'133267429356851957301,2026-06-25,11212415048,4cb86376-3bfd-44ef-9150-2e472f8d347e,"",Forward,100157685727,100157685727,11504,1037.14,5.0,539.0,0.0,539.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1260.0000000000002
NFT-/XUTR/DEUTH02617636752X,24.67,0.0,0.0,1699.0,518.0,108.78,2.467,0.0,0.0,prepaid,0.493,0.0,0.0,27.0,0.0,31.86,374.4,"",'133264308561640533801,2026-06-25,11211620241,de657561-93a7-4a9a-a4c2-a900ed71c6f9,"",Forward,100156890921,100156890921,11504,493.33,5.0,1087.0,0.0,1087.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,612.0
NFT-/XUTR/DEUTH02617636752X,81.81,0.0,0.0,2699.0,716.72,177.603,3.413,0.0,0.0,prepaid,0.683,0.0,0.0,20.442,0.0,24.12156,510.899,"",'133253049517348762403,2026-06-25,11207824964,b823b980-81ab-4d36-a687-0bdeedb3107e,"",Forward,100153095647,100153095647,11504,1636.19,5.0,810.0,0.0,810.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1889.0
NFT-/XUTR/DEUTH02617636752X,29.81,0.0,0.0,1599.0,626.0,162.51,2.981,0.0,0.0,prepaid,0.596,0.0,0.0,31.0,0.0,36.58,423.333,"",'133278762102387369303,2026-06-25,11216392240,b3dd1259-fbd2-4c9e-89e8-a4c19e428914,"",Forward,100161662919,100161662919,11504,596.19,5.0,879.0,0.0,879.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,720.0
NFT-/XUTR/DEUTH02617636752X,63.24,0.0,0.0,2999.0,1328.0,329.078,6.324,0.0,0.0,prepaid,1.265,182.0,0.0,0.0,0.0,214.76,-1206.093,"",'133246600400208253801,2026-06-25,11206077626,44802267-b786-4129-8955-d8278b7c6b3b,100172214051,Reverse,100151348309,100151348309,11504,1264.76,5.0,1500.0,0.0,1500.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1499.0
NFT-/XUTR/DEUTH02617636752X,49.71,0.0,0.0,2999.0,1044.0,258.703,4.971,0.0,0.0,prepaid,0.994,182.0,0.0,0.0,0.0,214.76,-994.092,"",'133243691596352153101,2026-06-25,11204955484,5ddb7e4b-d3e1-4d7e-95ba-197fbf90566b,100173938334,Reverse,100150226167,100150226167,11504,994.29,5.0,1784.0,0.0,1784.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1215.0
