NEFT_Ref,igst_amount,cgst_amount,sgst_amount,MRP,customer_paid_amt,Commission,IGST_TCS,CGST_TCS,SGST_TCS,Payment_Type,TDS,Shipping_Fee,pick_and_pack_fee,fixed_fee,Payment_Gateway_Fee,Logistics_Commission,Settled_Amount,NOD_Comment,Store_Order_id,Payment_Date,order_line_id,seller_order_id,return_id,Order_Type,order_release_id,Packet_Id,Seller_Id,taxable_amount,Tax_Rate,seller_discount,platform_discount,total_discount,comments,fwdAdditionalCharges,rvsAdditionalCharges,techEnablement,airLogistics,royaltyCharges,royaltyPercent,marketingCharges,marketingPercent,marketingContribution,commission_discount,sale_Total_Customer_Paid
NFT-/XUTR/DEUTH02616883380X,35.67,0.0,0.0,1999.0,749.0,194.44,3.567,0.0,0.0,prepaid,0.713,182.0,0.0,0.0,0.0,214.76,-765.04,"",'133190029802748840103,2026-06-17,11183148167,a50711d7-619b-4b54-9f23-4a6c1ccecec7,100168041359,Reverse,100128418855,100128418855,11504,713.33,5.0,1156.0,0.0,1156.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,843.0
NFT-/XUTR/DEUTH02616883380X,33.81,0.0,0.0,3499.0,710.0,184.316,3.381,0.0,0.0,prepaid,0.676,0.0,0.0,31.0,5.964,43.61752,478.009,"",'133187258114738664601,2026-06-17,11181939916,2a4d1769-ca04-425a-a1a1-9a40e900b1af,"",Forward,100127210604,100127210604,11504,676.19,5.0,2695.0,0.0,2695.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,804.0
NFT-/XUTR/DEUTH02616883380X,36.0,0.0,0.0,2799.0,756.0,196.258,3.6,0.0,0.0,prepaid,0.72,0.0,0.0,31.0,0.0,36.58,518.842,"",'133192165712358281201,2026-06-17,11184700817,3fce93df-ca48-4e7c-8860-7633dc262121,"",Forward,100129971505,100129971505,11504,720,5.0,1949.0,0.0,1949.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,850.0
NFT-/XUTR/DEUTH02616883380X,27.33,0.0,0.0,1699.0,574.0,149.01,2.733,0.0,0.0,prepaid,0.547,0.0,0.0,31.0,0.0,36.58,385.13,"",'133182398774883763803,2026-06-17,11178998415,b417f8b9-9ba5-47c2-a44f-8878ba3d0e6f,"",Forward,100124269103,1000034503207,11504,546.67,5.0,1031.0,0.0,1031.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,668.0
NFT-/XUTR/DEUTH02616883380X,70.38,0.0,0.0,3299.0,1478.0,366.248,7.038,0.0,0.0,prepaid,1.408,0.0,0.0,49.0,0.0,57.82,1045.486,"",'133220437176653415303,2026-06-17,11197709769,699bb7fb-0f89-4680-a29c-b7a421053ee6,"",Forward,100142980455,100142980455,11504,1407.62,5.0,1650.0,0.0,1650.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1649.0
NFT-/XUTR/DEUTH02616883380X,60.86,0.0,0.0,2899.0,1278.0,316.688,6.086,0.0,0.0,prepaid,1.217,106.0,0.0,0.0,0.0,125.08,-1079.089,"",'133213592763563770903,2026-06-17,11195733166,342d691b-cc74-4eed-85c7-b457936d51f6,100168684293,Reverse,100141003852,100141003852,11504,1217.14,5.0,1450.0,0.0,1450.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1449.0
NFT-/XUTR/DEUTH02616883380X,56.1,0.0,0.0,2699.0,1020.999,253.003,4.862,0.0,0.0,prepaid,0.972,0.0,0.0,42.469,0.0,50.11342,712.049,"",'133186016702957433801,2026-06-17,11180955669,80a77a01-a85b-4e81-b11d-aacf2e3c9f5a,"",Forward,100126226357,100126226357,11504,1121.9,5.0,1350.0,157.0,1507.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1349.0
NFT-/XUTR/DEUTH02616883380X,63.24,0.0,0.0,2999.0,1328.0,329.078,6.324,0.0,0.0,prepaid,1.265,127.0,0.0,0.0,0.0,149.86,-1141.193,"",'133194615313762922603,2026-06-17,11186316951,a54a93b6-1ba9-45a0-8084-7aedbd7ad30a,100168058365,Reverse,100131587638,100131587638,11504,1264.76,5.0,1500.0,0.0,1500.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1499.0
NFT-/XUTR/DEUTH02616883380X,29.24,0.0,0.0,1799.0,614.0,159.394,2.924,0.0,0.0,prepaid,0.585,0.0,0.0,31.0,0.0,36.58,414.517,"",'133186807970552040301,2026-06-17,11181447957,0ad47cc1-1b15-4505-acb2-dc90edd6b83f,"",Forward,100126718645,100126718645,11504,584.76,5.0,1091.0,0.0,1091.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,708.0
NFT-/XUTR/DEUTH02616883380X,35.95,0.0,0.0,1699.0,755.0,195.998,3.595,0.0,0.0,prepaid,0.719,182.0,0.0,0.0,0.0,214.76,-769.448,"",'133189484987850757103,2026-06-17,11182967452,9245a26b-dd85-4f07-84c3-ada39bf1a6df,100168050563,Reverse,100128238140,100128238140,11504,719.05,5.0,850.0,0.0,850.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,849.0
