NEFT_Ref,igst_amount,cgst_amount,sgst_amount,MRP,customer_paid_amt,Commission,IGST_TCS,CGST_TCS,SGST_TCS,Payment_Type,TDS,Shipping_Fee,pick_and_pack_fee,fixed_fee,Payment_Gateway_Fee,Logistics_Commission,Settled_Amount,NOD_Comment,Store_Order_id,Payment_Date,order_line_id,seller_order_id,return_id,Order_Type,order_release_id,Packet_Id,Seller_Id,taxable_amount,Tax_Rate,seller_discount,platform_discount,total_discount,comments,fwdAdditionalCharges,rvsAdditionalCharges,techEnablement,airLogistics,royaltyCharges,royaltyPercent,marketingCharges,marketingPercent,marketingContribution,commission_discount,sale_Total_Customer_Paid
NFT-/XUTR/DEUTH026124A05FZX,19.1,0.0,0.0,1599.0,6.95,0.32799999999999996,0.033,0.0,0.0,prepaid,0.007,0.0,0.0,0.26,0.0,0.3068,6.275,"",'132797805780241484801,2026-05-04,11094258224,69fcf537-f164-4938-ac51-beb167aa828e,"",Forward,100039529266,1000012164264,11504,381.9,5.0,1104.0,0.0,1104.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,495.0
NFT-/XUTR/DEUTH026124A05FZX,30.71,0.0,0.0,1999.0,645.0,30.443999999999996,3.071,0.0,0.0,prepaid,0.614,0.0,0.0,27.0,0.0,31.86,579.011,"",'132800856227896165203,2026-05-04,11094679996,b8085c0e-0172-4282-acbd-49e8842890a1,"",Forward,100039951038,1000011606267,11504,614.29,5.0,1260.0,0.0,1260.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,739.0
NFT-/XUTR/DEUTH026124A05FZX,0.0,29.43,29.43,3499.0,1236.0,306.281,0.0,2.943,2.943,prepaid,1.177,0.0,0.0,45.0,0.0,53.1,869.556,"",'132836824975843664503,2026-05-04,11102255807,1fff79dd-e80e-47e8-9447-342c1ccd6ffe,"",Forward,100047526834,1000013779167,11504,1177.14,5.0,2092.0,0.0,2092.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1407.0000000000002
NFT-/XUTR/DEUTH026124A05FZX,60.86,0.0,0.0,2899.0,1278.0,316.688,6.086,0.0,0.0,prepaid,1.217,167.0,0.0,0.0,0.0,197.06,-1151.069,"",'132784203292556166701,2026-05-04,11090634744,11e825c4-0ecd-48cf-b593-3f5ad08c0e36,100152165459,Reverse,100035905795,100035905795,11504,1217.14,5.0,1450.0,0.0,1450.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1448.98
NFT-/XUTR/DEUTH026124A05FZX,70.38,0.0,0.0,3299.0,1478.0,366.248,7.038,0.0,0.0,prepaid,1.408,106.0,0.0,0.0,0.0,125.08,-1228.386,"",'132823311152679367701,2026-05-04,11099661304,7022688c-28ed-4909-b72e-df678d4c16b8,100152770128,Reverse,100044932338,100044932338,11504,1407.62,5.0,1650.0,0.0,1650.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1649.01
NFT-/XUTR/DEUTH026124A05FZX,37.19,0.0,0.0,1750.0,781.0,202.748,3.719,0.0,0.0,prepaid,0.744,0.0,0.0,27.0,0.0,31.86,541.929,"",'132789760415013733101,2026-05-04,11092480239,c73d9c88-90e2-470c-960c-28cca5d157d4,"",Forward,100037751284,100037751284,11504,743.81,5.0,875.0,0.0,875.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,875.0
NFT-/XUTR/DEUTH026124A05FZX,31.29,0.0,0.0,1599.0,657.0,170.557,3.129,0.0,0.0,prepaid,0.626,0.0,0.0,27.0,0.0,31.86,450.828,"",'132814700715451135003,2026-05-04,11097857570,7c7ccc56-0621-443e-a005-65d9a15e3c97,"",Forward,100043128607,100043128607,11504,625.71,5.0,848.0,0.0,848.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,751.0
NFT-/XUTR/DEUTH026124A05FZX,19.1,0.0,0.0,1599.0,401.0,18.927,1.91,0.0,0.0,prepaid,0.382,0.0,0.0,15.0,0.0,17.7,362.081,"",'132818411244368512503,2026-05-04,11098424385,f6e6143e-a73c-436e-ba66-e406ad9e91a9,"",Forward,100043695421,100043695421,11504,381.9,5.0,1104.0,0.0,1104.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,495.0
NFT-/XUTR/DEUTH026124A05FZX,0.0,21.52,21.52,1999.0,904.0,234.678,0.0,2.1525,2.1525,prepaid,0.861,0.0,0.0,27.0,0.0,31.86,632.296,"",'132841404358825163703,2026-05-04,11103564977,69efec96-efab-4519-af5a-4eff701a7de1,"",Forward,100048835986,100048835986,11504,860.96,5.0,1001.0,0.0,1001.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,998.0
NFT-/XUTR/DEUTH026124A05FZX,63.24,0.0,0.0,2999.0,1328.0,329.078,6.324,0.0,0.0,prepaid,1.265,106.0,0.0,0.0,0.0,125.08,-1116.413,"",'132824868423082570101,2026-05-04,11100155877,c238ab35-a459-43d2-94be-66fbfcd81a45,11100155877,Reverse,100045426910,1000013234479,11504,1264.76,5.0,1500.0,0.0,1500.0,exchange,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1499.0
