NEFT_Ref,igst_amount,cgst_amount,sgst_amount,MRP,customer_paid_amt,Commission,IGST_TCS,CGST_TCS,SGST_TCS,Payment_Type,TDS,Shipping_Fee,pick_and_pack_fee,fixed_fee,Payment_Gateway_Fee,Logistics_Commission,Settled_Amount,NOD_Comment,Store_Order_id,Payment_Date,order_line_id,seller_order_id,return_id,Order_Type,order_release_id,Packet_Id,Seller_Id,taxable_amount,Tax_Rate,seller_discount,platform_discount,total_discount,comments,fwdAdditionalCharges,rvsAdditionalCharges,techEnablement,airLogistics,royaltyCharges,royaltyPercent,marketingCharges,marketingPercent,marketingContribution,commission_discount,sale_Total_Customer_Paid
NFT-/XUTR/DEUTH026133A0QZ3X,56.71,0.0,0.0,2899.0,36.09,8.943,0.172,0.0,0.0,prepaid,0.034,0.0,0.0,1.364,0.0,1.60952,25.331,"",'132909585236996946101,2026-05-13,11116180372,697b454b-2313-4991-a00b-ea366d2c74ee,"",Forward,100061451247,100061451247,11504,1134.29,5.0,1537.0,0.0,1537.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1362.01
NFT-/XUTR/DEUTH026133A0QZ3X,75.19,0.0,0.0,1750.0,1579.0,372.644,7.519,0.0,0.0,prepaid,1.504,0.0,0.0,45.0,0.0,53.1,1144.233,"",'132917997673792676403,2026-05-13,11117724798,1dcbce45-77e6-46d1-8595-c0fc85d512ac,"",Forward,100062995662,1000018282505,11504,1503.81,5.0,0.0,0.0,0.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1750.0
NFT-/XUTR/DEUTH026133A0QZ3X,0.0,20.36,20.36,1999.0,855.0,221.958,0.0,2.0355,2.0355,prepaid,0.814,0.0,0.0,27.0,0.0,31.86,596.297,"",'132918542469297174201,2026-05-13,11117859120,4b6a9c2a-bd41-40d8-b053-01372eced367,"",Forward,100063129983,100063129983,11504,814.28,5.0,1050.0,0.0,1050.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,949.0
NFT-/XUTR/DEUTH026133A0QZ3X,19.1,0.0,0.0,1599.0,401.0,18.927,1.91,0.0,0.0,prepaid,0.382,0.0,0.0,15.0,0.0,17.7,362.081,"",'132899851685342036401,2026-05-13,11114164600,9a061d0e-d3d0-469b-accc-fe5a1b7d5a54,"",Forward,100059435498,1000017248697,11504,381.9,5.0,1104.0,0.0,1104.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,495.0
NFT-/XUTR/DEUTH026133A0QZ3X,33.52,0.0,0.0,1699.0,704.0,182.758,3.352,0.0,0.0,prepaid,0.67,182.0,0.0,0.0,0.0,214.76,-731.98,"",'132893279443547393501,2026-05-13,11113010980,6d73e257-647d-4fca-bb31-b4684a29a566,100157271840,Reverse,100058281905,1000016879714,11504,670.48,5.0,901.0,0.0,901.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,798.0
NFT-/XUTR/DEUTH026133A0QZ3X,40.71,0.0,0.0,1899.0,855.0,221.958,4.071,0.0,0.0,prepaid,0.814,0.0,0.0,27.0,0.0,31.86,596.297,"",'132899412453654482403,2026-05-13,11114055508,0bd92b54-3152-4c1e-beab-c583496911b8,"",Forward,100059326410,100059326410,11504,814.29,5.0,950.0,0.0,950.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,949.0
NFT-/XUTR/DEUTH026133A0QZ3X,43.1,0.0,0.0,1999.0,904.9999999999999,234.938,4.31,0.0,0.0,prepaid,0.862,127.0,0.0,0.0,0.0,149.86,-814.75,"",'132909852557470448601,2026-05-13,11116255521,6964369d-735f-47f6-b704-b3c8fa0cdbff,100156204382,Reverse,100061526396,100061526396,11504,861.9,5.0,1000.0,0.0,1000.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,999.0
NFT-/XUTR/DEUTH026133A0QZ3X,37.19,0.0,0.0,1750.0,781.0,202.748,3.719,0.0,0.0,prepaid,0.744,0.0,0.0,27.0,0.0,31.86,541.929,"",'132923961463601934701,2026-05-13,11118681101,80e38fde-fa1e-4fca-bd4b-420da6303c33,"",Forward,100063951941,100063951941,11504,743.81,5.0,875.0,0.0,875.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,875.0
NFT-/XUTR/DEUTH026133A0QZ3X,35.76,0.0,0.0,1799.0,751.0,194.96,3.576,0.0,0.0,prepaid,0.715,182.0,0.0,0.0,0.0,214.76,-766.509,"",'132890859578153165101,2026-05-13,11112429437,4d324d26-6f79-4b40-9ebc-14c265d68ed6,100156524770,Reverse,100057700367,100057700367,11504,715.24,5.0,954.0,0.0,954.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,845.0
NFT-/XUTR/DEUTH026133A0QZ3X,19.1,0.0,0.0,1650.0,401.0,18.927,1.91,0.0,0.0,prepaid,0.382,0.0,0.0,15.0,0.0,17.7,362.081,"",'132918644710652783203,2026-05-13,11117887098,0ecd53c1-60ba-41dc-9bfb-3f7c042e08e0,"",Forward,100063157961,100063157961,11504,381.9,5.0,1155.0,0.0,1155.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,495.0
