NEFT_Ref,igst_amount,cgst_amount,sgst_amount,MRP,customer_paid_amt,Commission,IGST_TCS,CGST_TCS,SGST_TCS,Payment_Type,TDS,Shipping_Fee,pick_and_pack_fee,fixed_fee,Payment_Gateway_Fee,Logistics_Commission,Settled_Amount,NOD_Comment,Store_Order_id,Payment_Date,order_line_id,seller_order_id,return_id,Order_Type,order_release_id,Packet_Id,Seller_Id,taxable_amount,Tax_Rate,seller_discount,platform_discount,total_discount,comments,fwdAdditionalCharges,rvsAdditionalCharges,techEnablement,airLogistics,royaltyCharges,royaltyPercent,marketingCharges,marketingPercent,marketingContribution,commission_discount,sale_Total_Customer_Paid
NFT-/XUTR/DEUTH026126A0Q80X,36.0,0.0,0.0,2299.0,756.0,35.683,3.6,0.0,0.0,prepaid,0.72,0.0,0.0,27.0,0.0,31.86,684.137,"",'132829541977932443401,2026-05-06,11100852478,c21c82ba-b78d-42c2-bc2b-512bcd125e06,"",Forward,100046123511,100046123511,11504,720,5.0,1449.0,0.0,1449.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,850.0
NFT-/XUTR/DEUTH026126A0Q80X,70.38,0.0,0.0,3299.0,1478.0,366.248,7.038,0.0,0.0,prepaid,1.408,0.0,0.0,45.0,0.0,53.1,1050.206,"",'132835948087289508101,2026-05-06,11102068431,6028787d-70d9-423f-a047-07abd263eedb,"",Forward,100047339458,100047339458,11504,1407.62,5.0,1650.0,0.0,1650.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1649.0
NFT-/XUTR/DEUTH026126A0Q80X,0.0,42.57,42.57,2999.0,1788.0,443.066,0.0,4.257,4.257,prepaid,1.703,0.0,0.0,45.0,0.0,53.1,1281.617,"",'132854888820080296201,2026-05-06,11106118917,e752d49a-466b-4983-9b0f-5e7d1fa22b3c,"",Forward,100051389898,100051389898,11504,1702.86,5.0,1005.0,0.0,1005.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1993.9999999999998
NFT-/XUTR/DEUTH026126A0Q80X,19.0,0.0,0.0,1450.0,399.0,18.833,1.9,0.0,0.0,prepaid,0.38,182.0,0.0,0.0,0.0,214.76,-592.647,"",'132832081815611553903,2026-05-06,11101508810,a140f0b5-67b1-44bb-bffa-bfaba265b09e,100154043882,Reverse,100046779837,100046779837,11504,380,5.0,957.0,0.0,957.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,493.0
NFT-/XUTR/DEUTH026126A0Q80X,35.86,0.0,0.0,1899.0,753.0,195.479,3.586,0.0,0.0,prepaid,0.717,0.0,0.0,27.0,0.0,31.86,521.358,"",'132841564297317000603,2026-05-06,11103616004,16394d9a-fe92-48ae-a6fc-a68187f7a5a7,"",Forward,100048887013,1000014053987,11504,717.14,5.0,1052.0,0.0,1052.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,847.0
NFT-/XUTR/DEUTH026126A0Q80X,42.52,0.0,0.0,2599.0,893.0,231.823,4.252,0.0,0.0,prepaid,0.85,0.0,0.0,27.0,0.0,31.86,624.215,"",'132823678709695671801,2026-05-06,11099793625,56117146-f0aa-4688-89f7-291cd7b7582f,"",Forward,100045064658,100045064658,11504,850.48,5.0,1612.0,0.0,1612.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,986.99
NFT-/XUTR/DEUTH026126A0Q80X,0.0,33.21,33.21,3299.0,1395.0,345.681,0.0,3.3215,3.3215,prepaid,1.329,0.0,0.0,45.0,0.0,53.1,988.247,"",'132862120037937411303,2026-05-06,11107277623,1f17117e-8e24-4b56-aaf7-e2c23937ccfa,"",Forward,100052548603,100052548603,11504,1328.58,5.0,1733.0,0.0,1733.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1566.0
NFT-/XUTR/DEUTH026126A0Q80X,59.71,0.0,0.0,2999.0,1254.0,310.741,5.971,0.0,0.0,prepaid,1.194,182.0,0.0,0.0,0.0,214.76,-1150.854,"",'132836419338487841703,2026-05-06,11102156892,ab4a5491-eb24-4852-a725-897f85b5cb2a,100153942105,Reverse,100047427919,100047427919,11504,1194.29,5.0,1574.0,0.0,1574.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1425.0
NFT-/XUTR/DEUTH026126A0Q80X,23.71,0.0,0.0,1650.0,498.0,23.506,2.371,0.0,0.0,prepaid,0.474,182.0,0.0,0.0,0.0,214.76,-686.409,"",'132837685048771758501,2026-05-06,11102523761,54ef008b-9e23-483a-832a-284a82d718f3,100154235135,Reverse,100047794788,100047794788,11504,474.29,5.0,1058.0,0.0,1058.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,592.0
NFT-/XUTR/DEUTH026126A0Q80X,82.29,0.0,0.0,1899.0,1728.0,407.808,8.229,0.0,0.0,prepaid,1.646,0.0,0.0,45.0,0.0,53.1,1257.217,"",'132834364883875463003,2026-05-06,11101970635,b4ce2b8d-f72a-44e1-a5d2-c0bc655d653b,"",Forward,100047241662,100047241662,11504,1645.71,5.0,0.0,0.0,0.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1899.0
