NEFT_Ref,igst_amount,cgst_amount,sgst_amount,MRP,customer_paid_amt,Commission,IGST_TCS,CGST_TCS,SGST_TCS,Payment_Type,TDS,Shipping_Fee,pick_and_pack_fee,fixed_fee,Payment_Gateway_Fee,Logistics_Commission,Settled_Amount,NOD_Comment,Store_Order_id,Payment_Date,order_line_id,seller_order_id,return_id,Order_Type,order_release_id,Packet_Id,Seller_Id,taxable_amount,Tax_Rate,seller_discount,platform_discount,total_discount,comments,fwdAdditionalCharges,rvsAdditionalCharges,techEnablement,airLogistics,royaltyCharges,royaltyPercent,marketingCharges,marketingPercent,marketingContribution,commission_discount,sale_Total_Customer_Paid
NFT-/XUTR/DEUTH02614789183X,0.0,12.29,12.29,1650.0,516.0,133.954,0.0,1.2285,1.2285,prepaid,0.491,106.0,0.0,0.0,0.0,125.08,-504.178,"",'133037459550071519903,2026-05-27,11141417553,24e04276-c1e7-4cd1-b8d1-0c4b9bae3363,100160739500,Reverse,100086688305,1000025462949,11504,491.42,5.0,1040.0,0.0,1040.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,610.0
NFT-/XUTR/DEUTH02614789183X,41.19,0.0,0.0,2999.0,865.0,224.554,4.119,0.0,0.0,prepaid,0.824,0.0,0.0,27.0,3.892,36.45256,599.05,"",'133014143736875689403,2026-05-27,11136344876,8fd7df6b-2e5f-49d3-b256-c3dd7330108b,"",Forward,100081615659,100081615659,11504,823.81,5.0,2040.0,0.0,2040.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,959.0
NFT-/XUTR/DEUTH02614789183X,63.24,0.0,0.0,2999.0,1319.0,326.848,6.281,0.0,0.0,prepaid,1.256,0.0,0.0,44.695,0.0,52.7401,931.875,"",'133009379131497959003,2026-05-27,11135056020,09188a4d-a95c-4acb-9aae-332598be7ce8,"",Forward,100080326808,1000023525374,11504,1264.76,5.0,1500.0,9.0,1509.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1499.0
NFT-/XUTR/DEUTH02614789183X,87.05,0.0,0.0,1999.0,1828.0,431.408,8.705,0.0,0.0,prepaid,1.741,0.0,0.0,45.0,0.0,53.1,1333.046,"",'133018497847153394001,2026-05-27,11137016036,12c9dc13-e956-4649-9fb8-60bc8c9b6a97,"",Forward,100082286815,100082286815,11504,1740.95,5.0,0.0,0.0,0.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1999.0
NFT-/XUTR/DEUTH02614789183X,37.19,0.0,0.0,1750.0,781.0,202.748,3.719,0.0,0.0,prepaid,0.744,0.0,0.0,27.0,0.0,31.86,541.929,"",'133010691044919300701,2026-05-27,11135420315,c3e64700-c92e-40a6-ae3a-d88fbd0c6efb,"",Forward,100080691102,1000023604484,11504,743.81,5.0,875.0,0.0,875.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,875.0
NFT-/XUTR/DEUTH02614789183X,487.07,0.0,0.0,3399.0,3193.0,753.548,13.53,0.0,0.0,prepaid,2.706,0.0,0.0,61.0,0.0,71.98,2351.236,"",'133039817361162580001,2026-05-27,11142036034,6ce91ea4-df5c-4f4d-accb-0222aeb7abdf,"",Forward,100087306786,1000025895805,11504,2705.93,18.0,0.0,0.0,0.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,3399.0
NFT-/XUTR/DEUTH02614789183X,0.0,39.24,39.24,2599.0,1648.0,408.374,0.0,3.924,3.924,prepaid,1.57,106.0,0.0,0.0,0.0,125.08,-1355.288,"",'133030233045665946703,2026-05-27,11139963704,da416b90-064b-4ce9-a625-35e005f3d137,100160677443,Reverse,100085234462,1000025365366,11504,1569.52,5.0,780.0,0.0,780.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1819.0
NFT-/XUTR/DEUTH02614789183X,39.29,0.0,0.0,2999.0,825.0,214.17,3.929,0.0,0.0,prepaid,0.786,0.0,0.0,27.0,0.0,31.86,574.255,"",'133036825241439305401,2026-05-27,11141254558,ca8f9e6e-b716-4c72-9433-f1261230d1ba,"",Forward,100086525312,100086525312,11504,785.71,5.0,2003.0,0.0,2003.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,996.0
NFT-/XUTR/DEUTH02614789183X,17.67,0.0,0.0,1499.0,371.0,17.511,1.767,0.0,0.0,prepaid,0.353,0.0,0.0,0.0,0.0,0.0,351.369,"",'133022970537196235503,2026-05-27,11138401771,7a72a0e6-a0e8-4a47-8f8d-67277fd1fc52,"",Forward,100083672536,100083672536,11504,353.33,5.0,1069.0,0.0,1069.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,430.0
NFT-/XUTR/DEUTH02614789183X,63.24,0.0,0.0,2999.0,1328.0,329.078,6.324,0.0,0.0,prepaid,1.265,0.0,0.0,45.0,0.0,53.1,938.233,"",'133017945212880630503,2026-05-27,11136857299,b5dcfc06-0db7-402c-b317-e72330d7b223,"",Forward,100082128079,100082128079,11504,1264.76,5.0,1500.0,0.0,1500.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1499.0
