NEFT_Ref,igst_amount,cgst_amount,sgst_amount,MRP,customer_paid_amt,Commission,IGST_TCS,CGST_TCS,SGST_TCS,Payment_Type,TDS,Shipping_Fee,pick_and_pack_fee,fixed_fee,Payment_Gateway_Fee,Logistics_Commission,Settled_Amount,NOD_Comment,Store_Order_id,Payment_Date,order_line_id,seller_order_id,return_id,Order_Type,order_release_id,Packet_Id,Seller_Id,taxable_amount,Tax_Rate,seller_discount,platform_discount,total_discount,comments,fwdAdditionalCharges,rvsAdditionalCharges,techEnablement,airLogistics,royaltyCharges,royaltyPercent,marketingCharges,marketingPercent,marketingContribution,commission_discount,sale_Total_Customer_Paid
NFT-/XUTR/DEUTH026112A1OZ1X,58.95,0.0,0.0,2999.0,1238.0,306.776,5.895,0.0,0.0,prepaid,1.179,91.0,0.0,0.0,0.0,107.38,-1031.53,"",'132738477517056553003,2026-04-22,11080713538,a6b6d81e-5637-4fa4-8b47-8845fe7a665f,100151494098,Reverse,100025984630,100025984630,11504,1179.05,5.0,1590.0,0.0,1590.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1409.0
NFT-/XUTR/DEUTH026112A1OZ1X,28.1,0.0,0.0,1850.0,590.0,153.164,2.81,0.0,0.0,prepaid,0.562,0.0,0.0,27.0,0.0,31.86,401.604,"",'132712406806592894703,2026-04-22,11074627339,4d41b122-ea49-4c04-b589-839c6fee589f,"",Forward,100019898477,100019898477,11504,561.9,5.0,1166.0,0.0,1166.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,684.0
NFT-/XUTR/DEUTH026112A1OZ1X,72.76,0.0,0.0,1699.0,1528.0,360.608,7.276,0.0,0.0,prepaid,1.455,167.0,0.0,0.0,0.0,197.06,-1355.721,"",'132703579201731265603,2026-04-22,11072544956,47c4ab7e-0089-411a-80d3-088d3481695b,100153180876,Reverse,100017816104,100017816104,11504,1455.24,5.0,0.0,0.0,0.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1699.0
NFT-/XUTR/DEUTH026112A1OZ1X,114.95,0.0,0.0,2620.0,2414.0,569.704,11.495,0.0,0.0,prepaid,2.299,167.0,0.0,0.0,0.0,197.06,-2027.562,"",'132709063946161930601,2026-04-22,11073602436,26524f65-ade1-44b3-8210-d9591d23f1c6,100149256516,Reverse,100018873579,100018873579,11504,2299.05,5.0,0.0,0.0,0.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,2620.0
NFT-/XUTR/DEUTH026112A1OZ1X,115.19,0.0,0.0,2625.0,2419.0,570.884,11.519,0.0,0.0,prepaid,2.304,167.0,0.0,0.0,0.0,197.06,-2031.353,"",'132708351064636177501,2026-04-22,11073371078,dc67222e-5d8c-4e3f-951b-8181ceb398f5,100149254154,Reverse,100018642223,100018642223,11504,2303.81,5.0,0.0,0.0,0.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,2625.0
NFT-/XUTR/DEUTH026112A1OZ1X,39.81,0.0,0.0,2799.0,836.0,217.026,3.981,0.0,0.0,prepaid,0.796,0.0,0.0,27.0,0.0,31.86,582.337,"",'132724848686020990703,2026-04-22,11077135020,9dd50f73-eade-4297-9ace-74ac958c9a16,"",Forward,100022406149,1000006181952,11504,796.19,5.0,1792.0,0.0,1792.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1007.0
NFT-/XUTR/DEUTH026112A1OZ1X,63.43,0.0,0.0,3199.0,1332.0,330.07,6.343,0.0,0.0,prepaid,1.269,0.0,0.0,45.0,0.0,53.1,941.218,"",'132735865530961623401,2026-04-22,11079927999,2cf67ae9-9a51-453a-b1d9-74bf63d09ff2,"",Forward,100025199091,100025199091,11504,1268.57,5.0,1696.0,0.0,1696.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1503.0
NFT-/XUTR/DEUTH026112A1OZ1X,18.95,0.0,0.0,1699.0,398.0,18.786,1.895,0.0,0.0,prepaid,0.379,91.0,0.0,0.0,0.0,107.38,-484.32,"",'132737491387534904401,2026-04-22,11080438183,0f26841c-d8c8-48aa-9141-c6df4662f616,100149582794,Reverse,100025709275,1000007409847,11504,379.05,5.0,1207.0,0.0,1207.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,492.0
NFT-/XUTR/DEUTH026112A1OZ1X,63.24,0.0,0.0,2999.0,1328.0,329.078,6.324,0.0,0.0,prepaid,1.265,0.0,0.0,45.0,0.0,53.1,938.233,"",'132711586500780351801,2026-04-22,11074374410,0eabda60-1dea-4590-aeb7-5698a3022108,"",Forward,100019645548,100019645548,11504,1264.76,5.0,1500.0,0.0,1500.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1499.0
NFT-/XUTR/DEUTH026112A1OZ1X,63.24,0.0,0.0,1499.0,1328.0,313.408,6.324,0.0,0.0,prepaid,1.265,0.0,0.0,45.0,0.0,53.1,953.903,"",'132711029064308740501,2026-04-22,11074178173,7d2f65f1-565c-452b-a5a2-68a587d139df,"",Forward,100019449311,100019449311,11504,1264.76,5.0,0.0,0.0,0.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1499.0
NFT-/XUTR/DEUTH026112A1OZ1X,63.24,0.0,0.0,2999.0,359.873,89.176,1.714,0.0,0.0,prepaid,0.343,24.66,0.0,0.0,0.0,29.0988,-297.739,"",'132699752812014073803,2026-04-22,11071390752,1a620a6f-1bc0-4f05-afcc-f933a81679d0,100152868086,Reverse,100016661913,100016661913,11504,1264.76,5.0,1500.0,0.0,1500.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1499.01
NFT-/XUTR/DEUTH026112A1OZ1X,0.0,21.74,21.74,3099.0,913.0,237.015,0.0,2.174,2.174,prepaid,0.87,0.0,0.0,27.0,0.0,31.86,638.907,"",'132725407811689501703,2026-04-22,11077342283,cc6e5962-e24d-41c5-aecc-aab4c77f4986,"",Forward,100022613412,100022613412,11504,869.52,5.0,2015.0,0.0,2015.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1084.0
NFT-/XUTR/DEUTH026112A1OZ1X,19.05,0.0,0.0,1499.0,400.0,18.88,1.905,0.0,0.0,prepaid,0.381,112.0,0.0,0.0,0.0,132.16,-510.994,"",'132727133692623636601,2026-04-22,11077924113,083a9f86-e291-4620-8470-0ae5a599aa84,100149898868,Reverse,100023195228,1000006338051,11504,380.95,5.0,1005.0,0.0,1005.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,494.0
NFT-/XUTR/DEUTH026112A1OZ1X,39.81,0.0,0.0,2799.0,327.908,85.12500000000001,1.561,0.0,0.0,prepaid,0.312,65.503,0.0,0.0,0.0,77.29354,-318.204,"",'132709977581649576503,2026-04-22,11073869225,ed2e723e-f657-4f68-9f02-98ec152c4848,11073869225,Reverse,100019140366,100019140366,11504,796.19,5.0,1792.0,0.0,1792.0,exchange,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1006.95
NFT-/XUTR/DEUTH026112A1OZ1X,42.43,0.0,0.0,2899.0,891.0,231.304,4.243,0.0,0.0,prepaid,0.849,0.0,0.0,27.0,0.0,31.86,622.744,"",'132715874290888168501,2026-04-22,11075029432,85dfeea8-6aaf-4daa-9518-5c2d447bcf5e,"",Forward,100020300568,100020300568,11504,848.57,5.0,1914.0,0.0,1914.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,985.0
NFT-/XUTR/DEUTH026112A1OZ1X,87.05,0.0,0.0,1999.0,1828.0,431.408,8.705,0.0,0.0,prepaid,1.741,0.0,0.0,45.0,0.0,53.1,1333.046,"",'132720792571041004003,2026-04-22,11076555075,b568bf10-20d3-4cf5-9b6a-bbb43d60f64a,"",Forward,100021826206,100021826206,11504,1740.95,5.0,0.0,0.0,0.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1999.0
