NEFT_Ref,igst_amount,cgst_amount,sgst_amount,MRP,customer_paid_amt,Commission,IGST_TCS,CGST_TCS,SGST_TCS,Payment_Type,TDS,Shipping_Fee,pick_and_pack_fee,fixed_fee,Payment_Gateway_Fee,Logistics_Commission,Settled_Amount,NOD_Comment,Store_Order_id,Payment_Date,order_line_id,seller_order_id,return_id,Order_Type,order_release_id,Packet_Id,Seller_Id,taxable_amount,Tax_Rate,seller_discount,platform_discount,total_discount,comments,fwdAdditionalCharges,rvsAdditionalCharges,techEnablement,airLogistics,royaltyCharges,royaltyPercent,marketingCharges,marketingPercent,marketingContribution,commission_discount,sale_Total_Customer_Paid
NFT-/XUTR/DEUTH026138A1Z0ZX,32.1,0.0,0.0,1799.0,674.0,174.97,3.21,0.0,0.0,prepaid,0.642,0.0,0.0,27.0,0.0,31.86,463.318,"",'132911355713287901003,2026-05-18,11116640135,4ad1940a-159b-4f22-b6d4-b377eec7b393,"",Forward,100061911009,1000017918274,11504,641.9,5.0,1031.0,0.0,1031.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,768.0
NFT-/XUTR/DEUTH026138A1Z0ZX,70.95,0.0,0.0,3499.0,1490.0,369.222,7.095,0.0,0.0,prepaid,1.419,0.0,0.0,45.0,0.0,53.1,1059.164,"",'132933089761310001703,2026-05-18,11120299915,b14b931e-7682-42f4-9c7a-7cdb18222ec4,"",Forward,100065570740,100065570740,11504,1419.05,5.0,1838.0,0.0,1838.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1661.0
NFT-/XUTR/DEUTH026138A1Z0ZX,85.14,0.0,0.0,2999.0,1788.0,443.066,8.514,0.0,0.0,prepaid,1.703,182.0,0.0,0.0,0.0,214.76,-1549.477,"",'132898725046462424903,2026-05-18,11113874272,02672c5b-60cc-4335-8cfa-5d2ab11a0271,100157774104,Reverse,100059145179,1000019020394,11504,1702.86,5.0,1005.0,0.0,1005.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1994.0
NFT-/XUTR/DEUTH026138A1Z0ZX,34.05,0.0,0.0,1799.0,715.0,185.614,3.405,0.0,0.0,prepaid,0.681,182.0,0.0,0.0,0.0,214.76,-740.06,"",'132919251535799577201,2026-05-18,11118062858,2e52b79f-0938-47e0-a936-1b875516ae85,100157522865,Reverse,100063333721,100063333721,11504,680.95,5.0,990.0,0.0,990.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,809.0
NFT-/XUTR/DEUTH026138A1Z0ZX,40.71,0.0,0.0,1899.0,228.31,59.269,1.087,0.0,0.0,prepaid,0.217,0.0,0.0,7.21,0.0,8.5078,159.229,"",'132924022647737176201,2026-05-18,11118696191,f07b0c20-40b8-4cea-bbbc-217aceb5f31c,"",Forward,100063967031,100063967031,11504,814.29,5.0,950.0,0.0,950.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,949.0
NFT-/XUTR/DEUTH026138A1Z0ZX,29.76,0.0,0.0,1599.0,625.0,162.25,2.976,0.0,0.0,prepaid,0.595,0.0,0.0,27.0,0.0,31.86,427.319,"",'132934424002522007903,2026-05-18,11120592619,02b44092-4bd3-4627-afb2-6f6c8f1ead42,"",Forward,100065863442,1000019150810,11504,595.24,5.0,880.0,0.0,880.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,719.0
NFT-/XUTR/DEUTH026138A1Z0ZX,63.24,0.0,0.0,2999.0,1070.632,265.303,5.098,0.0,0.0,prepaid,1.02,0.0,0.0,36.279,0.0,42.80922,756.402,"",'132939480214436918603,2026-05-18,11121339638,7b17eabb-670f-44d4-8af6-2d568f55304f,"",Forward,100066610460,100066610460,11504,1264.76,5.0,1500.0,0.0,1500.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1499.0
NFT-/XUTR/DEUTH026138A1Z0ZX,106.81,0.0,0.0,3499.0,2243.0,529.348,10.681,0.0,0.0,prepaid,2.136,106.0,0.0,0.0,0.0,125.08,-1825.915,"",'132942901379709113703,2026-05-18,11122081456,76ac0464-1864-4432-afd5-1593100f61ad,11122081456,Reverse,100067352266,1000020398862,11504,2136.19,5.0,1050.0,0.0,1050.0,exchange,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,2449.0
NFT-/XUTR/DEUTH026138A1Z0ZX,87.05,0.0,0.0,3999.0,1828.0,474.549,8.705,0.0,0.0,prepaid,1.741,182.0,0.0,0.0,0.0,214.76,-1557.765,"",'132928065349897411603,2026-05-18,11119642332,02be51f0-4343-4de2-8196-74549e3892ab,11119642332,Reverse,100064913162,100064913162,11504,1740.95,5.0,2000.0,0.0,2000.0,exchange,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1999.0
NFT-/XUTR/DEUTH026138A1Z0ZX,38.33,0.0,0.0,1799.0,805.0,208.978,3.833,0.0,0.0,prepaid,0.767,0.0,0.0,27.0,0.0,31.86,559.562,"",'132926374648289776401,2026-05-18,11119215727,a83e0212-50fd-4a2e-82a7-b9bd20e71b19,"",Forward,100064486558,1000019019275,11504,766.67,5.0,900.0,0.0,900.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,899.0
NFT-/XUTR/DEUTH026138A1Z0ZX,37.19,0.0,0.0,1750.0,781.0,202.748,3.719,0.0,0.0,prepaid,0.744,0.0,0.0,27.0,0.0,31.86,541.929,"",'132927403695221944601,2026-05-18,11119462688,b2c25c3e-ea72-4619-9d43-4973e8c4aca2,"",Forward,100064733518,1000018801357,11504,743.81,5.0,875.0,0.0,875.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,875.0
