NEFT_Ref,igst_amount,cgst_amount,sgst_amount,MRP,customer_paid_amt,Commission,IGST_TCS,CGST_TCS,SGST_TCS,Payment_Type,TDS,Shipping_Fee,pick_and_pack_fee,fixed_fee,Payment_Gateway_Fee,Logistics_Commission,Settled_Amount,NOD_Comment,Store_Order_id,Payment_Date,order_line_id,seller_order_id,return_id,Order_Type,order_release_id,Packet_Id,Seller_Id,taxable_amount,Tax_Rate,seller_discount,platform_discount,total_discount,comments,fwdAdditionalCharges,rvsAdditionalCharges,techEnablement,airLogistics,royaltyCharges,royaltyPercent,marketingCharges,marketingPercent,marketingContribution,commission_discount,sale_Total_Customer_Paid
NFT-/XUTR/DEUTH026170A04DOX,63.24,0.0,0.0,2999.0,1328.0,329.078,6.324,0.0,0.0,prepaid,1.265,0.0,0.0,49.0,0.0,57.82,933.513,"",'133198450480039459901,2026-06-19,11187948450,49f21400-e187-4377-a9d6-f3202a4f893f,"",Forward,100133219137,1000037468783,11504,1264.76,5.0,1500.0,0.0,1500.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1499.0
NFT-/XUTR/DEUTH026170A04DOX,42.0,0.0,0.0,2999.0,881.9999999999999,228.967,4.2,0.0,0.0,prepaid,0.84,127.0,0.0,0.0,0.0,149.86,-797.853,"",'133217312081255637901,2026-06-19,11196412202,1013877a-d851-4900-85e0-8acc3b356963,100173953593,Reverse,100141682888,100141682888,11504,840,5.0,1946.0,0.0,1946.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1053.0
NFT-/XUTR/DEUTH026170A04DOX,52.86,0.0,0.0,3199.0,1110.0,210.9,5.286,0.0,0.0,prepaid,1.057,0.0,0.0,45.0,0.0,53.1,839.657,"",'133239989382395953503,2026-06-19,11204206078,e8950ce0-10fc-4450-b0e9-1f666e78d0d6,"",Forward,100149476762,100149476762,11504,1057.14,5.0,1918.0,0.0,1918.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1281.0
NFT-/XUTR/DEUTH026170A04DOX,43.81,0.0,0.0,2950.0,920.0,238.832,4.381,0.0,0.0,prepaid,0.876,0.0,0.0,31.0,0.0,36.58,639.331,"",'133208552446120919703,2026-06-19,11192532488,e52d341a-9009-466d-94c9-4c528fe4a5c0,"",Forward,100137803174,1000038463454,11504,876.19,5.0,1859.0,0.0,1859.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1091.0
NFT-/XUTR/DEUTH026170A04DOX,42.48,0.0,0.0,2799.0,892.0,231.563,4.248,0.0,0.0,prepaid,0.85,0.0,0.0,31.0,0.0,36.58,618.759,"",'133209552911113869003,2026-06-19,11193186328,da5ea440-2f66-4609-88ba-bdcfea285f77,"",Forward,100138457014,100138457014,11504,849.52,5.0,1736.0,0.0,1736.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1063.0
NFT-/XUTR/DEUTH026170A04DOX,42.0,0.0,0.0,2999.0,882.0,228.967,4.2,0.0,0.0,prepaid,0.84,0.0,0.0,31.0,0.0,36.58,611.413,"",'133217312081255637901,2026-06-19,11196412202,1013877a-d851-4900-85e0-8acc3b356963,"",Forward,100141682888,100141682888,11504,840,5.0,1946.0,0.0,1946.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1053.0
NFT-/XUTR/DEUTH026170A04DOX,45.62,0.0,0.0,1699.0,958.0,248.697,4.562,0.0,0.0,prepaid,0.912,182.0,0.0,0.0,0.0,214.76,-918.589,"",'133200201872601971301,2026-06-19,11188722606,f1461725-0316-40a9-8d67-a56cd28c6383,11188722606,Reverse,100133993292,1000036419045,11504,912.38,5.0,570.0,0.0,570.0,exchange,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1129.0
NFT-/XUTR/DEUTH026170A04DOX,0.0,15.1,15.1,2699.0,634.0,29.925000000000004,0.0,1.5095,1.5095,prepaid,0.604,106.0,0.0,0.0,0.0,125.08,-725.532,"",'133236328744345131801,2026-06-19,11202792350,9556b2c8-df18-4400-8311-71051b5c5acd,11202792350,Reverse,100148063034,1000041367009,11504,603.8,5.0,1971.0,0.0,1971.0,exchange,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,728.0
NFT-/XUTR/DEUTH026170A04DOX,40.71,0.0,0.0,2250.0,237.243,47.449,1.13,0.0,0.0,prepaid,0.226,0.0,0.0,12.486,0.0,14.73348,173.705,"",'133234355086971955703,2026-06-19,11201989712,0d457521-fc03-4e06-9c2a-f4bb4d572410,"",Forward,100147260396,1000040734270,11504,814.29,5.0,1301.0,0.0,1301.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,949.0
NFT-/XUTR/DEUTH026170A04DOX,38.33,0.0,0.0,1799.0,805.0,208.978,3.833,0.0,0.0,prepaid,0.767,106.0,0.0,0.0,0.0,125.08,-716.502,"",'133235963697545498701,2026-06-19,11202648560,ab88cace-0891-4d43-aa2f-faa1ce675415,100173915816,Reverse,100147919244,100147919244,11504,766.67,5.0,900.0,0.0,900.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,899.0
