NEFT_Ref,igst_amount,cgst_amount,sgst_amount,MRP,customer_paid_amt,Commission,IGST_TCS,CGST_TCS,SGST_TCS,Payment_Type,TDS,Shipping_Fee,pick_and_pack_fee,fixed_fee,Payment_Gateway_Fee,Logistics_Commission,Settled_Amount,NOD_Comment,Store_Order_id,Payment_Date,order_line_id,seller_order_id,return_id,Order_Type,order_release_id,Packet_Id,Seller_Id,taxable_amount,Tax_Rate,seller_discount,platform_discount,total_discount,comments,fwdAdditionalCharges,rvsAdditionalCharges,techEnablement,airLogistics,royaltyCharges,royaltyPercent,marketingCharges,marketingPercent,marketingContribution,commission_discount,sale_Total_Customer_Paid
NFT-/XUTR/DEUTH02616623061X,36.19,0.0,0.0,1799.0,760.0,197.296,3.619,0.0,0.0,prepaid,0.724,0.0,0.0,31.0,7.676,45.63768,512.723,"",'133185176538801166803,2026-06-15,11180543208,8410310c-f5ff-4770-9c88-1dd0c0ab06e6,"",Forward,100125813896,100125813896,11504,723.81,5.0,945.0,0.0,945.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,854.0
NFT-/XUTR/DEUTH02616623061X,33.71,0.0,0.0,2799.0,708.0,33.418,3.371,0.0,0.0,prepaid,0.674,0.0,0.0,27.0,0.0,31.86,638.677,"",'133150317041923846103,2026-06-15,11168214942,8dee2046-f4ae-4139-b1e4-1879fb7d4caa,"",Forward,100113485636,1000033561371,11504,674.29,5.0,1997.0,0.0,1997.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,802.0
NFT-/XUTR/DEUTH02616623061X,0.0,22.76,22.76,2850.0,956.0,248.178,0.0,2.276,2.276,prepaid,0.91,0.0,0.0,27.0,16.921,51.82678,650.533,"",'133176206130877244901,2026-06-15,11176075099,e8dd8d14-ba89-446b-b3d5-a62891e444f4,"",Forward,100121345787,1000034578861,11504,910.48,5.0,1723.0,0.0,1723.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1127.0
NFT-/XUTR/DEUTH02616623061X,33.52,0.0,0.0,1599.0,704.0,182.758,3.352,0.0,0.0,prepaid,0.67,182.0,0.0,0.0,0.0,214.76,-731.98,"",'133148129966460034503,2026-06-15,11167629123,56dffc22-3aaa-4dd8-be5b-509907c61000,100165589082,Reverse,100112899817,100112899817,11504,670.48,5.0,801.0,0.0,801.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,798.0
NFT-/XUTR/DEUTH02616623061X,38.33,0.0,0.0,1799.0,805.0,208.978,3.833,0.0,0.0,prepaid,0.767,182.0,0.0,0.0,0.0,214.76,-806.182,"",'133148519463676044803,2026-06-15,11167739370,cd3ff046-2d4c-4eaa-b849-1bf92d54b2a0,100165765915,Reverse,100113010064,100113010064,11504,766.67,5.0,900.0,0.0,900.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,899.0
NFT-/XUTR/DEUTH02616623061X,59.67,0.0,0.0,2999.0,1253.0,310.493,5.967,0.0,0.0,prepaid,1.193,0.0,0.0,45.0,0.0,53.1,882.247,"",'133162389574114286001,2026-06-15,11171921222,2aa17db4-1896-4734-b4cd-97438f2522ec,"",Forward,100117191911,100117191911,11504,1193.33,5.0,1575.0,0.0,1575.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1424.0
NFT-/XUTR/DEUTH02616623061X,65.29,0.0,0.0,3499.0,1371.0,339.734,6.529,0.0,0.0,prepaid,1.306,106.0,0.0,0.0,0.0,125.08,-1148.511,"",'133164594411280248803,2026-06-15,11172399295,8f5e855d-cdae-41f0-a975-cfbc5696a987,11172399295,Reverse,100117669984,100117669984,11504,1305.71,5.0,1957.0,0.0,1957.0,exchange,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1542.0
NFT-/XUTR/DEUTH02616623061X,30.67,0.0,0.0,1899.0,644.0,167.182,3.067,0.0,0.0,prepaid,0.613,0.0,0.0,27.0,0.0,31.86,441.278,"",'133159054868618225103,2026-06-15,11171260447,e70357e5-33e0-44e7-8909-c512d675bb84,"",Forward,100116531136,1000033574893,11504,613.33,5.0,1161.0,0.0,1161.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,738.0
NFT-/XUTR/DEUTH02616623061X,56.57,0.0,0.0,3399.0,1188.0,294.386,5.657,0.0,0.0,prepaid,1.131,0.0,0.0,49.0,0.0,57.82,829.006,"",'133178763618655815503,2026-06-15,11177086005,0e2ca229-0dcc-493b-b6f1-c08f24818fb3,"",Forward,100122356693,100122356693,11504,1131.43,5.0,2040.0,0.0,2040.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1359.0
NFT-/XUTR/DEUTH02616623061X,0.0,14.05,14.05,1799.0,590.0,123.9,0.0,1.405,1.405,prepaid,0.562,0.0,0.0,27.0,0.0,31.86,430.868,"",'133193377008368755101,2026-06-15,11185556608,7bfb592a-23ba-4c17-8bcb-d4472b758cb8,"",Forward,100130827295,1000035775998,11504,561.9,5.0,1115.0,0.0,1115.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,683.9999999999999
NFT-/XUTR/DEUTH02616623061X,97.29,0.0,0.0,4499.0,2043.0,482.148,9.729,0.0,0.0,prepaid,1.946,0.0,0.0,65.0,0.0,76.7,1472.477,"",'133195429484608227701,2026-06-15,11186942839,d951acbc-59cb-4df6-897d-95c3a1031d8f,"",Forward,100132213526,100132213526,11504,1945.71,5.0,2250.0,0.0,2250.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,2249.0
NFT-/XUTR/DEUTH02616623061X,97.29,0.0,0.0,4499.0,2043.0,482.148,9.729,0.0,0.0,prepaid,1.946,106.0,0.0,0.0,0.0,125.08,-1674.257,"",'133195429484608227701,2026-06-15,11186942839,d951acbc-59cb-4df6-897d-95c3a1031d8f,100169269158,Reverse,100132213526,100132213526,11504,1945.71,5.0,2250.0,0.0,2250.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,2249.0
NFT-/XUTR/DEUTH02616623061X,63.29,0.0,0.0,2999.0,1329.0,329.326,6.329,0.0,0.0,prepaid,1.266,0.0,0.0,45.0,0.0,53.1,938.979,"",'133135531767380099601,2026-06-15,11163903866,8f62caae-1fb4-474a-8101-d7ea153e29fd,"",Forward,100109174561,100109174561,11504,1265.71,5.0,1499.0,0.0,1499.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1500.0
