NEFT_Ref,igst_amount,cgst_amount,sgst_amount,MRP,customer_paid_amt,Commission,IGST_TCS,CGST_TCS,SGST_TCS,Payment_Type,TDS,Shipping_Fee,pick_and_pack_fee,fixed_fee,Payment_Gateway_Fee,Logistics_Commission,Settled_Amount,NOD_Comment,Store_Order_id,Payment_Date,order_line_id,seller_order_id,return_id,Order_Type,order_release_id,Packet_Id,Seller_Id,taxable_amount,Tax_Rate,seller_discount,platform_discount,total_discount,comments,fwdAdditionalCharges,rvsAdditionalCharges,techEnablement,airLogistics,royaltyCharges,royaltyPercent,marketingCharges,marketingPercent,marketingContribution,commission_discount,sale_Total_Customer_Paid
NFT-/XUTR/DEUTH02610626260X,80.38,0.0,0.0,3999.0,1688.0,418.286,8.038,0.0,0.0,prepaid,1.608,167.0,0.0,0.0,0.0,197.06,-1457.128,"",'132657083743571971603,2026-04-16,11062829526,9b87bac7-830d-459b-ae77-07123a2c1755,100147324794,Reverse,100008100951,100008100951,11504,1607.62,5.0,2140.0,0.0,2140.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1859.0
NFT-/XUTR/DEUTH02610626260X,58.86,0.0,0.0,3499.0,1128.779,279.712,5.375,0.0,0.0,prepaid,1.075,152.513,0.0,0.0,0.0,179.96534,-1022.582,"",'132657532111775512901,2026-04-16,11062937408,98c7efea-c43c-4c5e-b03d-d6327e4a656f,100146983937,Reverse,100008208821,100008208821,11504,1177.14,5.0,2092.0,0.0,2092.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1407.01
NFT-/XUTR/DEUTH02610626260X,79.95,0.0,0.0,3699.0,1679.0,376.432,7.995,0.0,0.0,prepaid,1.599,0.0,0.0,45.0,0.0,53.1,1239.874,"",'132656262480831466801,2026-04-16,11062624154,1afe341c-5f04-4d21-b70c-ebc689fa1e8c,"",Forward,100007895592,100007895592,11504,1599.05,5.0,1849.0,0.0,1849.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1850.0
NFT-/XUTR/DEUTH02610626260X,19.29,0.0,0.0,1850.0,405.0,19.116,1.929,0.0,0.0,prepaid,0.386,0.0,0.0,15.0,0.0,17.7,365.869,"",'132690069894274803003,2026-04-16,11068952529,58946e1c-32ff-41b6-8f79-12c9a389dcab,"",Forward,100014223708,100014223708,11504,385.71,5.0,1351.0,0.0,1351.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,499.0
NFT-/XUTR/DEUTH02610626260X,48.86,0.0,0.0,1899.0,1026.0,242.136,4.886,0.0,0.0,prepaid,0.977,167.0,0.0,0.0,0.0,197.06,-975.061,"",'132658616815503518603,2026-04-16,11063186523,0b114bb3-d980-4b88-b14e-c04253a7489c,11063186523,Reverse,100008457925,100008457925,11504,977.14,5.0,702.0,0.0,702.0,exchange,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1197.0
NFT-/XUTR/DEUTH02610626260X,111.57,0.0,0.0,2999.0,2343.0,552.948,11.157,0.0,0.0,prepaid,2.231,0.0,0.0,61.0,0.0,71.98,1704.684,"",'132658038985248517801,2026-04-16,11063053484,a4d099b7-87b3-4179-8f68-da7e79698a9e,"",Forward,100008324888,100008324888,11504,2231.43,5.0,450.0,0.0,450.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,2549.0
NFT-/XUTR/DEUTH02610626260X,49.81,0.0,0.0,2999.0,1046.0,259.199,4.981,0.0,0.0,prepaid,0.996,0.0,0.0,45.0,0.0,53.1,727.724,"",'132658509005216284103,2026-04-16,11063161892,c51f91c6-10a0-4a4e-ad86-74419491b0e9,"",Forward,100008433294,1000002168054,11504,996.19,5.0,1782.0,0.0,1782.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1217.0
NFT-/XUTR/DEUTH02610626260X,0.0,19.0,19.0,1899.0,798.0,207.161,0.0,1.9,1.9,prepaid,0.76,0.0,0.0,27.0,0.0,31.86,554.419,"",'132690044640076215403,2026-04-16,11068944538,dab39b65-6174-4311-917e-492dab34a728,"",Forward,100014215717,1000003611878,11504,760,5.0,1007.0,0.0,1007.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,892.0
NFT-/XUTR/DEUTH02610626260X,63.29,0.0,0.0,2999.0,1329.0,329.326,6.329,0.0,0.0,prepaid,1.266,0.0,0.0,45.0,0.0,53.1,938.979,"",'132649934131994816603,2026-04-16,11061636312,6fa602fd-7ce1-4b22-ade5-557df56de7ec,"",Forward,100006907783,100006907783,11504,1265.71,5.0,1499.0,0.0,1499.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1500.0
NFT-/XUTR/DEUTH02610626260X,49.81,0.0,0.0,2999.0,1046.0,259.199,4.981,0.0,0.0,prepaid,0.996,0.0,0.0,45.0,0.0,53.1,727.724,"",'132682995961787372101,2026-04-16,11067621231,9c76fdad-e577-4c2c-97f1-96a57381be2e,"",Forward,100012892432,100012892432,11504,996.19,5.0,1782.0,0.0,1782.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1217.0
NFT-/XUTR/DEUTH02610626260X,34.33,0.0,0.0,2999.0,721.0,34.031,3.433,0.0,0.0,prepaid,0.687,91.0,0.0,0.0,0.0,107.38,-790.229,"",'132685518760293805301,2026-04-16,11068219362,06372645-5a18-41f2-99b5-807cefc6886a,100147434429,Reverse,100013490552,100013490552,11504,686.67,5.0,2184.0,0.0,2184.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,815.0
NFT-/XUTR/DEUTH02610626260X,35.1,0.0,0.0,1850.0,737.0,191.325,3.51,0.0,0.0,prepaid,0.702,0.0,0.0,27.0,0.0,31.86,509.603,"",'132656209216751559401,2026-04-16,11062607502,ab2d6040-b188-47f5-835a-64aa1fb9f211,"",Forward,100007878940,100007878940,11504,701.9,5.0,1019.0,0.0,1019.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,831.0
NFT-/XUTR/DEUTH02610626260X,18.48,0.0,0.0,1599.0,388.0,18.314,1.848,0.0,0.0,prepaid,0.37,0.0,0.0,0.0,0.0,0.0,367.468,"",'132667272733886715803,2026-04-16,11064825675,80529df9-d905-4559-b65e-227be1a6033f,"",Forward,100010096935,1000002326373,11504,369.52,5.0,1152.0,0.0,1152.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,447.0
NFT-/XUTR/DEUTH02610626260X,51.81,0.0,0.0,1799.0,1088.0,256.768,5.181,0.0,0.0,prepaid,1.036,91.0,0.0,0.0,0.0,107.38,-932.395,"",'132682182388465554703,2026-04-16,11067420987,333c757b-68f0-4e86-b024-50faa730457c,100147192872,Reverse,100012692188,100012692188,11504,1036.19,5.0,540.0,0.0,540.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1259.0
NFT-/XUTR/DEUTH02610626260X,27.86,0.0,0.0,1799.0,585.0,41.418,2.786,0.0,0.0,prepaid,0.557,0.0,0.0,27.0,0.0,31.86,508.379,"",'132672227131365040803,2026-04-16,11065548871,4ca417e4-160e-4a44-818b-57cfa9da33bb,"",Forward,100010820118,100010820118,11504,557.14,5.0,1120.0,0.0,1120.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,679.0
