NEFT_Ref,igst_amount,cgst_amount,sgst_amount,MRP,customer_paid_amt,Commission,IGST_TCS,CGST_TCS,SGST_TCS,Payment_Type,TDS,Shipping_Fee,pick_and_pack_fee,fixed_fee,Payment_Gateway_Fee,Logistics_Commission,Settled_Amount,NOD_Comment,Store_Order_id,Payment_Date,order_line_id,seller_order_id,return_id,Order_Type,order_release_id,Packet_Id,Seller_Id,taxable_amount,Tax_Rate,seller_discount,platform_discount,total_discount,comments,fwdAdditionalCharges,rvsAdditionalCharges,techEnablement,airLogistics,royaltyCharges,royaltyPercent,marketingCharges,marketingPercent,marketingContribution,commission_discount,sale_Total_Customer_Paid
NFT-/XUTR/DEUTH02614620285X,55.14,0.0,0.0,1899.0,1158.0,273.288,5.514,0.0,0.0,prepaid,1.103,127.0,0.0,0.0,0.0,149.86,-1027.955,"",'133023376826724961701,2026-05-26,11138522873,fdbc9e06-1968-42ae-800c-6cd3e06dcceb,11138522873,Reverse,100083793638,100083793638,11504,1102.86,5.0,570.0,0.0,570.0,exchange,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1329.0
NFT-/XUTR/DEUTH02614620285X,0.0,16.76,16.76,1699.0,704.0,182.758,0.0,1.676,1.676,prepaid,0.67,106.0,0.0,0.0,0.0,125.08,-642.3,"",'133028241499128020603,2026-05-26,11139351756,ada0e50f-6683-46bd-87f7-e26e0aa99126,100161443095,Reverse,100084622519,1000025359163,11504,670.48,5.0,901.0,0.0,901.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,798.0
NFT-/XUTR/DEUTH02614620285X,51.81,0.0,0.0,1799.0,1088.0,256.768,5.181,0.0,0.0,prepaid,1.036,182.0,0.0,0.0,0.0,214.76,-1039.775,"",'133010943286918023903,2026-05-26,11135485470,8c4bca0a-237f-4cac-a267-c2dbed2a642a,100160394816,Reverse,100080756257,100080756257,11504,1036.19,5.0,540.0,0.0,540.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1259.0
NFT-/XUTR/DEUTH02614620285X,63.29,0.0,0.0,2999.0,1329.0,329.326,6.329,0.0,0.0,prepaid,1.266,106.0,0.0,0.0,0.0,125.08,-1117.159,"",'132996566168966963401,2026-05-26,11132624015,3f5636da-baf3-4ed6-b951-08cf77b71bb9,11132624015,Reverse,100077894804,100077894804,11504,1265.71,5.0,1499.0,0.0,1499.0,exchange,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1500.0
NFT-/XUTR/DEUTH02614620285X,35.14,0.0,0.0,2699.0,738.0,34.834,3.514,0.0,0.0,prepaid,0.703,182.0,0.0,0.0,0.0,214.76,-913.709,"",'132966247667081510003,2026-05-26,11126685942,41e2d87c-9f1a-4583-916a-0881b43615dd,100163643651,Reverse,100071956736,1000021542483,11504,702.86,5.0,1867.0,0.0,1867.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,832.0
NFT-/XUTR/DEUTH02614620285X,62.29,0.0,0.0,3999.0,1308.0,324.122,6.229,0.0,0.0,prepaid,1.246,0.0,0.0,45.0,0.0,53.1,923.303,"",'133029716856553496003,2026-05-26,11139807289,25539e06-b17c-4e7f-a645-626ed7c7e371,"",Forward,100085078048,1000025371453,11504,1245.71,5.0,2520.0,0.0,2520.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1479.0
NFT-/XUTR/DEUTH02614620285X,40.14,0.0,0.0,3499.0,843.0,218.843,4.014,0.0,0.0,prepaid,0.803,182.0,0.0,0.0,0.0,214.76,-834.1,"",'133011029431241846701,2026-05-26,11135508069,b7569801-dc8e-43b1-b55d-51e262e26085,11135508069,Reverse,100080778856,100080778856,11504,802.86,5.0,2485.0,0.0,2485.0,exchange,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1014.0
NFT-/XUTR/DEUTH02614620285X,0.0,29.24,29.24,1999.0,1228.0,289.808,0.0,2.924,2.924,prepaid,1.17,106.0,0.0,0.0,0.0,125.08,-1056.254,"",'133028241499128020603,2026-05-26,11139351757,ada0e50f-6683-46bd-87f7-e26e0aa99126,100161445673,Reverse,100084622520,1000025359163,11504,1169.52,5.0,600.0,0.0,600.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1399.0
NFT-/XUTR/DEUTH02614620285X,72.76,0.0,0.0,3399.0,1528.0,342.578,7.276,0.0,0.0,prepaid,1.455,0.0,0.0,45.0,0.0,53.1,1123.591,"",'133031450027380030501,2026-05-26,11140368416,e5937e14-9f27-4996-a368-d9592ec55947,"",Forward,100085639173,100085639173,11504,1455.24,5.0,1700.0,0.0,1700.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1699.0
NFT-/XUTR/DEUTH02614620285X,38.33,0.0,0.0,1799.0,805.0,208.978,3.833,0.0,0.0,prepaid,0.767,0.0,0.0,27.0,0.0,31.86,559.562,"",'133004021105458213501,2026-05-26,11134078300,86b93557-91b6-445a-b5ad-282932aa11d5,"",Forward,100079349089,1000023191102,11504,766.67,5.0,900.0,0.0,900.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,899.0
NFT-/XUTR/DEUTH02614620285X,35.95,0.0,0.0,1699.0,755.0,195.998,3.595,0.0,0.0,prepaid,0.719,0.0,0.0,27.0,0.0,31.86,522.828,"",'133004021105458213501,2026-05-26,11134078299,86b93557-91b6-445a-b5ad-282932aa11d5,"",Forward,100079349088,1000023191102,11504,719.05,5.0,850.0,0.0,850.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,849.0
NFT-/XUTR/DEUTH02614620285X,0.0,16.76,16.76,1699.0,704.0,182.758,0.0,1.676,1.676,prepaid,0.67,0.0,0.0,27.0,6.195,39.1701,478.05,"",'133028241499128020603,2026-05-26,11139351756,ada0e50f-6683-46bd-87f7-e26e0aa99126,"",Forward,100084622519,1000025359163,11504,670.48,5.0,901.0,0.0,901.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,798.0
NFT-/XUTR/DEUTH02614620285X,51.81,0.0,0.0,1799.0,1088.0,256.768,5.181,0.0,0.0,prepaid,1.036,0.0,0.0,45.0,0.0,53.1,771.915,"",'133034831488979794601,2026-05-26,11140753453,fd61e451-8efa-4443-8126-50811f684a80,"",Forward,100086024207,100086024207,11504,1036.19,5.0,540.0,0.0,540.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1259.0
NFT-/XUTR/DEUTH02614620285X,48.48,0.0,0.0,1699.0,1018.0,240.248,4.848,0.0,0.0,prepaid,0.97,0.0,0.0,45.0,0.0,53.1,718.834,"",'133031600056598592401,2026-05-26,11140418286,83b7c99a-0d66-43f2-978f-546b215e0143,"",Forward,100085689042,1000025381568,11504,969.52,5.0,510.0,0.0,510.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1189.0
NFT-/XUTR/DEUTH02614620285X,90.14,0.0,0.0,2099.0,1893.0000000000002,446.748,9.014,0.0,0.0,prepaid,1.803,182.0,0.0,0.0,0.0,214.76,-1650.195,"",'133017498900100870401,2026-05-26,11136757884,2d9dbe4e-a021-43be-ab24-733d73f8f1d4,11136757884,Reverse,100082028664,100082028664,11504,1802.86,5.0,0.0,0.0,0.0,exchange,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,2099.0
NFT-/XUTR/DEUTH02614620285X,46.86,0.0,0.0,1650.0,984.0,255.44600000000003,4.686,0.0,0.0,prepaid,0.937,0.0,0.0,27.0,0.0,31.86,691.071,"",'132993829431437485903,2026-05-26,11131983458,ebdd1e3b-7cbb-4eb9-ade3-88cf142817ef,"",Forward,100077254247,1000022562075,11504,937.14,5.0,495.0,0.0,495.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1155.0
NFT-/XUTR/DEUTH02614620285X,38.33,0.0,0.0,1799.0,805.0,208.978,3.833,0.0,0.0,prepaid,0.767,182.0,0.0,0.0,0.0,214.76,-806.182,"",'133004021105458213501,2026-05-26,11134078300,86b93557-91b6-445a-b5ad-282932aa11d5,100160445315,Reverse,100079349089,1000023191102,11504,766.67,5.0,900.0,0.0,900.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,899.0
NFT-/XUTR/DEUTH02614620285X,28.52,0.0,0.0,2199.0,599.0,28.273,2.852,0.0,0.0,prepaid,0.57,0.0,0.0,7.0,0.0,8.26,559.045,"",'132987028349542990003,2026-05-26,11130839568,145b465a-1b4c-4a9b-92eb-616f17d528c2,"",Forward,100076110357,100076110357,11504,570.48,5.0,1506.0,0.0,1506.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,693.0
NFT-/XUTR/DEUTH02614620285X,82.24,0.0,0.0,1899.0,1727.0,407.572,8.224,0.0,0.0,prepaid,1.645,182.0,0.0,0.0,0.0,214.76,-1524.319,"",'133002477051240685401,2026-05-26,11133682882,a93eedd2-ad3f-4437-8e04-5168c4d241bc,11133682882,Reverse,100078953671,1000023566371,11504,1644.76,5.0,1.0,0.0,1.0,exchange,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1898.0
NFT-/XUTR/DEUTH02614620285X,72.71,0.0,0.0,2425.0,1527.0,378.391,7.271,0.0,0.0,prepaid,1.454,0.0,0.0,45.0,0.0,53.1,1086.784,"",'132992406057974001003,2026-05-26,11131642932,f4bf5402-59ef-4d26-a678-fe316fb5a865,"",Forward,100076913721,100076913721,11504,1454.29,5.0,727.0,0.0,727.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1698.0
NFT-/XUTR/DEUTH02614620285X,20.95,0.0,0.0,1850.0,440.0,20.768,2.095,0.0,0.0,prepaid,0.419,0.0,0.0,17.0,0.0,20.06,396.658,"",'133010260710907922403,2026-05-26,11135299060,2a8e44b7-6389-4379-ae62-8c23e15c5a53,"",Forward,100080569848,100080569848,11504,419.05,5.0,1351.0,0.0,1351.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,499.0
NFT-/XUTR/DEUTH02614620285X,0.0,20.12,20.12,1999.0,845.0,219.362,0.0,2.012,2.012,prepaid,0.805,0.0,0.0,27.0,6.675,39.7365,581.073,"",'133019945188739947301,2026-05-26,11137481306,daf38cd5-53f8-4a86-8943-9ede7667b32c,"",Forward,100082752080,1000024717969,11504,804.76,5.0,1060.0,0.0,1060.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,939.0
NFT-/XUTR/DEUTH02614620285X,118.81,0.0,0.0,5799.0,2245.0,556.311,10.69,0.0,0.0,prepaid,2.138,0.0,0.0,54.888,0.0,64.76784,1611.093,"",'133005956077873108101,2026-05-26,11134642682,5e9068f4-7b57-4124-afb8-71fcbed6afa7,"",Forward,100079913470,100079913470,11504,2376.19,5.0,3074.0,250.0,3324.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,2725.0
NFT-/XUTR/DEUTH02614620285X,38.38,0.0,0.0,1799.0,806.0,209.238,3.838,0.0,0.0,prepaid,0.768,0.0,0.0,27.0,0.0,31.86,560.296,"",'132994159106525043601,2026-05-26,11132058354,1b8e0392-e263-416b-9b22-af00a90cff47,"",Forward,100077329143,1000022593750,11504,767.62,5.0,899.0,0.0,899.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,900.0
NFT-/XUTR/DEUTH02614620285X,42.43,0.0,0.0,2899.0,891.0,231.304,4.243,0.0,0.0,prepaid,0.849,0.0,0.0,27.0,0.0,31.86,622.744,"",'133005425946509952303,2026-05-26,11134479840,aa77361c-b479-45c9-8170-5d555452799c,"",Forward,100079750629,100079750629,11504,848.57,5.0,1914.0,0.0,1914.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,985.0
NFT-/XUTR/DEUTH02614620285X,63.29,0.0,0.0,2999.0,1305.0,323.379,6.214,0.0,0.0,prepaid,1.243,0.0,0.0,44.187,0.0,52.14066,922.023,"",'132995282627563121303,2026-05-26,11132305967,85674bff-9c11-410a-b5e4-94addada02a1,"",Forward,100077576756,100077576756,11504,1265.71,5.0,1499.0,24.0,1523.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1500.0
NFT-/XUTR/DEUTH02614620285X,63.24,0.0,0.0,2999.0,1328.0,329.078,6.324,0.0,0.0,prepaid,1.265,0.0,0.0,45.0,0.0,53.1,938.233,"",'133007772171592747303,2026-05-26,11134817290,99340543-4e9a-4fef-8bc9-77cdce061d71,"",Forward,100080088078,1000023566216,11504,1264.76,5.0,1500.0,0.0,1500.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1499.0
