NEFT_Ref,igst_amount,cgst_amount,sgst_amount,MRP,customer_paid_amt,Commission,IGST_TCS,CGST_TCS,SGST_TCS,Payment_Type,TDS,Shipping_Fee,pick_and_pack_fee,fixed_fee,Payment_Gateway_Fee,Logistics_Commission,Settled_Amount,NOD_Comment,Store_Order_id,Payment_Date,order_line_id,seller_order_id,return_id,Order_Type,order_release_id,Packet_Id,Seller_Id,taxable_amount,Tax_Rate,seller_discount,platform_discount,total_discount,comments,fwdAdditionalCharges,rvsAdditionalCharges,techEnablement,airLogistics,royaltyCharges,royaltyPercent,marketingCharges,marketingPercent,marketingContribution,commission_discount,sale_Total_Customer_Paid
NFT-/XUTR/DEUTH02615328940X,70.38,0.0,0.0,3299.0,1478.0,366.248,7.038,0.0,0.0,prepaid,1.408,182.0,0.0,0.0,0.0,214.76,-1318.066,"",'133065601153469559203,2026-06-02,11147139546,6a6a16c5-b09a-4c1c-99bb-e0378d7808b6,100162720550,Reverse,100092410274,100092410274,11504,1407.62,5.0,1650.0,0.0,1650.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1649.0
NFT-/XUTR/DEUTH02615328940X,56.86,0.0,0.0,1950.0,1194.0,281.784,5.686,0.0,0.0,prepaid,1.137,0.0,0.0,45.0,0.0,53.1,852.293,"",'133063025240481984403,2026-06-02,11146466666,baf3b606-abbe-41a2-91bf-6d60aa16f872,"",Forward,100091737395,100091737395,11504,1137.14,5.0,585.0,0.0,585.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1365.0
NFT-/XUTR/DEUTH02615328940X,40.67,0.0,0.0,2699.0,854.0,221.698,4.067,0.0,0.0,prepaid,0.813,0.0,0.0,27.0,0.0,31.86,595.562,"",'133066823771400423601,2026-06-02,11147456075,d82e6b91-bcc2-4527-8708-0a22d6e670a2,"",Forward,100092726803,100092726803,11504,813.33,5.0,1674.0,0.0,1674.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1025.0
NFT-/XUTR/DEUTH02615328940X,63.24,0.0,0.0,2999.0,1328.0,329.078,6.324,0.0,0.0,prepaid,1.265,0.0,0.0,45.0,0.0,53.1,938.233,"",'133077517475810109703,2026-06-02,11149411180,78faf39e-28fe-4b96-af89-e174873e2ce3,"",Forward,100094681903,100094681903,11504,1264.76,5.0,1500.0,0.0,1500.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1499.0
NFT-/XUTR/DEUTH02615328940X,67.81,0.0,0.0,2399.0,1424.0,336.064,6.781,0.0,0.0,prepaid,1.356,0.0,0.0,45.0,0.0,53.1,1026.699,"",'133074378798631385301,2026-06-02,11149019554,c2fb9061-d2ba-40ef-a121-21dec332fbf7,"",Forward,100094290279,100094290279,11504,1356.19,5.0,804.0,0.0,804.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1595.0
NFT-/XUTR/DEUTH02615328940X,0.0,37.05,37.05,3399.0,1237.34,306.613,0.0,2.946,2.946,prepaid,1.178,0.0,0.0,35.784,0.0,42.22512,881.432,"",'133095198848929481903,2026-06-02,11153482089,66cb37ae-b4c1-4166-a695-97b364a7da59,"",Forward,100098752798,100098752798,11504,1481.9,5.0,1672.0,0.0,1672.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1727.0
NFT-/XUTR/DEUTH02615328940X,54.48,0.0,0.0,2799.0,1144.0,283.483,5.448,0.0,0.0,prepaid,1.09,0.0,0.0,45.0,0.0,53.1,800.879,"",'133062902928734080403,2026-06-02,11146434654,95c0c680-76e3-4437-9a21-a4214cd8b31a,"",Forward,100091705383,100091705383,11504,1089.52,5.0,1484.0,0.0,1484.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1315.0
NFT-/XUTR/DEUTH02615328940X,0.0,16.55,16.55,2499.0,695.0,32.804,0.0,1.655,1.655,prepaid,0.662,0.0,0.0,27.0,0.0,31.86,626.364,"",'133095785616088488001,2026-06-02,11153574156,6a9a6053-f775-44e5-994a-4c0ad57916aa,"",Forward,100098844865,100098844865,11504,661.9,5.0,1710.0,0.0,1710.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,788.9999999999999
NFT-/XUTR/DEUTH02615328940X,53.43,0.0,0.0,2899.0,1122.0,278.032,5.343,0.0,0.0,prepaid,1.069,0.0,0.0,45.0,0.0,53.1,784.456,"",'133062596491178502503,2026-06-02,11146357168,b3776397-e505-42aa-b208-e302bc6a191c,"",Forward,100091627897,100091627897,11504,1068.57,5.0,1606.0,0.0,1606.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1293.0
NFT-/XUTR/DEUTH02615328940X,21.91,0.0,0.0,1499.0,460.0,21.712,2.19,0.0,0.0,prepaid,0.438,0.0,0.0,19.0,0.0,22.42,413.24,"",'133020205738012996203,2026-06-02,11137559888,51e0f693-6809-478d-abc8-be5b24b7bf65,"",Forward,100082830662,1000027565062,11504,438.1,5.0,945.0,0.0,945.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,554.01
