NEFT_Ref,igst_amount,cgst_amount,sgst_amount,MRP,customer_paid_amt,Commission,IGST_TCS,CGST_TCS,SGST_TCS,Payment_Type,TDS,Shipping_Fee,pick_and_pack_fee,fixed_fee,Payment_Gateway_Fee,Logistics_Commission,Settled_Amount,NOD_Comment,Store_Order_id,Payment_Date,order_line_id,seller_order_id,return_id,Order_Type,order_release_id,Packet_Id,Seller_Id,taxable_amount,Tax_Rate,seller_discount,platform_discount,total_discount,comments,fwdAdditionalCharges,rvsAdditionalCharges,techEnablement,airLogistics,royaltyCharges,royaltyPercent,marketingCharges,marketingPercent,marketingContribution,commission_discount,sale_Total_Customer_Paid
NFT-/XUTR/DEUTH02617633231X,25.33,0.0,0.0,1699.0,532.0,37.666,2.533,0.0,0.0,postpaid,0.507,0.0,0.0,31.0,3.83,41.0994,450.195,"",'133290229262538141601,2026-06-25,11219676249,8afae31c-715c-4877-9dd2-ee316f541ccc,"",Forward,100164946927,100164946927,11504,506.67,5.0,1073.0,0.0,1073.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,626.0
NFT-/XUTR/DEUTH02617633231X,29.81,0.0,0.0,1799.0,626.0,131.46,2.981,0.0,0.0,postpaid,0.596,0.0,0.0,27.0,0.0,31.86,459.103,"",'133255602570645785001,2026-06-25,11208775829,f9d1ac8d-3781-4ead-ab05-5df642132465,"",Forward,100154046512,100154046512,11504,596.19,5.0,1079.0,0.0,1079.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,720.0
NFT-/XUTR/DEUTH02617633231X,35.95,0.0,0.0,1699.0,755.0,195.998,3.595,0.0,0.0,postpaid,0.719,182.0,0.0,0.0,0.0,214.76,-769.448,"",'133252582613087083703,2026-06-25,11207653757,431bc453-c67a-47c1-b66c-b66cfc0f989e,100171940919,Reverse,100152924440,100152924440,11504,719.05,5.0,850.0,0.0,850.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,849.0
NFT-/XUTR/DEUTH02617633231X,38.33,0.0,0.0,3499.0,805.0,208.978,3.833,0.0,0.0,postpaid,0.767,0.0,0.0,31.0,0.0,36.58,554.842,"",'133271068923005960601,2026-06-25,11213922951,70f0fcd2-ac9b-4e0f-a692-1549ef2934fb,"",Forward,100159193630,100159193630,11504,766.67,5.0,2600.0,0.0,2600.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,899.0
NFT-/XUTR/DEUTH02617633231X,33.0,0.0,0.0,1750.0,693.0,179.903,3.3,0.0,0.0,postpaid,0.66,0.0,0.0,31.0,0.0,36.58,472.557,"",'133272388496035199701,2026-06-25,11214572522,1ee38071-861d-4780-8bf8-1112ead7204a,"",Forward,100159843201,100159843201,11504,660,5.0,963.0,0.0,963.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,787.0
NFT-/XUTR/DEUTH02617633231X,45.38,0.0,0.0,2499.0,940.97,244.276,4.481,0.0,0.0,postpaid,0.896,125.397,0.0,0.0,0.0,147.96846,-839.285,"",'133237273130429262001,2026-06-25,11203150160,da733e6e-bc54-43a2-b3fa-3010b215f57c,11203150160,Reverse,100148420844,100148420844,11504,907.62,5.0,1375.0,0.0,1375.0,exchange,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1124.0
NFT-/XUTR/DEUTH02617633231X,72.76,0.0,0.0,1999.0,1528.0,360.608,7.276,0.0,0.0,postpaid,1.455,0.0,0.0,49.0,5.348,64.13064,1094.53,"",'133255798099520314201,2026-06-25,11208870050,f6df549e-b432-4d12-9bd0-7478abfe12e4,"",Forward,100154140732,100154140732,11504,1455.24,5.0,300.0,0.0,300.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1699.0
NFT-/XUTR/DEUTH02617633231X,50.95,0.0,0.0,2999.0,1070.0,265.146,5.095,0.0,0.0,postpaid,1.019,0.0,0.0,49.0,0.0,57.82,740.92,"",'133248724096453380101,2026-06-25,11206847299,beab8a21-b0b4-445e-9356-2d2a03faf744,"",Forward,100152117982,1000042346436,11504,1019.05,5.0,1758.0,0.0,1758.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1241.0
NFT-/XUTR/DEUTH02617633231X,49.67,0.0,0.0,2699.0,31.0,7.682,0.148,0.0,0.0,postpaid,0.03,0.0,0.0,1.456,0.0,1.71808,21.422,"",'133261102407159038701,2026-06-25,11210250367,dd3b9bf5-3d34-4ec4-a8d1-6383d1013400,"",Forward,100155521047,1000044004158,11504,993.33,5.0,1485.0,31.0,1516.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1214.0
NFT-/XUTR/DEUTH02617633231X,38.29,0.0,0.0,2699.0,804.0,208.718,3.829,0.0,0.0,postpaid,0.766,106.0,0.0,0.0,0.0,125.08,-715.767,"",'133273538198414939301,2026-06-25,11215326178,224d6c36-b086-4458-a28e-6a9a0336f646,100177128260,Reverse,100160596857,100160596857,11504,765.71,5.0,1801.0,0.0,1801.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,898.0
