NEFT_Ref,igst_amount,cgst_amount,sgst_amount,MRP,customer_paid_amt,Commission,IGST_TCS,CGST_TCS,SGST_TCS,Payment_Type,TDS,Shipping_Fee,pick_and_pack_fee,fixed_fee,Payment_Gateway_Fee,Logistics_Commission,Settled_Amount,NOD_Comment,Store_Order_id,Payment_Date,order_line_id,seller_order_id,return_id,Order_Type,order_release_id,Packet_Id,Seller_Id,taxable_amount,Tax_Rate,seller_discount,platform_discount,total_discount,comments,fwdAdditionalCharges,rvsAdditionalCharges,techEnablement,airLogistics,royaltyCharges,royaltyPercent,marketingCharges,marketingPercent,marketingContribution,commission_discount,sale_Total_Customer_Paid
NFT-/XUTR/DEUTH02616369518X,118.95,0.0,0.0,3999.0,2498.0,589.528,11.895,0.0,0.0,postpaid,2.379,0.0,0.0,61.0,0.0,71.98,1822.218,"",'133147586868168863103,2026-06-12,11167501654,a2a0c8a4-0d5a-4711-878b-fdfe87d578ef,"",Forward,100112772348,100112772348,11504,2379.05,5.0,1295.0,0.0,1295.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,2704.0
NFT-/XUTR/DEUTH02616369518X,90.1,0.0,0.0,2999.0,1892.0,468.838,9.01,0.0,0.0,postpaid,1.802,0.0,0.0,45.0,0.0,53.1,1359.25,"",'133139367913283952001,2026-06-12,11165998153,b23f20fd-ad0d-42ea-9628-3a5b5a652207,"",Forward,100111268848,1000032010144,11504,1801.9,5.0,901.0,0.0,901.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,2098.0
NFT-/XUTR/DEUTH02616369518X,486.46,0.0,0.0,6999.0,3189.0,752.604,13.513,0.0,0.0,postpaid,2.703,0.0,0.0,61.0,0.0,71.98,2348.2,"",'133143296114464837703,2026-06-12,11166977519,9d8af0c0-efad-471e-bad3-65831debd17a,"",Forward,100112248213,100112248213,11504,2702.54,18.0,3498.0,300.0,3798.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,3501.0
NFT-/XUTR/DEUTH02616369518X,68.67,0.0,0.0,3399.0,1442.0,357.328,6.867,0.0,0.0,postpaid,1.373,0.0,0.0,45.0,0.0,53.1,1023.332,"",'133144466195932283001,2026-06-12,11167258822,61a6a84c-75a4-40ac-9a1f-801ac9e053a9,"",Forward,100112529516,100112529516,11504,1373.33,5.0,1786.0,0.0,1786.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1613.0
NFT-/XUTR/DEUTH02616369518X,49.81,0.0,0.0,2999.0,74.808,18.537,0.356,0.0,0.0,postpaid,0.071,13.016,0.0,0.0,0.0,15.35888,-71.203,"",'133121809592185900903,2026-06-12,11159794619,5b1e3bec-baba-49b7-ad50-31db38232824,11159794619,Reverse,100105065320,100105065320,11504,996.19,5.0,1782.0,0.0,1782.0,exchange,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1217.0
NFT-/XUTR/DEUTH02616369518X,20.29,0.0,0.0,1650.0,426.0,20.107,2.029,0.0,0.0,postpaid,0.406,182.0,0.0,0.0,0.0,214.76,-618.218,"",'133137202852422383903,2026-06-12,11165726912,9f5e117a-dc23-49e6-960b-29f2503ba983,11165726912,Reverse,100110997607,100110997607,11504,405.71,5.0,1130.0,0.0,1130.0,exchange,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,520.0
NFT-/XUTR/DEUTH02616369518X,19.14,0.0,0.0,1850.0,402.0,18.974,1.914,0.0,0.0,postpaid,0.383,0.0,0.0,15.0,0.0,17.7,363.029,"",'133140764776424338401,2026-06-12,11166364128,6a6449b5-3b96-4a1e-82dd-1993b23e1aa3,"",Forward,100111634823,1000032069130,11504,382.86,5.0,1354.0,0.0,1354.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,496.0
NFT-/XUTR/DEUTH02616369518X,19.05,0.0,0.0,1799.0,365.089,17.232,1.739,0.0,0.0,postpaid,0.348,0.0,0.0,0.0,3.687,4.35066,341.419,"",'133147961219586709903,2026-06-12,11167585625,d9dd779f-0819-4468-b791-02cc45704c64,"",Forward,100112856319,100112856319,11504,380.95,5.0,1305.0,0.0,1305.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,494.0
NFT-/XUTR/DEUTH02616369518X,55.14,0.0,0.0,1899.0,440.97,104.069,2.1,0.0,0.0,postpaid,0.42,0.0,0.0,17.136,0.0,20.22048,314.161,"",'133143516261269608201,2026-06-12,11167035793,f36c4106-8e54-418a-a4ab-c4f2d0bc89ef,"",Forward,100112306487,100112306487,11504,1102.86,5.0,570.0,0.0,570.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1329.0
NFT-/XUTR/DEUTH02616369518X,38.33,0.0,0.0,1799.0,586.47,152.248,2.793,0.0,0.0,postpaid,0.559,77.225,0.0,0.0,0.0,91.1255,-521.996,"",'133156876307153581903,2026-06-12,11170226804,dfea7b48-76f5-4456-80e8-53b80f9dd11d,100165281794,Reverse,100115497494,100115497494,11504,766.67,5.0,900.0,0.0,900.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,899.0
