NEFT_Ref,igst_amount,cgst_amount,sgst_amount,MRP,customer_paid_amt,Commission,IGST_TCS,CGST_TCS,SGST_TCS,Payment_Type,TDS,Shipping_Fee,pick_and_pack_fee,fixed_fee,Payment_Gateway_Fee,Logistics_Commission,Settled_Amount,NOD_Comment,Store_Order_id,Payment_Date,order_line_id,seller_order_id,return_id,Order_Type,order_release_id,Packet_Id,Seller_Id,taxable_amount,Tax_Rate,seller_discount,platform_discount,total_discount,comments,fwdAdditionalCharges,rvsAdditionalCharges,techEnablement,airLogistics,royaltyCharges,royaltyPercent,marketingCharges,marketingPercent,marketingContribution,commission_discount,sale_Total_Customer_Paid
NFT-/XUTR/DEUTH02615291703X,39.52,0.0,0.0,2499.0,830.0,215.468,3.952,0.0,0.0,postpaid,0.79,0.0,0.0,27.0,6.806,39.89108,569.899,"",'133037528821336359603,2026-06-01,11141434559,bce9e619-6946-4f14-a24e-e8e7e1076a67,"",Forward,100086705311,100086705311,11504,790.48,5.0,1575.0,0.0,1575.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,924.0
NFT-/XUTR/DEUTH02615291703X,21.91,0.0,0.0,1499.0,460.0,21.712,2.19,0.0,0.0,postpaid,0.438,0.0,0.0,27.0,0.0,31.86,403.8,"",'133022648693971119603,2026-06-01,11138289723,21ce07fa-c606-4c38-b474-5bfe664a0698,"",Forward,100083560488,1000024732011,11504,438.1,5.0,945.0,0.0,945.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,554.01
NFT-/XUTR/DEUTH02615291703X,37.19,0.0,0.0,1750.0,650.722,168.927,3.099,0.0,0.0,postpaid,0.62,0.0,0.0,22.496,0.0,26.54528,451.531,"",'133081435383555246101,2026-06-01,11150435363,9734b8f4-501c-441c-b4c4-378ae783ff2d,"",Forward,100095706081,1000028301657,11504,743.81,5.0,875.0,0.0,875.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,875.0
NFT-/XUTR/DEUTH02615291703X,40.24,0.0,0.0,1999.0,845.0,219.362,4.024,0.0,0.0,postpaid,0.805,182.0,0.0,0.0,0.0,214.76,-835.569,"",'133062012500897525203,2026-06-01,11146198218,00e9a139-ae1e-464e-8500-f6682167b5a7,100162448570,Reverse,100091468948,100091468948,11504,804.76,5.0,1060.0,0.0,1060.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,939.0
NFT-/XUTR/DEUTH02615291703X,63.24,0.0,0.0,2999.0,1328.0,329.078,6.324,0.0,0.0,postpaid,1.265,0.0,0.0,45.0,0.0,53.1,938.233,"",'133038025997177318503,2026-06-01,11141553537,505294bb-fd82-4d8a-ab8f-1a123dcaf6ea,"",Forward,100086824289,100086824289,11504,1264.76,5.0,1500.0,0.0,1500.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1499.0
NFT-/XUTR/DEUTH02615291703X,97.81,0.0,0.0,3399.0,2054.0,484.744,9.781,0.0,0.0,postpaid,1.956,182.0,0.0,0.0,0.0,214.76,-1772.279,"",'133057237917689975901,2026-06-01,11145517107,ddb877f3-25b8-497f-a30c-3d5ce9ae020f,100163135298,Reverse,100090787839,100090787839,11504,1956.19,5.0,1139.0,0.0,1139.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,2260.0
NFT-/XUTR/DEUTH02615291703X,48.81,0.0,0.0,1799.0,1025.0,241.9,4.881,0.0,0.0,postpaid,0.976,0.0,0.0,45.0,0.0,53.1,724.143,"",'133079935543812464001,2026-06-01,11150004608,a6f7a267-1ff9-49db-8dd0-27134ed36448,"",Forward,100095275326,100095275326,11504,976.19,5.0,603.0,0.0,603.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1196.0
NFT-/XUTR/DEUTH02615291703X,85.14,0.0,0.0,2999.0,1788.0,443.066,8.514,0.0,0.0,postpaid,1.703,127.0,0.0,0.0,0.0,149.86,-1484.577,"",'133070116467937090601,2026-06-01,11147838924,b8bd32c6-cd47-433f-8583-9d43f669594b,100162010448,Reverse,100093109652,100093109652,11504,1702.86,5.0,1005.0,0.0,1005.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1994.0
NFT-/XUTR/DEUTH02615291703X,34.05,0.0,0.0,1799.0,715.0,185.614,3.405,0.0,0.0,postpaid,0.681,182.0,0.0,0.0,0.0,214.76,-740.06,"",'133054173532532190101,2026-06-01,11144710141,a7b2215a-1567-4c64-b45a-81882be033f1,100162480315,Reverse,100089980876,1000026491640,11504,680.95,5.0,990.0,0.0,990.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,809.0
NFT-/XUTR/DEUTH02615291703X,34.33,0.0,0.0,3399.0,721.0,34.031,3.433,0.0,0.0,postpaid,0.687,0.0,0.0,27.0,2.668,35.00824,647.841,"",'133054348354190944403,2026-06-01,11144756031,68dd847c-aa75-4b58-9ad7-da43899e8d78,"",Forward,100090026766,100090026766,11504,686.67,5.0,2584.0,24.0,2608.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,815.0
