NEFT_Ref,igst_amount,cgst_amount,sgst_amount,MRP,customer_paid_amt,Commission,IGST_TCS,CGST_TCS,SGST_TCS,Payment_Type,TDS,Shipping_Fee,pick_and_pack_fee,fixed_fee,Payment_Gateway_Fee,Logistics_Commission,Settled_Amount,NOD_Comment,Store_Order_id,Payment_Date,order_line_id,seller_order_id,return_id,Order_Type,order_release_id,Packet_Id,Seller_Id,taxable_amount,Tax_Rate,seller_discount,platform_discount,total_discount,comments,fwdAdditionalCharges,rvsAdditionalCharges,techEnablement,airLogistics,royaltyCharges,royaltyPercent,marketingCharges,marketingPercent,marketingContribution,commission_discount,sale_Total_Customer_Paid
NFT-/XUTR/DEUTH026128A0KRGX,70.38,0.0,0.0,3299.0,1478.0,366.248,7.038,0.0,0.0,postpaid,1.408,182.0,0.0,0.0,0.0,214.76,-1318.066,"",'132829135245392369701,2026-05-08,11100744958,6a0e4181-fc38-466e-9c93-af7f2b41228b,100154691318,Reverse,100046015991,100046015991,11504,1407.62,5.0,1650.0,0.0,1650.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1649.0
NFT-/XUTR/DEUTH026128A0KRGX,75.14,0.0,0.0,3499.0,1531.86,379.595,7.295,0.0,0.0,postpaid,1.459,0.0,0.0,43.684,0.0,51.54712,1091.964,"",'132854268728530895301,2026-05-08,11105979046,dddab124-1ed7-403f-a982-6833bd153e76,"",Forward,100051250027,100051250027,11504,1502.86,5.0,1750.0,0.0,1750.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1749.0
NFT-/XUTR/DEUTH026128A0KRGX,37.14,0.0,0.0,1750.0,701.119,182.01,3.339,0.0,0.0,postpaid,0.668,163.594,0.0,0.0,0.0,193.04092,-708.143,"",'132849636230278947801,2026-05-08,11105343348,72ee2402-6a87-4724-b58a-811a321c190f,100154909590,Reverse,100050614333,100050614333,11504,742.86,5.0,876.0,0.0,876.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,874.01
NFT-/XUTR/DEUTH026128A0KRGX,20.76,0.0,0.0,1599.0,436.0,20.579,2.076,0.0,0.0,postpaid,0.415,0.0,0.0,19.0,0.0,22.42,390.51,"",'132853242715956224501,2026-05-08,11105795387,ca53c851-525f-42f0-9b92-60d3e2b9ebf4,"",Forward,100051066371,100051066371,11504,415.24,5.0,1104.0,0.0,1104.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,495.0
NFT-/XUTR/DEUTH026128A0KRGX,90.14,0.0,0.0,2999.0,1893.0000000000002,469.085,9.014,0.0,0.0,postpaid,1.803,182.0,0.0,0.0,0.0,214.76,-1627.858,"",'132838088446005690003,2026-05-08,11102635854,5158efdf-7d98-46b8-9ed3-8a77132c1ba0,100154859737,Reverse,100047906881,100047906881,11504,1802.86,5.0,900.0,0.0,900.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,2099.0
NFT-/XUTR/DEUTH026128A0KRGX,52.57,0.0,0.0,2999.0,1104.0,273.571,5.257,0.0,0.0,postpaid,1.051,0.0,0.0,45.0,0.0,53.1,771.021,"",'132847959896828218501,2026-05-08,11104825182,1035099d-a356-45d3-8dc0-5b7e83c0fbb2,"",Forward,100050096167,100050096167,11504,1051.43,5.0,1724.0,0.0,1724.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1275.0
NFT-/XUTR/DEUTH026128A0KRGX,19.05,0.0,0.0,1699.0,400.0,18.88,1.905,0.0,0.0,postpaid,0.381,0.0,0.0,0.0,0.0,0.0,378.834,"",'132839956838183008503,2026-05-08,11103151441,fda3f861-2c3e-4a45-9f60-22bfdb60b150,"",Forward,100048422450,100048422450,11504,380.95,5.0,1205.0,0.0,1205.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,494.0
NFT-/XUTR/DEUTH026128A0KRGX,72.76,0.0,0.0,1699.0,1528.0,360.608,7.276,0.0,0.0,postpaid,1.455,0.0,0.0,45.0,0.0,53.1,1105.561,"",'132852828391454633103,2026-05-08,11105750278,ee8c1f08-7a32-43bd-93f9-12ebc38e1701,"",Forward,100051021262,100051021262,11504,1455.24,5.0,0.0,0.0,0.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1699.0
NFT-/XUTR/DEUTH026128A0KRGX,75.14,0.0,0.0,3499.0,1531.8600000000001,379.595,7.295,0.0,0.0,postpaid,1.459,176.678,0.0,0.0,0.0,208.48004,-1351.991,"",'132854268728530895301,2026-05-08,11105979046,dddab124-1ed7-403f-a982-6833bd153e76,100154944702,Reverse,100051250027,100051250027,11504,1502.86,5.0,1750.0,0.0,1750.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1749.0
NFT-/XUTR/DEUTH026128A0KRGX,77.52,0.0,0.0,1799.0,1628.0,384.208,7.752,0.0,0.0,postpaid,1.55,0.0,0.0,45.0,0.0,53.1,1181.39,"",'132849184357896523703,2026-05-08,11105192174,f230e17a-e1b4-49a7-99ec-3f39d191d56b,"",Forward,100050463159,100050463159,11504,1550.48,5.0,0.0,0.0,0.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1799.0
NFT-/XUTR/DEUTH026128A0KRGX,19.05,0.0,0.0,1699.0,400.0,18.88,1.905,0.0,0.0,postpaid,0.381,182.0,0.0,0.0,0.0,214.76,-593.594,"",'132839956838183008503,2026-05-08,11103151441,fda3f861-2c3e-4a45-9f60-22bfdb60b150,11103151441,Reverse,100048422450,100048422450,11504,380.95,5.0,1205.0,0.0,1205.0,exchange,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,494.0
NFT-/XUTR/DEUTH026128A0KRGX,23.91,0.0,0.0,1699.0,500.01000000000005,129.803,2.381,0.0,0.0,postpaid,0.476,126.497,0.0,0.0,0.0,149.26646,-516.616,"",'132850689911018169203,2026-05-08,11105656102,b09334dc-dde1-4b3e-a81a-f1b15958b795,11105656102,Reverse,100050927086,1000014622711,11504,478.1,5.0,1103.0,0.0,1103.0,exchange,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,596.01
NFT-/XUTR/DEUTH026128A0KRGX,48.76,0.0,0.0,3399.0,1024.0,253.747,4.876,0.0,0.0,postpaid,0.975,0.0,0.0,45.0,0.0,53.1,711.302,"",'132840932824902497001,2026-05-08,11103415345,829382f8-67b5-4df3-a326-828752b9e707,"",Forward,100048686354,100048686354,11504,975.24,5.0,2204.0,0.0,2204.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1195.0
NFT-/XUTR/DEUTH026128A0KRGX,35.29,0.0,0.0,2799.0,529.37,24.986,2.521,0.0,0.0,postpaid,0.504,0.0,0.0,19.289,0.0,22.76102,478.598,"",'132846927970480973901,2026-05-08,11104519844,0316e2ae-3af7-47bb-b535-56b87f8518b7,"",Forward,100049790844,100049790844,11504,705.71,5.0,1964.0,0.0,1964.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,835.0
