NEFT_Ref,igst_amount,cgst_amount,sgst_amount,MRP,customer_paid_amt,Commission,IGST_TCS,CGST_TCS,SGST_TCS,Payment_Type,TDS,Shipping_Fee,pick_and_pack_fee,fixed_fee,Payment_Gateway_Fee,Logistics_Commission,Settled_Amount,NOD_Comment,Store_Order_id,Payment_Date,order_line_id,seller_order_id,return_id,Order_Type,order_release_id,Packet_Id,Seller_Id,taxable_amount,Tax_Rate,seller_discount,platform_discount,total_discount,comments,fwdAdditionalCharges,rvsAdditionalCharges,techEnablement,airLogistics,royaltyCharges,royaltyPercent,marketingCharges,marketingPercent,marketingContribution,commission_discount,sale_Total_Customer_Paid
NFT-/XUTR/DEUTH02613593269X,103.48,0.0,0.0,3399.0,2173.0,487.187,10.348,0.0,0.0,postpaid,2.07,0.0,0.0,61.0,0.0,71.98,1601.415,"",'132902535492485339501,2026-05-15,11114830134,60455d9a-d714-4c8a-bccf-70b1d4b5c230,"",Forward,100060101030,100060101030,11504,2069.52,5.0,1020.0,0.0,1020.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,2379.0
NFT-/XUTR/DEUTH02613593269X,40.71,0.0,0.0,1899.0,855.0,221.958,4.071,0.0,0.0,postpaid,0.814,0.0,0.0,27.0,0.0,31.86,596.297,"",'132932910715784835701,2026-05-15,11120258951,9d1634d7-865f-4b86-82d7-a5f5fbefea53,"",Forward,100065529776,100065529776,11504,814.29,5.0,950.0,0.0,950.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,949.0
NFT-/XUTR/DEUTH02613593269X,44.71,0.0,0.0,1799.0,939.0,243.764,4.471,0.0,0.0,postpaid,0.894,0.0,0.0,27.0,0.0,31.86,658.011,"",'132914926748175953701,2026-05-15,11117012449,0aacd8fa-168e-4534-ba75-fe45598de377,"",Forward,100062283316,100062283316,11504,894.29,5.0,689.0,0.0,689.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1110.0
NFT-/XUTR/DEUTH02613593269X,38.81,0.0,0.0,2599.0,602.34,156.367,2.868,0.0,0.0,postpaid,0.574,0.0,0.0,19.955,0.0,23.5469,418.984,"",'132924238179389497701,2026-05-15,11118747527,bee3473f-cbac-4ad7-8096-81ffbdddf96c,"",Forward,100064018367,100064018367,11504,776.19,5.0,1690.0,0.0,1690.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,909.0
NFT-/XUTR/DEUTH02613593269X,40.33,0.0,0.0,2899.0,208.72799999999998,54.186,0.994,0.0,0.0,postpaid,0.199,44.851,0.0,0.0,0.0,52.92418,-206.273,"",'132892177625168270903,2026-05-15,11112721126,f2d3c596-a640-4c7e-bc04-80092bab326e,100156969066,Reverse,100057992051,100057992051,11504,806.67,5.0,1881.0,0.0,1881.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1017.99
NFT-/XUTR/DEUTH02613593269X,45.62,0.0,0.0,1699.0,50.0,12.98,0.238,0.0,0.0,postpaid,0.048,0.0,0.0,1.409,0.0,1.66262,35.071,"",'132907701292913466201,2026-05-15,11115672693,53c2f4ae-8e9b-4098-8ab4-d2373305c4bc,"",Forward,100060943579,100060943579,11504,912.38,5.0,570.0,50.0,620.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1129.0
NFT-/XUTR/DEUTH02613593269X,40.71,0.0,0.0,1899.0,855.0,221.958,4.071,0.0,0.0,postpaid,0.814,182.0,0.0,0.0,0.0,214.76,-842.917,"",'132906404544563943503,2026-05-15,11115289474,3924ad8f-6af0-4858-8b1e-aa61ebac86c5,100156792455,Reverse,100060560361,100060560361,11504,814.29,5.0,950.0,0.0,950.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,949.0
NFT-/XUTR/DEUTH02613593269X,51.81,0.0,0.0,1799.0,1088.0,256.768,5.181,0.0,0.0,postpaid,1.036,0.0,0.0,45.0,0.0,53.1,771.915,"",'132927171808198948603,2026-05-15,11119400019,2a03e467-c52c-428b-b87c-c1ff47789e35,"",Forward,100064670849,100064670849,11504,1036.19,5.0,540.0,0.0,540.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1259.0
NFT-/XUTR/DEUTH02613593269X,56.86,0.0,0.0,1950.0,986.968,232.925,4.7,0.0,0.0,postpaid,0.94,0.0,0.0,37.197,0.0,43.89246,704.511,"",'132888130823318935403,2026-05-15,11111809027,26e16cc0-ea67-40e5-911b-f9ec212e496a,"",Forward,100057079967,100057079967,11504,1137.14,5.0,585.0,0.0,585.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1365.01
NFT-/XUTR/DEUTH02613593269X,85.81,0.0,0.0,4499.0,1802.0,446.536,8.581,0.0,0.0,postpaid,1.716,0.0,0.0,45.0,0.0,53.1,1292.067,"",'132929834020714609103,2026-05-15,11119769672,6591e96d-441b-4f2f-b693-d6f53aa54121,"",Forward,100065040502,100065040502,11504,1716.19,5.0,2491.0,0.0,2491.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,2008.0
NFT-/XUTR/DEUTH02613593269X,68.71,0.0,0.0,3399.0,1443.0,323.521,6.871,0.0,0.0,postpaid,1.374,106.0,0.0,0.0,0.0,125.08,-1236.314,"",'132924613919463090903,2026-05-15,11118833922,6f5b9637-98c2-4b8c-8644-524bf51a6673,100157056934,Reverse,100064104762,100064104762,11504,1374.29,5.0,1785.0,0.0,1785.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1614.0
