NEFT_Ref,igst_amount,cgst_amount,sgst_amount,MRP,customer_paid_amt,Commission,IGST_TCS,CGST_TCS,SGST_TCS,Payment_Type,TDS,Shipping_Fee,pick_and_pack_fee,fixed_fee,Payment_Gateway_Fee,Logistics_Commission,Settled_Amount,NOD_Comment,Store_Order_id,Payment_Date,order_line_id,seller_order_id,return_id,Order_Type,order_release_id,Packet_Id,Seller_Id,taxable_amount,Tax_Rate,seller_discount,platform_discount,total_discount,comments,fwdAdditionalCharges,rvsAdditionalCharges,techEnablement,airLogistics,royaltyCharges,royaltyPercent,marketingCharges,marketingPercent,marketingContribution,commission_discount,sale_Total_Customer_Paid
NFT-/XUTR/DEUTH026112A1G1PX,66.76,0.0,0.0,2299.0,1402.0,330.872,6.676,0.0,0.0,postpaid,1.335,167.0,0.0,0.0,0.0,197.06,-1260.177,"",'132675540180941656601,2026-04-22,11066292598,0e8d17c8-3c10-48bf-8dab-dab9b661f205,100147785241,Reverse,100011563802,1000002806328,11504,1335.24,5.0,726.0,0.0,726.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1573.0
NFT-/XUTR/DEUTH026112A1G1PX,20.62,0.0,0.0,1699.0,433.0,20.438,2.062,0.0,0.0,postpaid,0.412,0.0,0.0,19.0,0.0,22.42,387.668,"",'132728031150315801601,2026-04-22,11078215544,2067f5c2-1ee3-45ea-bef7-6b2dede57ead,"",Forward,100023486659,100023486659,11504,412.38,5.0,1207.0,0.0,1207.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,492.0
NFT-/XUTR/DEUTH026112A1G1PX,66.86,0.0,0.0,2250.0,1404.0,331.344,6.686,0.0,0.0,postpaid,1.337,112.0,0.0,0.0,0.0,132.16,-1196.793,"",'132728701890065343203,2026-04-22,11078459891,75a19e03-06d2-4526-baf3-4aaf66e0cead,100149674922,Reverse,100023731006,1000006443476,11504,1337.14,5.0,675.0,0.0,675.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1575.0
NFT-/XUTR/DEUTH026112A1G1PX,68.71,0.0,0.0,1899.0,1443.0,340.548,6.871,0.0,0.0,postpaid,1.374,167.0,0.0,0.0,0.0,197.06,-1291.267,"",'132682611520199985301,2026-04-22,11067528395,fdd8f09a-5063-4229-ba3b-65b2ef8e71f4,100147823266,Reverse,100012799596,100012799596,11504,1374.29,5.0,285.0,0.0,285.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1614.0
NFT-/XUTR/DEUTH026112A1G1PX,63.24,0.0,0.0,2950.0,1328.0,329.078,6.324,0.0,0.0,postpaid,1.265,167.0,0.0,0.0,0.0,197.06,-1188.393,"",'132684258439256292503,2026-04-22,11067907022,d9539ea0-703a-43fb-a232-41edd68ac25a,11067907022,Reverse,100013178215,100013178215,11504,1264.76,5.0,1451.0,0.0,1451.0,exchange,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1498.99
NFT-/XUTR/DEUTH026112A1G1PX,36.81,0.0,0.0,2899.0,773.0,36.486,3.681,0.0,0.0,postpaid,0.736,167.0,0.0,0.0,0.0,197.06,-929.157,"",'132680976336522816301,2026-04-22,11067119150,60b7d712-c332-4aec-815c-9b848ba4aac6,100147795176,Reverse,100012390351,100012390351,11504,736.19,5.0,2032.0,0.0,2032.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,867.0
NFT-/XUTR/DEUTH026112A1G1PX,65.62,0.0,0.0,3299.0,1378.0,341.468,6.562,0.0,0.0,postpaid,1.312,0.0,0.0,45.0,0.0,53.1,975.558,"",'132677207240526617003,2026-04-22,11066736692,db628485-c679-44ba-9497-5d6c4a85ec90,"",Forward,100012007896,1000003131686,11504,1312.38,5.0,1750.0,0.0,1750.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1549.0
NFT-/XUTR/DEUTH026112A1G1PX,22.62,0.0,0.0,1599.0,475.0,22.42,2.262,0.0,0.0,postpaid,0.452,0.0,0.0,19.0,0.0,22.42,427.446,"",'132683461221523328903,2026-04-22,11067726475,2f56926f-d3bf-418a-8007-e5706eb4b2b6,"",Forward,100012997672,1000003605030,11504,452.38,5.0,1030.0,0.0,1030.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,569.0
NFT-/XUTR/DEUTH026112A1G1PX,21.91,0.0,0.0,1499.0,460.0,21.712,2.19,0.0,0.0,postpaid,0.438,0.0,0.0,27.0,0.0,31.86,403.8,"",'132716541992172484101,2026-04-22,11075244560,611ab35e-a021-4203-9bdf-bc8a1e024365,"",Forward,100020515695,1000005552219,11504,438.1,5.0,945.0,0.0,945.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,554.01
NFT-/XUTR/DEUTH026112A1G1PX,20.29,0.0,0.0,1750.0,425.99999999999994,20.107,2.029,0.0,0.0,postpaid,0.406,167.0,0.0,0.0,0.0,197.06,-600.518,"",'132667863692928666803,2026-04-22,11064981239,29749ec2-a701-4884-90cd-7a1bb40fc78f,100149409006,Reverse,100010252499,100010252499,11504,405.71,5.0,1230.0,0.0,1230.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,520.0
