NEFT_Ref,igst_amount,cgst_amount,sgst_amount,MRP,customer_paid_amt,Commission,IGST_TCS,CGST_TCS,SGST_TCS,Payment_Type,TDS,Shipping_Fee,pick_and_pack_fee,fixed_fee,Payment_Gateway_Fee,Logistics_Commission,Settled_Amount,NOD_Comment,Store_Order_id,Payment_Date,order_line_id,seller_order_id,return_id,Order_Type,order_release_id,Packet_Id,Seller_Id,taxable_amount,Tax_Rate,seller_discount,platform_discount,total_discount,comments,fwdAdditionalCharges,rvsAdditionalCharges,techEnablement,airLogistics,royaltyCharges,royaltyPercent,marketingCharges,marketingPercent,marketingContribution,commission_discount,sale_Total_Customer_Paid
NFT-/XUTR/DEUTH02615480801X,68.0,0.0,0.0,3199.0,1428.0,353.858,6.8,0.0,0.0,postpaid,1.36,0.0,0.0,45.0,0.0,53.1,1012.882,"",'133088466923416833501,2026-06-03,11151947219,1552ff0d-2d50-45b4-8347-cfddf37e53df,"",Forward,100097217931,1000029303983,11504,1360,5.0,1600.0,0.0,1600.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1599.0
NFT-/XUTR/DEUTH02615480801X,471.81,0.0,0.0,3299.0,3093.0,729.948,13.106,0.0,0.0,postpaid,2.621,0.0,0.0,61.0,0.0,71.98,2275.345,"",'133101101030183160301,2026-06-03,11154759468,12d9217f-81fd-4db8-b4a8-1d1204009750,"",Forward,100100030175,100100030175,11504,2621.19,18.0,0.0,0.0,0.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,3299.0
NFT-/XUTR/DEUTH02615480801X,0.0,25.19,25.19,3499.0,1058.0,262.172,0.0,2.519,2.519,postpaid,1.008,0.0,0.0,45.0,0.0,53.1,736.682,"",'133092077217107216303,2026-06-03,11153228908,90545a5e-bfcb-4dba-8eaa-a77e3ee9d303,"",Forward,100098499617,100098499617,11504,1007.62,5.0,2270.0,0.0,2270.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1229.0
NFT-/XUTR/DEUTH02615480801X,79.91,0.0,0.0,3699.0,1678.0,376.208,7.99,0.0,0.0,postpaid,1.598,0.0,0.0,45.0,0.0,53.1,1239.104,"",'133074830847826036003,2026-06-03,11149160793,c244e357-8cb7-48b8-967b-2b61dae66653,"",Forward,100094431516,100094431516,11504,1598.1,5.0,1850.0,0.0,1850.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1849.01
NFT-/XUTR/DEUTH02615480801X,72.76,0.0,0.0,1699.0,1528.0,360.608,7.276,0.0,0.0,postpaid,1.455,0.0,0.0,45.0,0.0,53.1,1105.561,"",'133092506404810231703,2026-06-03,11153326045,f562a035-6c55-4a89-aa61-83090b8defe4,"",Forward,100098596754,1000029057445,11504,1455.24,5.0,0.0,0.0,0.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1699.0
NFT-/XUTR/DEUTH02615480801X,54.95,0.0,0.0,3100.0,1154.0,285.961,5.495,0.0,0.0,postpaid,1.099,0.0,0.0,45.0,0.0,53.1,808.345,"",'133096003076121000103,2026-06-03,11153614940,0af23647-f931-400e-b827-f4098d15620e,"",Forward,100098885649,100098885649,11504,1099.05,5.0,1775.0,0.0,1775.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1325.0
NFT-/XUTR/DEUTH02615480801X,0.0,18.57,18.57,1750.0,780.0,202.488,0.0,1.857,1.857,postpaid,0.743,106.0,0.0,0.0,0.0,125.08,-698.135,"",'133100774255499333501,2026-06-03,11154686298,7a592b36-0abc-4f02-ad40-a4e4cefa5038,11154686298,Reverse,100099957005,100099957005,11504,742.86,5.0,876.0,0.0,876.0,exchange,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,874.0000000000001
NFT-/XUTR/DEUTH02615480801X,68.0,0.0,0.0,3199.0,1428.0,353.858,6.8,0.0,0.0,postpaid,1.36,127.0,0.0,0.0,0.0,149.86,-1215.842,"",'133088466923416833501,2026-06-03,11151947219,1552ff0d-2d50-45b4-8347-cfddf37e53df,100163036517,Reverse,100097217931,1000029303983,11504,1360,5.0,1600.0,0.0,1600.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1599.0
NFT-/XUTR/DEUTH02615480801X,63.24,0.0,0.0,2999.0,1328.0,329.078,6.324,0.0,0.0,postpaid,1.265,0.0,0.0,45.0,0.0,53.1,938.233,"",'133087516961846111801,2026-06-03,11151625078,1e93e3a8-4da9-4a46-a87d-aeac59814756,"",Forward,100096895791,100096895791,11504,1264.76,5.0,1500.0,0.0,1500.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1499.0
NFT-/XUTR/DEUTH02615480801X,33.91,0.0,0.0,1699.0,712.0,184.835,3.39,0.0,0.0,postpaid,0.678,0.0,0.0,27.0,0.0,31.86,491.237,"",'133052745684882683701,2026-06-03,11144323820,762c17b6-3766-4e93-8a3a-a50fe44fdc95,"",Forward,100089594556,1000026374075,11504,678.1,5.0,893.0,0.0,893.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,806.01
