NEFT_Ref,igst_amount,cgst_amount,sgst_amount,MRP,customer_paid_amt,Commission,IGST_TCS,CGST_TCS,SGST_TCS,Payment_Type,TDS,Shipping_Fee,pick_and_pack_fee,fixed_fee,Payment_Gateway_Fee,Logistics_Commission,Settled_Amount,NOD_Comment,Store_Order_id,Payment_Date,order_line_id,seller_order_id,return_id,Order_Type,order_release_id,Packet_Id,Seller_Id,taxable_amount,Tax_Rate,seller_discount,platform_discount,total_discount,comments,fwdAdditionalCharges,rvsAdditionalCharges,techEnablement,airLogistics,royaltyCharges,royaltyPercent,marketingCharges,marketingPercent,marketingContribution,commission_discount,sale_Total_Customer_Paid
NFT-/XUTR/DEUTH026126A0MQYX,58.43,0.0,0.0,2899.0,239.42200000000003,59.329,1.14,0.0,0.0,postpaid,0.228,24.781,0.0,0.0,0.0,29.24158,-207.967,"",'132845977438964701303,2026-05-06,11104227728,b9708948-c2f4-4098-ab8a-28f01d662fcb,100154382858,Reverse,100049498728,100049498728,11504,1168.57,5.0,1501.0,0.0,1501.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1398.01
NFT-/XUTR/DEUTH026126A0MQYX,77.52,0.0,0.0,1799.0,1366.78,322.56,6.508,0.0,0.0,postpaid,1.302,0.0,0.0,37.78,0.0,44.5804,991.83,"",'132836399035866965103,2026-05-06,11102152480,8b57af4c-4e4f-4bea-a948-c26eb13cc058,"",Forward,100047423507,100047423507,11504,1550.48,5.0,0.0,0.0,0.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1799.0
NFT-/XUTR/DEUTH026126A0MQYX,29.38,0.0,0.0,1499.0,490.11,127.23300000000002,2.334,0.0,0.0,postpaid,0.467,0.0,0.0,21.447,0.0,25.30746,334.769,"",'132855520122696767803,2026-05-06,11106256391,b9fb13be-8de1-4b29-bcea-25f1bfe2788d,"",Forward,100051527372,1000014900363,11504,587.62,5.0,788.0,0.0,788.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,711.0
NFT-/XUTR/DEUTH026126A0MQYX,36.0,0.0,0.0,2299.0,756.0,35.683,3.6,0.0,0.0,postpaid,0.72,0.0,0.0,27.0,0.0,31.86,684.137,"",'132810742633819998703,2026-05-06,11096842086,77065884-f789-41cb-9355-fc3495700c7d,"",Forward,100042113127,100042113127,11504,720,5.0,1449.0,0.0,1449.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,850.0
NFT-/XUTR/DEUTH026126A0MQYX,35.24,0.0,0.0,2299.0,555.108,26.201,2.643,0.0,0.0,postpaid,0.529,0.0,0.0,20.254,0.0,23.89972,501.835,"",'132848037649489896501,2026-05-06,11104848106,7c17d415-4c24-432d-9974-4a467fe6778b,"",Forward,100050119091,1000014834830,11504,704.76,5.0,1465.0,0.0,1465.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,834.01
NFT-/XUTR/DEUTH026126A0MQYX,19.05,0.0,0.0,1499.0,400.0,18.88,1.905,0.0,0.0,postpaid,0.381,0.0,0.0,0.0,0.0,0.0,378.834,"",'132853813790648875301,2026-05-06,11105887556,4fc915e0-0925-4ffb-bdab-e3366f7106d6,"",Forward,100051158537,1000014752150,11504,380.95,5.0,1005.0,0.0,1005.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,494.0
NFT-/XUTR/DEUTH026126A0MQYX,35.76,0.0,0.0,1799.0,445.126,115.555,2.12,0.0,0.0,postpaid,0.424,0.0,0.0,16.003,0.0,18.88354,308.143,"",'132831203187225571003,2026-05-06,11101270653,9735a776-d25a-4b24-94d7-6ea3b90cbaea,"",Forward,100046541680,100046541680,11504,715.24,5.0,954.0,0.0,954.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,845.01
NFT-/XUTR/DEUTH026126A0MQYX,39.52,0.0,0.0,2499.0,830.0,215.468,3.952,0.0,0.0,postpaid,0.79,0.0,0.0,27.0,0.0,31.86,577.93,"",'132830093354460818703,2026-05-06,11100994948,de589da7-1394-4175-a6ed-51436729cbbd,"",Forward,100046265980,100046265980,11504,790.48,5.0,1575.0,0.0,1575.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,924.0
NFT-/XUTR/DEUTH026126A0MQYX,85.14,0.0,0.0,2999.0,1788.0,443.066,8.514,0.0,0.0,postpaid,1.703,182.0,0.0,0.0,0.0,214.76,-1549.477,"",'132832468900756496601,2026-05-06,11101628242,02da7e74-da20-45cf-8033-7b63dc132e2a,100154150347,Reverse,100046899269,100046899269,11504,1702.86,5.0,1005.0,0.0,1005.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1994.0
NFT-/XUTR/DEUTH026126A0MQYX,45.62,0.0,0.0,1699.0,958.0,248.697,4.562,0.0,0.0,postpaid,0.912,0.0,0.0,27.0,0.0,31.86,671.969,"",'132853715816702067803,2026-05-06,11105870022,d8c458bf-4258-4e72-8d9e-d943de75a26f,"",Forward,100051141003,1000014845817,11504,912.38,5.0,570.0,0.0,570.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1129.0
