NEFT_Ref,igst_amount,cgst_amount,sgst_amount,MRP,customer_paid_amt,Commission,IGST_TCS,CGST_TCS,SGST_TCS,Payment_Type,TDS,Shipping_Fee,pick_and_pack_fee,fixed_fee,Payment_Gateway_Fee,Logistics_Commission,Settled_Amount,NOD_Comment,Store_Order_id,Payment_Date,order_line_id,seller_order_id,return_id,Order_Type,order_release_id,Packet_Id,Seller_Id,taxable_amount,Tax_Rate,seller_discount,platform_discount,total_discount,comments,fwdAdditionalCharges,rvsAdditionalCharges,techEnablement,airLogistics,royaltyCharges,royaltyPercent,marketingCharges,marketingPercent,marketingContribution,commission_discount,sale_Total_Customer_Paid
NFT-/XUTR/DEUTH02614629387X,56.71,0.0,0.0,2899.0,1191.0,295.13,5.671,0.0,0.0,postpaid,1.134,0.0,0.0,45.0,0.0,53.1,835.965,"",'133011242100442360303,2026-05-26,11135565135,b0d19df5-67e6-42bb-93ca-649f5f9349b1,"",Forward,100080835922,1000024161896,11504,1134.29,5.0,1537.0,0.0,1537.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1362.0
NFT-/XUTR/DEUTH02614629387X,42.91,0.0,0.0,2899.0,901.0,233.9,4.29,0.0,0.0,postpaid,0.858,0.0,0.0,27.0,0.0,31.86,630.092,"",'133005886175988966403,2026-05-26,11134622569,cedcfe3b-b4bc-45f4-bdaf-78cae23bce18,"",Forward,100079893358,100079893358,11504,858.1,5.0,1827.0,0.0,1827.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1072.01
NFT-/XUTR/DEUTH02614629387X,51.33,0.0,0.0,2499.0,1078.0,267.128,5.133,0.0,0.0,postpaid,1.027,0.0,0.0,45.0,0.0,53.1,751.612,"",'133021170501559156001,2026-05-26,11137838276,4c3767d9-7adf-4521-987d-178222586c14,"",Forward,100083109048,100083109048,11504,1026.67,5.0,1250.0,0.0,1250.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1249.0
NFT-/XUTR/DEUTH02614629387X,0.0,19.17,19.17,1799.0,37.0,9.605,0.0,0.088,0.088,postpaid,0.035,0.0,0.0,1.241,0.0,1.46438,25.72,"",'133028424135810445203,2026-05-26,11139410838,d921d215-1e86-4348-bfec-39a9e8feec37,"",Forward,100084681600,1000025361761,11504,766.66,5.0,900.0,37.0,937.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,898.9999999999999
NFT-/XUTR/DEUTH02614629387X,45.52,0.0,0.0,2399.0,955.9999999999999,248.178,4.552,0.0,0.0,postpaid,0.91,106.0,0.0,0.0,0.0,125.08,-827.44,"",'133034569267817752801,2026-05-26,11140713188,74229326-0739-43f2-bb77-2f2fabafd38d,11140713188,Reverse,100085983942,100085983942,11504,910.48,5.0,1272.0,0.0,1272.0,exchange,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1127.0
NFT-/XUTR/DEUTH02614629387X,87.0,0.0,0.0,1999.0,1643.4299999999998,387.85,7.826,0.0,0.0,postpaid,1.565,114.24,0.0,0.0,0.0,134.8032,-1380.992,"",'133021592756397055001,2026-05-26,11137961387,df61123b-1af1-4aa3-91ba-914793346b5a,100161007952,Reverse,100083232156,100083232156,11504,1740,5.0,1.0,0.0,1.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1998.0
NFT-/XUTR/DEUTH02614629387X,34.24,0.0,0.0,2199.0,719.0,33.937,3.424,0.0,0.0,postpaid,0.685,127.0,0.0,0.0,0.0,149.86,-830.814,"",'133021883819447602903,2026-05-26,11138045752,21549598-0e1c-4f5f-b911-1cad20f9972a,100160293097,Reverse,100083316521,1000024718208,11504,684.76,5.0,1386.0,0.0,1386.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,813.0
NFT-/XUTR/DEUTH02614629387X,118.81,0.0,0.0,5799.0,250.0,61.95,1.19,0.0,0.0,postpaid,0.238,0.0,0.0,6.112,0.0,7.21216,179.41,"",'133005956077873108101,2026-05-26,11134642682,5e9068f4-7b57-4124-afb8-71fcbed6afa7,"",Forward,100079913470,100079913470,11504,2376.19,5.0,3074.0,250.0,3324.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,2725.0
NFT-/XUTR/DEUTH02614629387X,63.24,0.0,0.0,2999.0,250.0,61.95,1.19,0.0,0.0,postpaid,0.238,0.0,0.0,8.471,0.0,9.99578,176.626,"",'132995694725601265703,2026-05-26,11132399371,e67f8b26-8050-4895-a09b-1ad610284ea7,"",Forward,100077670160,100077670160,11504,1264.76,5.0,1500.0,250.0,1750.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1499.0
NFT-/XUTR/DEUTH02614629387X,40.71,0.0,0.0,1899.0,855.0,221.958,4.071,0.0,0.0,postpaid,0.814,0.0,0.0,27.0,0.0,31.86,596.297,"",'133021883819447602903,2026-05-26,11138045751,21549598-0e1c-4f5f-b911-1cad20f9972a,"",Forward,100083316520,1000024718208,11504,814.29,5.0,950.0,0.0,950.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,949.0
NFT-/XUTR/DEUTH02614629387X,63.24,0.0,0.0,2999.0,1328.0,329.078,6.324,0.0,0.0,postpaid,1.265,0.0,0.0,45.0,0.0,53.1,938.233,"",'133023702406614236201,2026-05-26,11138582427,735ce0a0-305d-4520-a2cb-08924a6efe25,"",Forward,100083853192,1000024727065,11504,1264.76,5.0,1500.0,0.0,1500.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1499.0
NFT-/XUTR/DEUTH02614629387X,42.43,0.0,0.0,3399.0,869.12,225.623,4.139,0.0,0.0,postpaid,0.828,0.0,0.0,26.337,0.0,31.07766,607.452,"",'133032138225386627001,2026-05-26,11140559429,53fdb6ab-011b-460e-9d10-648a9ac189a1,"",Forward,100085830185,100085830185,11504,848.57,5.0,2414.0,0.0,2414.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,985.0
NFT-/XUTR/DEUTH02614629387X,61.95,0.0,0.0,2899.0,1301.0,322.388,6.195,0.0,0.0,postpaid,1.239,0.0,0.0,45.0,0.0,53.1,918.078,"",'132987470075070122803,2026-05-26,11130944624,381e937a-246d-4c33-8800-88f6f2f7681c,"",Forward,100076215413,100076215413,11504,1239.05,5.0,1427.0,0.0,1427.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1472.0
NFT-/XUTR/DEUTH02614629387X,40.71,0.0,0.0,1899.0,855.0,221.958,4.071,0.0,0.0,postpaid,0.814,0.0,0.0,27.0,0.0,31.86,596.297,"",'133005368861400795103,2026-05-26,11134461871,c337ea6a-3ae3-4b33-b922-117dfcf7ba48,"",Forward,100079732660,1000023286681,11504,814.29,5.0,950.0,0.0,950.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,949.0
NFT-/XUTR/DEUTH02614629387X,41.81,0.0,0.0,2999.0,878.0,227.929,4.181,0.0,0.0,postpaid,0.836,106.0,0.0,0.0,0.0,125.08,-770.134,"",'133035584253233504601,2026-05-26,11140906010,0f2597d7-fd00-41b3-981f-f950018e9f43,100162522320,Reverse,100086176764,100086176764,11504,836.19,5.0,1950.0,0.0,1950.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1049.0
NFT-/XUTR/DEUTH02614629387X,118.81,0.0,0.0,5799.0,250.0,61.95,1.19,0.0,0.0,postpaid,0.238,27.455,0.0,0.0,0.0,32.3969,-219.019,"",'133005956077873108101,2026-05-26,11134642682,5e9068f4-7b57-4124-afb8-71fcbed6afa7,11134642682,Reverse,100079913470,100079913470,11504,2376.19,5.0,3074.0,250.0,3324.0,exchange,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,2725.0
NFT-/XUTR/DEUTH02614629387X,61.95,0.0,0.0,2899.0,300.0,74.34,1.429,0.0,0.0,postpaid,0.286,41.968,0.0,0.0,0.0,49.52224,-273.467,"",'133003865837702169101,2026-05-26,11134038900,8271723c-767a-40f9-91a7-525e2a9a0a7d,11134038900,Reverse,100079309689,100079309689,11504,1239.05,5.0,1427.0,300.0,1727.0,exchange,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1472.0
NFT-/XUTR/DEUTH02614629387X,63.19,0.0,0.0,2999.0,1320.36,327.185,6.287,0.0,0.0,postpaid,1.257,0.0,0.0,44.775,0.0,52.8345,932.796,"",'132966879044292049403,2026-05-26,11126865186,c06db8ae-30ec-4919-91ef-85d84bf10e8c,"",Forward,100072135980,100072135980,11504,1263.81,5.0,1501.0,0.0,1501.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1498.0
NFT-/XUTR/DEUTH02614629387X,19.1,0.0,0.0,1599.0,401.0,18.927,1.91,0.0,0.0,postpaid,0.382,0.0,0.0,15.0,0.0,17.7,362.081,"",'133013112602305439203,2026-05-26,11136040562,3293fe70-3e4a-430e-b2d1-39ff77b035b7,"",Forward,100081311346,100081311346,11504,381.9,5.0,1104.0,0.0,1104.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,495.0
NFT-/XUTR/DEUTH02614629387X,63.24,0.0,0.0,2999.0,1328.0,329.078,6.324,0.0,0.0,postpaid,1.265,0.0,0.0,45.0,0.0,53.1,938.233,"",'133031762996414856601,2026-05-26,11140472140,529a3318-ccea-4fce-8575-274e51450f1e,"",Forward,100085742896,100085742896,11504,1264.76,5.0,1500.0,0.0,1500.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1499.0
NFT-/XUTR/DEUTH02614629387X,65.67,0.0,0.0,3299.0,1379.0,341.716,6.567,0.0,0.0,postpaid,1.313,106.0,0.0,0.0,0.0,125.08,-1154.484,"",'133030780249012677101,2026-05-26,11140134920,e7554215-08e2-4e12-bbf9-2b65a3efb79d,100160925191,Reverse,100085405677,100085405677,11504,1313.33,5.0,1749.0,0.0,1749.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1550.0
NFT-/XUTR/DEUTH02614629387X,45.14,0.0,0.0,1599.0,948.0,246.101,4.514,0.0,0.0,postpaid,0.903,0.0,0.0,27.0,0.0,31.86,664.622,"",'133004253086950864701,2026-05-26,11134136349,f371a173-0eb8-4ea5-9657-9048a544e5fe,"",Forward,100079407138,1000023197983,11504,902.86,5.0,480.0,0.0,480.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1119.0
NFT-/XUTR/DEUTH02614629387X,65.67,0.0,0.0,3299.0,1379.0,341.716,6.567,0.0,0.0,postpaid,1.313,0.0,0.0,45.0,0.0,53.1,976.304,"",'133030780249012677101,2026-05-26,11140134920,e7554215-08e2-4e12-bbf9-2b65a3efb79d,"",Forward,100085405677,100085405677,11504,1313.33,5.0,1749.0,0.0,1749.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1550.0
NFT-/XUTR/DEUTH02614629387X,45.52,0.0,0.0,2399.0,956.0,248.178,4.552,0.0,0.0,postpaid,0.91,0.0,0.0,27.0,0.0,31.86,670.5,"",'133034569267817752801,2026-05-26,11140713188,74229326-0739-43f2-bb77-2f2fabafd38d,"",Forward,100085983942,100085983942,11504,910.48,5.0,1272.0,0.0,1272.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1127.0
NFT-/XUTR/DEUTH02614629387X,70.14,0.0,0.0,3499.0,1473.0,365.009,7.014,0.0,0.0,postpaid,1.403,127.0,0.0,0.0,0.0,149.86,-1249.434,"",'133023702406614236201,2026-05-26,11138582428,735ce0a0-305d-4520-a2cb-08924a6efe25,100160296053,Reverse,100083853193,1000024727065,11504,1402.86,5.0,1855.0,0.0,1855.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1644.0
NFT-/XUTR/DEUTH02614629387X,42.52,0.0,0.0,3799.0,893.0,231.823,4.252,0.0,0.0,postpaid,0.85,0.0,0.0,27.0,0.0,31.86,624.215,"",'133007794129656582401,2026-05-26,11134818136,f836b039-04a8-4b6c-9d5f-a20cc8f68e18,"",Forward,100080088924,100080088924,11504,850.48,5.0,2812.0,0.0,2812.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,987.0
NFT-/XUTR/DEUTH02614629387X,90.14,0.0,0.0,2999.0,1893.0,469.085,9.014,0.0,0.0,postpaid,1.803,0.0,0.0,45.0,0.0,53.1,1359.998,"",'133035502583747783103,2026-05-26,11140886252,2aa9fd0a-7b05-4047-bad0-3ffaefad7635,"",Forward,100086157006,100086157006,11504,1802.86,5.0,900.0,0.0,900.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,2099.0
NFT-/XUTR/DEUTH02614629387X,0.0,18.6,18.6,1750.0,774.27,201.001,0.0,1.8435,1.8435,postpaid,0.737,0.0,0.0,26.767,0.0,31.58506,537.26,"",'133030159599846729503,2026-05-26,11139941458,a1199ac8-2933-4de4-9d92-44d5c628961c,"",Forward,100085212216,100085212216,11504,743.8,5.0,875.0,0.0,875.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,875.0
NFT-/XUTR/DEUTH02614629387X,34.24,0.0,0.0,2199.0,719.0,33.937,3.424,0.0,0.0,postpaid,0.685,0.0,0.0,27.0,0.0,31.86,649.094,"",'133021883819447602903,2026-05-26,11138045752,21549598-0e1c-4f5f-b911-1cad20f9972a,"",Forward,100083316521,1000024718208,11504,684.76,5.0,1386.0,0.0,1386.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,813.0
NFT-/XUTR/DEUTH02614629387X,23.67,0.0,0.0,1599.0,497.0,23.458,2.367,0.0,0.0,postpaid,0.473,0.0,0.0,27.0,0.0,31.86,438.842,"",'133031420587747108503,2026-05-26,11140358608,4acec8d2-29d0-47a4-9887-38966ce07c63,"",Forward,100085629365,1000025072799,11504,473.33,5.0,1008.0,0.0,1008.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,591.0
NFT-/XUTR/DEUTH02614629387X,53.52,0.0,0.0,1850.0,1124.0,265.264,5.352,0.0,0.0,postpaid,1.07,0.0,0.0,45.0,0.0,53.1,799.214,"",'133004253086950864701,2026-05-26,11134136350,f371a173-0eb8-4ea5-9657-9048a544e5fe,"",Forward,100079407139,1000023197983,11504,1070.48,5.0,555.0,0.0,555.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1295.0
NFT-/XUTR/DEUTH02614629387X,36.0,0.0,0.0,2299.0,107.0,5.05,0.51,0.0,0.0,postpaid,0.102,0.0,0.0,3.821,0.0,4.50878,96.829,"",'133004437901469197301,2026-05-26,11134185001,8ccd59a3-6bee-4c2b-be6e-cd17ef8c5093,"",Forward,100079455790,100079455790,11504,720,5.0,1449.0,107.0,1556.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,850.0
NFT-/XUTR/DEUTH02614629387X,0.0,31.62,31.62,2999.0,1328.0,329.078,0.0,3.162,3.162,postpaid,1.265,0.0,0.0,45.0,0.0,53.1,938.233,"",'133025852081124340401,2026-05-26,11138710662,3af1f05f-0161-4a81-a2d0-8093edd28199,"",Forward,100083981427,100083981427,11504,1264.76,5.0,1500.0,0.0,1500.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1498.9999999999998
NFT-/XUTR/DEUTH02614629387X,426.05,0.0,0.0,2999.0,2793.0,659.148,11.835,0.0,0.0,postpaid,2.367,127.0,0.0,0.0,0.0,149.86,-2269.51,"",'133015031888610597901,2026-05-26,11136552861,aaefcdd6-324d-4d48-81f8-0028a62ed6e4,100160447770,Reverse,100081823644,100081823644,11504,2366.95,18.0,0.0,0.0,0.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,2999.0
NFT-/XUTR/DEUTH02614629387X,29.91,0.0,0.0,1899.0,628.0,44.462,2.99,0.0,0.0,postpaid,0.598,0.0,0.0,27.0,5.275,38.0845,541.866,"",'133017465196900506301,2026-05-26,11136751482,3425ac8a-dd4f-431b-937e-1b5ee7b118c7,"",Forward,100082022262,100082022262,11504,598.1,5.0,1177.0,0.0,1177.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,722.01
NFT-/XUTR/DEUTH02614629387X,75.14,0.0,0.0,3499.0,1578.0,391.028,7.514,0.0,0.0,postpaid,1.503,0.0,0.0,45.0,0.0,53.1,1124.855,"",'133001914802945019601,2026-05-26,11133526975,cc229ffd-8200-4141-8f92-1f1e37232098,"",Forward,100078797764,1000023581035,11504,1502.86,5.0,1750.0,0.0,1750.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1749.0
NFT-/XUTR/DEUTH02614629387X,0.0,31.62,31.62,2999.0,457.577,113.388,0.0,1.0895,1.0895,postpaid,0.436,0.0,0.0,15.505,0.0,18.2959,323.278,"",'133029973380169512301,2026-05-26,11139885661,7dc2b846-d467-4561-ad34-02804b6d3d1e,"",Forward,100085156420,100085156420,11504,1264.76,5.0,1500.0,0.0,1500.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1498.9999999999998
NFT-/XUTR/DEUTH02614629387X,67.91,0.0,0.0,3399.0,1426.0,353.363,6.79,0.0,0.0,postpaid,1.358,0.0,0.0,45.0,0.0,53.1,1011.389,"",'133020468057355306601,2026-05-26,11137636650,ebd15434-c2b9-43f1-b53d-e4ef44e1c90c,"",Forward,100082907423,100082907423,11504,1358.1,5.0,1802.0,0.0,1802.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1597.01
NFT-/XUTR/DEUTH02614629387X,426.05,0.0,0.0,2999.0,1535.734,362.433,6.507,0.0,0.0,postpaid,1.301,0.0,0.0,33.541,0.0,39.57838,1125.915,"",'133034397702549318203,2026-05-26,11140691599,003f7e79-5b10-4820-9eb5-7f2ce4121c12,"",Forward,100085962353,100085962353,11504,2366.95,18.0,0.0,0.0,0.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,2999.0
NFT-/XUTR/DEUTH02614629387X,63.29,0.0,0.0,2999.0,24.0,5.947,0.114,0.0,0.0,postpaid,0.023,0.0,0.0,0.813,0.0,0.95934,16.957,"",'132995282627563121303,2026-05-26,11132305967,85674bff-9c11-410a-b5e4-94addada02a1,"",Forward,100077576756,100077576756,11504,1265.71,5.0,1499.0,24.0,1523.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1500.0
NFT-/XUTR/DEUTH02614629387X,33.48,0.0,0.0,3299.0,637.78,30.103,3.037,0.0,0.0,postpaid,0.607,165.115,0.0,0.0,0.0,194.8357,-798.869,"",'132950345707510486601,2026-05-26,11123500884,bf85168c-739a-479a-9142-b6b679ce29cb,100160463408,Reverse,100068771690,100068771690,11504,669.52,5.0,2502.0,0.0,2502.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,797.0
NFT-/XUTR/DEUTH02614629387X,28.33,0.0,0.0,2599.0,551.071,26.011,2.624,0.0,0.0,postpaid,0.525,0.0,0.0,2.779,0.0,3.27922,518.632,"",'132979981740397483301,2026-05-26,11129751383,c5ee62a5-13a7-4e0f-a987-7d9f0d370f87,"",Forward,100075022173,100075022173,11504,566.67,5.0,1910.0,0.0,1910.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,689.0
NFT-/XUTR/DEUTH02614629387X,36.0,0.0,0.0,1699.0,756.0,196.258,3.6,0.0,0.0,postpaid,0.72,0.0,0.0,27.0,0.0,31.86,523.562,"",'132994395211434152803,2026-05-26,11132110450,70f850b8-af2b-495d-bcbd-1445b0e28b00,"",Forward,100077381239,100077381239,11504,720,5.0,849.0,0.0,849.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,850.0
NFT-/XUTR/DEUTH02614629387X,46.86,0.0,0.0,1650.0,304.52,79.054,1.45,0.0,0.0,postpaid,0.29,0.0,0.0,8.356,0.0,9.86008,213.866,"",'133000130691844947001,2026-05-26,11133055384,53a629e7-5ee7-498c-ad3b-1ab24fafb86e,"",Forward,100078326173,100078326173,11504,937.14,5.0,495.0,0.0,495.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1155.0
