NEFT_Ref,igst_amount,cgst_amount,sgst_amount,MRP,customer_paid_amt,Commission,IGST_TCS,CGST_TCS,SGST_TCS,Payment_Type,TDS,Shipping_Fee,pick_and_pack_fee,fixed_fee,Payment_Gateway_Fee,Logistics_Commission,Settled_Amount,NOD_Comment,Store_Order_id,Payment_Date,order_line_id,seller_order_id,return_id,Order_Type,order_release_id,Packet_Id,Seller_Id,taxable_amount,Tax_Rate,seller_discount,platform_discount,total_discount,comments,fwdAdditionalCharges,rvsAdditionalCharges,techEnablement,airLogistics,royaltyCharges,royaltyPercent,marketingCharges,marketingPercent,marketingContribution,commission_discount,sale_Total_Customer_Paid
NFT-/XUTR/DEUTH026180A2H83X,40.71,0.0,0.0,1899.0,855.0,221.958,4.071,0.0,0.0,postpaid,0.814,0.0,0.0,31.0,0.0,36.58,591.577,"",'133289123462754042403,2026-06-29,11219266367,59beb26b-0509-404b-8b25-780eee22ead4,"",Forward,100164537045,100164537045,11504,814.29,5.0,950.0,0.0,950.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,949.0
NFT-/XUTR/DEUTH026180A2H83X,62.67,0.0,0.0,1750.0,1316.0,310.576,6.267,0.0,0.0,postpaid,1.253,127.0,0.0,0.0,0.0,149.86,-1147.764,"",'133308650616714159603,2026-06-29,11224766528,9c040168-f342-428e-97f8-aeaddc8a8344,100174199435,Reverse,100170037204,100170037204,11504,1253.33,5.0,263.0,0.0,263.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1487.0
NFT-/XUTR/DEUTH026180A2H83X,37.19,0.0,0.0,1750.0,56.0,14.538,0.267,0.0,0.0,postpaid,0.053,0.0,0.0,2.223,0.0,2.62314,38.519,"",'133262102779871361401,2026-06-29,11210684015,fde70089-9a9c-4ab0-860e-40833b4a645b,"",Forward,100155954695,1000043392736,11504,743.81,5.0,875.0,56.0,931.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,875.0
NFT-/XUTR/DEUTH026180A2H83X,52.57,0.0,0.0,1500.0,1064.46,251.21200000000002,5.069,0.0,0.0,postpaid,1.014,0.0,0.0,47.245,0.0,55.7491,751.416,"",'133273362291688420001,2026-06-29,11215170928,71510e56-fb31-47f9-bc56-a84c8e537c4b,"",Forward,100160441607,100160441607,11504,1051.43,5.0,225.0,0.0,225.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1275.0
NFT-/XUTR/DEUTH026180A2H83X,0.0,20.6,20.6,2399.0,41.0,10.644,0.0,0.0975,0.0975,postpaid,0.039,5.024,0.0,0.0,0.0,5.92832,-36.05,"",'133296446997837455801,2026-06-29,11221166204,8418f105-29f1-41f8-9419-5052bee43f20,100172764686,Reverse,100166436881,100166436881,11504,823.8,5.0,1440.0,41.0,1481.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,959.0
NFT-/XUTR/DEUTH026180A2H83X,43.1,0.0,0.0,2499.0,905.0,234.938,4.31,0.0,0.0,postpaid,0.862,0.0,0.0,31.0,0.0,36.58,628.31,"",'133261892335167640203,2026-06-29,11210593741,27728102-a376-4176-83d9-679b03ea7983,"",Forward,100155864421,100155864421,11504,861.9,5.0,1500.0,0.0,1500.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,999.0
NFT-/XUTR/DEUTH026180A2H83X,55.14,0.0,0.0,1899.0,1158.0,273.288,5.514,0.0,0.0,postpaid,1.103,0.0,0.0,49.0,0.0,57.82,820.275,"",'133289145325894646001,2026-06-29,11219274000,28a45f61-1dd9-4c04-befa-e6bd5ffb9de7,"",Forward,100164544678,100164544678,11504,1102.86,5.0,570.0,0.0,570.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1329.0
NFT-/XUTR/DEUTH026180A2H83X,50.19,0.0,0.0,1750.0,1054.0,248.744,5.019,0.0,0.0,postpaid,1.004,182.0,0.0,0.0,0.0,214.76,-1013.993,"",'133271592679835815101,2026-06-29,11214178211,941f35c6-44b7-4af2-ab03-ecf4925d23ad,100172797990,Reverse,100159448890,100159448890,11504,1003.81,5.0,525.0,0.0,525.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1225.0
NFT-/XUTR/DEUTH026180A2H83X,0.0,21.64,21.64,2999.0,905.65,235.107,0.0,2.1565,2.1565,postpaid,0.863,0.0,0.0,30.886,0.0,36.44548,628.922,"",'133316720696738150101,2026-06-29,11226846928,fa1868c5-ddf7-4a19-8fe1-d8f2efb13bdc,"",Forward,100172117604,100172117604,11504,865.72,5.0,1919.0,0.0,1919.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1080.0
NFT-/XUTR/DEUTH026180A2H83X,42.62,0.0,0.0,2999.0,895.0,232.342,4.262,0.0,0.0,postpaid,0.852,0.0,0.0,31.0,7.697,45.66246,611.882,"",'133251847632860581003,2026-06-29,11207367074,d6a32244-acf2-4134-9cb6-3fe2fc607ede,"",Forward,100152637757,100152637757,11504,852.38,5.0,2010.0,0.0,2010.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,989.0
