NEFT_Ref,igst_amount,cgst_amount,sgst_amount,MRP,customer_paid_amt,Commission,IGST_TCS,CGST_TCS,SGST_TCS,Payment_Type,TDS,Shipping_Fee,pick_and_pack_fee,fixed_fee,Payment_Gateway_Fee,Logistics_Commission,Settled_Amount,NOD_Comment,Store_Order_id,Payment_Date,order_line_id,seller_order_id,return_id,Order_Type,order_release_id,Packet_Id,Seller_Id,taxable_amount,Tax_Rate,seller_discount,platform_discount,total_discount,comments,fwdAdditionalCharges,rvsAdditionalCharges,techEnablement,airLogistics,royaltyCharges,royaltyPercent,marketingCharges,marketingPercent,marketingContribution,commission_discount,sale_Total_Customer_Paid
NFT-/XUTR/DEUTH02615325601X,42.71,0.0,0.0,3099.0,896.9999999999999,232.861,4.271,0.0,0.0,postpaid,0.854,127.0,0.0,0.0,0.0,149.86,-808.874,"",'133056337829672860301,2026-06-02,11145250817,ca2a8924-4bf1-46f3-96cc-eb406dc08772,11145250817,Reverse,100090521550,1000026982338,11504,854.29,5.0,2108.0,0.0,2108.0,exchange,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,991.0
NFT-/XUTR/DEUTH02615325601X,51.33,0.0,0.0,2499.0,1078.0,267.128,5.133,0.0,0.0,postpaid,1.027,127.0,0.0,0.0,0.0,149.86,-954.572,"",'133063493693660597601,2026-06-02,11146584893,01644f8d-b625-49de-96b0-8dfc1bb66c29,100162769420,Reverse,100091855622,100091855622,11504,1026.67,5.0,1250.0,0.0,1250.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1249.0
NFT-/XUTR/DEUTH02615325601X,57.38,0.0,0.0,2899.0,1205.0,298.599,5.738,0.0,0.0,postpaid,1.148,0.0,0.0,45.0,0.0,53.1,846.415,"",'133087920152009518303,2026-06-02,11151758400,d1ac5994-a796-4843-8d84-b2adfb782e3f,"",Forward,100097029112,100097029112,11504,1147.62,5.0,1523.0,0.0,1523.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1376.0
NFT-/XUTR/DEUTH02615325601X,29.05,0.0,0.0,1650.0,216.25,15.31,1.03,0.0,0.0,postpaid,0.206,0.0,0.0,9.572,0.0,11.29496,188.409,"",'133083876940114620201,2026-06-02,11151186023,0e5a13aa-91fd-4186-8540-a9afa5bbaa3a,"",Forward,100096456738,1000028665953,11504,580.95,5.0,946.0,0.0,946.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,704.0
NFT-/XUTR/DEUTH02615325601X,94.62,0.0,0.0,3299.0,1987.0000000000002,492.379,9.462,0.0,0.0,postpaid,1.892,182.0,0.0,0.0,0.0,214.76,-1698.027,"",'133063808398038880703,2026-06-02,11146661737,6c88bfbc-6ac2-4f46-a11b-1f1027b7424b,100162705747,Reverse,100091932466,100091932466,11504,1892.38,5.0,1106.0,250.0,1356.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,2193.0
NFT-/XUTR/DEUTH02615325601X,114.0,0.0,0.0,2600.0,873.77,206.21,4.161,0.0,0.0,postpaid,0.832,0.0,0.0,22.264,0.0,26.27152,636.295,"",'133069828127313579101,2026-06-02,11147763965,3f8b040c-8cd4-4e0f-8714-b60e5d07516e,"",Forward,100093034693,100093034693,11504,2280,5.0,0.0,0.0,0.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,2600.0
NFT-/XUTR/DEUTH02615325601X,97.81,0.0,0.0,3399.0,2054.0,460.507,9.781,0.0,0.0,postpaid,1.956,0.0,0.0,61.0,0.0,71.98,1509.776,"",'133096282821082594201,2026-06-02,11153674839,bc23217f-5837-4ddf-b1d9-80ef2d08366c,"",Forward,100098945548,100098945548,11504,1956.19,5.0,1139.0,0.0,1139.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,2260.0
NFT-/XUTR/DEUTH02615325601X,63.24,0.0,0.0,2999.0,1147.699,284.4,5.465,0.0,0.0,postpaid,1.093,157.29,0.0,0.0,0.0,185.6022,-1042.343,"",'133073791695334269301,2026-06-02,11148831246,de7aade0-7de3-47a8-8b5b-3c4efc114dca,100162623865,Reverse,100094101972,100094101972,11504,1264.76,5.0,1500.0,0.0,1500.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1499.0
NFT-/XUTR/DEUTH02615325601X,36.95,0.0,0.0,2499.0,776.0,36.627,3.695,0.0,0.0,postpaid,0.739,0.0,0.0,27.0,6.906,40.00908,694.93,"",'133059691695997213803,2026-06-02,11145787229,f911605e-7be3-448a-bb42-c7dc6ce498f3,"",Forward,100091057960,100091057960,11504,739.05,5.0,1629.0,0.0,1629.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,870.0
NFT-/XUTR/DEUTH02615325601X,19.1,0.0,0.0,1599.0,401.0,18.927,1.91,0.0,0.0,postpaid,0.382,0.0,0.0,15.0,0.0,17.7,362.081,"",'133078835607184043003,2026-06-02,11149666594,d7f0d9ec-296a-4692-9859-b012a968d545,"",Forward,100094937312,1000028059534,11504,381.9,5.0,1104.0,0.0,1104.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,495.0
NFT-/XUTR/DEUTH02615325601X,90.14,0.0,0.0,2999.0,1852.18,458.97,8.82,0.0,0.0,postpaid,1.764,0.0,0.0,44.03,0.0,51.9554,1330.671,"",'133072528358687413303,2026-06-02,11148487128,adb6d760-b3ec-4893-9c0a-6c1232976274,"",Forward,100093757854,100093757854,11504,1802.86,5.0,900.0,0.0,900.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,2099.0
NFT-/XUTR/DEUTH02615325601X,76.86,0.0,0.0,3999.0,140.0,34.692,0.667,0.0,0.0,postpaid,0.133,11.016,0.0,0.0,0.0,12.99888,-117.507,"",'133087736058394208301,2026-06-02,11151696328,6938811d-e013-41ab-b820-d477e07ffa2e,100162914413,Reverse,100096967040,1000028683193,11504,1537.14,5.0,2214.0,140.0,2354.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1785.0
NFT-/XUTR/DEUTH02615325601X,54.48,0.0,0.0,2799.0,1051.519,260.566,5.007,0.0,0.0,postpaid,1.001,0.0,0.0,41.362,0.0,48.80716,736.138,"",'133062235517693729903,2026-06-02,11146260586,9b2479cb-6a9a-45cc-bb9d-74e964ec6b05,"",Forward,100091531316,100091531316,11504,1089.52,5.0,1484.0,0.0,1484.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1315.0
NFT-/XUTR/DEUTH02615325601X,22.24,0.0,0.0,1599.0,467.0,22.042,2.224,0.0,0.0,postpaid,0.445,0.0,0.0,27.0,0.0,31.86,410.429,"",'133070202600992258801,2026-06-02,11147862839,21d1605d-673c-4cc9-856c-54eb96b3826a,"",Forward,100093133567,1000027491251,11504,444.76,5.0,1038.0,0.0,1038.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,561.0
NFT-/XUTR/DEUTH02615325601X,22.24,0.0,0.0,1599.0,467.0,22.042,2.224,0.0,0.0,postpaid,0.445,182.0,0.0,0.0,0.0,214.76,-657.049,"",'133070202600992258801,2026-06-02,11147862839,21d1605d-673c-4cc9-856c-54eb96b3826a,100162982126,Reverse,100093133567,1000027491251,11504,444.76,5.0,1038.0,0.0,1038.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,561.0
NFT-/XUTR/DEUTH02615325601X,34.33,0.0,0.0,2999.0,423.68,19.998,2.018,0.0,0.0,postpaid,0.404,0.0,0.0,15.866,0.0,18.72188,382.538,"",'133096416655964090103,2026-06-02,11153705025,95dd42e3-0871-4e3a-93fc-7bff06c4100d,"",Forward,100098975734,100098975734,11504,686.67,5.0,2184.0,0.0,2184.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,815.0
NFT-/XUTR/DEUTH02615325601X,37.19,0.0,0.0,1750.0,781.0,147.453,3.719,0.0,0.0,postpaid,0.744,0.0,0.0,27.0,0.0,31.86,597.224,"",'133063094997256937901,2026-06-02,11146485048,859e0fba-2cd4-41ff-84d3-27b06eb4ba5b,"",Forward,100091755777,100091755777,11504,743.81,5.0,875.0,0.0,875.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,875.0
NFT-/XUTR/DEUTH02615325601X,0.0,281.29,281.29,4099.0,3639.16,858.842,0.0,7.71,7.71,postpaid,3.084,0.0,0.0,60.192,0.0,71.02656,2690.787,"",'133092541660208756301,2026-06-02,11153330880,6b34cd83-55d9-4c1b-946e-94e32cab0328,"",Forward,100098601589,100098601589,11504,3125.42,18.0,205.0,0.0,205.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,3894.0
NFT-/XUTR/DEUTH02615325601X,39.86,0.0,0.0,3450.0,837.0,217.285,3.986,0.0,0.0,postpaid,0.797,182.0,0.0,0.0,0.0,214.76,-829.692,"",'133069605661831531603,2026-06-02,11147714027,aa3f7b41-119a-4d92-a417-f334216c010c,11147714027,Reverse,100092984755,100092984755,11504,797.14,5.0,2519.0,0.0,2519.0,exchange,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,931.0
NFT-/XUTR/DEUTH02615325601X,55.14,0.0,0.0,1999.0,1158.0,273.288,5.514,0.0,0.0,postpaid,1.103,0.0,0.0,45.0,0.0,53.1,824.995,"",'133062273664570042001,2026-06-02,11146270788,a09d8f18-34d9-4a86-ac0e-8bb0e8f4b82d,"",Forward,100091541518,100091541518,11504,1102.86,5.0,670.0,0.0,670.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1329.0
NFT-/XUTR/DEUTH02615325601X,65.67,0.0,0.0,3299.0,1379.0,341.716,6.567,0.0,0.0,postpaid,1.313,0.0,0.0,45.0,0.0,53.1,976.304,"",'133063859271933421403,2026-06-02,11146674209,c5584cd4-09de-447f-abd4-b3ce9ebe06eb,"",Forward,100091944938,100091944938,11504,1313.33,5.0,1749.0,0.0,1749.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1550.0
NFT-/XUTR/DEUTH02615325601X,36.0,0.0,0.0,2299.0,756.0,196.258,3.6,0.0,0.0,postpaid,0.72,182.0,0.0,0.0,0.0,214.76,-770.182,"",'133065748109725769601,2026-06-02,11147188310,c0cdcb92-fb67-4544-a4b7-42c8fc218f6e,100163329926,Reverse,100092459038,100092459038,11504,720,5.0,1449.0,0.0,1449.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,850.0
NFT-/XUTR/DEUTH02615325601X,23.91,0.0,0.0,1699.0,177.97,12.6,0.847,0.0,0.0,postpaid,0.169,37.579,0.0,0.0,0.0,44.34322,-208.697,"",'133083876940114620201,2026-06-02,11151186019,0e5a13aa-91fd-4186-8540-a9afa5bbaa3a,100162838360,Reverse,100096456734,1000028665953,11504,478.1,5.0,1103.0,0.0,1103.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,596.01
NFT-/XUTR/DEUTH02615325601X,31.62,0.0,0.0,1699.0,235.4,61.11,1.121,0.0,0.0,postpaid,0.224,0.0,0.0,9.572,0.0,11.29496,161.65,"",'133083876940114620201,2026-06-02,11151186017,0e5a13aa-91fd-4186-8540-a9afa5bbaa3a,"",Forward,100096456732,1000028665953,11504,632.38,5.0,941.0,0.0,941.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,758.0
NFT-/XUTR/DEUTH02615325601X,39.52,0.0,0.0,2499.0,830.0,215.468,3.952,0.0,0.0,postpaid,0.79,0.0,0.0,27.0,6.806,39.89108,569.899,"",'133080052195426601401,2026-06-02,11150038482,30559a0a-37e3-4989-b930-b9a7a859a729,"",Forward,100095309200,100095309200,11504,790.48,5.0,1575.0,0.0,1575.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,924.0
