NEFT_Ref,igst_amount,cgst_amount,sgst_amount,MRP,customer_paid_amt,Commission,IGST_TCS,CGST_TCS,SGST_TCS,Payment_Type,TDS,Shipping_Fee,pick_and_pack_fee,fixed_fee,Payment_Gateway_Fee,Logistics_Commission,Settled_Amount,NOD_Comment,Store_Order_id,Payment_Date,order_line_id,seller_order_id,return_id,Order_Type,order_release_id,Packet_Id,Seller_Id,taxable_amount,Tax_Rate,seller_discount,platform_discount,total_discount,comments,fwdAdditionalCharges,rvsAdditionalCharges,techEnablement,airLogistics,royaltyCharges,royaltyPercent,marketingCharges,marketingPercent,marketingContribution,commission_discount,sale_Total_Customer_Paid
NFT-/XUTR/DEUTH02610331974X,99.1,0.0,0.0,4499.0,2081.0,491.116,9.91,0.0,0.0,postpaid,1.982,0.0,0.0,61.0,0.0,71.98,1506.012,"",'132620610093151411603,2026-04-13,11056653501,f8d18774-696b-4979-80d6-7613e6ee2afe,"",Forward,100000612469,1000000074336,11504,1981.9,5.0,2212.0,0.0,2212.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,2287.0
NFT-/XUTR/DEUTH02610331974X,31.71,0.0,0.0,1499.0,666.0,172.894,3.171,0.0,0.0,postpaid,0.634,0.0,0.0,27.0,0.0,31.86,457.441,"",'132629246260428519201,2026-04-13,11058072684,08be90ff-b41c-469d-bcc4-04d56c16b745,"",Forward,100003344221,100003344221,11504,634.29,5.0,739.0,0.0,739.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,760.0
NFT-/XUTR/DEUTH02610331974X,96.14,0.0,0.0,4499.0,2019.0,500.308,9.614,0.0,0.0,postpaid,1.923,0.0,0.0,61.0,0.0,71.98,1435.175,"",'132626209251342086403,2026-04-13,11057855727,15e2d3ba-eadb-4172-a89f-b84e1b8389cd,"",Forward,100003127270,100003127270,11504,1922.86,5.0,2250.0,0.0,2250.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,2249.0
NFT-/XUTR/DEUTH02610331974X,23.71,0.0,0.0,1650.0,498.0,23.506,2.371,0.0,0.0,postpaid,0.474,0.0,0.0,27.0,0.0,31.86,439.789,"",'132630839911123704103,2026-04-13,11058409893,48e818d2-e4dc-476d-bc9b-2241a9ed4008,"",Forward,100003681428,100003681428,11504,474.29,5.0,1058.0,0.0,1058.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,592.0
NFT-/XUTR/DEUTH02610331974X,38.33,0.0,0.0,1799.0,805.0,208.978,3.833,0.0,0.0,postpaid,0.767,167.0,0.0,0.0,0.0,197.06,-788.482,"",'132615202706981191203,2026-04-13,11055912902,d0310c65-91f6-4189-bf84-b4c756ca111f,100145769659,Reverse,9055633573,9875060043,11504,766.67,5.0,900.0,0.0,900.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,899.0
NFT-/XUTR/DEUTH02610331974X,121.95,0.0,0.0,5999.0,2561.0,634.616,12.195,0.0,0.0,postpaid,2.439,0.0,0.0,61.0,0.0,71.98,1839.77,"",'132607956645657427203,2026-04-13,11054842109,947715d8-e9b8-482f-9245-4b65681a69b9,"",Forward,9054562807,9054562807,11504,2439.05,5.0,3208.0,0.0,3208.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,2791.0
NFT-/XUTR/DEUTH02610331974X,56.95,0.0,0.0,3399.0,1196.0,296.369,5.695,0.0,0.0,postpaid,1.139,0.0,0.0,45.0,0.0,53.1,839.697,"",'132620617165606018701,2026-04-13,11056654908,8798f68f-d18f-48e7-8ab0-54bfb5cd7d35,"",Forward,100000613876,1000000077459,11504,1139.05,5.0,2032.0,0.0,2032.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1367.0
NFT-/XUTR/DEUTH02610331974X,32.0,0.0,0.0,2599.0,672.0,31.717999999999996,3.2,0.0,0.0,postpaid,0.64,167.0,0.0,0.0,0.0,197.06,-833.502,"",'132629352904406180403,2026-04-13,11058093346,d088ecfe-291b-4086-affb-8efbe7f2ef67,11058093346,Reverse,100003364883,100003364883,11504,640,5.0,1833.0,0.0,1833.0,exchange,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,766.0
NFT-/XUTR/DEUTH02610331974X,63.24,0.0,0.0,2999.0,1328.0,329.078,6.324,0.0,0.0,postpaid,1.265,0.0,0.0,45.0,0.0,53.1,938.233,"",'132637392791068859401,2026-04-13,11059381200,87a9ad71-280a-45d8-a91a-da53b0e4385b,"",Forward,100004652727,100004652727,11504,1264.76,5.0,1500.0,0.0,1500.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1499.0
NFT-/XUTR/DEUTH02610331974X,0.0,14.67,14.67,2699.0,616.0,29.075,0.0,1.4665,1.4665,postpaid,0.587,91.0,0.0,0.0,0.0,107.38,-690.785,"",'132662939153821486401,2026-04-13,11063776668,18bcaaa9-83a2-4600-bee2-d6d64884ee7c,11063776668,Reverse,100009048070,100009048070,11504,586.66,5.0,1989.0,0.0,1989.0,exchange,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,709.9999999999999
