NEFT_Ref,igst_amount,cgst_amount,sgst_amount,MRP,customer_paid_amt,Commission,IGST_TCS,CGST_TCS,SGST_TCS,Payment_Type,TDS,Shipping_Fee,pick_and_pack_fee,fixed_fee,Payment_Gateway_Fee,Logistics_Commission,Settled_Amount,NOD_Comment,Store_Order_id,Payment_Date,order_line_id,seller_order_id,return_id,Order_Type,order_release_id,Packet_Id,Seller_Id,taxable_amount,Tax_Rate,seller_discount,platform_discount,total_discount,comments,fwdAdditionalCharges,rvsAdditionalCharges,techEnablement,airLogistics,royaltyCharges,royaltyPercent,marketingCharges,marketingPercent,marketingContribution,commission_discount,sale_Total_Customer_Paid
NFT-/XUTR/DEUTH02615930658X,36.57,0.0,0.0,1699.0,768.0,199.373,3.657,0.0,0.0,prepaid,0.731,0.0,0.0,27.0,0.0,31.86,532.379,"",'133144176252585939201,2026-06-08,11167208816,162ea043-8003-4146-96d1-9fae257bfebd,"",Forward,100112479510,100112479510,11504,731.43,5.0,837.0,0.0,837.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,862.0
NFT-/XUTR/DEUTH02615930658X,33.29,0.0,0.0,2799.0,699.0,32.993,3.329,0.0,0.0,prepaid,0.666,0.0,0.0,27.0,0.0,31.86,630.152,"",'133112932265836369003,2026-06-08,11156633343,de48a04d-3642-4c0f-92e0-708b28e2c847,"",Forward,100101904046,1000030231736,11504,665.71,5.0,2006.0,0.0,2006.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,793.0
NFT-/XUTR/DEUTH02615930658X,59.62,0.0,0.0,2999.0,1252.0,310.246,5.962,0.0,0.0,prepaid,1.192,182.0,0.0,0.0,0.0,214.76,-1149.36,"",'133119863666872390703,2026-06-08,11159337192,956e5d33-8ee1-49c8-96f3-15ba84c2927f,100164942624,Reverse,100104607894,1000030856853,11504,1192.38,5.0,1576.0,0.0,1576.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1423.0
NFT-/XUTR/DEUTH02615930658X,424.68,0.0,0.0,4499.0,2784.0,657.024,11.797,0.0,0.0,prepaid,2.359,0.0,0.0,61.0,0.0,71.98,2040.84,"",'133104794363263289503,2026-06-08,11155125533,d1123457-ccc4-4e61-9a0f-a84eb730e8d9,"",Forward,100100396240,100100396240,11504,2359.32,18.0,1509.0,0.0,1509.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,2990.0
NFT-/XUTR/DEUTH02615930658X,63.29,0.0,0.0,2999.0,1329.0,329.326,6.329,0.0,0.0,prepaid,1.266,0.0,0.0,45.0,0.0,53.1,938.979,"",'133109123767221988203,2026-06-08,11156207255,dde32c30-51b1-427f-929c-9559a6e57f53,"",Forward,100101477960,100101477960,11504,1265.71,5.0,1499.0,0.0,1499.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1500.0
NFT-/XUTR/DEUTH02615930658X,68.71,0.0,0.0,1699.0,1443.0,340.548,6.871,0.0,0.0,prepaid,1.374,182.0,0.0,0.0,0.0,214.76,-1308.967,"",'133108998297635857601,2026-06-08,11156168703,59cab2cc-318d-4b1f-87c8-66b4a4fd5767,100164778109,Reverse,100101439408,1000030224937,11504,1374.29,5.0,85.0,0.0,85.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1614.0
NFT-/XUTR/DEUTH02615930658X,19.05,0.0,0.0,1599.0,400.0,18.88,1.905,0.0,0.0,prepaid,0.381,182.0,0.0,0.0,0.0,214.76,-593.594,"",'133112622515382319203,2026-06-08,11156577465,e3a17445-f7d6-469d-9052-6d057913fc4a,100165575162,Reverse,100101848169,100101848169,11504,380.95,5.0,1105.0,0.0,1105.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,494.0
NFT-/XUTR/DEUTH02615930658X,46.86,0.0,0.0,1650.0,984.0,255.44600000000003,4.686,0.0,0.0,prepaid,0.937,182.0,0.0,0.0,0.0,214.76,-937.691,"",'133112937938497456101,2026-06-08,11156634401,4892a3da-ac9a-4ef9-a958-44d3d222fe69,11156634401,Reverse,100101905104,100101905104,11504,937.14,5.0,495.0,0.0,495.0,exchange,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1155.0
NFT-/XUTR/DEUTH02615930658X,35.71,0.0,0.0,1750.0,750.0,194.7,3.571,0.0,0.0,prepaid,0.714,0.0,0.0,27.0,0.0,31.86,519.155,"",'133113851356089508603,2026-06-08,11156898508,458c12cf-61a9-4203-bf39-a63879805d69,"",Forward,100102169211,1000030258991,11504,714.29,5.0,906.0,0.0,906.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,844.0
NFT-/XUTR/DEUTH02615930658X,402.87,0.0,0.0,3999.0,2641.0,623.276,11.191,0.0,0.0,prepaid,2.238,182.0,0.0,0.0,0.0,214.76,-2219.055,"",'133105238972262760501,2026-06-08,11155236586,c433c983-c98c-4f8a-98e6-4cc565a551cf,100164165649,Reverse,100100507293,1000029785173,11504,2238.14,18.0,1152.0,0.0,1152.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,2847.0099999999998
