NEFT_Ref,igst_amount,cgst_amount,sgst_amount,MRP,customer_paid_amt,Commission,IGST_TCS,CGST_TCS,SGST_TCS,Payment_Type,TDS,Shipping_Fee,pick_and_pack_fee,fixed_fee,Payment_Gateway_Fee,Logistics_Commission,Settled_Amount,NOD_Comment,Store_Order_id,Payment_Date,order_line_id,seller_order_id,return_id,Order_Type,order_release_id,Packet_Id,Seller_Id,taxable_amount,Tax_Rate,seller_discount,platform_discount,total_discount,comments,fwdAdditionalCharges,rvsAdditionalCharges,techEnablement,airLogistics,royaltyCharges,royaltyPercent,marketingCharges,marketingPercent,marketingContribution,commission_discount,sale_Total_Customer_Paid
NFT-/XUTR/DEUTH02614594646X,23.29,0.0,0.0,2099.0,489.0,23.081,2.329,0.0,0.0,prepaid,0.466,182.0,0.0,0.0,0.0,214.76,-677.884,"",'132975243554825907103,2026-05-25,11128630333,38ab5c18-a313-43fe-a538-3582ccca1b80,100159114974,Reverse,100073901124,1000021584278,11504,465.71,5.0,1516.0,0.0,1516.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,583.0
NFT-/XUTR/DEUTH02614594646X,0.0,16.79,16.79,1599.0,705.0,183.018,0.0,1.6785,1.6785,prepaid,0.671,0.0,0.0,27.0,0.0,31.86,486.094,"",'133022688033581498503,2026-05-25,11138303625,27410ca0-8cb6-420c-bed6-448ad37ce021,"",Forward,100083574391,1000024726691,11504,671.42,5.0,800.0,0.0,800.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,798.9999999999999
NFT-/XUTR/DEUTH02614594646X,61.95,0.0,0.0,2899.0,1301.0,322.388,6.195,0.0,0.0,prepaid,1.239,182.0,0.0,0.0,0.0,214.76,-1185.938,"",'132966297162469193303,2026-05-25,11126697737,4c2d4ca7-5e1a-4deb-a32c-d2f92b818c88,100159858688,Reverse,100071968531,1000021540878,11504,1239.05,5.0,1427.0,0.0,1427.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1472.0
NFT-/XUTR/DEUTH02614594646X,35.67,0.0,0.0,3299.0,749.0,35.353,3.567,0.0,0.0,prepaid,0.713,182.0,0.0,0.0,0.0,214.76,-924.127,"",'132959062165824607901,2026-05-25,11125300814,ab1cbdc5-2cda-41aa-9874-a97e1e91ca06,100159248724,Reverse,100070571615,100070571615,11504,713.33,5.0,2456.0,0.0,2456.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,843.0
NFT-/XUTR/DEUTH02614594646X,32.1,0.0,0.0,1799.0,674.0,174.97,3.21,0.0,0.0,prepaid,0.642,0.0,0.0,27.0,0.0,31.86,463.318,"",'132970449956697084801,2026-05-25,11127936844,20093d2a-63da-4541-96e9-5491dc9c88fb,"",Forward,100073207636,100073207636,11504,641.9,5.0,1031.0,0.0,1031.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,768.0
NFT-/XUTR/DEUTH02614594646X,70.38,0.0,0.0,3299.0,1478.0,366.248,7.038,0.0,0.0,prepaid,1.408,0.0,0.0,45.0,0.0,53.1,1050.206,"",'132986033919985428101,2026-05-25,11130623828,4dfee0d6-79a4-4078-af25-d17cf0000063,"",Forward,100075894618,100075894618,11504,1407.62,5.0,1650.0,0.0,1650.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1649.0
NFT-/XUTR/DEUTH02614594646X,63.29,0.0,0.0,2999.0,1329.0,329.326,6.329,0.0,0.0,prepaid,1.266,0.0,0.0,45.0,0.0,53.1,938.979,"",'132996152790932534403,2026-05-25,11132510865,956c47c9-54a3-4968-b229-fe38d07b1745,"",Forward,100077781654,100077781654,11504,1265.71,5.0,1499.0,0.0,1499.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1500.0
NFT-/XUTR/DEUTH02614594646X,63.24,0.0,0.0,2999.0,1328.0,329.078,6.324,0.0,0.0,prepaid,1.265,0.0,0.0,45.0,0.0,53.1,938.233,"",'133009794265972341701,2026-05-25,11135166086,220436aa-a635-46cc-8db5-c559790c697f,"",Forward,100080436874,1000023567620,11504,1264.76,5.0,1500.0,0.0,1500.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1499.0
NFT-/XUTR/DEUTH02614594646X,18.57,0.0,0.0,1599.0,390.0,18.408,1.857,0.0,0.0,prepaid,0.371,0.0,0.0,0.0,0.0,0.0,369.364,"",'132954190505390839401,2026-05-25,11124557333,bc157ad3-48d9-4f2c-a10c-999911482244,"",Forward,100069828137,1000020167605,11504,371.43,5.0,1150.0,0.0,1150.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,449.0
NFT-/XUTR/DEUTH02614594646X,30.71,0.0,0.0,2299.0,645.0,30.443999999999996,3.071,0.0,0.0,prepaid,0.614,0.0,0.0,27.0,0.0,31.86,579.011,"",'132967829077965916203,2026-05-25,11127156313,5044882b-4df9-447c-98f6-82aa25108529,"",Forward,100072427108,100072427108,11504,614.29,5.0,1560.0,0.0,1560.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,739.0
NFT-/XUTR/DEUTH02614594646X,80.38,0.0,0.0,3999.0,1688.0,418.286,8.038,0.0,0.0,prepaid,1.608,182.0,0.0,0.0,0.0,214.76,-1474.828,"",'132971522634394279601,2026-05-25,11128274113,b96bcca5-449a-4acc-94d1-41ae0924cbc1,100159777395,Reverse,100073544904,100073544904,11504,1607.62,5.0,2140.0,0.0,2140.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1859.0
NFT-/XUTR/DEUTH02614594646X,34.29,0.0,0.0,2199.0,453.14000000000004,21.388,2.158,0.0,0.0,prepaid,0.432,79.929,0.0,0.0,0.0,94.31622,-523.478,"",'132996710501063800801,2026-05-25,11132665663,d1e1ee00-33cd-4040-9da6-59440ff21d0a,100160343384,Reverse,100077936452,100077936452,11504,685.71,5.0,1385.0,0.0,1385.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,814.0
NFT-/XUTR/DEUTH02614594646X,87.05,0.0,0.0,1999.0,1828.0,431.408,8.705,0.0,0.0,prepaid,1.741,0.0,0.0,45.0,0.0,53.1,1333.046,"",'132958390565495310003,2026-05-25,11125109409,054ab1d5-88ef-4b32-b88b-ca5c16b07cda,"",Forward,100070380212,100070380212,11504,1740.95,5.0,0.0,0.0,0.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1999.0
NFT-/XUTR/DEUTH02614594646X,55.19,0.0,0.0,1899.0,1159.0,273.524,5.519,0.0,0.0,prepaid,1.104,127.0,0.0,0.0,0.0,149.86,-1028.713,"",'132983540597566255701,2026-05-25,11130057033,76be3fd0-d3e3-40a6-8729-4111fdb756ee,11130057033,Reverse,100075327823,1000021975739,11504,1103.81,5.0,569.0,0.0,569.0,exchange,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1330.0
NFT-/XUTR/DEUTH02614594646X,36.1,0.0,0.0,2850.0,758.0,35.778,3.61,0.0,0.0,prepaid,0.722,0.0,0.0,27.0,0.0,31.86,686.03,"",'132963076590242390203,2026-05-25,11126394887,045ab055-79b8-424c-b4ba-ec30e50035c6,"",Forward,100071665687,1000021538772,11504,721.9,5.0,1998.0,0.0,1998.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,852.0
NFT-/XUTR/DEUTH02614594646X,20.38,0.0,0.0,1699.0,428.0,20.202,2.038,0.0,0.0,prepaid,0.408,0.0,0.0,15.0,0.0,17.7,387.652,"",'132977815100031895501,2026-05-25,11129201629,deb7b6bf-09ed-46a9-83fd-a8140395aeed,"",Forward,100074472419,1000021724122,11504,407.62,5.0,1177.0,0.0,1177.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,522.0
NFT-/XUTR/DEUTH02614594646X,25.24,0.0,0.0,1599.0,530.0,37.524,2.524,0.0,0.0,prepaid,0.505,0.0,0.0,27.0,0.0,31.86,457.587,"",'132987417136052965603,2026-05-25,11130931573,680b3df7-dd0b-4d27-a5e0-a1e36b00213a,"",Forward,100076202362,100076202362,11504,504.76,5.0,975.0,0.0,975.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,624.0
NFT-/XUTR/DEUTH02614594646X,90.1,0.0,0.0,2999.0,1892.0,468.838,9.01,0.0,0.0,prepaid,1.802,0.0,0.0,45.0,0.0,53.1,1359.25,"",'132977691157999603201,2026-05-25,11129173506,a2c81ca9-84d7-4830-a69d-f7c5d991ebcb,"",Forward,100074444296,1000022031108,11504,1801.9,5.0,901.0,0.0,901.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,2098.0
NFT-/XUTR/DEUTH02614594646X,115.14,0.0,0.0,3499.0,2323.0,548.228,11.062,0.0,0.0,prepaid,2.212,122.01,0.0,0.0,0.0,143.9718,-1905.47,"",'132996692225957159103,2026-05-25,11132660578,c661b26d-215f-4f63-b6db-eb0c039547fd,100159814560,Reverse,100077931367,1000023006927,11504,2302.86,5.0,875.0,95.0,970.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,2624.0
NFT-/XUTR/DEUTH02614594646X,23.29,0.0,0.0,2099.0,489.0,23.081,2.329,0.0,0.0,prepaid,0.466,0.0,0.0,6.0,0.0,7.08,456.044,"",'132975243554825907103,2026-05-25,11128630333,38ab5c18-a313-43fe-a538-3582ccca1b80,"",Forward,100073901124,1000021584278,11504,465.71,5.0,1516.0,0.0,1516.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,583.0
NFT-/XUTR/DEUTH02614594646X,39.05,0.0,0.0,1799.0,820.0,212.872,3.905,0.0,0.0,prepaid,0.781,0.0,0.0,27.0,0.0,31.86,570.582,"",'132978657958713904103,2026-05-25,11129400759,d2d8b747-66f1-48cc-a898-5cf249f854bd,"",Forward,100074671549,100074671549,11504,780.95,5.0,885.0,0.0,885.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,914.0
NFT-/XUTR/DEUTH02614594646X,30.67,0.0,0.0,1699.0,644.0,167.182,3.067,0.0,0.0,prepaid,0.613,0.0,0.0,27.0,0.0,31.86,441.278,"",'132991849048859914103,2026-05-25,11131516706,43a67596-89c2-4c19-89a8-a7e1b98e6611,"",Forward,100076787495,100076787495,11504,613.33,5.0,961.0,0.0,961.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,738.0
NFT-/XUTR/DEUTH02614594646X,70.38,0.0,0.0,3299.0,1478.0,366.248,7.038,0.0,0.0,prepaid,1.408,182.0,0.0,0.0,0.0,214.76,-1318.066,"",'132943363076396746301,2026-05-25,11122187160,fc6c0db8-18c3-4dbd-84dc-16524c45b591,100159627130,Reverse,100067457970,100067457970,11504,1407.62,5.0,1650.0,0.0,1650.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1649.0
NFT-/XUTR/DEUTH02614594646X,36.0,0.0,0.0,1699.0,756.0,196.258,3.6,0.0,0.0,prepaid,0.72,0.0,0.0,27.0,0.0,31.86,523.562,"",'132966988720399574101,2026-05-25,11126900173,e7155cdd-1559-4f8a-8bbf-d21d267a037e,"",Forward,100072170967,100072170967,11504,720,5.0,849.0,0.0,849.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,850.0
NFT-/XUTR/DEUTH02614594646X,55.14,0.0,0.0,1899.0,1158.0,273.288,5.514,0.0,0.0,prepaid,1.103,0.0,0.0,45.0,0.0,53.1,824.995,"",'132984841015007424001,2026-05-25,11130356085,80b97176-da10-4e90-9ef8-980bd94ac2fd,"",Forward,100075626875,100075626875,11504,1102.86,5.0,570.0,0.0,570.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1329.0
NFT-/XUTR/DEUTH02614594646X,449.09,0.0,0.0,4499.0,2944.0,694.784,12.475,0.0,0.0,prepaid,2.495,182.0,0.0,0.0,0.0,214.76,-2449.006,"",'132968335753237916501,2026-05-25,11127308120,24dcac89-f4da-4987-95d4-53e055a0acaf,100159233583,Reverse,100072578913,100072578913,11504,2494.92,18.0,1349.0,0.0,1349.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,3150.01
NFT-/XUTR/DEUTH02614594646X,28.19,0.0,0.0,1650.0,592.0,41.914,2.819,0.0,0.0,prepaid,0.564,182.0,0.0,0.0,0.0,214.76,-761.463,"",'132988615432799438403,2026-05-25,11131254608,00f8a560-f6b1-4721-96c6-1300021a7bad,100161488795,Reverse,100076525397,1000022496409,11504,563.81,5.0,964.0,0.0,964.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,686.0
NFT-/XUTR/DEUTH02614594646X,75.14,0.0,0.0,3499.0,1578.0,391.028,7.514,0.0,0.0,prepaid,1.503,182.0,0.0,0.0,0.0,214.76,-1392.715,"",'133001131964191246701,2026-05-25,11133285668,b0273ccb-2403-4608-9548-2827d67e99d2,100160389214,Reverse,100078556457,1000023019088,11504,1502.86,5.0,1750.0,0.0,1750.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1749.0
NFT-/XUTR/DEUTH02614594646X,53.52,0.0,0.0,1850.0,1124.0,265.264,5.352,0.0,0.0,prepaid,1.07,106.0,0.0,0.0,0.0,125.08,-977.394,"",'133002081904605241503,2026-05-25,11133573761,f0a6f49c-01a1-4535-8e5a-08c5109a892d,11133573761,Reverse,100078844550,1000023564092,11504,1070.48,5.0,555.0,0.0,555.0,exchange,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1295.0
NFT-/XUTR/DEUTH02614594646X,18.95,0.0,0.0,1699.0,398.00000000000006,18.786,1.895,0.0,0.0,prepaid,0.379,106.0,0.0,0.0,0.0,125.08,-502.02,"",'133014975271059558101,2026-05-25,11136545760,313c2717-d4dc-4e89-84b6-a15dfc217f7c,100159741959,Reverse,100081816543,100081816543,11504,379.05,5.0,1207.0,0.0,1207.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,492.0
NFT-/XUTR/DEUTH02614594646X,90.14,0.0,0.0,2999.0,1893.0,469.085,9.014,0.0,0.0,prepaid,1.803,0.0,0.0,45.0,0.0,53.1,1359.998,"",'132995396408368627401,2026-05-25,11132331652,ca4323d9-c5e2-4ae7-a2da-dc055edebef2,"",Forward,100077602441,100077602441,11504,1802.86,5.0,900.0,0.0,900.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,2099.0
NFT-/XUTR/DEUTH02614594646X,0.0,20.67,20.67,2599.0,868.0,225.333,0.0,2.0665,2.0665,prepaid,0.827,0.0,0.0,27.0,14.93,49.4774,588.23,"",'133023533320933224203,2026-05-25,11138555689,34a4df8e-b1f6-40aa-8aab-a5bca519d805,"",Forward,100083826454,100083826454,11504,826.66,5.0,1560.0,0.0,1560.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1039.0
NFT-/XUTR/DEUTH02614594646X,24.57,0.0,0.0,1650.0,516.0,36.533,2.457,0.0,0.0,prepaid,0.491,0.0,0.0,27.0,0.0,31.86,444.659,"",'133000546702425574601,2026-05-25,11133134375,5e5964df-5207-4e2b-9cc1-f6e294b09d65,"",Forward,100078405164,100078405164,11504,491.43,5.0,1040.0,0.0,1040.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,610.0
NFT-/XUTR/DEUTH02614594646X,48.48,0.0,0.0,1699.0,1018.0,240.248,4.848,0.0,0.0,prepaid,0.97,0.0,0.0,45.0,0.0,53.1,718.834,"",'132984331372424442901,2026-05-25,11130236773,19708400-f7a5-4702-8140-50efc9498150,"",Forward,100075507563,100075507563,11504,969.52,5.0,510.0,0.0,510.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1189.0
NFT-/XUTR/DEUTH02614594646X,51.86,0.0,0.0,1799.0,1071.0,252.75599999999997,5.1,0.0,0.0,prepaid,1.02,0.0,0.0,44.256,0.0,52.22208,759.902,"",'132985497536003784401,2026-05-25,11130507430,9b49684f-56ac-4bfa-8e43-e704be1905bc,"",Forward,100075778221,100075778221,11504,1037.14,5.0,539.0,18.0,557.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1260.0
NFT-/XUTR/DEUTH02614594646X,460.68,0.0,0.0,6499.0,3020.0,748.356,12.797,0.0,0.0,prepaid,2.559,0.0,0.0,61.0,0.0,71.98,2184.308,"",'132996183506801931201,2026-05-25,11132518827,64802ff2-dd8e-41d1-898e-a800d6d318f6,"",Forward,100077789616,100077789616,11504,2559.32,18.0,3249.0,0.0,3249.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,3250.0
NFT-/XUTR/DEUTH02614594646X,39.52,0.0,0.0,1850.0,830.0,215.468,3.952,0.0,0.0,prepaid,0.79,182.0,0.0,0.0,0.0,214.76,-824.55,"",'132967130500500025101,2026-05-25,11126945102,2d882d0a-12d4-496e-95d8-5a8ec2565a6e,100159041036,Reverse,100072215896,1000020994438,11504,790.48,5.0,926.0,0.0,926.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,924.0
NFT-/XUTR/DEUTH02614594646X,63.24,0.0,0.0,2999.0,1328.0,329.078,6.324,0.0,0.0,prepaid,1.265,106.0,0.0,0.0,0.0,125.08,-1116.413,"",'133027196694420117803,2026-05-25,11139012031,0debc12a-8d0d-4f9b-8402-887624db7f59,100163492157,Reverse,100084282794,100084282794,11504,1264.76,5.0,1500.0,0.0,1500.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1499.0
