NEFT_Ref,igst_amount,cgst_amount,sgst_amount,MRP,customer_paid_amt,Commission,IGST_TCS,CGST_TCS,SGST_TCS,Payment_Type,TDS,Shipping_Fee,pick_and_pack_fee,fixed_fee,Payment_Gateway_Fee,Logistics_Commission,Settled_Amount,NOD_Comment,Store_Order_id,Payment_Date,order_line_id,seller_order_id,return_id,Order_Type,order_release_id,Packet_Id,Seller_Id,taxable_amount,Tax_Rate,seller_discount,platform_discount,total_discount,comments,fwdAdditionalCharges,rvsAdditionalCharges,techEnablement,airLogistics,royaltyCharges,royaltyPercent,marketingCharges,marketingPercent,marketingContribution,commission_discount,sale_Total_Customer_Paid
NFT-/XUTR/DEUTH026156A03QEX,19.05,0.0,0.0,1699.0,400.0,18.88,1.905,0.0,0.0,prepaid,0.381,0.0,0.0,0.0,0.0,0.0,378.834,"",'133095583273322905901,2026-06-05,11153539200,65ea15ac-b2fd-4308-bb64-b3a9092f1469,"",Forward,100098809909,100098809909,11504,380.95,5.0,1205.0,0.0,1205.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,494.0
NFT-/XUTR/DEUTH026156A03QEX,32.81,0.0,0.0,1650.0,689.0,178.864,3.281,0.0,0.0,prepaid,0.656,0.0,0.0,27.0,0.0,31.86,474.339,"",'133091253929245735701,2026-06-05,11152857104,1d8767b6-f9ed-4eba-8b40-a2232f888bec,"",Forward,100098127814,1000028962581,11504,656.19,5.0,867.0,0.0,867.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,783.0
NFT-/XUTR/DEUTH026156A03QEX,0.0,223.32,223.32,3299.0,2928.0,691.008,0.0,6.2035,6.2035,prepaid,2.481,106.0,0.0,0.0,0.0,125.08,-2347.184,"",'133114063050161843603,2026-06-05,11156952849,6f9a1ece-174a-414b-abe7-f42f22aa8601,100163723468,Reverse,100102223552,100102223552,11504,2481.36,18.0,165.0,0.0,165.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,3134.0000000000005
NFT-/XUTR/DEUTH026156A03QEX,61.91,0.0,0.0,3299.0,1300.0,322.14,6.19,0.0,0.0,prepaid,1.238,0.0,0.0,45.0,0.0,53.1,917.332,"",'133096229849183225003,2026-06-05,11153663093,b3e59b03-d593-4b35-85f4-2b16fa81c223,"",Forward,100098933802,100098933802,11504,1238.1,5.0,1828.0,0.0,1828.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1471.01
NFT-/XUTR/DEUTH026156A03QEX,66.43,0.0,0.0,3299.0,1395.0,345.681,6.643,0.0,0.0,prepaid,1.329,0.0,0.0,45.0,0.0,53.1,988.247,"",'133097370243868005303,2026-06-05,11153917913,4f864009-89c9-4527-816b-5f86aeca3827,"",Forward,100099188622,100099188622,11504,1328.57,5.0,1733.0,0.0,1733.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1566.0
NFT-/XUTR/DEUTH026156A03QEX,37.19,0.0,0.0,1750.0,781.0,147.453,3.719,0.0,0.0,prepaid,0.744,0.0,0.0,27.0,0.0,31.86,597.224,"",'133089686602406880703,2026-06-05,11152342882,6f18374e-be5c-467f-ba34-55ded015e850,"",Forward,100097613593,100097613593,11504,743.81,5.0,875.0,0.0,875.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,875.0
NFT-/XUTR/DEUTH026156A03QEX,44.1,0.0,0.0,1650.0,926.0,240.39,4.41,0.0,0.0,prepaid,0.882,0.0,0.0,27.0,0.0,31.86,648.458,"",'133091253929245735701,2026-06-05,11152857101,1d8767b6-f9ed-4eba-8b40-a2232f888bec,"",Forward,100098127811,1000028962581,11504,881.9,5.0,553.0,0.0,553.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1097.0
NFT-/XUTR/DEUTH026156A03QEX,18.57,0.0,0.0,1750.0,390.0,18.408,1.857,0.0,0.0,prepaid,0.371,127.0,0.0,0.0,0.0,149.86,-519.224,"",'133111741697890506501,2026-06-05,11156476937,cf84427c-c7be-4448-b939-9481ae482735,100163837660,Reverse,100101747642,100101747642,11504,371.43,5.0,1301.0,0.0,1301.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,449.0
NFT-/XUTR/DEUTH026156A03QEX,26.95,0.0,0.0,1650.0,146.655,38.072,0.698,0.0,0.0,prepaid,0.14,47.157,0.0,0.0,0.0,55.64526,-163.39,"",'133090277178210812303,2026-06-05,11152527160,94cad80b-20ab-41e0-951b-180477d642a6,11152527160,Reverse,100097797870,100097797870,11504,539.05,5.0,990.0,0.0,990.0,exchange,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,660.0
NFT-/XUTR/DEUTH026156A03QEX,35.1,0.0,0.0,1750.0,737.0,191.325,3.51,0.0,0.0,prepaid,0.702,0.0,0.0,27.0,0.0,31.86,509.603,"",'133090863159623872901,2026-06-05,11152714829,1a72161a-5c39-4022-a8b9-e04abcc0fae1,"",Forward,100097985539,1000028923271,11504,701.9,5.0,919.0,0.0,919.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,831.0
