NEFT_Ref,igst_amount,cgst_amount,sgst_amount,MRP,customer_paid_amt,Commission,IGST_TCS,CGST_TCS,SGST_TCS,Payment_Type,TDS,Shipping_Fee,pick_and_pack_fee,fixed_fee,Payment_Gateway_Fee,Logistics_Commission,Settled_Amount,NOD_Comment,Store_Order_id,Payment_Date,order_line_id,seller_order_id,return_id,Order_Type,order_release_id,Packet_Id,Seller_Id,taxable_amount,Tax_Rate,seller_discount,platform_discount,total_discount,comments,fwdAdditionalCharges,rvsAdditionalCharges,techEnablement,airLogistics,royaltyCharges,royaltyPercent,marketingCharges,marketingPercent,marketingContribution,commission_discount,sale_Total_Customer_Paid
NFT-/XUTR/DEUTH02615492091X,40.71,0.0,0.0,1899.0,855.0,221.958,4.071,0.0,0.0,prepaid,0.814,0.0,0.0,27.0,0.0,31.86,596.297,"",'133074485236784116701,2026-06-03,11149054013,f958c5c5-5690-484f-a7f7-4aadab0cba1a,"",Forward,100094324736,100094324736,11504,814.29,5.0,950.0,0.0,950.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,949.0
NFT-/XUTR/DEUTH02615492091X,55.57,0.0,0.0,2999.0,1167.0,289.183,5.557,0.0,0.0,prepaid,1.111,0.0,0.0,45.0,0.0,53.1,818.049,"",'133081929524667173601,2026-06-03,11150576009,2d595bb6-a3f9-4071-8aeb-7ef2e609fedc,"",Forward,100095846726,100095846726,11504,1111.43,5.0,1661.0,0.0,1661.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1338.0
NFT-/XUTR/DEUTH02615492091X,0.0,14.5,14.5,1599.0,609.0,158.096,0.0,1.45,1.45,prepaid,0.58,0.0,0.0,27.0,0.0,31.86,415.564,"",'133098740770092974001,2026-06-03,11154207725,24d3a3ce-03e2-4d08-adcd-dca18a10b3b9,"",Forward,100099478433,1000029793959,11504,580,5.0,896.0,0.0,896.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,703.0
NFT-/XUTR/DEUTH02615492091X,46.05,0.0,0.0,2999.0,967.0,251.033,4.605,0.0,0.0,prepaid,0.921,0.0,0.0,27.0,0.0,31.86,678.581,"",'133098505391167096201,2026-06-03,11154159337,ca2ed83d-6d28-48f2-bfec-d0dd0703863a,"",Forward,100099430046,100099430046,11504,920.95,5.0,1861.0,0.0,1861.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1138.0
NFT-/XUTR/DEUTH02615492091X,38.33,0.0,0.0,2499.0,805.0,208.978,3.833,0.0,0.0,prepaid,0.767,182.0,0.0,0.0,0.0,214.76,-806.182,"",'133075150563146200001,2026-06-03,11149253675,b0af2964-8f5f-437f-acfd-d140a118e591,100162970672,Reverse,100094524398,1000028137816,11504,766.67,5.0,1600.0,0.0,1600.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,899.0
NFT-/XUTR/DEUTH02615492091X,0.0,37.57,37.57,3499.0,1578.0,391.028,0.0,3.757,3.757,prepaid,1.503,106.0,0.0,0.0,0.0,125.08,-1303.035,"",'133097475034510593003,2026-06-03,11153940982,49617146-f359-44b4-9432-0e9b118a031f,100163192732,Reverse,100099211691,1000029785857,11504,1502.86,5.0,1750.0,0.0,1750.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1748.9999999999998
NFT-/XUTR/DEUTH02615492091X,44.71,0.0,0.0,1799.0,813.301,211.133,3.873,0.0,0.0,prepaid,0.775,0.0,0.0,23.386,0.0,27.59548,569.925,"",'133083665271647146401,2026-06-03,11151130922,67c14159-a83a-4992-b16f-c77830fe5692,"",Forward,100096401637,100096401637,11504,894.29,5.0,689.0,0.0,689.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1110.0
NFT-/XUTR/DEUTH02615492091X,18.57,0.0,0.0,1499.0,390.0,18.408,1.857,0.0,0.0,prepaid,0.371,0.0,0.0,0.0,3.042,3.58956,365.774,"",'133071718676521813003,2026-06-03,11148279841,2bc75c0a-4b8c-4dcc-baf5-528a6b2c1472,"",Forward,100093550568,100093550568,11504,371.43,5.0,1050.0,0.0,1050.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,449.0
NFT-/XUTR/DEUTH02615492091X,0.0,16.43,16.43,1650.0,690.0,179.124,0.0,1.643,1.643,prepaid,0.657,106.0,0.0,0.0,0.0,125.08,-632.013,"",'133096949820014693403,2026-06-03,11153827655,fd1a4506-074e-4b18-b19c-8825ff46f6cf,100166206822,Reverse,100099098364,1000029320368,11504,657.14,5.0,866.0,0.0,866.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,783.9999999999999
NFT-/XUTR/DEUTH02615492091X,34.71,0.0,0.0,2999.0,729.0,34.40899999999999,3.471,0.0,0.0,prepaid,0.694,0.0,0.0,27.0,0.0,31.86,658.566,"",'133096180734004858903,2026-06-03,11153652442,79940377-97fc-494f-9584-f17b0249f006,"",Forward,100098923151,100098923151,11504,694.29,5.0,2176.0,0.0,2176.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,823.0
