NEFT_Ref,igst_amount,cgst_amount,sgst_amount,MRP,customer_paid_amt,Commission,IGST_TCS,CGST_TCS,SGST_TCS,Payment_Type,TDS,Shipping_Fee,pick_and_pack_fee,fixed_fee,Payment_Gateway_Fee,Logistics_Commission,Settled_Amount,NOD_Comment,Store_Order_id,Payment_Date,order_line_id,seller_order_id,return_id,Order_Type,order_release_id,Packet_Id,Seller_Id,taxable_amount,Tax_Rate,seller_discount,platform_discount,total_discount,comments,fwdAdditionalCharges,rvsAdditionalCharges,techEnablement,airLogistics,royaltyCharges,royaltyPercent,marketingCharges,marketingPercent,marketingContribution,commission_discount,sale_Total_Customer_Paid
NFT-/XUTR/DEUTH026103A0MOAX,0.0,17.64,17.64,2799.0,741.0,34.97500000000001,0.0,1.7645,1.7645,prepaid,0.706,91.0,0.0,0.0,0.0,107.38,-809.17,"",'132650827065162071401,2026-04-13,11061844465,26f26199-f529-4ff7-a3cc-f77f7c1aaaea,100145764268,Reverse,100007115936,100007115936,11504,705.72,5.0,1964.0,0.0,1964.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,835.0
NFT-/XUTR/DEUTH026103A0MOAX,38.33,0.0,0.0,1799.0,805.0,208.978,3.833,0.0,0.0,prepaid,0.767,0.0,0.0,27.0,0.0,31.86,559.562,"",'132619446950159187001,2026-04-13,11056496594,c6044df0-1c1f-4fe6-b641-2c33bd4531ed,"",Forward,100000455568,100000455568,11504,766.67,5.0,900.0,0.0,900.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,899.0
NFT-/XUTR/DEUTH026103A0MOAX,63.29,0.0,0.0,2999.0,1329.0,329.326,6.329,0.0,0.0,prepaid,1.266,112.0,0.0,0.0,0.0,132.16,-1124.239,"",'132630243919743948701,2026-04-13,11058284608,ba52e3f4-1a62-4811-9b96-1ac8256a2e48,100146026646,Reverse,100003556144,1000000865157,11504,1265.71,5.0,1499.0,0.0,1499.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1500.0
NFT-/XUTR/DEUTH026103A0MOAX,55.81,0.0,0.0,2899.0,892.34,221.122,4.249,0.0,0.0,prepaid,0.85,85.275,0.0,0.0,0.0,100.6245,-766.744,"",'132638782722778242401,2026-04-13,11059653498,611fd2d0-f504-44f3-bd68-4ea933cea1f1,100146057397,Reverse,100004925003,100004925003,11504,1116.19,5.0,1556.0,0.0,1556.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1343.0
NFT-/XUTR/DEUTH026103A0MOAX,70.1,0.0,0.0,1999.0,1472.0,347.392,7.01,0.0,0.0,prepaid,1.402,91.0,0.0,0.0,0.0,107.38,-1223.576,"",'132664114127672722103,2026-04-13,11063982787,41fc3a45-3a90-4eb9-845e-397e9b57c07f,100146140384,Reverse,100009254114,1000002180053,11504,1401.9,5.0,356.0,0.0,356.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1643.0
NFT-/XUTR/DEUTH026103A0MOAX,32.57,0.0,0.0,3299.0,684.0,32.285,3.257,0.0,0.0,prepaid,0.651,167.0,0.0,0.0,0.0,197.06,-844.867,"",'132613192886219093601,2026-04-13,11055497657,71d5d515-62bc-4501-9346-e953c61825ff,100145642956,Reverse,9055218340,9055218340,11504,651.43,5.0,2521.0,0.0,2521.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,778.0
NFT-/XUTR/DEUTH026103A0MOAX,51.38,0.0,0.0,2499.0,1079.0,267.376,5.138,0.0,0.0,prepaid,1.028,0.0,0.0,45.0,0.0,53.1,752.358,"",'132637676193550407601,2026-04-13,11059423159,1722a906-4cde-42cb-bf8c-18de22d8861f,"",Forward,100004694685,1000000869203,11504,1027.62,5.0,1249.0,0.0,1249.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1250.0
NFT-/XUTR/DEUTH026103A0MOAX,23.71,0.0,0.0,1650.0,497.99999999999994,23.506,2.371,0.0,0.0,prepaid,0.474,167.0,0.0,0.0,0.0,197.06,-668.709,"",'132630234680549778701,2026-04-13,11058282551,dbc855a0-f236-4967-92e0-6c2497892bda,100146225936,Reverse,100003554087,1000000483044,11504,474.29,5.0,1058.0,0.0,1058.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,592.0
NFT-/XUTR/DEUTH026103A0MOAX,49.81,0.0,0.0,2999.0,1046.0,259.199,4.981,0.0,0.0,prepaid,0.996,0.0,0.0,45.0,0.0,53.1,727.724,"",'132613125791180072001,2026-04-13,11055484025,bf760028-c56f-424b-9ae1-c0b5b06e8032,"",Forward,9055204708,1000000064364,11504,996.19,5.0,1782.0,0.0,1782.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1217.0
NFT-/XUTR/DEUTH026103A0MOAX,55.81,0.0,0.0,2899.0,1172.0,290.422,5.581,0.0,0.0,prepaid,1.116,0.0,0.0,45.0,0.0,53.1,821.781,"",'132637676193550407601,2026-04-13,11059423156,1722a906-4cde-42cb-bf8c-18de22d8861f,"",Forward,100004694682,1000000869203,11504,1116.19,5.0,1556.0,0.0,1556.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1343.0
NFT-/XUTR/DEUTH026103A0MOAX,68.0,0.0,0.0,3199.0,1428.0,353.858,6.8,0.0,0.0,prepaid,1.36,0.0,0.0,45.0,0.0,53.1,1012.882,"",'132616502436952447101,2026-04-13,11056224554,a073f221-a34f-4291-906f-61b6ef522ead,"",Forward,100002031161,100002031161,11504,1360,5.0,1600.0,0.0,1600.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1599.0
NFT-/XUTR/DEUTH026103A0MOAX,37.14,0.0,0.0,1750.0,780.0,202.488,3.714,0.0,0.0,prepaid,0.743,0.0,0.0,27.0,0.0,31.86,541.195,"",'132603974966623195803,2026-04-13,11053763146,2ef8b17f-2274-4926-9914-58a678856110,"",Forward,9053483869,9053483869,11504,742.86,5.0,876.0,0.0,876.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,874.0
NFT-/XUTR/DEUTH026103A0MOAX,32.57,0.0,0.0,3499.0,684.0,32.285,3.257,0.0,0.0,prepaid,0.651,0.0,0.0,27.0,0.0,31.86,615.947,"",'132631670377442817501,2026-04-13,11058575919,67d20a09-e0f1-4aca-b1cc-9631f0e55284,"",Forward,100003847453,1000000868442,11504,651.43,5.0,2721.0,0.0,2721.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,778.0
NFT-/XUTR/DEUTH026103A0MOAX,35.29,0.0,0.0,2799.0,741.0,34.97500000000001,3.529,0.0,0.0,prepaid,0.706,0.0,0.0,27.0,0.0,31.86,669.93,"",'132637743048244832803,2026-04-13,11059434655,c4c9908b-872c-449d-9807-37efb93d0b58,"",Forward,100004706180,100004706180,11504,705.71,5.0,1964.0,0.0,1964.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,834.99
NFT-/XUTR/DEUTH026103A0MOAX,30.57,0.0,0.0,1699.0,642.0,45.454,3.057,0.0,0.0,prepaid,0.611,167.0,0.0,0.0,0.0,197.06,-789.938,"",'132637932907386914003,2026-04-13,11059468996,2571e7e3-31b1-4fcb-a73c-cdffa7162ffc,11059468996,Reverse,100004740521,100004740521,11504,611.43,5.0,963.0,0.0,963.0,exchange,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,736.0
NFT-/XUTR/DEUTH026103A0MOAX,34.71,0.0,0.0,2750.0,729.0,34.40899999999999,3.471,0.0,0.0,prepaid,0.694,0.0,0.0,27.0,0.0,31.86,658.566,"",'132626558263550286201,2026-04-13,11057875818,00ac6437-81c4-4c57-8f0b-d3cfeea414cd,"",Forward,100003147361,100003147361,11504,694.29,5.0,1927.0,0.0,1927.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,823.0
NFT-/XUTR/DEUTH026103A0MOAX,63.29,0.0,0.0,2999.0,1329.0,329.326,6.329,0.0,0.0,prepaid,1.266,167.0,0.0,0.0,0.0,197.06,-1189.139,"",'132613514060122653901,2026-04-13,11055563398,18db5565-f377-4663-81fe-3f0d8839e87e,11055563398,Reverse,9055284081,9055284081,11504,1265.71,5.0,1499.0,0.0,1499.0,exchange,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1500.0
