NEFT_Ref,igst_amount,cgst_amount,sgst_amount,MRP,customer_paid_amt,Commission,IGST_TCS,CGST_TCS,SGST_TCS,Payment_Type,TDS,Shipping_Fee,pick_and_pack_fee,fixed_fee,Payment_Gateway_Fee,Logistics_Commission,Settled_Amount,NOD_Comment,Store_Order_id,Payment_Date,order_line_id,seller_order_id,return_id,Order_Type,order_release_id,Packet_Id,Seller_Id,taxable_amount,Tax_Rate,seller_discount,platform_discount,total_discount,comments,fwdAdditionalCharges,rvsAdditionalCharges,techEnablement,airLogistics,royaltyCharges,royaltyPercent,marketingCharges,marketingPercent,marketingContribution,commission_discount,sale_Total_Customer_Paid
NFT-/XUTR/DEUTH02612536756X,41.95,0.0,0.0,1950.0,416.35,108.084,1.983,0.0,0.0,prepaid,0.397,0.0,0.0,12.76,0.0,15.0568,290.829,"",'132832786483002159303,2026-05-05,11101732526,8280a9bd-ac90-47f0-ad5a-5102f91c0c3d,"",Forward,100047003552,100047003552,11504,839.05,5.0,975.0,0.0,975.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,975.0
NFT-/XUTR/DEUTH02612536756X,36.24,0.0,0.0,2499.0,761.0,35.919,3.624,0.0,0.0,prepaid,0.725,106.0,0.0,0.0,0.0,125.08,-845.812,"",'132841881770837165403,2026-05-05,11103702408,f241733c-374f-4992-9b01-f64912ab8660,11103702408,Reverse,100048973417,100048973417,11504,724.76,5.0,1644.0,0.0,1644.0,exchange,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,855.0
NFT-/XUTR/DEUTH02612536756X,18.38,0.0,0.0,1499.0,386.0,18.219,1.838,0.0,0.0,prepaid,0.368,0.0,0.0,0.0,0.0,0.0,365.575,"",'132840377647132227903,2026-05-05,11103260209,e2ad9cb4-0fe9-4f5d-8ca1-ee4925c99f0e,"",Forward,100048531218,100048531218,11504,367.62,5.0,1054.0,0.0,1054.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,444.99
NFT-/XUTR/DEUTH02612536756X,59.62,0.0,0.0,2999.0,1252.0,310.246,5.962,0.0,0.0,prepaid,1.192,0.0,0.0,45.0,0.0,53.1,881.5,"",'132842540060621032401,2026-05-05,11103791782,eab292c2-d816-4856-a6e2-fc7a51765b3a,"",Forward,100049062791,1000014270930,11504,1192.38,5.0,1576.0,0.0,1576.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1423.0
NFT-/XUTR/DEUTH02612536756X,18.38,0.0,0.0,1599.0,386.0,18.219,1.838,0.0,0.0,prepaid,0.368,0.0,0.0,0.0,0.0,0.0,365.575,"",'132836393650250336601,2026-05-05,11102151368,b4b05b2f-c170-4eb5-a6cb-31f998bd4f40,"",Forward,100047422395,1000013761821,11504,367.62,5.0,1154.0,0.0,1154.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,445.0
NFT-/XUTR/DEUTH02612536756X,72.76,0.0,0.0,3399.0,1528.0,378.638,7.276,0.0,0.0,prepaid,1.455,0.0,0.0,45.0,0.0,53.1,1087.531,"",'132812330186583266203,2026-05-05,11097251958,b6b438e1-b6f4-439e-a32b-e2d3938f1d2d,"",Forward,100042522998,100042522998,11504,1455.24,5.0,1700.0,0.0,1700.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1699.0
NFT-/XUTR/DEUTH02612536756X,27.19,0.0,0.0,1799.0,571.0,40.427,2.719,0.0,0.0,prepaid,0.544,182.0,0.0,0.0,0.0,214.76,-742.07,"",'132823638157676062401,2026-05-05,11099777132,7370248e-8d58-4c22-a01f-2ea436a3d5ee,100153847076,Reverse,100045048165,100045048165,11504,543.81,5.0,1134.0,0.0,1134.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,665.0
NFT-/XUTR/DEUTH02612536756X,106.81,0.0,0.0,3499.0,2243.0,529.348,10.681,0.0,0.0,prepaid,2.136,0.0,0.0,61.0,0.0,71.98,1628.855,"",'132824112464916324501,2026-05-05,11099973893,99a0d007-6e02-4cb7-a640-3e4ef603f8a0,"",Forward,100045244926,100045244926,11504,2136.19,5.0,1050.0,0.0,1050.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,2449.0
NFT-/XUTR/DEUTH02612536756X,0.0,235.91,235.91,3299.0,3093.0,729.948,0.0,6.553,6.553,prepaid,2.621,106.0,0.0,0.0,0.0,125.08,-2472.405,"",'132852898826436160803,2026-05-05,11105755988,a2faa5e7-32f2-4a24-87de-fe5459049814,11105755988,Reverse,100051026972,1000014855328,11504,2621.18,18.0,0.0,0.0,0.0,exchange,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,3298.9999999999995
NFT-/XUTR/DEUTH02612536756X,22.29,0.0,0.0,1650.0,468.0,22.09,2.229,0.0,0.0,prepaid,0.446,0.0,0.0,27.0,0.0,31.86,411.375,"",'132842218655589560501,2026-05-05,11103762130,121909b4-2069-4bd1-9d39-364dc2d9d44f,"",Forward,100049033139,1000014097368,11504,445.71,5.0,1088.0,0.0,1088.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,562.0
