NEFT_Ref,igst_amount,cgst_amount,sgst_amount,MRP,customer_paid_amt,Commission,IGST_TCS,CGST_TCS,SGST_TCS,Payment_Type,TDS,Shipping_Fee,pick_and_pack_fee,fixed_fee,Payment_Gateway_Fee,Logistics_Commission,Settled_Amount,NOD_Comment,Store_Order_id,Payment_Date,order_line_id,seller_order_id,return_id,Order_Type,order_release_id,Packet_Id,Seller_Id,taxable_amount,Tax_Rate,seller_discount,platform_discount,total_discount,comments,fwdAdditionalCharges,rvsAdditionalCharges,techEnablement,airLogistics,royaltyCharges,royaltyPercent,marketingCharges,marketingPercent,marketingContribution,commission_discount,sale_Total_Customer_Paid
NFT-/XUTR/DEUTH02616011940X,36.71,0.0,0.0,2850.0,771.0,36.391,3.671,0.0,0.0,prepaid,0.734,0.0,0.0,27.0,10.486,44.23348,685.971,"",'133124835824518674203,2026-06-09,11160692339,f3865371-1cae-40fe-82bf-c18eab86a61c,"",Forward,100105963040,100105963040,11504,734.29,5.0,1985.0,0.0,1985.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,865.0
NFT-/XUTR/DEUTH02616011940X,35.14,0.0,0.0,1799.0,738.0,191.585,3.514,0.0,0.0,prepaid,0.703,127.0,0.0,0.0,0.0,149.86,-692.058,"",'133143800233311140903,2026-06-09,11167113671,e807dfcd-376d-49d3-9cb7-3573d90a8faa,100165656117,Reverse,100112384365,100112384365,11504,702.86,5.0,967.0,0.0,967.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,832.0
NFT-/XUTR/DEUTH02616011940X,19.05,0.0,0.0,1799.0,400.0,18.88,1.905,0.0,0.0,prepaid,0.381,0.0,0.0,0.0,4.04,4.7672,374.067,"",'133124743563951914901,2026-06-09,11160671535,8e1e7f1c-b260-4fa9-a84a-433f3a14f8c0,"",Forward,100105942236,1000031004035,11504,380.95,5.0,1305.0,0.0,1305.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,494.0
NFT-/XUTR/DEUTH02616011940X,84.71,0.0,0.0,1950.0,1779.0,419.844,8.471,0.0,0.0,prepaid,1.694,0.0,0.0,45.0,0.0,53.1,1295.891,"",'133135131127176427103,2026-06-09,11163813036,fc33e058-ebad-4dd1-9d38-8c28d7976946,"",Forward,100109083731,100109083731,11504,1694.29,5.0,0.0,0.0,0.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1950.0
NFT-/XUTR/DEUTH02616011940X,48.1,0.0,0.0,1750.0,1010.0,238.36,4.81,0.0,0.0,prepaid,0.962,0.0,0.0,45.0,0.0,53.1,712.768,"",'133125548543508922303,2026-06-09,11160863509,8f624502-3668-490e-8a3a-ce6d4b6e5aad,"",Forward,100106134209,1000031042822,11504,961.9,5.0,569.0,0.0,569.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1181.0
NFT-/XUTR/DEUTH02616011940X,48.48,0.0,0.0,1699.0,1018.0,240.248,4.848,0.0,0.0,prepaid,0.97,182.0,0.0,0.0,0.0,214.76,-986.694,"",'133120243514503969703,2026-06-09,11159392631,3dd574a1-e211-4dfc-b92a-f994f6350121,100165011931,Reverse,100104663333,100104663333,11504,969.52,5.0,510.0,0.0,510.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1189.0
NFT-/XUTR/DEUTH02616011940X,43.1,0.0,0.0,1999.0,905.0,234.938,4.31,0.0,0.0,prepaid,0.862,0.0,0.0,27.0,0.0,31.86,633.03,"",'133125360870031917201,2026-06-09,11160815092,fc4d9e81-3143-4505-84e4-53eda882f20f,"",Forward,100106085793,1000031403420,11504,861.9,5.0,1000.0,0.0,1000.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,999.0
NFT-/XUTR/DEUTH02616011940X,31.19,0.0,0.0,1499.0,655.0,170.038,3.119,0.0,0.0,prepaid,0.624,0.0,0.0,27.0,0.0,31.86,449.359,"",'133126871357375945501,2026-06-09,11161215094,ee87f0a0-36b4-4e79-ac82-2022eb95fab6,"",Forward,100106485793,100106485793,11504,623.81,5.0,750.0,0.0,750.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,749.0
NFT-/XUTR/DEUTH02616011940X,35.76,0.0,0.0,1799.0,585.64,152.032,2.789,0.0,0.0,prepaid,0.558,141.926,0.0,0.0,0.0,167.47268,-597.734,"",'133124338153124462101,2026-06-09,11160580127,1356e4ac-ca1c-4998-a04c-265cc9da40a1,11160580127,Reverse,100105850828,100105850828,11504,715.24,5.0,954.0,0.0,954.0,exchange,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,845.0
NFT-/XUTR/DEUTH02616011940X,39.05,0.0,0.0,1799.0,820.0,212.872,3.905,0.0,0.0,prepaid,0.781,0.0,0.0,27.0,0.0,31.86,570.582,"",'133138842646597500901,2026-06-09,11165882726,ba7186dc-b237-440b-a37e-b2c09a5a31fd,"",Forward,100111153421,100111153421,11504,780.95,5.0,885.0,0.0,885.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,914.0
