NEFT_Ref,igst_amount,cgst_amount,sgst_amount,MRP,customer_paid_amt,Commission,IGST_TCS,CGST_TCS,SGST_TCS,Payment_Type,TDS,Shipping_Fee,pick_and_pack_fee,fixed_fee,Payment_Gateway_Fee,Logistics_Commission,Settled_Amount,NOD_Comment,Store_Order_id,Payment_Date,order_line_id,seller_order_id,return_id,Order_Type,order_release_id,Packet_Id,Seller_Id,taxable_amount,Tax_Rate,seller_discount,platform_discount,total_discount,comments,fwdAdditionalCharges,rvsAdditionalCharges,techEnablement,airLogistics,royaltyCharges,royaltyPercent,marketingCharges,marketingPercent,marketingContribution,commission_discount,sale_Total_Customer_Paid
NFT-/XUTR/DEUTH026117A008TX,58.95,0.0,0.0,2999.0,1238.0,306.776,5.895,0.0,0.0,prepaid,1.179,0.0,0.0,45.0,0.0,53.1,871.05,"",'132737167962113465303,2026-04-27,11080318071,6a789463-b6d2-4992-ae5f-535db1bb21c4,"",Forward,100025589163,100025589163,11504,1179.05,5.0,1590.0,0.0,1590.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1409.0
NFT-/XUTR/DEUTH026117A008TX,63.24,0.0,0.0,2999.0,1328.0,329.078,6.324,0.0,0.0,prepaid,1.265,0.0,0.0,45.0,0.0,53.1,938.233,"",'132755192534448336203,2026-04-27,11084511740,ec0146bd-e80d-442e-8318-7f839d6e3e60,"",Forward,100029782797,100029782797,11504,1264.76,5.0,1500.0,0.0,1500.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1499.0
NFT-/XUTR/DEUTH026117A008TX,0.0,30.43,30.43,2899.0,1278.0,316.688,0.0,3.043,3.043,prepaid,1.217,0.0,0.0,45.0,0.0,53.1,900.909,"",'132760839068902593401,2026-04-27,11085550226,adbc9953-b9e4-46b4-ac2a-36e99175cab4,"",Forward,100030821282,100030821282,11504,1217.14,5.0,1450.0,0.0,1450.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1449.0000000000002
NFT-/XUTR/DEUTH026117A008TX,36.19,0.0,0.0,1899.0,760.0,197.296,3.619,0.0,0.0,prepaid,0.724,0.0,0.0,27.0,0.0,31.86,526.501,"",'132780874460557111903,2026-04-27,11090249841,bb4eb7e1-9072-4b87-b2c1-97e3ef2caf45,"",Forward,100035520892,100035520892,11504,723.81,5.0,1045.0,0.0,1045.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,853.98
NFT-/XUTR/DEUTH026117A008TX,72.76,0.0,0.0,3399.0,1528.0,378.638,7.276,0.0,0.0,prepaid,1.455,0.0,0.0,45.0,0.0,53.1,1087.531,"",'132754851899616479501,2026-04-27,11084392772,1b39006f-2acb-418b-ae94-ceb6a856133b,"",Forward,100029663829,1000008504140,11504,1455.24,5.0,1700.0,0.0,1700.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1699.0
NFT-/XUTR/DEUTH026117A008TX,31.19,0.0,0.0,1499.0,655.0,170.038,3.119,0.0,0.0,prepaid,0.624,0.0,0.0,27.0,0.0,31.86,449.359,"",'132761525668600881203,2026-04-27,11085734755,84ce22a8-86ef-4c3b-91f3-eae975aaf931,"",Forward,100031005811,1000009179827,11504,623.81,5.0,750.0,0.0,750.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,749.0
NFT-/XUTR/DEUTH026117A008TX,438.26,0.0,0.0,4399.0,2873.0,678.028,12.174,0.0,0.0,prepaid,2.435,167.0,0.0,0.0,0.0,197.06,-2377.423,"",'132753968306878265303,2026-04-27,11084076779,248c63b7-f3f7-49f2-b20e-3cb3fcb7f748,100151074442,Reverse,100029347837,1000008529302,11504,2434.75,18.0,1320.0,0.0,1320.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,3079.01
NFT-/XUTR/DEUTH026117A008TX,19.1,0.0,0.0,1599.0,400.99999999999994,18.927,1.91,0.0,0.0,prepaid,0.382,167.0,0.0,0.0,0.0,197.06,-576.841,"",'132754903755319660403,2026-04-27,11084411846,72106f6b-68df-42c5-a073-7f5d56219373,100153136285,Reverse,100029682903,100029682903,11504,381.9,5.0,1104.0,0.0,1104.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,495.0
NFT-/XUTR/DEUTH026117A008TX,19.67,0.0,0.0,1750.0,413.0,19.494,1.967,0.0,0.0,prepaid,0.393,0.0,0.0,15.0,0.0,17.7,373.446,"",'132771410878210921201,2026-04-27,11088012373,606197d0-02aa-4359-b45b-076461420602,"",Forward,100033283426,100033283426,11504,393.33,5.0,1243.0,0.0,1243.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,507.0
NFT-/XUTR/DEUTH026117A008TX,51.71,0.0,0.0,3399.0,1086.0,269.111,5.171,0.0,0.0,prepaid,1.034,167.0,0.0,0.0,0.0,197.06,-1007.744,"",'132746153206505490401,2026-04-27,11082405737,d464e7c7-5223-408a-9c4c-6ad3df4190de,100150336099,Reverse,100027676803,1000007968679,11504,1034.29,5.0,2142.0,0.0,2142.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1257.0
