NEFT_Ref,igst_amount,cgst_amount,sgst_amount,MRP,customer_paid_amt,Commission,IGST_TCS,CGST_TCS,SGST_TCS,Payment_Type,TDS,Shipping_Fee,pick_and_pack_fee,fixed_fee,Payment_Gateway_Fee,Logistics_Commission,Settled_Amount,NOD_Comment,Store_Order_id,Payment_Date,order_line_id,seller_order_id,return_id,Order_Type,order_release_id,Packet_Id,Seller_Id,taxable_amount,Tax_Rate,seller_discount,platform_discount,total_discount,comments,fwdAdditionalCharges,rvsAdditionalCharges,techEnablement,airLogistics,royaltyCharges,royaltyPercent,marketingCharges,marketingPercent,marketingContribution,commission_discount,sale_Total_Customer_Paid
NFT-/XUTR/DEUTH026180A1VP3X,60.62,0.0,0.0,1699.0,1273.0,300.428,6.062,0.0,0.0,prepaid,1.212,0.0,0.0,49.0,0.0,57.82,907.478,"",'133274065919669643601,2026-06-29,11215516229,92356edd-d6f2-42c8-8ff4-91c4978ae972,"",Forward,100160786908,100160786908,11504,1212.38,5.0,255.0,0.0,255.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1444.0
NFT-/XUTR/DEUTH026180A1VP3X,49.71,0.0,0.0,2999.0,1044.0,258.703,4.971,0.0,0.0,prepaid,0.994,0.0,0.0,49.0,0.0,57.82,721.512,"",'133290019593711796103,2026-06-29,11219587320,edd330e0-8092-4553-a5ba-ca338d9be0e9,"",Forward,100164857998,100164857998,11504,994.29,5.0,1784.0,0.0,1784.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1215.0
NFT-/XUTR/DEUTH026180A1VP3X,53.95,0.0,0.0,2899.0,1133.0,280.757,5.395,0.0,0.0,prepaid,1.079,106.0,0.0,0.0,0.0,125.08,-970.849,"",'133299102601703507003,2026-06-29,11222108856,f0388008-aeef-488d-97bc-b51e4ac85bb5,100176073934,Reverse,100167379534,1000046933401,11504,1079.05,5.0,1595.0,0.0,1595.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1304.0
NFT-/XUTR/DEUTH026180A1VP3X,46.57,0.0,0.0,2299.0,977.9999999999999,253.88899999999995,4.657,0.0,0.0,prepaid,0.931,127.0,0.0,0.0,0.0,149.86,-868.383,"",'133307419193464835503,2026-06-29,11224281518,6afaecbd-21c0-4ada-bfa3-537e772fc0a4,100174390598,Reverse,100169552194,1000047605555,11504,931.43,5.0,1150.0,0.0,1150.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1149.0
NFT-/XUTR/DEUTH026180A1VP3X,29.86,0.0,0.0,1599.0,627.0,162.769,2.986,0.0,0.0,prepaid,0.597,0.0,0.0,31.0,0.0,36.58,424.068,"",'133299882977184992803,2026-06-29,11222397436,c543fddc-e9b3-4def-89ee-c333eaa4fa73,"",Forward,100167668113,100167668113,11504,597.14,5.0,878.0,0.0,878.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,721.0
NFT-/XUTR/DEUTH026180A1VP3X,38.33,0.0,0.0,1799.0,805.0,208.978,3.833,0.0,0.0,prepaid,0.767,0.0,0.0,31.0,0.0,36.58,554.842,"",'133272434686286242801,2026-06-29,11214596975,220a2819-9509-4f75-b74a-82254aaf448e,"",Forward,100159867654,1000044333063,11504,766.67,5.0,900.0,0.0,900.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,899.0
NFT-/XUTR/DEUTH026180A1VP3X,0.0,38.76,38.76,3999.0,1628.0,422.629,0.0,3.876,3.876,prepaid,1.55,0.0,0.0,49.0,0.0,57.82,1138.249,"",'133329861399509263203,2026-06-29,11230589334,00bcfa2b-c928-40f8-a0d4-a9874f1494be,"",Forward,100175860010,100175860010,11504,1550.48,5.0,2200.0,0.0,2200.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1799.0
NFT-/XUTR/DEUTH026180A1VP3X,42.81,0.0,0.0,1699.0,899.0,233.38,4.281,0.0,0.0,prepaid,0.856,182.0,0.0,0.0,0.0,214.76,-875.243,"",'133299240652802562203,2026-06-29,11222169522,61cc1382-7125-4f91-b8ff-0814db7f75a8,11222169522,Reverse,100167440199,100167440199,11504,856.19,5.0,629.0,0.0,629.0,exchange,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1070.0
NFT-/XUTR/DEUTH026180A1VP3X,56.1,0.0,0.0,2999.0,1178.0,291.908,5.61,0.0,0.0,prepaid,1.122,0.0,0.0,49.0,0.0,57.82,821.54,"",'133302660070115934003,2026-06-29,11222663323,13deea8e-18c3-493e-b551-b9345e52d797,"",Forward,100167934000,1000046935871,11504,1121.9,5.0,1650.0,0.0,1650.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1349.0
NFT-/XUTR/DEUTH026180A1VP3X,0.0,26.98,26.98,2899.0,1133.0,280.757,0.0,2.6975,2.6975,prepaid,1.079,106.0,0.0,0.0,0.0,125.08,-970.849,"",'133299652233721766203,2026-06-29,11222333687,270e7091-8d2f-47ae-a477-388819fd8171,11222333687,Reverse,100167604364,100167604364,11504,1079.04,5.0,1595.0,0.0,1595.0,exchange,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1304.0
NFT-/XUTR/DEUTH026180A1VP3X,38.33,0.0,0.0,2999.0,805.0,208.978,3.833,0.0,0.0,prepaid,0.767,0.0,0.0,31.0,0.0,36.58,554.842,"",'133265231580982678903,2026-06-29,11212117162,3de479cb-5907-4a44-b257-ea8bf52dbbad,"",Forward,100157387843,100157387843,11504,766.67,5.0,2100.0,0.0,2100.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,899.0
NFT-/XUTR/DEUTH026180A1VP3X,38.33,0.0,0.0,1799.0,805.0,208.978,3.833,0.0,0.0,prepaid,0.767,182.0,0.0,0.0,0.0,214.76,-806.182,"",'133286941273034237403,2026-06-29,11218535079,6b8583f9-8160-4405-98af-39af388b3e50,11218535079,Reverse,100163805757,100163805757,11504,766.67,5.0,900.0,0.0,900.0,exchange,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,899.0
NFT-/XUTR/DEUTH026180A1VP3X,422.39,0.0,0.0,5999.0,2769.0,686.158,11.733,0.0,0.0,prepaid,2.347,274.0,0.0,0.0,0.0,323.32,-2392.082,"",'133290161377166496503,2026-06-29,11219646094,ed013109-0313-4f42-8934-9632d830fc29,100175476658,Reverse,100164916772,100164916772,11504,2346.61,18.0,3000.0,0.0,3000.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,2999.0
NFT-/XUTR/DEUTH026180A1VP3X,47.52,0.0,0.0,2599.0,998.0,259.081,4.752,0.0,0.0,prepaid,0.95,0.0,0.0,31.0,5.09,42.5862,690.631,"",'133283637611496343103,2026-06-29,11217889341,46d0abbd-b399-4a93-aaf5-604e04f245da,"",Forward,100163160019,100163160019,11504,950.48,5.0,1430.0,0.0,1430.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1169.0
NFT-/XUTR/DEUTH026180A1VP3X,38.33,0.0,0.0,1799.0,805.0,208.978,3.833,0.0,0.0,prepaid,0.767,0.0,0.0,31.0,0.0,36.58,554.842,"",'133298568400439841001,2026-06-29,11221883505,0a752894-33d1-460a-9092-90743c2863fa,"",Forward,100167154182,100167154182,11504,766.67,5.0,900.0,0.0,900.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,899.0
NFT-/XUTR/DEUTH026180A1VP3X,56.19,0.0,0.0,2999.0,1180.0,292.404,5.619,0.0,0.0,prepaid,1.124,182.0,0.0,0.0,0.0,214.76,-1095.613,"",'133286096486184252203,2026-06-29,11218243741,34f1b2e3-cc1c-4a7e-a90a-a54eb1447229,100173832338,Reverse,100163514419,100163514419,11504,1123.81,5.0,1648.0,0.0,1648.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1351.0
NFT-/XUTR/DEUTH026180A1VP3X,37.19,0.0,0.0,1750.0,725.0,188.21,3.452,0.0,0.0,prepaid,0.69,0.0,0.0,28.777,0.0,33.95686,498.691,"",'133262102779871361401,2026-06-29,11210684015,fde70089-9a9c-4ab0-860e-40833b4a645b,"",Forward,100155954695,1000043392736,11504,743.81,5.0,875.0,56.0,931.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,875.0
NFT-/XUTR/DEUTH026180A1VP3X,62.67,0.0,0.0,1750.0,1316.0,310.576,6.267,0.0,0.0,prepaid,1.253,0.0,0.0,49.0,0.0,57.82,940.084,"",'133281129109316861703,2026-06-29,11217174441,7c07f49b-e43a-41b6-9d55-5f54650b0723,"",Forward,100162445120,1000045178945,11504,1253.33,5.0,263.0,0.0,263.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1487.0
NFT-/XUTR/DEUTH026180A1VP3X,30.95,0.0,0.0,1650.0,650.0,168.74,3.095,0.0,0.0,prepaid,0.619,0.0,0.0,31.0,0.0,36.58,440.966,"",'133322370643958913703,2026-06-29,11228230253,58cc7dc7-aac8-43ca-8467-baa61e9eb9c3,"",Forward,100173500929,100173500929,11504,619.05,5.0,906.0,0.0,906.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,744.0
NFT-/XUTR/DEUTH026180A1VP3X,39.19,0.0,0.0,1699.0,823.0,213.651,3.919,0.0,0.0,prepaid,0.784,182.0,0.0,0.0,0.0,214.76,-819.406,"",'133277970081198002301,2026-06-29,11216116396,1f9f2042-a7db-49c5-803f-ad010fb04a95,100173100957,Reverse,100161387076,100161387076,11504,783.81,5.0,705.0,0.0,705.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,994.0
NFT-/XUTR/DEUTH026180A1VP3X,93.81,0.0,0.0,4399.0,1970.0,511.41200000000003,9.381,0.0,0.0,prepaid,1.876,0.0,0.0,49.0,0.0,57.82,1389.511,"",'133299521132120395001,2026-06-29,11222288018,a5fab72c-837c-4cb8-bdc8-b61ab9fac556,"",Forward,100167558695,100167558695,11504,1876.19,5.0,2199.0,0.0,2199.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,2200.0
NFT-/XUTR/DEUTH026180A1VP3X,63.24,0.0,0.0,2999.0,1328.0,329.078,6.324,0.0,0.0,prepaid,1.265,0.0,0.0,49.0,0.0,57.82,933.513,"",'133302660070115934003,2026-06-29,11222663318,13deea8e-18c3-493e-b551-b9345e52d797,"",Forward,100167933995,1000046935871,11504,1264.76,5.0,1500.0,0.0,1500.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1499.0
NFT-/XUTR/DEUTH026180A1VP3X,80.14,0.0,0.0,2999.0,1683.0,417.047,8.014,0.0,0.0,prepaid,1.603,106.0,0.0,0.0,0.0,125.08,-1381.416,"",'133289468920376344803,2026-06-29,11219382844,4af40122-ff60-4522-8e7b-798cc204cc84,100175773245,Reverse,100164653522,100164653522,11504,1602.86,5.0,1110.0,0.0,1110.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1889.0
NFT-/XUTR/DEUTH026180A1VP3X,55.48,0.0,0.0,3299.0,495.19,122.708,2.358,0.0,0.0,prepaid,0.472,45.056,0.0,0.0,0.0,53.16608,-422.818,"",'133304736905757648103,2026-06-29,11223340986,9713992d-2e10-4bf6-a3b3-5de2aa120f8d,100173528327,Reverse,100168611663,100168611663,11504,1109.52,5.0,1963.0,0.0,1963.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1336.0
NFT-/XUTR/DEUTH026180A1VP3X,45.38,0.0,0.0,2499.0,953.0,247.399,4.538,0.0,0.0,prepaid,0.908,0.0,0.0,31.0,0.0,36.58,663.575,"",'133270371234504791703,2026-06-29,11213574588,a265cdfc-a1a4-4199-9d69-5c1225e7e855,"",Forward,100158845267,100158845267,11504,907.62,5.0,1375.0,0.0,1375.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1124.0
NFT-/XUTR/DEUTH026180A1VP3X,57.43,0.0,0.0,3399.0,1206.0,298.847,5.743,0.0,0.0,prepaid,1.149,0.0,0.0,49.0,0.0,57.82,842.441,"",'133293609003451483903,2026-06-29,11220282931,4f513e9f-a7b5-471b-bb56-9df83cc8108e,"",Forward,100165553609,100165553609,11504,1148.57,5.0,2022.0,0.0,2022.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1377.0
NFT-/XUTR/DEUTH026180A1VP3X,33.67,0.0,0.0,1599.0,707.0,183.537,3.367,0.0,0.0,prepaid,0.673,0.0,0.0,31.0,0.0,36.58,482.843,"",'133294485248183238503,2026-06-29,11220482411,60158565-c395-462a-8cef-f575829d2efb,"",Forward,100165753088,100165753088,11504,673.33,5.0,798.0,0.0,798.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,801.0
NFT-/XUTR/DEUTH026180A1VP3X,45.24,0.0,0.0,2899.0,950.0,190.0,4.524,0.0,0.0,prepaid,0.905,0.0,0.0,45.0,1.425,54.7815,699.79,"",'133260794364175433003,2026-06-29,11210108618,515ef1a4-04cf-447b-b6f9-b63f56653ea8,"",Forward,100155379298,100155379298,11504,904.76,5.0,1778.0,0.0,1778.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1121.0
NFT-/XUTR/DEUTH026180A1VP3X,0.0,35.19,35.19,3299.0,1478.0,366.248,0.0,3.519,3.519,prepaid,1.408,0.0,0.0,49.0,0.0,57.82,1045.486,"",'133304856533368135803,2026-06-29,11223381624,912296bf-2ce4-40fe-8f41-091b67aa2bbf,"",Forward,100168652301,100168652301,11504,1407.62,5.0,1650.0,0.0,1650.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1649.0
