NEFT_Ref,igst_amount,cgst_amount,sgst_amount,MRP,customer_paid_amt,Commission,IGST_TCS,CGST_TCS,SGST_TCS,Payment_Type,TDS,Shipping_Fee,pick_and_pack_fee,fixed_fee,Payment_Gateway_Fee,Logistics_Commission,Settled_Amount,NOD_Comment,Store_Order_id,Payment_Date,order_line_id,seller_order_id,return_id,Order_Type,order_release_id,Packet_Id,Seller_Id,taxable_amount,Tax_Rate,seller_discount,platform_discount,total_discount,comments,fwdAdditionalCharges,rvsAdditionalCharges,techEnablement,airLogistics,royaltyCharges,royaltyPercent,marketingCharges,marketingPercent,marketingContribution,commission_discount,sale_Total_Customer_Paid
NFT-/XUTR/DEUTH02611333684X,27.19,0.0,0.0,1799.0,571.0,148.232,2.719,0.0,0.0,prepaid,0.544,0.0,0.0,27.0,0.0,31.86,387.645,"",'132730076382583064901,2026-04-23,11078850263,81457f20-0d8e-4a25-af4c-4fcc8dd17650,"",Forward,100024121377,100024121377,11504,543.81,5.0,1134.0,0.0,1134.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,665.0
NFT-/XUTR/DEUTH02611333684X,97.29,0.0,0.0,4499.0,2043.0,482.148,9.729,0.0,0.0,prepaid,1.946,167.0,0.0,0.0,0.0,197.06,-1746.237,"",'132733366842436939001,2026-04-23,11079239575,08f8a650-70af-415a-8701-ace7bd74728d,11079239575,Reverse,100024510674,100024510674,11504,1945.71,5.0,2250.0,0.0,2250.0,exchange,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,2249.0
NFT-/XUTR/DEUTH02611333684X,33.57,0.0,0.0,1599.0,705.0,183.018,3.357,0.0,0.0,prepaid,0.671,0.0,0.0,27.0,0.0,31.86,486.094,"",'132741071977836988101,2026-04-23,11080907614,c0291274-b050-4f21-b608-2565a1d52a25,"",Forward,100026178706,100026178706,11504,671.43,5.0,800.0,0.0,800.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,799.0
NFT-/XUTR/DEUTH02611333684X,70.38,0.0,0.0,3299.0,1478.0,366.248,7.038,0.0,0.0,prepaid,1.408,0.0,0.0,45.0,0.0,53.1,1050.206,"",'132726416937343500603,2026-04-23,11077695584,9d9161de-838c-428f-a120-4f8b1f0e509a,"",Forward,100022966702,1000006781600,11504,1407.62,5.0,1650.0,0.0,1650.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1649.0
NFT-/XUTR/DEUTH02611333684X,33.52,0.0,0.0,1699.0,704.0,182.758,3.352,0.0,0.0,prepaid,0.67,0.0,0.0,27.0,0.0,31.86,485.36,"",'132721406976080415603,2026-04-23,11076674139,1f10a4cd-9d47-408d-bc4b-eb6e3c6c1156,"",Forward,100021945270,100021945270,11504,670.48,5.0,901.0,0.0,901.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,798.0
NFT-/XUTR/DEUTH02611333684X,79.91,0.0,0.0,3699.0,1678.0,376.208,7.99,0.0,0.0,prepaid,1.598,0.0,0.0,45.0,0.0,53.1,1239.104,"",'132720311688497931703,2026-04-23,11076391219,af8eb460-3c64-46a0-a842-10914d409afb,"",Forward,100021662350,100021662350,11504,1598.1,5.0,1850.0,0.0,1850.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1849.01
NFT-/XUTR/DEUTH02611333684X,77.52,0.0,0.0,1799.0,1628.0,384.208,7.752,0.0,0.0,prepaid,1.55,0.0,0.0,45.0,0.0,53.1,1181.39,"",'132716770268114790301,2026-04-23,11075321251,408a0564-2cc2-42cd-bf8d-5ac446b5e860,"",Forward,100020592386,100020592386,11504,1550.48,5.0,0.0,0.0,0.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1799.0
NFT-/XUTR/DEUTH02611333684X,28.81,0.0,0.0,1999.0,605.0,42.834,2.881,0.0,0.0,prepaid,0.576,0.0,0.0,27.0,0.0,31.86,526.849,"",'132721075749330388103,2026-04-23,11076624568,86ff3b16-c95e-423c-b341-052a7448ef2c,"",Forward,100021895699,100021895699,11504,576.19,5.0,1300.0,0.0,1300.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,699.0
NFT-/XUTR/DEUTH02611333684X,537.26,0.0,0.0,7999.0,3522.0,831.192,14.924,0.0,0.0,prepaid,2.985,167.0,0.0,0.0,0.0,197.06,-2869.959,"",'132661004299465066201,2026-04-23,11063700634,3b98183e-5ac8-443e-bedf-057b58331fd6,100153163358,Reverse,100008972036,100008972036,11504,2984.75,18.0,4271.0,0.0,4271.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,3728.01
NFT-/XUTR/DEUTH02611333684X,0.0,36.38,36.38,3399.0,1528.0,378.638,0.0,3.638,3.638,prepaid,1.455,0.0,0.0,45.0,0.0,53.1,1087.531,"",'132743155073219703903,2026-04-23,11081487686,006e5d06-14bc-4a84-8a36-e7672774092b,"",Forward,100026758778,100026758778,11504,1455.24,5.0,1700.0,0.0,1700.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1699.0000000000002
