NEFT_Ref,igst_amount,cgst_amount,sgst_amount,MRP,customer_paid_amt,Commission,IGST_TCS,CGST_TCS,SGST_TCS,Payment_Type,TDS,Shipping_Fee,pick_and_pack_fee,fixed_fee,Payment_Gateway_Fee,Logistics_Commission,Settled_Amount,NOD_Comment,Store_Order_id,Payment_Date,order_line_id,seller_order_id,return_id,Order_Type,order_release_id,Packet_Id,Seller_Id,taxable_amount,Tax_Rate,seller_discount,platform_discount,total_discount,comments,fwdAdditionalCharges,rvsAdditionalCharges,techEnablement,airLogistics,royaltyCharges,royaltyPercent,marketingCharges,marketingPercent,marketingContribution,commission_discount,sale_Total_Customer_Paid
NFT-/XUTR/DEUTH02616930194X,42.43,0.0,0.0,2899.0,891.0,231.304,4.243,0.0,0.0,prepaid,0.849,0.0,0.0,31.0,4.366,41.73188,612.872,"",'133226211122718411003,2026-06-18,11199382088,d544df22-bd08-403b-ba56-c387f6da3b09,"",Forward,100144652773,1000040465540,11504,848.57,5.0,1914.0,0.0,1914.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,985.0
NFT-/XUTR/DEUTH02616930194X,28.33,0.0,0.0,2299.0,595.0,28.084000000000003,2.833,0.0,0.0,prepaid,0.567,182.0,0.0,0.0,0.0,214.76,-778.276,"",'133209795837135010501,2026-06-18,11193340399,bf50eaec-1637-4438-a9ed-58c580ad3bc1,11193340399,Reverse,100138611085,100138611085,11504,566.67,5.0,1610.0,0.0,1610.0,exchange,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,689.0
NFT-/XUTR/DEUTH02616930194X,0.0,9.55,9.55,1650.0,401.0,18.927,0.0,0.955,0.955,prepaid,0.382,0.0,0.0,18.0,1.444,22.94392,356.837,"",'133225897843322957701,2026-06-18,11199237613,97e21f15-d4c5-4c8a-9f78-2a41ae8a3c9a,"",Forward,100144508298,1000039409996,11504,381.9,5.0,1155.0,0.0,1155.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,495.0
NFT-/XUTR/DEUTH02616930194X,70.43,0.0,0.0,1650.0,1479.0,349.044,7.043,0.0,0.0,prepaid,1.409,0.0,0.0,49.0,0.0,57.82,1063.684,"",'133182555480289394601,2026-06-18,11179098061,106ad398-9dad-44f7-9a70-9cf3a989e58a,"",Forward,100124368749,100124368749,11504,1408.57,5.0,0.0,0.0,0.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1650.0
NFT-/XUTR/DEUTH02616930194X,0.0,28.1,28.1,2999.0,1180.0,292.404,0.0,2.8095,2.8095,prepaid,1.124,0.0,0.0,49.0,0.0,57.82,823.033,"",'133225003637814288703,2026-06-18,11198917743,79af5bb3-16dc-44dc-8f65-029ee8868c84,"",Forward,100144188428,1000040478944,11504,1123.8,5.0,1648.0,0.0,1648.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1350.9999999999998
NFT-/XUTR/DEUTH02616930194X,68.71,0.0,0.0,3399.0,1443.0,357.575,6.871,0.0,0.0,prepaid,1.374,0.0,0.0,49.0,0.0,57.82,1019.36,"",'133201096333665834401,2026-06-18,11189292873,8d1cb68a-ca09-471b-bf19-f5bd92da2d5e,"",Forward,100134563559,1000037481284,11504,1374.29,5.0,1785.0,0.0,1785.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1614.0
NFT-/XUTR/DEUTH02616930194X,30.76,0.0,0.0,1850.0,646.0,167.702,3.076,0.0,0.0,prepaid,0.615,182.0,0.0,0.0,0.0,214.76,-689.367,"",'133186905125403776701,2026-06-18,11181519471,faeba804-38f2-49b8-9291-633ffdb471ea,100170138373,Reverse,100126790159,100126790159,11504,615.24,5.0,1110.0,0.0,1110.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,740.0
NFT-/XUTR/DEUTH02616930194X,63.24,0.0,0.0,2999.0,1328.0,329.078,6.324,0.0,0.0,prepaid,1.265,0.0,0.0,49.0,0.0,57.82,933.513,"",'133187869385014098201,2026-06-18,11182673261,ec61a5fa-731d-4448-ae0d-373cf897ff73,"",Forward,100127943949,100127943949,11504,1264.76,5.0,1500.0,0.0,1500.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1499.0
NFT-/XUTR/DEUTH02616930194X,36.19,0.0,0.0,1799.0,760.0,197.296,3.619,0.0,0.0,prepaid,0.724,0.0,0.0,31.0,0.0,36.58,521.781,"",'133193289795195952803,2026-06-18,11185501348,3f48b3eb-b1ae-41cd-bc30-78601a67eb80,"",Forward,100130772035,100130772035,11504,723.81,5.0,945.0,0.0,945.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,854.0
NFT-/XUTR/DEUTH02616930194X,91.91,0.0,0.0,4499.0,1930.0000000000002,478.254,9.19,0.0,0.0,prepaid,1.838,182.0,0.0,0.0,0.0,214.76,-1655.478,"",'133200646440338447803,2026-06-18,11189000064,e0698574-990a-4657-9a9e-ba0f0800660e,100168895565,Reverse,100134270750,100134270750,11504,1838.1,5.0,2363.0,0.0,2363.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,2136.01
NFT-/XUTR/DEUTH02616930194X,52.95,0.0,0.0,2999.0,1112.0,275.554,5.295,0.0,0.0,prepaid,1.059,0.0,0.0,49.0,0.0,57.82,772.272,"",'133210585132319061003,2026-06-18,11193851694,72fcef3a-1429-4962-8846-89cbcde638bc,"",Forward,100139122380,100139122380,11504,1059.05,5.0,1716.0,0.0,1716.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1283.0
NFT-/XUTR/DEUTH02616930194X,34.81,0.0,0.0,1650.0,731.0,189.768,3.481,0.0,0.0,prepaid,0.696,182.0,0.0,0.0,0.0,214.76,-751.815,"",'133192445389785783901,2026-06-18,11184906568,fdaffb5b-14b6-43dd-a512-cd7751a0aa46,100174762569,Reverse,100130177256,1000035615310,11504,696.19,5.0,825.0,0.0,825.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,825.0
NFT-/XUTR/DEUTH02616930194X,42.76,0.0,0.0,2699.0,898.0,233.121,4.276,0.0,0.0,prepaid,0.855,0.0,0.0,31.0,10.237,48.65966,611.088,"",'133186918944070900803,2026-06-18,11181530267,0c839e82-0acd-4d89-9464-833fbf18697f,"",Forward,100126800955,1000036388271,11504,855.24,5.0,1630.0,0.0,1630.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1069.0
NFT-/XUTR/DEUTH02616930194X,37.19,0.0,0.0,1750.0,781.0,202.748,3.719,0.0,0.0,prepaid,0.744,0.0,0.0,31.0,0.0,36.58,537.209,"",'133202087360359312903,2026-06-18,11189916296,c07962b7-a592-44cb-ba2e-0277b3f5f91d,"",Forward,100135186982,100135186982,11504,743.81,5.0,875.0,0.0,875.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,875.0
NFT-/XUTR/DEUTH02616930194X,81.43,0.0,0.0,1999.0,1710.0,403.55999999999995,8.143,0.0,0.0,prepaid,1.629,182.0,0.0,0.0,0.0,214.76,-1511.428,"",'133208731211505433401,2026-06-18,11192647915,a1d3e7ec-c078-4b19-b41a-14d5a1cb050a,11192647915,Reverse,100137918601,100137918601,11504,1628.57,5.0,118.0,0.0,118.0,exchange,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1881.0
NFT-/XUTR/DEUTH02616930194X,33.91,0.0,0.0,1699.0,186.2,48.338,0.887,0.0,0.0,prepaid,0.177,47.596,0.0,0.0,0.0,56.16328,-192.961,"",'133201595565114098303,2026-06-18,11189628158,b9ee6dc9-38d3-42b0-833a-a81516c219aa,100169290121,Reverse,100134898844,1000037476153,11504,678.1,5.0,893.0,0.0,893.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,806.01
NFT-/XUTR/DEUTH02616930194X,40.71,0.0,0.0,2499.0,855.0,221.958,4.071,0.0,0.0,prepaid,0.814,182.0,0.0,0.0,0.0,214.76,-842.917,"",'133203508084644055101,2026-06-18,11190709522,bb4b57b8-1375-413b-a22c-3f00ae5dc708,100169795140,Reverse,100135980208,100135980208,11504,814.29,5.0,1550.0,0.0,1550.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,949.0
NFT-/XUTR/DEUTH02616930194X,51.52,0.0,0.0,3299.0,1082.0,268.12,5.152,0.0,0.0,prepaid,1.03,182.0,0.0,0.0,0.0,214.76,-1022.458,"",'133211805570447215801,2026-06-18,11194582252,d5443c6d-a2cc-4fda-9473-413e5183974f,11194582252,Reverse,100139852938,100139852938,11504,1030.48,5.0,2046.0,0.0,2046.0,exchange,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1253.0
NFT-/XUTR/DEUTH02616930194X,22.62,0.0,0.0,1499.0,475.00000000000006,22.42,2.262,0.0,0.0,prepaid,0.452,106.0,0.0,0.0,0.0,125.08,-574.946,"",'133219780395229331801,2026-06-18,11197440336,a6006dd3-8df4-4d91-ace4-ba6f1828f922,100168510027,Reverse,100142711022,100142711022,11504,452.38,5.0,930.0,0.0,930.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,569.0
NFT-/XUTR/DEUTH02616930194X,18.95,0.0,0.0,1699.0,376.0,17.747,1.79,0.0,0.0,prepaid,0.358,171.94,0.0,0.0,0.0,202.8892,-558.994,"",'133184659747029747101,2026-06-18,11180297806,d4c5d4c3-742e-4f4f-b62b-4df6762cc595,11180297806,Reverse,100125568494,100125568494,11504,379.05,5.0,1207.0,22.0,1229.0,exchange,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,492.0
NFT-/XUTR/DEUTH02616930194X,52.86,0.0,0.0,2699.0,1110.0,275.058,5.286,0.0,0.0,prepaid,1.057,182.0,0.0,0.0,0.0,214.76,-1043.359,"",'133186918944070900803,2026-06-18,11181530263,0c839e82-0acd-4d89-9464-833fbf18697f,100168541756,Reverse,100126800951,1000036388271,11504,1057.14,5.0,1418.0,0.0,1418.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1281.0
NFT-/XUTR/DEUTH02616930194X,25.95,0.0,0.0,1599.0,545.0,141.482,2.595,0.0,0.0,prepaid,0.519,182.0,0.0,0.0,0.0,214.76,-615.164,"",'133194272333006736301,2026-06-18,11186098399,fd65d382-60ac-4d5e-88d5-9327f73dedcc,100168745422,Reverse,100131369087,100131369087,11504,519.05,5.0,960.0,0.0,960.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,639.0
NFT-/XUTR/DEUTH02616930194X,70.43,0.0,0.0,1650.0,1479.0,349.044,7.043,0.0,0.0,prepaid,1.409,0.0,0.0,49.0,0.0,57.82,1063.684,"",'133208083019642641401,2026-06-18,11192276064,47776c82-8d9f-45f2-88b6-68fbfefbf1e1,"",Forward,100137546750,100137546750,11504,1408.57,5.0,0.0,0.0,0.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1650.0
NFT-/XUTR/DEUTH02616930194X,19.05,0.0,0.0,1499.0,400.0,18.88,1.905,0.0,0.0,prepaid,0.381,182.0,0.0,0.0,0.0,214.76,-593.594,"",'133194298838457637301,2026-06-18,11186114574,19f081ff-bffe-4b9e-aab2-1c3b4ba49149,100168744817,Reverse,100131385261,100131385261,11504,380.95,5.0,1005.0,0.0,1005.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,494.0
NFT-/XUTR/DEUTH02616930194X,63.24,0.0,0.0,2999.0,1328.0,329.078,6.324,0.0,0.0,prepaid,1.265,0.0,0.0,49.0,0.0,57.82,933.513,"",'133203159872498865203,2026-06-18,11190509591,1da51bee-e4af-4e4f-b63e-47dc2ad07052,"",Forward,100135780276,100135780276,11504,1264.76,5.0,1500.0,0.0,1500.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1499.0
NFT-/XUTR/DEUTH02616930194X,16.71,0.0,0.0,1599.0,351.0,16.567,1.671,0.0,0.0,prepaid,0.334,0.0,0.0,3.0,0.0,3.54,328.888,"",'133234720311103650203,2026-06-18,11202141085,d47b34ac-edb9-490d-a1c9-1bb58235ddba,"",Forward,100147411769,100147411769,11504,334.29,5.0,1154.0,0.0,1154.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,445.0
NFT-/XUTR/DEUTH02616930194X,81.43,0.0,0.0,1999.0,1710.0,403.55999999999995,8.143,0.0,0.0,prepaid,1.629,0.0,0.0,49.0,0.0,57.82,1238.848,"",'133208731211505433401,2026-06-18,11192647915,a1d3e7ec-c078-4b19-b41a-14d5a1cb050a,"",Forward,100137918601,100137918601,11504,1628.57,5.0,118.0,0.0,118.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1881.0
NFT-/XUTR/DEUTH02616930194X,57.38,0.0,0.0,2899.0,1205.0,298.599,5.738,0.0,0.0,prepaid,1.148,0.0,0.0,49.0,0.0,57.82,841.695,"",'133211457200983582901,2026-06-18,11194387338,d1429464-6d17-4fa4-a7d5-ddd302706067,"",Forward,100139658024,1000038479163,11504,1147.62,5.0,1523.0,0.0,1523.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1376.0
NFT-/XUTR/DEUTH02616930194X,38.33,0.0,0.0,1799.0,805.0,208.978,3.833,0.0,0.0,prepaid,0.767,0.0,0.0,31.0,0.0,36.58,554.842,"",'133211763449914247303,2026-06-18,11194558345,e619dc50-3716-4bb5-b615-754b0a5aeebd,"",Forward,100139829031,100139829031,11504,766.67,5.0,900.0,0.0,900.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,899.0
NFT-/XUTR/DEUTH02616930194X,33.67,0.0,0.0,1599.0,707.0,183.537,3.367,0.0,0.0,prepaid,0.673,0.0,0.0,31.0,0.0,36.58,482.843,"",'133199841056216277603,2026-06-18,11188504500,48d0e72b-cb1f-450e-9230-bffe483e8776,"",Forward,100133775186,100133775186,11504,673.33,5.0,798.0,0.0,798.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,801.0
NFT-/XUTR/DEUTH02616930194X,28.86,0.0,0.0,1750.0,606.0,157.318,2.886,0.0,0.0,prepaid,0.577,106.0,0.0,0.0,0.0,125.08,-570.299,"",'133234249286018228501,2026-06-18,11201948558,e35a07a0-5feb-4bdf-88d0-ef21ad440b19,100169206679,Reverse,100147219242,1000040468508,11504,577.14,5.0,1050.0,0.0,1050.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,700.0
NFT-/XUTR/DEUTH02616930194X,29.0,0.0,0.0,1599.0,609.0,158.096,2.9,0.0,0.0,prepaid,0.58,127.0,0.0,0.0,0.0,149.86,-597.284,"",'133212967468046305301,2026-06-18,11195385842,84bf1c06-2057-4a53-a257-cd819f1b649f,100168664094,Reverse,100140656528,1000037956223,11504,580,5.0,896.0,0.0,896.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,703.0
NFT-/XUTR/DEUTH02616930194X,48.48,0.0,0.0,1699.0,1018.0,240.248,4.848,0.0,0.0,prepaid,0.97,0.0,0.0,49.0,0.0,57.82,714.114,"",'133192440460144519803,2026-06-18,11184902730,20de38e3-6444-4eda-b9d3-c9850d1f567b,"",Forward,100130173418,100130173418,11504,969.52,5.0,510.0,0.0,510.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1189.0
NFT-/XUTR/DEUTH02616930194X,32.81,0.0,0.0,1650.0,689.0,178.864,3.281,0.0,0.0,prepaid,0.656,182.0,0.0,0.0,0.0,214.76,-720.959,"",'133201823171168599801,2026-06-18,11189767628,0ee4d1d1-0c68-414e-8a17-4b72f9e93cdb,11189767628,Reverse,100135038314,100135038314,11504,656.19,5.0,867.0,0.0,867.0,exchange,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,783.0
NFT-/XUTR/DEUTH02616930194X,0.0,19.17,19.17,1799.0,548.3069999999999,142.34,0.0,1.3055,1.3055,prepaid,0.522,72.199,0.0,0.0,0.0,85.19482,-488.029,"",'133213403824578449501,2026-06-18,11195658109,aabf9af8-6018-4071-9999-b3d46f12ccd4,100170765267,Reverse,100140928795,1000038496407,11504,766.66,5.0,900.0,0.0,900.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,898.9999999999999
NFT-/XUTR/DEUTH02616930194X,58.48,0.0,0.0,2799.0,1228.0,304.298,5.848,0.0,0.0,prepaid,1.17,0.0,0.0,49.0,0.0,57.82,858.864,"",'133194050562125455703,2026-06-18,11185966674,8140058e-e1bc-4dc5-9273-f8f92fdce8a1,"",Forward,100131237361,100131237361,11504,1169.52,5.0,1400.0,0.0,1400.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1399.0
