NEFT_Ref,igst_amount,cgst_amount,sgst_amount,MRP,customer_paid_amt,Commission,IGST_TCS,CGST_TCS,SGST_TCS,Payment_Type,TDS,Shipping_Fee,pick_and_pack_fee,fixed_fee,Payment_Gateway_Fee,Logistics_Commission,Settled_Amount,NOD_Comment,Store_Order_id,Payment_Date,order_line_id,seller_order_id,return_id,Order_Type,order_release_id,Packet_Id,Seller_Id,taxable_amount,Tax_Rate,seller_discount,platform_discount,total_discount,comments,fwdAdditionalCharges,rvsAdditionalCharges,techEnablement,airLogistics,royaltyCharges,royaltyPercent,marketingCharges,marketingPercent,marketingContribution,commission_discount,sale_Total_Customer_Paid
NFT-/XUTR/DEUTH02611124498X,23.67,0.0,0.0,1599.0,497.0,23.458,2.367,0.0,0.0,prepaid,0.473,0.0,0.0,27.0,0.0,31.86,438.842,"",'132702272818102541103,2026-04-21,11072093742,8123cbf4-083b-45f8-8ce4-4a4fc2a3538f,"",Forward,100017364890,100017364890,11504,473.33,5.0,1008.0,0.0,1008.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,591.0
NFT-/XUTR/DEUTH02611124498X,34.05,0.0,0.0,1799.0,715.0,185.614,3.405,0.0,0.0,prepaid,0.681,0.0,0.0,27.0,0.0,31.86,493.44,"",'132702238211413015301,2026-04-21,11072083409,ba64a0f5-5e7c-4bb2-8b43-e061a822f47b,"",Forward,100017354557,100017354557,11504,680.95,5.0,990.0,0.0,990.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,809.0
NFT-/XUTR/DEUTH02611124498X,75.14,0.0,0.0,3499.0,1578.0,391.028,7.514,0.0,0.0,prepaid,1.503,0.0,0.0,45.0,0.0,53.1,1124.855,"",'132727218652826266403,2026-04-21,11077950618,6b935a96-9f1c-468f-839b-eec07623fa20,"",Forward,100023221733,1000006791207,11504,1502.86,5.0,1750.0,0.0,1750.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1749.0
NFT-/XUTR/DEUTH02611124498X,8.45,0.0,0.0,499.0,290.0,44.486,1.408,0.0,0.0,prepaid,0.282,0.0,0.0,27.0,0.0,31.86,211.964,"",'132700466403466996501,2026-04-21,11071599300,8ed4c4e1-c901-453e-b0aa-427449a95c0c,"",Forward,100016870452,100016870452,11504,281.55,3.0,150.0,0.0,150.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,349.0
NFT-/XUTR/DEUTH02611124498X,56.1,0.0,0.0,2999.0,1178.0,291.908,5.61,0.0,0.0,prepaid,1.122,112.0,0.0,0.0,0.0,132.16,-1011.52,"",'132720373822277282901,2026-04-21,11076412711,d61f398c-d4b1-471a-a82a-5debdeacb74e,100149316411,Reverse,100021683842,100021683842,11504,1121.9,5.0,1650.0,0.0,1650.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1349.0
NFT-/XUTR/DEUTH02611124498X,75.14,0.0,0.0,3499.0,1578.0,391.028,7.514,0.0,0.0,prepaid,1.503,0.0,0.0,45.0,0.0,53.1,1124.855,"",'132700366342499644103,2026-04-21,11071571021,d5d23c1c-2e9c-45bd-916a-77c7869948e8,"",Forward,100016842175,100016842175,11504,1502.86,5.0,1750.0,0.0,1750.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1749.0
NFT-/XUTR/DEUTH02611124498X,51.81,0.0,0.0,1799.0,1088.0,256.768,5.181,0.0,0.0,prepaid,1.036,91.0,0.0,0.0,0.0,107.38,-932.395,"",'132727361857223212901,2026-04-21,11077995548,b0b3aa60-d462-456d-8d68-88fab145571a,100150269481,Reverse,100023266663,1000006346750,11504,1036.19,5.0,540.0,0.0,540.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1259.0
NFT-/XUTR/DEUTH02611124498X,0.0,19.17,19.17,1799.0,805.0,208.978,0.0,1.9165,1.9165,prepaid,0.767,0.0,0.0,27.0,0.0,31.86,559.562,"",'132728758096572433303,2026-04-21,11078483535,018e5986-0535-41e0-b5f2-fb0007089143,"",Forward,100023754650,1000006449481,11504,766.66,5.0,900.0,0.0,900.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,898.9899999999999
NFT-/XUTR/DEUTH02611124498X,18.0,0.0,0.0,1750.0,378.0,17.842,1.8,0.0,0.0,prepaid,0.36,91.0,0.0,0.0,0.0,107.38,-465.378,"",'132729184174506914503,2026-04-21,11078655841,14000b95-38e3-415d-9e1d-6ea1bd24020c,100148946406,Reverse,100023926956,100023926956,11504,360,5.0,1313.0,0.0,1313.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,437.0
NFT-/XUTR/DEUTH02611124498X,35.76,0.0,0.0,1799.0,751.0,194.96,3.576,0.0,0.0,prepaid,0.715,167.0,0.0,0.0,0.0,197.06,-748.809,"",'132704059132907004601,2026-04-21,11072630957,1ca248ad-1e8b-427e-bf35-cb01fd9dd3d8,11072630957,Reverse,100017902105,1000004648172,11504,715.24,5.0,954.0,0.0,954.0,exchange,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,845.0
