NEFT_Ref,igst_amount,cgst_amount,sgst_amount,MRP,customer_paid_amt,Commission,IGST_TCS,CGST_TCS,SGST_TCS,Payment_Type,TDS,Shipping_Fee,pick_and_pack_fee,fixed_fee,Payment_Gateway_Fee,Logistics_Commission,Settled_Amount,NOD_Comment,Store_Order_id,Payment_Date,order_line_id,seller_order_id,return_id,Order_Type,order_release_id,Packet_Id,Seller_Id,taxable_amount,Tax_Rate,seller_discount,platform_discount,total_discount,comments,fwdAdditionalCharges,rvsAdditionalCharges,techEnablement,airLogistics,royaltyCharges,royaltyPercent,marketingCharges,marketingPercent,marketingContribution,commission_discount,sale_Total_Customer_Paid
NFT-/XUTR/DEUTH026131A11U1X,33.52,0.0,0.0,1699.0,704.0,182.758,3.352,0.0,0.0,prepaid,0.67,0.0,0.0,27.0,0.0,31.86,485.36,"",'132855658896588436103,2026-05-11,11106286144,ce989145-de95-4c34-add8-37164e324263,"",Forward,100051557125,100051557125,11504,670.48,5.0,901.0,0.0,901.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,798.0
NFT-/XUTR/DEUTH026131A11U1X,70.38,0.0,0.0,3299.0,1478.0,366.248,7.038,0.0,0.0,prepaid,1.408,0.0,0.0,45.0,0.0,53.1,1050.206,"",'132857718598322797801,2026-05-11,11106719454,25e8a62f-2100-45ee-b36b-411b91257469,"",Forward,100051990434,1000015288216,11504,1407.62,5.0,1650.0,0.0,1650.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1649.0
NFT-/XUTR/DEUTH026131A11U1X,33.52,0.0,0.0,1699.0,704.0,182.758,3.352,0.0,0.0,prepaid,0.67,0.0,0.0,27.0,0.0,31.86,485.36,"",'132855810729465521501,2026-05-11,11106319390,eb7089e6-7ac6-42b2-995e-e8b6d4cf5c01,"",Forward,100051590371,100051590371,11504,670.48,5.0,901.0,0.0,901.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,798.01
NFT-/XUTR/DEUTH026131A11U1X,70.38,0.0,0.0,3299.0,1478.0,366.248,7.038,0.0,0.0,prepaid,1.408,0.0,0.0,45.0,0.0,53.1,1050.206,"",'132856112864179694403,2026-05-11,11106384499,8c50a312-bf81-4206-9371-4bc759ed3887,"",Forward,100051655480,1000015292148,11504,1407.62,5.0,1650.0,0.0,1650.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1649.0
NFT-/XUTR/DEUTH026131A11U1X,60.86,0.0,0.0,2899.0,1278.0,316.688,6.086,0.0,0.0,prepaid,1.217,0.0,0.0,45.0,0.0,53.1,900.909,"",'132858968276632624603,2026-05-11,11107044041,60ce78fa-4734-4336-9cdb-f38cfd444ed6,"",Forward,100052315021,1000015289222,11504,1217.14,5.0,1450.0,0.0,1450.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1449.0
NFT-/XUTR/DEUTH026131A11U1X,48.95,0.0,0.0,2399.0,1028.0,242.608,4.895,0.0,0.0,prepaid,0.979,182.0,0.0,0.0,0.0,214.76,-994.278,"",'132856620497189187103,2026-05-11,11106489607,e9898049-03f3-44c2-bca2-64988fae6c32,100154958896,Reverse,100051760587,100051760587,11504,979.05,5.0,1200.0,0.0,1200.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1199.0
NFT-/XUTR/DEUTH026131A11U1X,38.33,0.0,0.0,2999.0,805.0,208.978,3.833,0.0,0.0,prepaid,0.767,106.0,0.0,0.0,0.0,125.08,-716.502,"",'132898111272324527401,2026-05-11,11113704489,9263eec2-3ea6-48ac-8915-826556dfecae,11113704489,Reverse,100058975396,100058975396,11504,766.67,5.0,2100.0,0.0,2100.0,exchange,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,899.0
NFT-/XUTR/DEUTH026131A11U1X,0.0,28.48,28.48,3199.0,1196.0,296.369,0.0,2.8475,2.8475,prepaid,1.139,106.0,0.0,0.0,0.0,125.08,-1017.877,"",'132891891750072443403,2026-05-11,11112656152,93132c4b-a4c8-4f0a-9c52-4c4403b03d9d,11112656152,Reverse,100057927077,100057927077,11504,1139.04,5.0,1832.0,0.0,1832.0,exchange,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1367.0
NFT-/XUTR/DEUTH026131A11U1X,59.67,0.0,0.0,2999.0,1253.0,310.493,5.967,0.0,0.0,prepaid,1.193,182.0,0.0,0.0,0.0,214.76,-1150.107,"",'132850427166873692101,2026-05-11,11105613619,bd1029e5-ce91-456e-8dd2-141804518c02,11105613619,Reverse,100050884604,100050884604,11504,1193.33,5.0,1575.0,0.0,1575.0,exchange,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1424.0
NFT-/XUTR/DEUTH026131A11U1X,68.0,0.0,0.0,3199.0,1428.0,353.858,6.8,0.0,0.0,prepaid,1.36,0.0,0.0,45.0,0.0,53.1,1012.882,"",'132858968276632624603,2026-05-11,11107044039,60ce78fa-4734-4336-9cdb-f38cfd444ed6,"",Forward,100052315019,1000015289222,11504,1360,5.0,1600.0,0.0,1600.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1599.0
NFT-/XUTR/DEUTH026131A11U1X,47.76,0.0,0.0,2499.0,1003.0,236.708,4.776,0.0,0.0,prepaid,0.955,182.0,0.0,0.0,0.0,214.76,-975.321,"",'132856066608101971601,2026-05-11,11106374852,02806341-ebb8-47db-aeb8-71596ab09937,100155742691,Reverse,100051645833,100051645833,11504,955.24,5.0,1325.0,0.0,1325.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1174.0
NFT-/XUTR/DEUTH026131A11U1X,70.38,0.0,0.0,3299.0,1478.0,366.248,7.038,0.0,0.0,prepaid,1.408,182.0,0.0,0.0,0.0,214.76,-1318.066,"",'132856112864179694403,2026-05-11,11106384499,8c50a312-bf81-4206-9371-4bc759ed3887,100155617376,Reverse,100051655480,1000015292148,11504,1407.62,5.0,1650.0,0.0,1650.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1649.0
NFT-/XUTR/DEUTH026131A11U1X,56.71,0.0,0.0,2899.0,1191.0,295.13,5.671,0.0,0.0,prepaid,1.134,0.0,0.0,45.0,0.0,53.1,835.965,"",'132895889145437991101,2026-05-11,11113246196,3c7c6f84-36e7-4ae8-b3a9-74361d0293dc,"",Forward,100058517121,100058517121,11504,1134.29,5.0,1537.0,0.0,1537.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1362.0
NFT-/XUTR/DEUTH026131A11U1X,48.33,0.0,0.0,2499.0,1015.0,251.517,4.833,0.0,0.0,prepaid,0.967,0.0,0.0,45.0,0.0,53.1,704.583,"",'132855651560674875701,2026-05-11,11106284511,ac8a5bde-6c69-4eca-b994-e92b90f94aed,"",Forward,100051555492,100051555492,11504,966.67,5.0,1313.0,0.0,1313.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1186.0
NFT-/XUTR/DEUTH026131A11U1X,31.19,0.0,0.0,1499.0,655.0,170.038,3.119,0.0,0.0,prepaid,0.624,0.0,0.0,27.0,0.0,31.86,449.359,"",'132857550163743709903,2026-05-11,11106682220,f44d87cc-6030-46dd-aa0b-b77741a14399,"",Forward,100051953200,100051953200,11504,623.81,5.0,750.0,0.0,750.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,749.0
NFT-/XUTR/DEUTH026131A11U1X,70.14,0.0,0.0,3499.0,1473.0,365.009,7.014,0.0,0.0,prepaid,1.403,0.0,0.0,45.0,0.0,53.1,1046.474,"",'132860085736803745601,2026-05-11,11107151871,421d492b-3a73-4d43-adff-8878f2d4bdce,"",Forward,100052422851,100052422851,11504,1402.86,5.0,1855.0,0.0,1855.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1644.0
