NEFT_Ref,igst_amount,cgst_amount,sgst_amount,MRP,customer_paid_amt,Commission,IGST_TCS,CGST_TCS,SGST_TCS,Payment_Type,TDS,Shipping_Fee,pick_and_pack_fee,fixed_fee,Payment_Gateway_Fee,Logistics_Commission,Settled_Amount,NOD_Comment,Store_Order_id,Payment_Date,order_line_id,seller_order_id,return_id,Order_Type,order_release_id,Packet_Id,Seller_Id,taxable_amount,Tax_Rate,seller_discount,platform_discount,total_discount,comments,fwdAdditionalCharges,rvsAdditionalCharges,techEnablement,airLogistics,royaltyCharges,royaltyPercent,marketingCharges,marketingPercent,marketingContribution,commission_discount,sale_Total_Customer_Paid
NFT-/XUTR/DEUTH02617421992X,63.24,0.0,0.0,2999.0,1328.0,329.078,6.324,0.0,0.0,prepaid,1.265,0.0,0.0,49.0,0.0,57.82,933.513,"",'133269108537994509903,2026-06-23,11212927211,ef0ed0df-340b-43d9-b623-9856916b1f84,"",Forward,100158197890,100158197890,11504,1264.76,5.0,1500.0,0.0,1500.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1499.0
NFT-/XUTR/DEUTH02617421992X,48.33,0.0,0.0,2499.0,1015.0,251.517,4.833,0.0,0.0,prepaid,0.967,0.0,0.0,49.0,0.0,57.82,699.863,"",'133225377973809163803,2026-06-23,11199036575,f190c25e-0804-44cf-88bc-e6933041838b,"",Forward,100144307260,100144307260,11504,966.67,5.0,1313.0,0.0,1313.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1186.0
NFT-/XUTR/DEUTH02617421992X,117.76,0.0,0.0,7999.0,2473.0,445.14,11.776,0.0,0.0,prepaid,2.355,106.0,0.0,0.0,0.0,125.08,-2138.809,"",'133271978854566478103,2026-06-23,11214365891,d84f71cc-96ce-42cd-a8f6-0e6c7d3d8502,100171296995,Reverse,100159636570,100159636570,11504,2355.24,5.0,5320.0,0.0,5320.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,2679.0
NFT-/XUTR/DEUTH02617421992X,487.07,0.0,0.0,3399.0,3193.0,753.548,13.53,0.0,0.0,prepaid,2.706,0.0,0.0,65.0,0.0,76.7,2346.516,"",'133243463997660444903,2026-06-23,11204864479,745fdebb-4ff3-4a13-ae5c-82e21eef9129,"",Forward,100150135162,100150135162,11504,2705.93,18.0,0.0,0.0,0.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,3399.0
NFT-/XUTR/DEUTH02617421992X,100.14,0.0,0.0,3299.0,2103.0,496.308,10.014,0.0,0.0,prepaid,2.003,182.0,0.0,0.0,0.0,214.76,-1809.435,"",'133252153498275772001,2026-06-23,11207487111,cbf7c954-98b9-4b4f-ae71-ab0e432d00a6,100174849932,Reverse,100152757794,1000042388100,11504,2002.86,5.0,990.0,0.0,990.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,2309.0
NFT-/XUTR/DEUTH02617421992X,70.38,0.0,0.0,3299.0,1478.0,366.248,7.038,0.0,0.0,prepaid,1.408,182.0,0.0,0.0,0.0,214.76,-1318.066,"",'133244833899748643703,2026-06-23,11205390933,c3dc1ce6-d348-44de-953b-6b04d68462ec,100171502784,Reverse,100150661616,100150661616,11504,1407.62,5.0,1650.0,0.0,1650.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1649.0
NFT-/XUTR/DEUTH02617421992X,106.81,0.0,0.0,3499.0,2243.0,529.348,10.681,0.0,0.0,prepaid,2.136,0.0,0.0,65.0,0.0,76.7,1624.135,"",'133252153498275772001,2026-06-23,11207487114,cbf7c954-98b9-4b4f-ae71-ab0e432d00a6,"",Forward,100152757797,1000042388100,11504,2136.19,5.0,1050.0,0.0,1050.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,2449.0
NFT-/XUTR/DEUTH02617421992X,32.19,0.0,0.0,1899.0,676.0,175.49,3.219,0.0,0.0,prepaid,0.644,0.0,0.0,31.0,0.0,36.58,460.067,"",'133252174598868816503,2026-06-23,11207495579,c06d772c-cf0c-466c-b702-5b9eba3bb76c,"",Forward,100152766262,100152766262,11504,643.81,5.0,1129.0,0.0,1129.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,770.0
NFT-/XUTR/DEUTH02617421992X,66.81,0.0,0.0,3499.0,1403.0,347.663,6.681,0.0,0.0,prepaid,1.336,0.0,0.0,49.0,0.0,57.82,989.5,"",'133255625646133303201,2026-06-23,11208786576,af918796-6b91-4951-8865-805bf730897c,"",Forward,100154057259,1000043035561,11504,1336.19,5.0,1925.0,0.0,1925.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1574.0
NFT-/XUTR/DEUTH02617421992X,56.1,0.0,0.0,2999.0,1178.0,291.908,5.61,0.0,0.0,prepaid,1.122,0.0,0.0,49.0,0.0,57.82,821.54,"",'133268972694687930003,2026-06-23,11212861968,a05ed7ad-d9f5-4c33-a053-e27c76241cd5,"",Forward,100158132647,100158132647,11504,1121.9,5.0,1650.0,0.0,1650.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1349.0
