NEFT_Ref,igst_amount,cgst_amount,sgst_amount,MRP,customer_paid_amt,Commission,IGST_TCS,CGST_TCS,SGST_TCS,Payment_Type,TDS,Shipping_Fee,pick_and_pack_fee,fixed_fee,Payment_Gateway_Fee,Logistics_Commission,Settled_Amount,NOD_Comment,Store_Order_id,Payment_Date,order_line_id,seller_order_id,return_id,Order_Type,order_release_id,Packet_Id,Seller_Id,taxable_amount,Tax_Rate,seller_discount,platform_discount,total_discount,comments,fwdAdditionalCharges,rvsAdditionalCharges,techEnablement,airLogistics,royaltyCharges,royaltyPercent,marketingCharges,marketingPercent,marketingContribution,commission_discount,sale_Total_Customer_Paid
NFT-/XUTR/DEUTH02609729496X,20.05,0.0,0.0,1650.0,8.81,0.416,0.042,0.0,0.0,prepaid,0.008,0.0,0.0,0.314,0.0,0.37052,7.973,"",'132586794645825964603,2026-04-07,11050948903,76847e95-a5e6-412f-8ab1-568692f82604,"",Forward,9050669725,9050669725,11504,400.95,5.0,1135.0,0.0,1135.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,514.99
NFT-/XUTR/DEUTH02609729496X,56.1,0.0,0.0,2999.0,1178.0,291.908,5.61,0.0,0.0,prepaid,1.122,0.0,0.0,45.0,0.0,53.1,826.26,"",'132582878514590028601,2026-04-07,11050582003,085c7a88-4c94-4511-80ba-1fcabae41a19,"",Forward,9050302829,9050302829,11504,1121.9,5.0,1650.0,0.0,1650.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1349.0
NFT-/XUTR/DEUTH02609729496X,34.1,0.0,0.0,2799.0,716.0,33.795,3.41,0.0,0.0,prepaid,0.682,0.0,0.0,27.0,0.0,31.86,646.253,"",'132582967178572490901,2026-04-07,11050589886,bda5a981-8b5c-4dfc-bcb5-88bac16134f4,"",Forward,9050310712,9050310712,11504,681.9,5.0,1989.0,0.0,1989.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,810.0
NFT-/XUTR/DEUTH02609729496X,38.33,0.0,0.0,1799.0,805.0,208.978,3.833,0.0,0.0,prepaid,0.767,167.0,0.0,0.0,0.0,197.06,-788.482,"",'132581048417999418601,2026-04-07,11050176403,5bb80ac7-e8cd-4806-9823-33b76e71f9b5,100144144393,Reverse,9049897229,9873423362,11504,766.67,5.0,900.0,0.0,900.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,899.0
NFT-/XUTR/DEUTH02609729496X,38.33,0.0,0.0,1799.0,805.0,208.978,3.833,0.0,0.0,prepaid,0.767,112.0,0.0,0.0,0.0,132.16,-723.582,"",'132599895714769424503,2026-04-07,11053337867,3a7e0319-28ce-4dde-ae89-26c145f9e7f4,100145408080,Reverse,9053058627,9874461719,11504,766.67,5.0,900.0,0.0,900.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,899.0
NFT-/XUTR/DEUTH02609729496X,0.0,10.14,10.14,1599.0,426.0,20.107,0.0,1.0145,1.0145,prepaid,0.406,0.0,0.0,15.0,0.0,17.7,385.758,"",'132607483552176821103,2026-04-07,11054696472,0ad8c070-90e3-41cc-abbd-a09a5352de9a,"",Forward,9054417171,9874673405,11504,405.72,5.0,1079.0,0.0,1079.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,520.0
NFT-/XUTR/DEUTH02609729496X,63.24,0.0,0.0,2999.0,1328.0,329.078,6.324,0.0,0.0,prepaid,1.265,0.0,0.0,45.0,0.0,53.1,938.233,"",'132579405126041529801,2026-04-07,11049818167,b7ab1f70-e990-4b52-9d67-fd2117f21de4,"",Forward,9049538994,9049538994,11504,1264.76,5.0,1500.0,0.0,1500.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1499.0
NFT-/XUTR/DEUTH02609729496X,38.1,0.0,0.0,2999.0,800.0,207.68,3.81,0.0,0.0,prepaid,0.762,167.0,0.0,0.0,0.0,197.06,-784.808,"",'132577668645243140603,2026-04-07,11049418725,77f4295e-f84b-48c0-b1bf-b8ad09e89b64,100144401364,Reverse,9049139552,9049139552,11504,761.9,5.0,2105.0,0.0,2105.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,894.0
NFT-/XUTR/DEUTH02609729496X,471.36,0.0,0.0,7999.0,3090.0,729.24,13.093,0.0,0.0,prepaid,2.619,0.0,0.0,61.0,0.0,71.98,2273.068,"",'132607315964541868501,2026-04-07,11054648797,dc000ccf-cc84-4176-b9de-ffb0812e1204,"",Forward,9054369496,9054369496,11504,2618.64,18.0,4703.0,0.0,4703.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,3296.0
NFT-/XUTR/DEUTH02609729496X,64.38,0.0,0.0,2999.0,1352.0,335.026,6.438,0.0,0.0,prepaid,1.288,167.0,0.0,0.0,0.0,197.06,-1206.308,"",'132582802540944681603,2026-04-07,11050574010,573d2b53-d37d-405b-b246-5166c95dd8c0,11050574010,Reverse,9050294836,9050294836,11504,1287.62,5.0,1476.0,0.0,1476.0,exchange,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1523.0
NFT-/XUTR/DEUTH02609729496X,25.95,0.0,0.0,1599.0,545.0,38.586,2.595,0.0,0.0,prepaid,0.519,167.0,0.0,0.0,0.0,197.06,-700.36,"",'132586569991385658803,2026-04-07,11050899572,f236ebf5-0b85-4fe5-b725-6a071c45b44c,100145576594,Reverse,9050620394,9873675245,11504,519.05,5.0,960.0,0.0,960.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,639.0
NFT-/XUTR/DEUTH02609729496X,22.62,0.0,0.0,1599.0,475.0,22.42,2.262,0.0,0.0,prepaid,0.452,0.0,0.0,19.0,0.0,22.42,427.446,"",'132585636264077318303,2026-04-07,11050736299,c8e3ad0d-f85b-4c78-b033-8618819aa265,"",Forward,9050457123,9050457123,11504,452.38,5.0,1030.0,0.0,1030.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,569.0
NFT-/XUTR/DEUTH02609729496X,20.05,0.0,0.0,1599.0,420.99999999999994,19.871,2.005,0.0,0.0,prepaid,0.401,167.0,0.0,0.0,0.0,197.06,-595.783,"",'132579423793292150201,2026-04-07,11049822735,385b8894-3c50-44bb-997e-9cb601bf3555,100144048691,Reverse,9049543562,9873363058,11504,400.95,5.0,1084.0,0.0,1084.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,515.0
NFT-/XUTR/DEUTH02609729496X,63.24,0.0,0.0,2999.0,1328.0,329.078,6.324,0.0,0.0,prepaid,1.265,0.0,0.0,45.0,0.0,53.1,938.233,"",'132579504377312472403,2026-04-07,11049841781,a3a9012f-30e2-42da-8759-3fdc7fe29ac6,"",Forward,9049562608,9049562608,11504,1264.76,5.0,1500.0,0.0,1500.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1499.0
NFT-/XUTR/DEUTH02609729496X,76.52,0.0,0.0,3499.0,1607.0,398.215,7.652,0.0,0.0,prepaid,1.53,167.0,0.0,0.0,0.0,197.06,-1396.663,"",'132588327662855350701,2026-04-07,11051273353,5f484f24-61d6-4283-9b8a-b824fd177830,100145287163,Reverse,9050994171,9874046634,11504,1530.48,5.0,1721.0,0.0,1721.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1778.0
NFT-/XUTR/DEUTH02609729496X,56.1,0.0,0.0,2699.0,18.26,4.525,0.087,0.0,0.0,prepaid,0.017,0.0,0.0,0.698,0.0,0.82364,12.807,"",'132603915467013375801,2026-04-07,11053746345,54347032-cb68-4e0d-9329-abe877ce4743,"",Forward,9053467070,9053467070,11504,1121.9,5.0,1350.0,0.0,1350.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1349.0
NFT-/XUTR/DEUTH02609729496X,23.0,0.0,0.0,1650.0,483.0,22.798,2.3,0.0,0.0,prepaid,0.46,91.0,0.0,0.0,0.0,107.38,-564.822,"",'132608238762602949401,2026-04-07,11054924713,fede7a2d-47de-4319-9fa1-9e47d9053b77,11054924713,Reverse,9054645410,9054645410,11504,460,5.0,1073.0,0.0,1073.0,exchange,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,577.0
NFT-/XUTR/DEUTH02609729496X,38.33,0.0,0.0,1799.0,805.0,208.978,3.833,0.0,0.0,prepaid,0.767,0.0,0.0,27.0,0.0,31.86,559.562,"",'132571096295106881001,2026-04-07,11048475146,b287c78c-47f5-429b-8c3d-79fda5fdd906,"",Forward,9048195976,9048195976,11504,766.67,5.0,900.0,0.0,900.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,899.0
NFT-/XUTR/DEUTH02609729496X,64.38,0.0,0.0,2999.0,760.24,188.388,3.62,0.0,0.0,prepaid,0.724,93.905,0.0,0.0,0.0,110.8079,-678.316,"",'132586818743707187201,2026-04-07,11050954162,2818e8f4-8c58-4bca-8550-88956e146dae,100144158117,Reverse,9050674984,9050674984,11504,1287.62,5.0,1476.0,0.0,1476.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1523.0
NFT-/XUTR/DEUTH02609729496X,43.24,0.0,0.0,2399.0,908.0,235.717,4.324,0.0,0.0,prepaid,0.865,0.0,0.0,27.0,0.0,31.86,635.234,"",'132586582086243905001,2026-04-07,11050902007,0b7f406a-7ac7-4f57-b57b-b1d1036d5546,"",Forward,9050622829,9873680319,11504,864.76,5.0,1320.0,0.0,1320.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1079.0
NFT-/XUTR/DEUTH02609729496X,70.14,0.0,0.0,3499.0,1473.0,365.009,7.014,0.0,0.0,prepaid,1.403,0.0,0.0,45.0,0.0,53.1,1046.474,"",'132605814056737470603,2026-04-07,11054255359,71c12267-77a1-44d0-b413-820eef5344da,"",Forward,9053976067,9053976067,11504,1402.86,5.0,1855.0,0.0,1855.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1644.0
NFT-/XUTR/DEUTH02609729496X,21.71,0.0,0.0,1999.0,12.21,0.576,0.058,0.0,0.0,prepaid,0.012,4.472,0.0,0.0,0.0,5.27696,-16.841,"",'132593434402364506203,2026-04-07,11051969730,fb387e73-06de-486e-83c2-425e06aa4493,11051969730,Reverse,9051690543,9874064599,11504,434.29,5.0,1449.0,0.0,1449.0,exchange,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,550.01
NFT-/XUTR/DEUTH02609729496X,32.0,0.0,0.0,3499.0,672.0,31.717999999999996,3.2,0.0,0.0,prepaid,0.64,0.0,0.0,27.0,0.0,31.86,604.582,"",'132581845981800278001,2026-04-07,11050370402,fa7e55b6-5a6b-48c9-80bc-b95ad73e6772,"",Forward,9050091228,9050091228,11504,640,5.0,2733.0,0.0,2733.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,766.0
NFT-/XUTR/DEUTH02609729496X,87.05,0.0,0.0,1999.0,1828.0,431.408,8.705,0.0,0.0,prepaid,1.741,167.0,0.0,0.0,0.0,197.06,-1583.206,"",'132581235787104605803,2026-04-07,11050219088,b452dffd-9e84-41fa-b1f4-73f71a0a2d9f,100144319810,Reverse,9049939914,9873438172,11504,1740.95,5.0,0.0,0.0,0.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1999.0
