NEFT_Ref,igst_amount,cgst_amount,sgst_amount,MRP,customer_paid_amt,Commission,IGST_TCS,CGST_TCS,SGST_TCS,Payment_Type,TDS,Shipping_Fee,pick_and_pack_fee,fixed_fee,Payment_Gateway_Fee,Logistics_Commission,Settled_Amount,NOD_Comment,Store_Order_id,Payment_Date,order_line_id,seller_order_id,return_id,Order_Type,order_release_id,Packet_Id,Seller_Id,taxable_amount,Tax_Rate,seller_discount,platform_discount,total_discount,comments,fwdAdditionalCharges,rvsAdditionalCharges,techEnablement,airLogistics,royaltyCharges,royaltyPercent,marketingCharges,marketingPercent,marketingContribution,commission_discount,sale_Total_Customer_Paid
NFT-/XUTR/DEUTH026105A07HCX,38.33,0.0,0.0,1799.0,805.0,208.978,3.833,0.0,0.0,prepaid,0.767,167.0,0.0,0.0,0.0,197.06,-788.482,"",'132641772574676672103,2026-04-15,11060289060,e6d7c41a-e3b7-47d8-aae5-f164e4f16cba,11060289060,Reverse,100005560550,100005560550,11504,766.67,5.0,900.0,0.0,900.0,exchange,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,898.99
NFT-/XUTR/DEUTH026105A07HCX,56.1,0.0,0.0,2999.0,1178.0,291.908,5.61,0.0,0.0,prepaid,1.122,167.0,0.0,0.0,0.0,197.06,-1076.42,"",'132651058434513542403,2026-04-15,11061905849,cbdb4f50-5294-49b4-9d70-faf7970f1bc2,100146832541,Reverse,100007177320,100007177320,11504,1121.9,5.0,1650.0,0.0,1650.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1349.0
NFT-/XUTR/DEUTH026105A07HCX,51.33,0.0,0.0,2499.0,1078.0,267.128,5.133,0.0,0.0,prepaid,1.027,0.0,0.0,45.0,0.0,53.1,751.612,"",'132647895267699354201,2026-04-15,11061183269,df1feb28-c775-4189-9c2a-b25117893054,"",Forward,100006454743,100006454743,11504,1026.67,5.0,1250.0,0.0,1250.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1249.0
NFT-/XUTR/DEUTH026105A07HCX,63.24,0.0,0.0,2999.0,1328.0,329.078,6.324,0.0,0.0,prepaid,1.265,0.0,0.0,45.0,0.0,53.1,938.233,"",'132633621863743087101,2026-04-15,11059009035,76edb8d3-c6a4-4f40-8fe6-abea3bb8c735,"",Forward,100004280563,100004280563,11504,1264.76,5.0,1500.0,0.0,1500.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1499.0
NFT-/XUTR/DEUTH026105A07HCX,16.62,0.0,0.0,1899.0,349.0,16.473,1.662,0.0,0.0,prepaid,0.332,0.0,0.0,0.0,0.0,0.0,330.533,"",'132650156250575981801,2026-04-15,11061686907,755e1da2-c005-43ef-901d-617edd5d238d,"",Forward,100006958378,100006958378,11504,332.38,5.0,1456.0,0.0,1456.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,443.0
NFT-/XUTR/DEUTH026105A07HCX,37.19,0.0,0.0,1750.0,781.0,202.748,3.719,0.0,0.0,prepaid,0.744,0.0,0.0,27.0,0.0,31.86,541.929,"",'132656049038343410503,2026-04-15,11062558812,7fb5d68d-4862-4762-903e-b9c20d8a2afb,"",Forward,100007830249,100007830249,11504,743.81,5.0,875.0,0.0,875.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,874.98
NFT-/XUTR/DEUTH026105A07HCX,32.91,0.0,0.0,1699.0,630.84,163.766,3.004,0.0,0.0,prepaid,0.601,102.249,0.0,0.0,0.0,120.65382,-584.123,"",'132671566590820154001,2026-04-15,11065457974,c06234ab-b644-44a4-99d8-718ab7d7b047,100146625526,Reverse,100010729234,100010729234,11504,658.1,5.0,914.0,0.0,914.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,785.01
NFT-/XUTR/DEUTH026105A07HCX,64.67,0.0,0.0,1799.0,1358.0,320.488,6.467,0.0,0.0,prepaid,1.293,0.0,0.0,45.0,0.0,53.1,976.652,"",'132654524760037848803,2026-04-15,11062232854,71748cdc-5965-4612-8fd4-ce712a666e77,"",Forward,100007504325,100007504325,11504,1293.33,5.0,270.0,0.0,270.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1529.0
NFT-/XUTR/DEUTH026105A07HCX,35.19,0.0,0.0,1999.0,739.0,34.881,3.519,0.0,0.0,prepaid,0.704,167.0,0.0,0.0,0.0,197.06,-896.956,"",'132624510437530056901,2026-04-15,11057486078,459ecdca-7506-442d-896c-1405a4621c11,100146310654,Reverse,100002757621,1000000474125,11504,703.81,5.0,1166.0,0.0,1166.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,833.0
NFT-/XUTR/DEUTH026105A07HCX,58.48,0.0,0.0,2799.0,243.54,60.349,1.16,0.0,0.0,prepaid,0.232,0.0,0.0,8.924,0.0,10.53032,171.269,"",'132674212233349398601,2026-04-15,11065995820,6cd7d891-d016-4e21-b69e-8d29a98e073a,"",Forward,100011267048,100011267048,11504,1169.52,5.0,1400.0,0.0,1400.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1399.0
NFT-/XUTR/DEUTH026105A07HCX,63.24,0.0,0.0,2999.0,1328.0,329.078,6.324,0.0,0.0,prepaid,1.265,0.0,0.0,45.0,0.0,53.1,938.233,"",'132647149929710644701,2026-04-15,11061003490,5a4c1161-54e8-4dcd-949f-edb7512e1676,"",Forward,100006274967,100006274967,11504,1264.76,5.0,1500.0,0.0,1500.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1499.0
NFT-/XUTR/DEUTH026105A07HCX,0.0,28.05,28.05,2999.0,1178.0,291.908,0.0,2.805,2.805,prepaid,1.122,0.0,0.0,45.0,0.0,53.1,826.26,"",'132665709899513505401,2026-04-15,11064422924,7996bab6-7650-4441-88ee-23e1059c3c60,"",Forward,100009694234,100009694234,11504,1121.9,5.0,1650.0,0.0,1650.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1349.0
NFT-/XUTR/DEUTH026105A07HCX,33.1,0.0,0.0,3450.0,695.0,32.804,3.31,0.0,0.0,prepaid,0.662,0.0,0.0,27.0,0.0,31.86,626.364,"",'132634096089540618003,2026-04-15,11059133115,7eef852f-a125-4b84-821c-c3f8ce16c6a5,"",Forward,100004404643,1000000873912,11504,661.9,5.0,2661.0,0.0,2661.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,789.0
NFT-/XUTR/DEUTH026105A07HCX,51.1,0.0,0.0,1750.0,1073.0,253.228,5.11,0.0,0.0,prepaid,1.022,0.0,0.0,45.0,0.0,53.1,760.54,"",'132653536138346985101,2026-04-15,11062167181,36881906-b07d-44b4-94e3-631c965dbb35,"",Forward,100007438652,1000001723335,11504,1021.9,5.0,506.0,0.0,506.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1244.0
