NEFT_Ref,igst_amount,cgst_amount,sgst_amount,MRP,customer_paid_amt,Commission,IGST_TCS,CGST_TCS,SGST_TCS,Payment_Type,TDS,Shipping_Fee,pick_and_pack_fee,fixed_fee,Payment_Gateway_Fee,Logistics_Commission,Settled_Amount,NOD_Comment,Store_Order_id,Payment_Date,order_line_id,seller_order_id,return_id,Order_Type,order_release_id,Packet_Id,Seller_Id,taxable_amount,Tax_Rate,seller_discount,platform_discount,total_discount,comments,fwdAdditionalCharges,rvsAdditionalCharges,techEnablement,airLogistics,royaltyCharges,royaltyPercent,marketingCharges,marketingPercent,marketingContribution,commission_discount,sale_Total_Customer_Paid
NFT-/XUTR/DEUTH02611828489X,68.0,0.0,0.0,3199.0,1428.0,353.858,6.8,0.0,0.0,prepaid,1.36,0.0,0.0,45.0,0.0,53.1,1012.882,"",'132766598081605326003,2026-04-28,11086735642,ba53130b-0b5a-4001-a0f0-d22f9b8d6258,"",Forward,100032006696,1000009185153,11504,1360,5.0,1600.0,0.0,1600.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1599.0
NFT-/XUTR/DEUTH02611828489X,18.95,0.0,0.0,1699.0,397.99999999999994,18.786,1.895,0.0,0.0,prepaid,0.379,167.0,0.0,0.0,0.0,197.06,-574.0,"",'132755051942362527703,2026-04-28,11084462719,9fc7ec36-04fa-4691-930b-b22a813e39ea,100151438301,Reverse,100029733776,1000008280242,11504,379.05,5.0,1207.0,0.0,1207.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,492.0
NFT-/XUTR/DEUTH02611828489X,42.62,0.0,0.0,2999.0,895.0,232.342,4.262,0.0,0.0,prepaid,0.852,167.0,0.0,0.0,0.0,197.06,-854.604,"",'132763704732302394301,2026-04-28,11086429605,606027b2-e0ed-4606-818e-af4443e19da2,100152738247,Reverse,100031700659,100031700659,11504,852.38,5.0,2010.0,0.0,2010.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,989.0
NFT-/XUTR/DEUTH02611828489X,42.91,0.0,0.0,2899.0,901.0,233.9,4.29,0.0,0.0,prepaid,0.858,91.0,0.0,0.0,0.0,107.38,-769.332,"",'132789676404118905001,2026-04-28,11092447293,3fe7ac8f-2cb8-47aa-a9b3-0695ffedc288,100152348527,Reverse,100037718338,1000011000683,11504,858.1,5.0,1827.0,0.0,1827.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1072.01
NFT-/XUTR/DEUTH02611828489X,21.91,0.0,0.0,1499.0,460.0,21.712,2.19,0.0,0.0,prepaid,0.438,0.0,0.0,27.0,0.0,31.86,403.8,"",'132787280862675735603,2026-04-28,11091580746,a3b1c71e-eaad-489b-8c8f-36c7486d0dc0,"",Forward,100036851791,100036851791,11504,438.1,5.0,945.0,0.0,945.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,554.0
NFT-/XUTR/DEUTH02611828489X,70.38,0.0,0.0,3299.0,1478.0,366.248,7.038,0.0,0.0,prepaid,1.408,0.0,0.0,45.0,0.0,53.1,1050.206,"",'132787675509381529103,2026-04-28,11091706970,1e37ad17-ddb3-429a-a0ae-4ead1f3e7b9a,"",Forward,100036978015,1000011002551,11504,1407.62,5.0,1650.0,0.0,1650.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1649.0
NFT-/XUTR/DEUTH02611828489X,104.43,0.0,0.0,2399.0,2193.0,491.671,10.443,0.0,0.0,prepaid,2.089,167.0,0.0,0.0,0.0,197.06,-1885.857,"",'132762876497435122701,2026-04-28,11086131439,3936b6e4-f7be-4384-8087-becf4810c15e,100152743804,Reverse,100031402493,100031402493,11504,2088.57,5.0,0.0,0.0,0.0,return_refund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,2399.0
NFT-/XUTR/DEUTH02611828489X,23.67,0.0,0.0,1599.0,497.0,23.458,2.367,0.0,0.0,prepaid,0.473,0.0,0.0,19.0,0.0,22.42,448.282,"",'132743045839565086901,2026-04-28,11081456299,7be8d5d7-ff70-48e7-a22d-7d152f421936,"",Forward,100026727391,100026727391,11504,473.33,5.0,1008.0,0.0,1008.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,591.0
NFT-/XUTR/DEUTH02611828489X,30.71,0.0,0.0,1999.0,645.0,30.443999999999996,3.071,0.0,0.0,prepaid,0.614,0.0,0.0,27.0,0.0,31.86,579.011,"",'132744151138342888601,2026-04-28,11081771801,87d471c7-ab8e-4a3b-9790-da1ae9ee5351,"",Forward,100027042874,100027042874,11504,614.29,5.0,1260.0,0.0,1260.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,739.0
NFT-/XUTR/DEUTH02611828489X,63.24,0.0,0.0,2999.0,373.064,92.445,1.776,0.0,0.0,prepaid,0.355,0.0,0.0,12.641,0.0,14.91638,263.572,"",'132763361522614779103,2026-04-28,11086305638,83407d0e-50ba-4987-9337-38f6384233b1,"",Forward,100031576692,100031576692,11504,1264.76,5.0,1500.0,0.0,1500.0,packet_delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0,1498.98
